Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.56|17.83|17.01|17.06|106989|USD|0
2012-01-04|16.91|17.12|16.76|16.78|102276|USD|1
2012-01-05|16.62|16.65|16.16|16.25|128332|USD|2
2012-01-06|15.63|16.27|15.23|16.13|206653|USD|3
2012-01-09|16.21|16.21|15.83|15.91|104202|USD|4
2012-01-10|16.01|16.07|15.81|15.86|38311|USD|5
2012-01-11|15.71|16.0|15.71|15.87|84253|USD|6
2012-01-12|15.89|16.0|15.79|15.94|49666|USD|7
2012-01-13|15.87|15.95|15.49|15.63|63862|USD|8
2012-01-17|15.73|16.06|15.33|15.85|55686|USD|9
2012-01-18|15.87|16.93|15.87|16.73|128595|USD|10
2012-01-19|16.73|17.01|16.51|16.92|80955|USD|11
2012-01-20|16.91|17.17|16.85|16.93|65188|USD|12
2012-01-23|16.93|17.63|16.57|16.74|46818|USD|13
2012-01-24|16.64|17.17|16.64|16.97|81108|USD|14
2012-01-25|16.96|17.38|16.95|17.1|110194|USD|15
2012-01-26|17.1|17.4|16.37|16.59|140182|USD|16
2012-01-27|16.57|17.31|16.57|17.17|53544|USD|17
2012-01-30|17.03|17.14|16.68|16.87|37038|USD|18
2012-01-31|16.89|16.92|16.69|16.85|76557|USD|19
2012-02-01|16.96|17.57|16.93|17.33|99712|USD|20
2012-02-02|17.3|17.53|16.91|16.96|47626|USD|21
2012-02-03|17.27|17.47|17.01|17.11|91828|USD|22
2012-02-06|17.1|17.22|16.99|17.07|60364|USD|23
2012-02-07|17.09|17.19|16.95|17.0|113430|USD|24
2012-02-08|17.07|17.19|16.87|16.94|105117|USD|25
2012-02-09|16.98|17.19|16.45|16.64|102855|USD|26
2012-02-10|16.49|16.91|16.4|16.6|62976|USD|27
2012-02-13|17.11|17.45|17.11|17.27|103173|USD|28
2012-02-14|17.22|17.33|16.93|17.09|100251|USD|29
2012-02-15|17.21|17.46|16.95|17.11|204676|USD|30
2012-02-16|17.07|17.51|16.87|17.2|363628|USD|31
2012-02-17|17.29|17.99|17.19|17.99|201973|USD|32
2012-02-21|18.01|18.21|17.73|17.77|103912|USD|33
2012-02-22|17.7|17.96|17.7|17.86|93105|USD|34
2012-02-23|17.87|18.31|17.71|18.11|115614|USD|35
2012-02-24|18.17|18.17|17.63|17.7|67353|USD|36
2012-02-27|17.51|17.8|17.43|17.66|62061|USD|37
2012-02-28|17.63|18.13|17.63|17.97|46677|USD|38
2012-02-29|17.95|18.17|17.44|17.45|62341|USD|39
2012-03-01|17.98|17.98|17.63|17.67|60153|USD|40
2012-03-02|17.71|17.75|17.11|17.26|47796|USD|41
2012-03-05|17.17|17.76|17.08|17.65|43197|USD|42
2012-03-06|17.43|17.72|17.14|17.29|74919|USD|43
2012-03-07|17.4|17.5|17.27|17.48|95395|USD|44
2012-03-08|17.64|17.64|17.38|17.59|52599|USD|45
2012-03-09|17.59|18.17|17.58|17.87|90016|USD|46
2012-03-12|17.99|18.04|17.66|17.66|69256|USD|47
2012-03-13|17.85|17.97|17.57|17.77|184347|USD|48
2012-03-14|17.77|17.87|17.6|17.75|106462|USD|49
2012-03-15|17.8|17.87|17.44|17.73|111940|USD|50
2012-03-16|17.75|17.84|17.48|17.55|93078|USD|51
2012-03-19|17.45|17.78|17.36|17.65|155710|USD|52
2012-03-20|17.49|17.76|17.39|17.67|119647|USD|53
2012-03-21|17.76|17.93|17.57|17.67|321840|USD|54
2012-03-22|19.46|21.49|19.11|21.41|932302|USD|55
2012-03-23|21.49|22.0|21.31|21.99|396217|USD|56
2012-03-26|22.1|22.61|21.95|22.53|267577|USD|57
2012-03-27|22.43|22.53|22.13|22.17|110302|USD|58
2012-03-28|22.27|22.31|21.7|22.05|101139|USD|59
2012-03-29|21.85|21.95|21.65|21.78|43428|USD|60
2012-03-30|21.95|21.95|21.48|21.48|57040|USD|61
2012-04-02|21.47|21.71|21.44|21.71|87474|USD|62
2012-04-03|21.75|21.81|21.38|21.42|71226|USD|63
2012-04-04|21.31|21.45|20.8|21.01|78216|USD|64
2012-04-05|20.95|21.21|20.67|20.73|51472|USD|65
2012-04-09|20.45|20.57|20.01|20.34|89731|USD|66
2012-04-10|20.34|20.6|19.51|19.67|45262|USD|67
2012-04-11|19.88|20.28|19.81|20.19|64639|USD|68
2012-04-12|20.25|20.46|20.03|20.09|67833|USD|69
2012-04-13|19.98|20.09|19.48|19.65|39163|USD|70
2012-04-16|19.83|20.01|19.41|19.88|30835|USD|71
2012-04-17|20.05|20.29|19.89|19.93|41950|USD|72
2012-04-18|19.9|19.9|19.23|19.47|54240|USD|73
2012-04-19|19.44|19.59|19.13|19.21|44358|USD|74
2012-04-20|19.55|19.74|19.23|19.41|65265|USD|75
2012-04-23|19.18|19.37|18.68|18.89|53739|USD|76
2012-04-24|18.84|19.33|18.63|19.09|151230|USD|77
2012-04-25|19.23|19.86|19.23|19.35|88323|USD|78
2012-04-26|19.29|19.77|19.26|19.77|59971|USD|79
2012-04-27|19.8|20.19|19.57|20.05|34558|USD|80
2012-04-30|20.14|20.14|19.05|19.44|98857|USD|81
2012-05-01|19.43|20.53|19.24|19.78|90473|USD|82
2012-05-02|19.64|20.49|19.61|20.44|61499|USD|83
2012-05-03|20.33|20.33|19.83|20.07|80854|USD|84
2012-05-04|19.96|20.08|19.7|19.8|101612|USD|85
2012-05-07|19.74|20.09|19.74|19.89|108801|USD|86
2012-05-08|19.78|20.01|19.37|19.82|118467|USD|87
2012-05-09|19.67|20.23|19.67|19.99|77002|USD|88
2012-05-10|20.17|20.6|19.95|20.6|77718|USD|89
2012-05-11|20.48|21.12|20.13|20.45|139393|USD|90
2012-05-14|20.15|20.84|19.76|20.37|136637|USD|91
2012-05-15|20.31|20.68|20.13|20.19|57221|USD|92
2012-05-16|20.22|20.35|19.85|20.07|60398|USD|93
2012-05-17|20.05|20.27|19.76|19.87|110621|USD|94
2012-05-18|19.89|21.75|19.36|21.72|279992|USD|95
2012-05-21|21.75|21.75|21.03|21.55|129230|USD|96
2012-05-22|21.6|21.85|21.07|21.27|75895|USD|97
2012-05-23|21.05|21.8|21.05|21.64|34784|USD|98
2012-05-24|21.62|21.79|21.23|21.43|54635|USD|99
2012-05-25|21.38|21.78|21.3|21.54|39491|USD|100
2012-05-29|21.74|21.98|21.05|21.62|24467|USD|101
2012-05-30|21.36|21.5|21.06|21.24|38799|USD|102
2012-05-31|21.31|21.34|20.72|21.18|72092|USD|103
2012-06-01|20.83|20.86|19.21|20.33|71076|USD|104
2012-06-04|20.38|20.69|20.12|20.28|47562|USD|105
2012-06-05|20.11|20.57|20.0|20.53|34912|USD|106
2012-06-06|20.63|20.85|20.38|20.6|33457|USD|107
2012-06-07|20.84|20.9|20.43|20.55|39077|USD|108
2012-06-08|20.59|21.14|20.59|21.05|22846|USD|109
2012-06-11|21.18|21.18|20.21|20.22|47585|USD|110
2012-06-12|20.27|20.56|20.15|20.5|24496|USD|111
2012-06-13|20.42|20.49|19.95|20.07|30965|USD|112
2012-06-14|20.12|20.63|20.12|20.58|45385|USD|113
2012-06-15|20.43|21.15|20.43|20.78|84296|USD|114
2012-06-18|20.5|20.77|20.01|20.01|79036|USD|115
2012-06-19|20.12|20.73|20.12|20.73|99765|USD|116
2012-06-20|20.63|20.71|20.17|20.4|35455|USD|117
2012-06-21|20.37|20.66|19.6|20.08|165924|USD|118
2012-06-22|20.11|20.89|20.11|20.85|144161|USD|119
2012-06-25|20.65|21.09|20.65|20.86|65666|USD|120
2012-06-26|20.97|21.11|20.75|20.94|53906|USD|121
2012-06-27|21.02|21.34|20.91|21.12|36754|USD|122
2012-06-28|20.91|21.15|20.45|20.98|45358|USD|123
2012-06-29|21.42|21.81|21.28|21.49|63660|USD|124
2012-07-02|21.64|22.17|21.39|22.14|43635|USD|125
2012-07-03|22.04|22.54|22.04|22.36|24294|USD|126
2012-07-05|22.38|23.17|22.38|23.1|46639|USD|127
2012-07-06|22.83|23.36|22.47|22.58|85918|USD|128
2012-07-09|22.5|23.27|22.5|23.03|92046|USD|129
2012-07-10|23.19|23.29|22.55|22.73|81185|USD|130
2012-07-11|22.7|22.72|22.1|22.13|49175|USD|131
2012-07-12|22.05|22.2|21.56|22.1|68646|USD|132
2012-07-13|22.28|23.44|22.28|23.37|73937|USD|133
2012-07-16|23.25|23.57|23.11|23.31|89547|USD|134
2012-07-17|23.4|23.45|22.99|23.1|49522|USD|135
2012-07-18|23.03|23.3|22.74|22.92|79778|USD|136
2012-07-19|23.0|23.25|22.56|22.61|72962|USD|137
2012-07-20|22.5|22.75|22.15|22.17|42597|USD|138
2012-07-23|21.82|22.07|21.68|21.68|87712|USD|139
2012-07-24|21.85|21.93|21.26|21.8|86080|USD|140
2012-07-25|21.99|22.33|21.89|22.11|97674|USD|141
2012-07-26|22.34|22.76|22.13|22.24|115258|USD|142
2012-07-27|22.29|22.58|22.12|22.28|412042|USD|143
2012-07-30|22.35|22.88|22.35|22.59|105726|USD|144
2012-07-31|22.62|22.78|22.18|22.2|54621|USD|145
2012-08-01|22.27|22.4|21.47|21.54|67349|USD|146
2012-08-02|21.36|21.8|20.93|21.22|69824|USD|147
2012-08-03|21.51|21.83|20.8|21.25|84216|USD|148
2012-08-06|21.38|21.76|21.26|21.51|73207|USD|149
2012-08-07|21.68|22.18|21.68|22.08|163654|USD|150
2012-08-08|22.01|22.26|21.26|22.16|29272|USD|151
2012-08-09|22.21|22.34|21.86|22.06|46682|USD|152
2012-08-10|22.07|22.21|21.58|21.65|32867|USD|153
2012-08-13|21.7|22.17|21.11|22.07|52152|USD|154
2012-08-14|22.26|22.29|21.7|21.84|50533|USD|155
2012-08-15|21.97|22.13|21.76|22.02|36834|USD|156
2012-08-16|22.07|22.25|21.9|22.13|58008|USD|157
2012-08-17|22.05|23.2|22.01|23.09|196218|USD|158
2012-08-20|22.96|23.44|22.77|23.37|118851|USD|159
2012-08-21|23.4|23.59|23.16|23.39|54171|USD|160
2012-08-22|23.47|23.96|23.38|23.96|105132|USD|161
2012-08-23|24.0|24.66|23.65|24.38|368929|USD|162
2012-08-24|23.5|23.92|21.79|22.57|722520|USD|163
2012-08-27|22.75|22.8|22.31|22.57|119055|USD|164
2012-08-28|22.44|22.74|22.35|22.69|117933|USD|165
2012-08-29|22.27|22.62|22.1|22.41|139328|USD|166
2012-08-30|22.3|22.37|22.11|22.13|60439|USD|167
2012-08-31|22.34|22.34|21.93|22.0|104578|USD|168
2012-09-04|22.0|22.26|21.89|22.12|106276|USD|169
2012-09-05|22.18|22.18|21.95|22.05|154448|USD|170
2012-09-06|22.1|22.7|22.04|22.68|99368|USD|171
2012-09-07|22.76|23.23|22.62|23.2|85688|USD|172
2012-09-10|23.23|23.43|22.88|23.32|102972|USD|173
2012-09-11|23.48|23.79|23.32|23.72|97502|USD|174
2012-09-12|23.83|24.08|23.79|24.03|126625|USD|175
2012-09-13|24.03|24.28|23.74|24.12|78001|USD|176
2012-09-14|24.19|24.4|23.99|24.2|83359|USD|177
2012-09-17|24.05|24.16|23.56|23.88|102933|USD|178
2012-09-18|23.79|24.2|23.77|24.16|55549|USD|179
2012-09-19|24.2|24.2|23.72|23.72|44635|USD|180
2012-09-20|23.54|23.9|23.36|23.72|31126|USD|181
2012-09-21|24.02|24.02|23.39|23.41|117902|USD|182
2012-09-24|23.28|23.69|23.25|23.64|53560|USD|183
2012-09-25|23.7|23.84|23.47|23.59|70543|USD|184
2012-09-26|23.58|23.78|23.36|23.45|40401|USD|185
2012-09-27|23.48|23.85|23.48|23.78|44404|USD|186
2012-09-28|23.54|23.85|23.52|23.53|36948|USD|187
2012-10-01|23.72|23.86|22.99|23.13|138362|USD|188
2012-10-02|23.27|23.46|21.76|23.41|54059|USD|189
2012-10-03|23.37|23.37|22.69|22.73|66844|USD|190
2012-10-04|22.77|22.9|22.61|22.8|52726|USD|191
2012-10-05|22.82|22.96|22.47|22.58|36177|USD|192
2012-10-08|22.52|22.77|22.5|22.65|48288|USD|193
2012-10-09|23.5|24.11|23.41|23.81|167396|USD|194
2012-10-10|23.8|24.1|23.75|23.87|79754|USD|195
2012-10-11|24.15|24.16|23.82|23.99|34015|USD|196
2012-10-12|24.02|24.02|23.67|23.9|38090|USD|197
2012-10-15|24.11|24.11|23.62|23.79|59828|USD|198
2012-10-16|23.93|24.07|23.84|23.95|36512|USD|199
2012-10-17|23.92|24.5|23.77|24.25|46495|USD|200
