Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|99.4|99.46|93.59|94.44|136886|USD|0
2012-01-04|94.14|95.0|92.51|94.99|78891|USD|1
2012-01-05|94.73|95.0|93.17|94.27|66220|USD|2
2012-01-06|94.56|97.18|94.44|96.69|168800|USD|3
2012-01-09|97.27|98.99|96.41|98.98|68042|USD|4
2012-01-10|99.62|108.03|98.95|107.74|179530|USD|5
2012-01-11|107.46|113.56|105.5|113.34|181402|USD|6
2012-01-12|113.32|113.9|112.23|112.39|93174|USD|7
2012-01-13|111.14|115.95|109.25|113.92|104192|USD|8
2012-01-17|115.21|118.47|110.02|113.73|122074|USD|9
2012-01-18|113.5|113.5|107.0|110.8|177372|USD|10
2012-01-19|111.0|113.8|108.89|111.17|173005|USD|11
2012-01-20|110.89|113.0|109.99|112.67|87733|USD|12
2012-01-23|112.68|114.84|111.53|113.61|65187|USD|13
2012-01-24|112.79|118.58|110.92|116.62|92753|USD|14
2012-01-25|116.34|118.86|115.68|118.28|63009|USD|15
2012-01-26|118.81|118.81|111.41|111.74|188181|USD|16
2012-01-27|111.05|112.46|108.81|110.15|162963|USD|17
2012-01-30|109.51|110.99|108.17|109.96|66323|USD|18
2012-01-31|110.82|112.49|107.45|108.8|90818|USD|19
2012-02-01|109.88|119.16|109.88|118.65|190582|USD|20
2012-02-02|118.03|118.03|115.45|116.04|100916|USD|21
2012-02-03|118.0|120.0|116.52|118.49|98245|USD|22
2012-02-06|118.27|119.29|116.33|118.52|46525|USD|23
2012-02-07|118.05|119.16|116.09|116.4|68351|USD|24
2012-02-08|116.3|116.96|114.52|116.41|76130|USD|25
2012-02-09|116.41|118.78|116.41|118.26|73559|USD|26
2012-02-10|117.1|117.1|114.43|115.04|125569|USD|27
2012-02-13|116.2|117.63|114.0|116.64|150169|USD|28
2012-02-14|116.33|118.61|113.58|115.55|106913|USD|29
2012-02-15|116.29|117.9|114.05|115.08|109193|USD|30
2012-02-16|108.15|109.67|102.0|106.57|500987|USD|31
