Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.14|3.14|3.07|3.1|96522|USD|0
2012-01-04|3.07|3.11|3.02|3.03|37595|USD|1
2012-01-05|3.0|3.1|2.96|3.04|26842|USD|2
2012-01-06|3.04|3.04|2.94|2.95|43394|USD|3
2012-01-09|2.95|2.97|2.92|2.93|53057|USD|4
2012-01-10|2.97|2.97|2.92|2.94|33617|USD|5
2012-01-11|2.91|2.99|2.91|2.94|43555|USD|6
2012-01-12|2.95|2.95|2.9|2.94|28809|USD|7
2012-01-13|2.9|2.92|2.9|2.91|20676|USD|8
2012-01-17|2.95|2.95|2.89|2.93|29097|USD|9
2012-01-18|2.93|3.02|2.88|2.94|98575|USD|10
2012-01-19|2.94|2.94|2.9|2.92|25439|USD|11
2012-01-20|2.92|2.99|2.91|2.95|64587|USD|12
2012-01-23|2.95|2.99|2.88|2.91|43906|USD|13
2012-01-24|2.89|2.98|2.88|2.96|95539|USD|14
2012-01-25|2.96|3.03|2.96|3.0|113470|USD|15
2012-01-26|3.01|3.05|2.97|2.99|73140|USD|16
2012-01-27|3.03|3.13|3.01|3.08|75445|USD|17
2012-01-30|3.01|3.11|3.01|3.05|67649|USD|18
2012-01-31|3.08|3.08|2.97|2.99|53576|USD|19
2012-02-01|3.0|3.04|2.98|3.01|76188|USD|20
2012-02-02|3.02|3.03|2.98|3.02|46670|USD|21
2012-02-03|3.05|3.06|2.99|3.04|62540|USD|22
2012-02-06|3.03|3.06|3.0|3.02|59471|USD|23
2012-02-07|3.01|3.04|3.0|3.01|38388|USD|24
2012-02-08|3.01|3.07|3.01|3.07|17604|USD|25
2012-02-09|3.07|3.1|3.04|3.09|30515|USD|26
2012-02-10|3.04|3.08|3.0|3.06|25322|USD|27
2012-02-13|3.07|3.22|3.06|3.18|64514|USD|28
2012-02-14|3.18|3.25|3.16|3.22|79121|USD|29
2012-02-15|3.24|3.34|3.24|3.25|105472|USD|30
2012-02-16|3.24|3.29|3.22|3.27|31546|USD|31
2012-02-17|3.3|3.3|3.22|3.24|31633|USD|32
2012-02-21|3.24|3.24|3.13|3.17|43209|USD|33
2012-02-22|3.15|3.18|3.15|3.15|10447|USD|34
2012-02-23|3.15|3.16|3.12|3.15|77082|USD|35
2012-02-24|3.16|3.18|3.12|3.17|19244|USD|36
2012-02-27|3.15|3.2|3.11|3.13|55910|USD|37
2012-02-28|2.95|3.1|2.9|3.06|275366|USD|38
2012-02-29|3.07|3.17|3.03|3.14|151077|USD|39
