Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|22.38|22.75|22.1|22.52|196220|USD|0
2012-01-04|22.42|22.99|22.2|22.71|167872|USD|1
2012-01-05|22.51|23.0|22.07|22.82|171880|USD|2
2012-01-06|22.88|23.0|22.44|22.47|100425|USD|3
2012-01-09|22.7|23.09|22.34|22.4|182161|USD|4
2012-01-10|22.92|23.17|22.65|23.11|371706|USD|5
2012-01-11|23.05|23.63|22.65|23.58|137192|USD|6
2012-01-12|23.57|23.57|22.87|23.24|168976|USD|7
2012-01-13|22.93|23.62|22.91|23.5|97787|USD|8
2012-01-17|23.74|24.15|23.5|23.64|114901|USD|9
2012-01-18|23.64|24.1|23.48|23.96|196246|USD|10
2012-01-19|24.16|25.78|24.07|25.7|347936|USD|11
2012-01-20|25.69|25.75|24.86|25.5|295207|USD|12
2012-01-23|25.56|26.02|25.4|25.43|216365|USD|13
2012-01-24|25.14|25.31|24.84|25.16|122875|USD|14
2012-01-25|25.2|26.09|24.68|26.08|140176|USD|15
2012-01-26|26.12|26.54|25.69|26.32|287049|USD|16
2012-01-27|26.15|26.48|25.61|26.32|81552|USD|17
2012-01-30|26.03|26.16|25.8|26.05|75463|USD|18
2012-01-31|26.29|26.3|24.71|24.74|234778|USD|19
2012-02-01|24.94|25.22|24.36|24.55|379721|USD|20
2012-02-02|24.59|24.68|24.38|24.62|223230|USD|21
2012-02-03|25.02|25.8|24.91|25.56|247818|USD|22
2012-02-06|25.33|25.85|25.12|25.73|84404|USD|23
2012-02-07|25.8|26.56|25.39|26.52|226309|USD|24
2012-02-08|26.56|28.68|26.56|28.2|650657|USD|25
2012-02-09|28.24|28.4|28.03|28.13|224455|USD|26
2012-02-10|27.77|27.8|27.09|27.54|233541|USD|27
2012-02-13|27.83|28.2|27.47|28.17|136259|USD|28
2012-02-14|28.11|28.36|27.75|28.35|198172|USD|29
2012-02-15|28.48|28.5|27.08|27.38|176174|USD|30
2012-02-16|27.24|27.5|27.01|27.26|175658|USD|31
2012-02-17|27.44|27.44|27.16|27.31|59917|USD|32
2012-02-21|27.37|28.02|27.27|27.66|87023|USD|33
2012-02-22|27.49|27.91|27.18|27.78|77081|USD|34
2012-02-23|27.8|28.21|27.6|27.93|194190|USD|35
2012-02-24|27.88|28.15|27.41|27.41|81371|USD|36
2012-02-27|27.12|27.69|26.27|27.4|121103|USD|37
2012-02-28|27.4|27.82|27.13|27.42|65399|USD|38
2012-02-29|27.47|27.86|26.14|26.19|175517|USD|39
2012-03-01|26.36|26.95|26.35|26.6|130173|USD|40
2012-03-02|26.51|27.02|26.0|26.0|173584|USD|41
2012-03-05|25.9|25.9|25.04|25.04|169108|USD|42
2012-03-06|24.65|24.68|23.66|23.69|228469|USD|43
2012-03-07|23.86|23.98|23.58|23.65|220720|USD|44
2012-03-08|23.96|24.98|23.79|24.97|381397|USD|45
2012-03-09|25.06|25.25|24.77|25.21|130442|USD|46
2012-03-12|25.07|25.19|24.83|24.91|103157|USD|47
2012-03-13|25.16|25.65|24.96|25.49|274066|USD|48
2012-03-14|25.49|25.74|25.25|25.52|104129|USD|49
2012-03-15|25.6|26.06|25.37|26.01|114474|USD|50
2012-03-16|26.0|26.43|25.7|25.96|134451|USD|51
2012-03-19|25.94|26.95|25.94|26.26|151870|USD|52
2012-03-20|25.94|26.25|25.58|25.78|107557|USD|53
2012-03-21|25.8|26.32|25.5|26.14|89634|USD|54
2012-03-22|25.73|26.0|25.44|25.91|282612|USD|55
2012-03-23|26.0|26.88|25.88|26.82|136433|USD|56
2012-03-26|27.1|27.94|26.84|27.42|234756|USD|57
2012-03-27|27.4|27.77|27.0|27.34|187797|USD|58
2012-03-28|27.46|27.6|26.44|27.54|179021|USD|59
2012-03-29|27.15|27.91|27.08|27.78|269371|USD|60
2012-03-30|28.07|28.49|27.69|28.2|194334|USD|61
2012-04-02|28.76|28.76|27.99|28.15|287907|USD|62
2012-04-03|28.15|28.5|27.67|27.68|195396|USD|63
2012-04-04|27.56|27.71|26.87|27.11|116545|USD|64
2012-04-05|26.89|27.7|26.87|27.32|148461|USD|65
2012-04-09|28.23|29.46|27.55|29.1|714354|USD|66
2012-04-10|29.41|29.45|27.19|27.47|549527|USD|67
2012-04-11|31.72|33.39|30.66|32.05|3392210|USD|68
2012-04-12|32.0|35.33|31.27|35.26|2897708|USD|69
2012-04-13|34.96|36.92|34.96|36.0|1185295|USD|70
2012-04-16|36.25|36.29|34.25|34.75|924358|USD|71
2012-04-17|35.04|35.08|33.15|33.23|999515|USD|72
2012-04-18|32.75|32.83|31.48|31.98|1807076|USD|73
2012-04-19|32.0|33.7|31.96|33.25|1947914|USD|74
2012-04-20|33.58|34.22|32.98|33.98|599120|USD|75
2012-04-23|33.59|34.4|32.43|34.23|610825|USD|76
2012-04-24|34.1|34.5|32.6|33.63|474828|USD|77
2012-04-25|34.3|34.75|33.76|33.99|496776|USD|78
2012-04-26|33.99|35.29|33.74|34.84|561317|USD|79
2012-04-27|34.95|36.0|34.74|35.71|331056|USD|80
2012-04-30|35.53|35.82|34.85|35.63|274785|USD|81
2012-05-01|35.49|36.43|35.04|35.96|450940|USD|82
