Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.42|5.5|5.24|5.25|3649338|USD|0
2012-01-04|5.26|5.31|5.18|5.28|4294404|USD|1
2012-01-05|5.27|5.44|5.2|5.37|3358438|USD|2
2012-01-06|5.45|5.48|5.32|5.43|3603642|USD|3
2012-01-09|5.45|5.46|5.33|5.36|3448255|USD|4
2012-01-10|5.4|5.49|5.36|5.42|2373614|USD|5
2012-01-11|5.41|5.44|5.26|5.39|4954063|USD|6
2012-01-12|5.38|5.4|5.31|5.39|1843444|USD|7
2012-01-13|5.35|5.39|5.3|5.38|1520463|USD|8
2012-01-17|5.4|5.4|5.3|5.31|1306046|USD|9
2012-01-18|5.31|5.4|5.28|5.4|2497321|USD|10
2012-01-19|5.4|5.42|5.34|5.35|1593516|USD|11
2012-01-20|5.36|5.37|5.21|5.25|3155340|USD|12
2012-01-23|5.26|5.29|5.1|5.13|5362356|USD|13
2012-01-24|5.15|5.28|5.13|5.27|3499740|USD|14
2012-01-25|5.27|5.3|5.21|5.25|3395498|USD|15
2012-01-26|5.28|5.29|5.2|5.26|4310870|USD|16
2012-01-27|5.16|5.27|5.0|5.21|9299308|USD|17
2012-01-30|5.13|5.18|5.01|5.01|10125727|USD|18
2012-01-31|5.06|5.08|4.67|4.69|16477681|USD|19
2012-02-01|4.71|4.77|4.7|4.74|6607727|USD|20
2012-02-02|4.75|4.82|4.75|4.79|6330080|USD|21
2012-02-03|4.93|4.93|4.8|4.83|7292555|USD|22
2012-02-06|4.9|4.99|4.85|4.94|7589381|USD|23
2012-02-07|4.92|5.03|4.92|5.0|7361892|USD|24
2012-02-08|5.03|5.05|4.99|5.04|6403229|USD|25
2012-02-09|5.08|5.15|5.03|5.11|7560874|USD|26
2012-02-10|5.11|5.22|5.07|5.21|7430441|USD|27
2012-02-13|5.31|5.33|5.15|5.2|5341002|USD|28
2012-02-14|5.2|5.22|5.07|5.15|3227269|USD|29
2012-02-15|5.18|5.21|5.11|5.13|3312827|USD|30
2012-02-16|5.12|5.21|5.11|5.19|3809009|USD|31
2012-02-17|5.2|5.24|5.19|5.19|2116505|USD|32
2012-02-21|5.23|5.24|5.14|5.16|3491064|USD|33
2012-02-22|5.16|5.18|5.07|5.08|2898865|USD|34
2012-02-23|5.09|5.12|5.04|5.08|2544641|USD|35
2012-02-24|5.08|5.12|5.05|5.07|3100496|USD|36
2012-02-27|5.04|5.08|5.0|5.0|4080549|USD|37
2012-02-28|5.01|5.2|5.01|5.18|7419136|USD|38
2012-02-29|5.15|5.22|5.07|5.07|5907094|USD|39
2012-03-01|5.1|5.17|5.01|5.03|9794139|USD|40
2012-03-02|5.01|5.04|4.85|5.0|10956527|USD|41
2012-03-05|4.97|4.98|4.85|4.87|5638725|USD|42
2012-03-06|4.86|4.87|4.73|4.74|6219722|USD|43
2012-03-07|4.8|4.83|4.75|4.79|5444827|USD|44
2012-03-08|4.83|4.86|4.8|4.81|2863680|USD|45
2012-03-09|4.84|4.89|4.8|4.89|4670252|USD|46
2012-03-12|4.89|4.89|4.81|4.81|3651403|USD|47
2012-03-13|4.84|4.86|4.82|4.84|2071557|USD|48
2012-03-14|4.84|4.89|4.82|4.83|4283224|USD|49
2012-03-15|4.84|4.93|4.83|4.91|3467099|USD|50
2012-03-16|4.94|5.1|4.91|5.04|7782867|USD|51
2012-03-19|5.08|5.1|4.95|5.03|3983730|USD|52
2012-03-20|5.01|5.1|4.98|5.05|3379901|USD|53
2012-03-21|5.06|5.13|5.03|5.04|2492707|USD|54
2012-03-22|5.04|5.07|4.97|4.99|2381198|USD|55
2012-03-23|4.97|5.0|4.9|4.92|2849808|USD|56
2012-03-26|4.96|5.05|4.95|5.05|3200832|USD|57
2012-03-27|5.04|5.06|4.99|4.99|2229749|USD|58
2012-03-28|4.99|5.01|4.95|4.96|1704781|USD|59
2012-03-29|4.97|4.97|4.87|4.96|5378779|USD|60
2012-03-30|4.99|5.01|4.95|5.01|4035738|USD|61
2012-04-02|4.98|5.03|4.9|5.01|3974568|USD|62
2012-04-03|5.01|5.08|4.99|5.06|5649488|USD|63
2012-04-04|5.05|5.09|4.99|5.0|6727165|USD|64
2012-04-05|4.99|5.02|4.95|4.99|5765329|USD|65
2012-04-09|4.95|4.97|4.9|4.93|4625799|USD|66
2012-04-10|4.9|4.95|4.79|4.8|7209681|USD|67
2012-04-11|4.85|4.89|4.83|4.88|3717417|USD|68
2012-04-12|4.91|5.02|4.89|5.0|4471560|USD|69
2012-04-13|4.97|5.0|4.93|4.95|2325030|USD|70
2012-04-16|4.97|4.98|4.88|4.88|1469672|USD|71
2012-04-17|4.91|4.93|4.79|4.85|4541076|USD|72
2012-04-18|4.87|4.87|4.81|4.83|1606185|USD|73
2012-04-19|4.83|4.86|4.76|4.79|2218329|USD|74
2012-04-20|4.79|4.84|4.77|4.81|1914607|USD|75
2012-04-23|4.78|4.8|4.72|4.79|2764843|USD|76
2012-04-24|4.78|4.82|4.71|4.71|3188593|USD|77
2012-04-25|4.77|4.84|4.74|4.83|2503185|USD|78
2012-04-26|4.85|4.88|4.84|4.85|1449837|USD|79
2012-04-27|4.87|4.88|4.81|4.84|2601805|USD|80
2012-04-30|4.85|4.87|4.81|4.87|1958564|USD|81
2012-05-01|4.89|4.95|4.88|4.93|2533371|USD|82
2012-05-02|4.93|4.93|4.8|4.83|3055963|USD|83
2012-05-03|4.82|4.87|4.8|4.82|1444883|USD|84
2012-05-04|4.82|4.83|4.77|4.81|2725637|USD|85
2012-05-07|4.78|4.94|4.77|4.87|6293202|USD|86
2012-05-08|4.78|4.82|4.56|4.67|12847852|USD|87
2012-05-09|4.61|4.61|4.47|4.5|9329899|USD|88
2012-05-10|4.54|4.54|4.46|4.5|3812902|USD|89
2012-05-11|4.49|4.52|4.46|4.48|2563520|USD|90
2012-05-14|4.45|4.55|4.45|4.51|3022446|USD|91
2012-05-15|4.51|4.56|4.48|4.53|3535532|USD|92
2012-05-16|4.54|4.55|4.47|4.48|2455043|USD|93
2012-05-17|4.5|4.59|4.46|4.48|4861273|USD|94
2012-05-18|4.49|4.54|4.45|4.49|3266239|USD|95
2012-05-21|4.5|4.58|4.45|4.56|3265700|USD|96
2012-05-22|4.56|4.59|4.39|4.41|4151322|USD|97
2012-05-23|4.4|4.56|4.37|4.52|3867372|USD|98
2012-05-24|4.55|4.55|4.46|4.48|1700944|USD|99
2012-05-25|4.5|4.72|4.48|4.63|6536129|USD|100
2012-05-29|4.68|4.7|4.59|4.67|3167120|USD|101
2012-05-30|4.64|4.64|4.49|4.52|3549698|USD|102
2012-05-31|4.52|4.6|4.46|4.59|3923839|USD|103
2012-06-01|4.52|4.73|4.48|4.67|6467657|USD|104
2012-06-04|4.66|4.7|4.47|4.51|3734744|USD|105
2012-06-05|4.5|4.56|4.45|4.47|2023591|USD|106
2012-06-06|4.49|4.55|4.48|4.52|2358894|USD|107
2012-06-07|4.54|4.6|4.51|4.53|1730081|USD|108
2012-06-08|4.5|4.56|4.41|4.52|2138514|USD|109
2012-06-11|4.55|4.56|4.47|4.47|1589406|USD|110
2012-06-12|4.48|4.52|4.42|4.45|2117007|USD|111
2012-06-13|4.43|4.49|4.4|4.41|1992121|USD|112
2012-06-14|4.42|4.47|4.39|4.45|1994376|USD|113
2012-06-15|4.44|4.52|4.41|4.51|3061413|USD|114
2012-06-18|4.51|4.59|4.45|4.57|2009127|USD|115
2012-06-19|4.57|4.6|4.54|4.57|1775144|USD|116
2012-06-20|4.55|4.59|4.55|4.57|1500626|USD|117
2012-06-21|4.57|4.59|4.49|4.51|1775738|USD|118
2012-06-22|4.5|4.54|4.48|4.54|2401867|USD|119
2012-06-25|4.49|4.52|4.44|4.46|1303293|USD|120
2012-06-26|4.49|4.49|4.42|4.46|1643149|USD|121
2012-06-27|4.48|4.56|4.46|4.48|2751694|USD|122
2012-06-28|4.57|4.67|4.47|4.57|5636517|USD|123
2012-06-29|4.64|4.73|4.6|4.72|3426540|USD|124
2012-07-02|4.72|4.72|4.62|4.69|3179801|USD|125
2012-07-03|4.64|4.75|4.64|4.74|1269730|USD|126
2012-07-05|4.71|4.76|4.7|4.76|1806227|USD|127
2012-07-06|4.72|4.76|4.71|4.76|1314637|USD|128
2012-07-09|4.74|4.76|4.64|4.67|1820346|USD|129
2012-07-10|4.7|4.72|4.55|4.58|2955457|USD|130
2012-07-11|4.68|4.72|4.63|4.69|3483651|USD|131
2012-07-12|4.67|4.78|4.65|4.76|2093512|USD|132
2012-07-13|4.78|4.78|4.73|4.76|1601198|USD|133
2012-07-16|4.74|4.78|4.72|4.75|1212155|USD|134
2012-07-17|4.76|4.8|4.69|4.79|2110460|USD|135
2012-07-18|4.79|4.8|4.73|4.77|2055087|USD|136
2012-07-19|4.78|4.8|4.71|4.72|1224542|USD|137
2012-07-20|4.71|4.73|4.58|4.62|2501819|USD|138
2012-07-23|4.57|4.6|4.46|4.51|2258979|USD|139
2012-07-24|4.51|4.53|4.4|4.41|1952144|USD|140
2012-07-25|4.42|4.46|4.39|4.43|1397725|USD|141
2012-07-26|4.46|4.49|4.43|4.48|2308522|USD|142
2012-07-27|4.49|4.55|4.46|4.55|1552294|USD|143
2012-07-30|4.53|4.6|4.53|4.59|1970568|USD|144
2012-07-31|4.6|4.61|4.54|4.59|1274543|USD|145
2012-08-01|4.6|4.6|4.52|4.52|968920|USD|146
2012-08-02|4.51|4.52|4.44|4.47|1444718|USD|147
2012-08-03|4.5|4.53|4.47|4.49|1826097|USD|148
2012-08-06|4.54|4.58|4.51|4.54|1695654|USD|149
2012-08-07|4.53|4.6|4.52|4.55|2184872|USD|150
2012-08-08|4.55|4.59|4.53|4.54|1913199|USD|151
2012-08-09|4.65|4.71|4.54|4.58|2803749|USD|152
2012-08-10|4.56|4.58|4.41|4.45|3927564|USD|153
2012-08-13|4.45|4.45|4.36|4.37|2501956|USD|154
2012-08-14|4.35|4.43|4.35|4.38|3269611|USD|155
2012-08-15|4.4|4.41|4.37|4.4|4212074|USD|156
2012-08-16|4.4|4.43|4.38|4.39|1837201|USD|157
2012-08-17|4.38|4.4|4.34|4.37|2285479|USD|158
2012-08-20|4.36|4.4|4.34|4.35|2182121|USD|159
2012-08-21|4.36|4.36|4.31|4.35|1803068|USD|160
2012-08-22|4.35|4.35|4.3|4.33|976880|USD|161
2012-08-23|4.32|4.33|4.21|4.26|3566848|USD|162
2012-08-24|4.23|4.39|4.16|4.37|7085057|USD|163
2012-08-27|4.41|4.41|4.34|4.36|2147440|USD|164
2012-08-28|4.34|4.37|4.3|4.35|2285809|USD|165
2012-08-29|4.37|4.39|4.34|4.37|787321|USD|166
2012-08-30|4.35|4.36|4.3|4.31|1428006|USD|167
2012-08-31|4.31|4.34|4.25|4.27|1780415|USD|168
2012-09-04|4.27|4.33|4.25|4.32|1792489|USD|169
2012-09-05|4.3|4.43|4.3|4.42|2645802|USD|170
2012-09-06|4.43|4.47|4.4|4.46|2556714|USD|171
2012-09-07|4.47|4.48|4.38|4.45|3297476|USD|172
2012-09-10|4.46|4.47|4.39|4.39|2908106|USD|173
2012-09-11|4.41|4.48|4.4|4.45|1681418|USD|174
2012-09-12|4.45|4.55|4.43|4.53|2261580|USD|175
2012-09-13|4.53|4.56|4.51|4.55|1947654|USD|176
2012-09-14|4.55|4.62|4.53|4.58|1971167|USD|177
2012-09-17|4.57|4.57|4.41|4.41|2972759|USD|178
2012-09-18|4.45|4.48|4.41|4.42|3652764|USD|179
2012-09-19|4.43|4.53|4.41|4.51|2900751|USD|180
2012-09-20|4.5|4.55|4.48|4.54|2163811|USD|181
2012-09-21|4.55|4.57|4.51|4.57|5371480|USD|182
2012-09-24|4.53|4.6|4.48|4.57|2233196|USD|183
2012-09-25|4.57|4.65|4.56|4.62|4964452|USD|184
2012-09-26|4.58|4.68|4.54|4.61|3119479|USD|185
2012-09-27|4.63|4.67|4.53|4.55|3978418|USD|186
2012-09-28|4.53|4.57|4.47|4.53|2445222|USD|187
2012-10-01|4.47|4.5|4.21|4.25|9085556|USD|188
2012-10-02|4.27|4.31|4.22|4.28|2814990|USD|189
2012-10-03|4.27|4.3|4.24|4.27|2146951|USD|190
2012-10-04|4.27|4.29|4.22|4.24|1825651|USD|191
2012-10-05|4.23|4.26|4.2|4.2|1951850|USD|192
2012-10-08|4.2|4.24|4.09|4.24|6044003|USD|193
2012-10-09|4.25|4.25|4.19|4.21|1619608|USD|194
2012-10-10|4.2|4.25|4.19|4.21|1121314|USD|195
2012-10-11|4.24|4.26|4.21|4.21|1701104|USD|196
2012-10-12|4.19|4.25|4.14|4.21|3969785|USD|197
2012-10-15|4.24|4.26|4.2|4.26|1418633|USD|198
2012-10-16|4.27|4.28|4.23|4.27|952937|USD|199
2012-10-17|4.26|4.3|4.24|4.29|1219055|USD|200
2012-10-18|4.3|4.32|4.28|4.31|1240143|USD|201
2012-10-19|4.28|4.31|4.16|4.19|2276193|USD|202
2012-10-22|4.17|4.19|4.12|4.17|1904697|USD|203
2012-10-23|4.14|4.17|4.1|4.15|1590227|USD|204
2012-10-24|4.18|4.18|4.11|4.14|1321572|USD|205
2012-10-25|4.16|4.29|4.14|4.28|2986926|USD|206
2012-10-26|4.27|4.27|4.15|4.16|2721138|USD|207
2012-10-31|4.16|4.28|4.16|4.26|2524092|USD|208
2012-11-01|4.28|4.39|4.26|4.34|4092219|USD|209
2012-11-02|4.35|4.36|4.28|4.31|1652697|USD|210
2012-11-05|4.32|4.33|4.27|4.3|1963887|USD|211
2012-11-06|4.32|4.37|4.29|4.35|1739573|USD|212
2012-11-07|4.32|4.34|4.24|4.26|3861738|USD|213
2012-11-08|4.31|4.55|4.31|4.39|11220216|USD|214
2012-11-09|4.38|4.47|4.34|4.45|5976614|USD|215
2012-11-12|4.44|4.44|4.33|4.33|3128927|USD|216
2012-11-13|4.31|4.41|4.3|4.37|3115554|USD|217
2012-11-14|4.39|4.44|4.35|4.36|4302111|USD|218
2012-11-15|4.33|4.37|4.28|4.31|3964080|USD|219
2012-11-16|4.32|4.44|4.32|4.43|4670706|USD|220
2012-11-19|4.44|4.57|4.43|4.53|2789885|USD|221
2012-11-20|4.55|4.55|4.44|4.5|1708095|USD|222
2012-11-21|4.51|4.6|4.47|4.6|2038510|USD|223
2012-11-23|4.6|4.71|4.57|4.69|1455791|USD|224
2012-11-26|4.67|4.72|4.6|4.69|3581307|USD|225
2012-11-27|4.67|4.69|4.61|4.65|2222417|USD|226
2012-11-28|4.63|4.74|4.6|4.73|2709165|USD|227
2012-11-29|4.74|4.74|4.67|4.68|1936495|USD|228
2012-11-30|4.7|4.71|4.63|4.66|2440921|USD|229
2012-12-03|4.66|4.7|4.6|4.61|1629202|USD|230
2012-12-04|4.63|4.72|4.6|4.69|4095526|USD|231
2012-12-05|4.69|4.79|4.68|4.75|2857183|USD|232
2012-12-06|4.76|4.84|4.73|4.75|3275747|USD|233
2012-12-07|4.76|4.8|4.67|4.71|2910463|USD|234
2012-12-10|4.74|4.77|4.7|4.74|2448732|USD|235
2012-12-11|4.75|4.78|4.69|4.74|3112709|USD|236
2012-12-12|4.77|4.77|4.69|4.72|5027519|USD|237
2012-12-13|4.72|4.77|4.7|4.73|2405474|USD|238
2012-12-14|4.72|4.76|4.7|4.71|2555514|USD|239
2012-12-17|4.74|4.79|4.7|4.78|1914008|USD|240
2012-12-18|4.79|4.8|4.73|4.8|1562749|USD|241
2012-12-19|4.78|4.86|4.75|4.81|3233991|USD|242
2012-12-20|4.86|4.87|4.75|4.8|3228526|USD|243
2012-12-21|4.75|4.77|4.68|4.76|5744611|USD|244
2012-12-24|4.77|4.8|4.74|4.76|619011|USD|245
2012-12-26|4.76|4.81|4.69|4.7|1706173|USD|246
2012-12-27|4.71|4.84|4.6|4.72|3234140|USD|247
2012-12-28|4.71|4.81|4.7|4.73|2163177|USD|248
2012-12-31|4.71|4.76|4.68|4.7|3393060|USD|249
2013-01-02|4.76|4.79|4.68|4.7|3698997|USD|250
2013-01-03|4.69|4.79|4.68|4.75|3978386|USD|251
2013-01-04|4.75|4.82|4.7|4.76|4928268|USD|252
2013-01-07|4.77|4.84|4.73|4.79|2543714|USD|253
2013-01-08|4.79|4.8|4.72|4.74|2570142|USD|254
2013-01-09|4.73|4.8|4.72|4.79|1865617|USD|255
2013-01-10|4.8|4.82|4.76|4.8|2177274|USD|256
2013-01-11|4.82|4.87|4.76|4.82|2118840|USD|257
2013-01-14|4.84|4.87|4.8|4.85|1778305|USD|258
2013-01-15|4.83|4.97|4.82|4.9|3430968|USD|259
2013-01-16|5.07|5.08|4.9|5.08|8500538|USD|260
2013-01-17|5.11|5.13|5.02|5.09|2589578|USD|261
2013-01-18|5.06|5.11|5.05|5.1|4275216|USD|262
2013-01-22|5.11|5.2|5.06|5.18|2964364|USD|263
2013-01-23|5.17|5.2|5.09|5.15|2575988|USD|264
2013-01-24|5.14|5.17|5.1|5.13|2321705|USD|265
2013-01-25|5.16|5.2|5.1|5.17|2878085|USD|266
2013-01-28|5.15|5.19|5.11|5.15|2494612|USD|267
2013-01-29|5.17|5.17|5.11|5.13|2514046|USD|268
2013-01-30|5.1|5.15|5.08|5.14|2079559|USD|269
2013-01-31|5.15|5.19|5.12|5.14|1851443|USD|270
2013-02-01|5.17|5.17|5.11|5.13|2270259|USD|271
2013-02-04|5.13|5.16|5.08|5.11|1352645|USD|272
2013-02-05|5.11|5.13|5.06|5.1|2053278|USD|273
2013-02-06|5.1|5.11|5.03|5.05|3019887|USD|274
2013-02-07|5.06|5.09|4.97|5.03|2935550|USD|275
2013-02-08|5.01|5.06|5.0|5.02|3291445|USD|276
2013-02-11|5.2|5.33|5.14|5.2|14288202|USD|277
2013-02-12|5.25|5.3|5.2|5.28|5050375|USD|278
2013-02-13|5.32|5.32|5.23|5.25|4473665|USD|279
2013-02-14|5.27|5.3|5.23|5.29|3940605|USD|280
2013-02-15|5.3|5.36|5.27|5.27|5438988|USD|281
2013-02-19|5.31|5.42|5.29|5.4|6362613|USD|282
2013-02-20|5.42|5.81|5.42|5.59|12621838|USD|283
2013-02-21|5.54|5.68|5.43|5.49|8040654|USD|284
2013-02-22|5.4|5.49|5.32|5.49|4891537|USD|285
2013-02-25|5.56|5.56|5.45|5.45|4007423|USD|286
2013-02-26|5.47|5.55|5.45|5.53|5817650|USD|287
2013-02-27|5.48|5.62|5.45|5.5|6343571|USD|288
2013-02-28|5.55|5.95|5.55|5.7|11526284|USD|289
2013-03-01|5.52|5.56|5.41|5.51|13996116|USD|290
2013-03-04|5.49|5.49|5.42|5.47|5264846|USD|291
2013-03-05|5.48|5.57|5.47|5.53|3728121|USD|292
2013-03-06|5.55|5.56|5.42|5.48|5378308|USD|293
2013-03-07|5.5|5.54|5.44|5.47|3030942|USD|294
2013-03-08|5.54|5.54|5.45|5.51|3395784|USD|295
2013-03-11|5.54|5.54|5.46|5.47|2635671|USD|296
2013-03-12|5.45|5.47|5.41|5.45|2858329|USD|297
2013-03-13|5.45|5.51|5.42|5.49|2846614|USD|298
2013-03-14|5.51|5.53|5.46|5.5|2107146|USD|299
2013-03-15|5.5|5.53|5.43|5.52|4196556|USD|300
2013-03-18|5.45|5.53|5.42|5.48|2458210|USD|301
2013-03-19|5.5|5.58|5.49|5.56|4776685|USD|302
2013-03-20|5.56|5.62|5.54|5.6|3128265|USD|303
2013-03-21|5.6|5.68|5.57|5.62|4390517|USD|304
2013-03-22|5.61|5.71|5.59|5.61|3223851|USD|305
2013-03-25|5.61|5.67|5.56|5.63|1836802|USD|306
2013-03-26|5.65|5.82|5.61|5.77|3934293|USD|307
2013-03-27|5.77|5.8|5.65|5.78|3107647|USD|308
2013-03-28|5.78|5.84|5.67|5.67|5353675|USD|309
2013-04-01|5.7|5.78|5.69|5.72|2100809|USD|310
2013-04-02|5.73|5.73|5.62|5.71|3868110|USD|311
2013-04-03|5.69|5.71|5.6|5.62|2641891|USD|312
2013-04-04|5.61|5.68|5.56|5.64|4026870|USD|313
2013-04-05|5.59|5.59|5.46|5.54|3691010|USD|314
2013-04-08|5.52|5.56|5.49|5.51|3167348|USD|315
2013-04-09|5.52|5.54|5.45|5.52|2924318|USD|316
