Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-11-20|6.24|6.75|6.1|6.11|33000|USD|0
2012-11-21|6.2|6.2|6.095|6.12|2132|USD|1
2012-11-23|6.15|6.15|6.0|6.0|4146|USD|2
2012-11-26|5.99|6.0|5.7|5.94|21180|USD|3
2012-11-27|5.99|6.0|5.845|5.85|9850|USD|4
2012-11-28|6.0|6.0|5.821|6.0|4000|USD|5
2012-11-29|6.0|6.0|5.8|5.979|8750|USD|6
2012-11-30|5.8|6.0|5.8|6.0|6540|USD|7
2012-12-03|6.01|6.01|5.8|5.93|6270|USD|8
2012-12-04|6.2|6.2|5.8|6.0|21308|USD|9
2012-12-05|6.25|6.25|5.8|5.86|6560|USD|10
2012-12-06|5.999|6.01|5.8|5.8|18000|USD|11
2012-12-07|5.969|5.969|5.969|5.969|200|USD|12
2012-12-10|5.99|6.0|5.85|5.91|14250|USD|13
2012-12-11|5.987|6.02|5.94|5.94|4744|USD|14
2012-12-12|5.93|5.93|5.81|5.85|6150|USD|15
2012-12-13|5.86|5.86|5.8|5.82|39200|USD|16
2012-12-14|5.84|5.84|5.8|5.83|17957|USD|17
2012-12-17|5.81|5.93|5.8|5.8|10583|USD|18
2012-12-18|5.83|6.13|5.8|5.8|11450|USD|19
2012-12-19|5.86|6.21|5.8|5.95|9352|USD|20
2012-12-20|5.8|5.96|5.8|5.9|15434|USD|21
2012-12-21|5.9|6.0|5.8|5.8|13526|USD|22
2012-12-24|5.81|5.81|5.81|5.81|400|USD|23
2012-12-27|5.8|6.36|5.8|5.9|11726|USD|24
2012-12-28|6.84|6.84|5.8|5.91|9935|USD|25
2012-12-31|5.8|6.624|5.8|6.16|15579|USD|26
2013-01-02|6.22|6.35|5.86|6.16|22954|USD|27
2013-01-03|5.92|6.07|5.92|6.0|1200|USD|28
2013-01-04|6.09|6.1|5.98|5.98|24652|USD|29
2013-01-07|5.97|6.03|5.87|6.03|5694|USD|30
2013-01-08|6.02|6.08|6.0|6.0|5340|USD|31
2013-01-09|6.02|6.25|5.86|6.001|12166|USD|32
2013-01-10|6.01|6.01|5.954|5.98|9575|USD|33
2013-01-11|6.04|6.05|6.04|6.05|200|USD|34
2013-01-14|6.08|6.08|6.01|6.01|3465|USD|35
2013-01-15|6.236|6.236|6.01|6.01|3552|USD|36
2013-01-16|6.05|6.19|6.01|6.19|3200|USD|37
2013-01-17|6.21|6.21|6.02|6.02|3800|USD|38
2013-01-18|6.2|6.2|6.05|6.05|1286|USD|39
2013-01-22|6.09|6.09|6.03|6.03|6000|USD|40
2013-01-23|6.08|6.2|6.063|6.07|10466|USD|41
2013-01-24|6.03|6.14|6.03|6.04|1312|USD|42
2013-01-25|6.08|6.18|6.03|6.05|7447|USD|43
2013-01-28|6.17|6.17|6.05|6.05|8212|USD|44
2013-01-29|6.09|6.15|6.02|6.06|15007|USD|45
2013-01-30|6.1|6.13|6.07|6.08|11740|USD|46
2013-01-31|6.14|6.14|6.03|6.03|2770|USD|47
2013-02-01|6.07|6.13|6.0|6.05|14790|USD|48
2013-02-04|6.13|6.15|6.034|6.1|8100|USD|49
2013-02-05|6.1|6.1|6.07|6.07|5877|USD|50
2013-02-06|6.04|6.13|6.01|6.01|14451|USD|51
2013-02-07|6.02|6.02|6.02|6.02|300|USD|52
2013-02-08|6.1|6.1|6.02|6.02|15865|USD|53
2013-02-11|6.04|6.1|6.04|6.04|16036|USD|54
2013-02-12|6.09|6.1|6.04|6.06|8550|USD|55
2013-02-13|6.03|6.06|6.03|6.05|3176|USD|56
