Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|111.78|113.07|109.66|111.29|2034177|USD|0
2012-01-04|110.98|111.32|109.29|109.37|1724189|USD|1
2012-01-05|108.54|108.83|106.75|108.23|2248314|USD|2
2012-01-06|108.29|108.57|104.21|104.42|3060223|USD|3
2012-01-09|104.85|105.46|103.39|104.13|1568133|USD|4
2012-01-10|106.59|106.73|104.33|105.0|1698480|USD|5
2012-01-11|104.48|109.52|104.42|109.26|2589690|USD|6
2012-01-12|104.46|108.33|102.16|107.22|6975086|USD|7
2012-01-13|105.77|107.74|104.77|105.31|2641911|USD|8
2012-01-17|107.86|111.01|107.76|109.27|3459669|USD|9
2012-01-18|109.63|114.44|109.37|114.06|2979606|USD|10
2012-01-19|115.84|116.28|113.27|114.59|2153553|USD|11
2012-01-20|114.51|114.99|112.47|112.75|1519065|USD|12
2012-01-23|113.07|116.76|112.92|114.51|2491274|USD|13
2012-01-24|114.03|116.5|113.04|115.68|2499311|USD|14
2012-01-25|115.75|118.32|114.71|117.59|2404182|USD|15
2012-01-26|118.63|120.37|115.57|116.35|2380171|USD|16
2012-01-27|116.2|117.18|115.35|116.27|1413236|USD|17
2012-01-30|113.59|113.83|109.52|112.69|2893330|USD|18
2012-01-31|114.35|114.89|112.17|112.52|1640011|USD|19
2012-02-01|114.58|116.04|113.1|114.98|3267445|USD|20
2012-02-02|115.74|117.97|114.35|117.94|4245840|USD|21
2012-02-03|114.26|114.47|111.7|112.28|7267945|USD|22
2012-02-06|111.75|112.17|109.41|110.18|3308795|USD|23
2012-02-07|109.85|111.76|109.85|110.02|2191802|USD|24
2012-02-08|110.6|111.96|110.06|111.94|2330808|USD|25
2012-02-09|112.46|112.59|110.55|110.92|2147236|USD|26
2012-02-10|109.85|111.52|109.38|110.54|1608535|USD|27
2012-02-13|110.58|110.59|107.41|107.96|3735775|USD|28
2012-02-14|107.22|109.22|106.61|108.54|2116472|USD|29
2012-02-15|108.86|110.09|108.45|108.79|2250530|USD|30
2012-02-16|108.96|110.24|108.03|110.02|1680197|USD|31
2012-02-17|111.51|112.14|109.8|110.04|2115201|USD|32
2012-02-21|115.86|118.72|115.21|116.59|8347755|USD|33
2012-02-22|115.72|117.32|114.43|114.97|2341190|USD|34
2012-02-23|114.91|115.35|113.07|113.6|1894800|USD|35
2012-02-24|114.19|116.68|114.05|115.32|2087202|USD|36
2012-02-27|114.65|114.83|113.59|113.78|1934477|USD|37
2012-02-28|113.64|114.4|112.38|112.38|3111779|USD|38
2012-02-29|113.76|117.02|113.32|115.75|4508213|USD|39
2012-03-01|117.18|120.48|116.8|119.19|4315439|USD|40
2012-03-02|121.28|129.47|120.31|124.28|14145306|USD|41
2012-03-05|123.57|124.95|119.44|119.86|3160858|USD|42
2012-03-06|117.15|117.9|115.81|116.57|2391731|USD|43
2012-03-07|118.42|120.45|118.36|119.39|2291581|USD|44
2012-03-08|120.9|121.34|119.62|120.49|2102416|USD|45
2012-03-09|120.38|121.05|117.43|117.95|2055829|USD|46
2012-03-12|118.26|119.69|117.26|118.22|1851490|USD|47
2012-03-13|121.72|123.26|121.1|122.38|2990011|USD|48
2012-03-14|122.78|123.56|122.24|123.11|1716430|USD|49
2012-03-15|122.45|125.8|122.41|124.99|1977745|USD|50
2012-03-16|125.18|125.97|123.36|123.97|1859690|USD|51
2012-03-19|123.6|127.64|123.6|126.25|1987975|USD|52
2012-03-20|125.02|125.65|123.07|125.0|1817911|USD|53
2012-03-21|125.19|126.89|124.7|125.84|1660344|USD|54
2012-03-22|124.99|126.8|123.01|123.83|1355905|USD|55
2012-03-23|124.2|124.41|122.89|123.59|1092837|USD|56
2012-03-26|124.68|128.11|124.52|126.94|2763419|USD|57
2012-03-27|126.74|127.39|125.63|125.78|1551337|USD|58
2012-03-28|125.87|125.97|121.46|123.28|2171602|USD|59
2012-03-29|122.03|122.47|119.97|121.99|1524585|USD|60
2012-03-30|123.07|123.59|120.86|121.94|1289926|USD|61
2012-04-02|121.8|124.69|121.34|122.53|1447321|USD|62
2012-04-03|122.39|124.11|122.09|122.72|1019480|USD|63
2012-04-04|121.23|122.22|120.51|120.85|1193586|USD|64
2012-04-05|120.55|123.41|120.55|122.98|1049855|USD|65
2012-04-09|120.48|122.06|119.93|121.3|1590519|USD|66
2012-04-10|121.63|122.99|117.91|119.23|2226366|USD|67
2012-04-11|120.78|123.36|120.69|121.35|1954852|USD|68
2012-04-12|121.98|124.85|121.73|123.31|2347499|USD|69
2012-04-13|122.44|123.77|121.26|122.53|1047457|USD|70
2012-04-16|122.49|122.69|120.28|120.47|1370777|USD|71
2012-04-17|121.53|122.6|120.5|121.83|1746362|USD|72
2012-04-18|125.71|129.35|125.46|127.22|3983206|USD|73
2012-04-19|127.67|128.75|126.01|126.5|1800192|USD|74
2012-04-20|127.74|127.74|125.84|125.96|1565842|USD|75
2012-04-23|124.38|124.38|121.79|122.3|1842923|USD|76
2012-04-24|121.97|122.97|121.26|121.78|1122884|USD|77
2012-04-25|124.65|126.14|122.88|125.87|2838127|USD|78
2012-04-26|127.03|131.14|124.89|130.97|3566976|USD|79
2012-04-27|131.32|133.42|130.72|131.86|2066755|USD|80
2012-04-30|131.39|132.18|127.43|130.26|1839760|USD|81
2012-05-01|129.68|132.68|129.37|131.54|1540027|USD|82
2012-05-02|134.75|135.03|130.38|130.51|3921666|USD|83
2012-05-03|130.64|131.1|126.81|127.48|1738556|USD|84
2012-05-04|125.64|126.5|123.95|124.4|2222157|USD|85
2012-05-07|123.21|124.59|121.82|122.24|2977703|USD|86
2012-05-08|120.34|120.35|113.61|116.43|4636317|USD|87
2012-05-09|114.19|115.0|111.27|112.66|3321167|USD|88
2012-05-10|114.27|114.49|110.55|110.59|2441681|USD|89
2012-05-11|109.79|112.67|108.93|110.24|2462556|USD|90
2012-05-14|108.4|108.57|105.4|105.55|3214877|USD|91
2012-05-15|105.65|106.71|103.69|103.95|2604899|USD|92
2012-05-16|104.62|105.8|102.34|102.59|2357014|USD|93
2012-05-17|102.38|103.53|98.88|99.15|2592054|USD|94
2012-05-18|99.63|104.17|99.0|99.54|3069183|USD|95
2012-05-21|100.02|101.89|95.95|101.72|3241284|USD|96
2012-05-22|101.45|102.82|99.33|100.72|2241628|USD|97
2012-05-23|99.82|101.67|98.63|101.22|1921404|USD|98
2012-05-24|102.2|102.98|99.7|100.8|1594351|USD|99
2012-05-25|100.63|101.94|99.11|99.64|1382846|USD|100
2012-05-29|101.12|103.31|100.8|102.15|1497356|USD|101
2012-05-30|103.25|103.64|100.66|102.09|2835885|USD|102
2012-05-31|101.64|102.0|97.81|100.62|2820699|USD|103
2012-06-01|97.45|98.19|94.25|95.09|3345814|USD|104
2012-06-04|94.86|96.38|93.57|95.86|2625293|USD|105
2012-06-05|95.09|98.92|94.72|98.61|2906840|USD|106
2012-06-06|99.91|102.23|99.71|101.47|2042813|USD|107
2012-06-07|103.39|104.48|99.9|100.23|1812774|USD|108
2012-06-08|99.54|101.92|98.62|101.76|1300668|USD|109
2012-06-11|102.69|103.16|97.06|97.19|3227365|USD|110
2012-06-12|98.9|99.31|97.06|99.08|2622173|USD|111
2012-06-13|98.35|99.86|97.61|97.84|1863522|USD|112
2012-06-14|96.57|98.74|95.93|98.13|1989851|USD|113
2012-06-15|97.64|98.19|96.74|97.19|1832964|USD|114
2012-06-18|96.57|98.62|95.7|97.97|1714995|USD|115
2012-06-19|98.37|102.61|98.37|102.06|2136587|USD|116
2012-06-20|102.88|102.97|100.58|102.42|1555844|USD|117
2012-06-21|102.69|105.04|99.55|99.65|2992376|USD|118
2012-06-22|100.22|101.69|99.44|100.89|2407146|USD|119
2012-06-25|98.8|100.32|98.62|99.66|1691470|USD|120
2012-06-26|99.3|100.51|98.09|99.64|2042143|USD|121
2012-06-27|100.36|101.22|99.56|99.99|1850103|USD|122
2012-06-28|99.31|100.81|98.04|99.61|1792702|USD|123
2012-06-29|101.83|102.53|100.47|101.28|2247741|USD|124
2012-07-02|100.19|102.11|99.2|99.75|1939087|USD|125
2012-07-03|99.58|100.28|98.3|99.16|1349508|USD|126
2012-07-05|98.6|99.89|96.12|99.42|2831533|USD|127
2012-07-06|98.51|98.62|96.7|98.32|2384541|USD|128
2012-07-09|97.54|98.81|96.92|97.66|2237313|USD|129
2012-07-10|98.23|99.3|97.13|97.87|2682783|USD|130
2012-07-11|97.6|100.56|97.09|98.27|2214691|USD|131
2012-07-12|97.22|97.9|94.19|94.47|2807558|USD|132
2012-07-13|94.55|94.72|92.86|93.96|2589541|USD|133
2012-07-16|93.77|95.4|93.09|94.17|2089117|USD|134
