Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.45|3.625|3.36|3.565|1729273|USD|0
2012-01-04|3.55|3.62|3.4|3.61|1302389|USD|1
2012-01-05|3.6|3.6|3.41|3.45|1691670|USD|2
2012-01-06|3.55|3.57|3.34|3.35|1463341|USD|3
2012-01-09|3.35|3.445|3.31|3.33|663490|USD|4
2012-01-10|3.43|3.47|3.4|3.42|682993|USD|5
2012-01-11|3.42|3.45|3.32|3.33|884794|USD|6
2012-01-12|3.35|3.41|3.25|3.27|1311026|USD|7
2012-01-13|3.23|3.27|3.1335|3.16|1030255|USD|8
2012-01-17|3.24|3.309|3.17|3.21|967253|USD|9
2012-01-18|3.21|3.26|3.19|3.24|1087103|USD|10
2012-01-19|3.29|3.34|3.25|3.29|1702698|USD|11
2012-01-20|3.29|3.31|3.23|3.29|900201|USD|12
2012-01-23|3.29|3.53|3.26|3.52|1811314|USD|13
2012-01-24|3.49|3.58|3.45|3.54|1255610|USD|14
2012-01-25|3.56|3.73|3.45|3.73|1289018|USD|15
2012-01-26|3.76|3.84|3.68|3.72|1248979|USD|16
2012-01-27|3.69|3.91|3.64|3.87|1216978|USD|17
2012-01-30|3.8|3.83|3.69|3.77|733409|USD|18
2012-01-31|3.85|3.87|3.7|3.74|830556|USD|19
2012-02-01|3.78|3.8|3.69|3.78|807304|USD|20
2012-02-02|3.79|3.91|3.7|3.79|1128604|USD|21
2012-02-03|3.91|3.94|3.82|3.87|927964|USD|22
2012-02-06|3.84|4.05|3.84|3.99|1569502|USD|23
2012-02-07|4.0|4.04|3.95|3.99|918000|USD|24
2012-02-08|4.0|4.03|3.95|3.98|662821|USD|25
2012-02-09|4.0|4.049|3.85|3.9|656088|USD|26
2012-02-10|3.82|3.86|3.69|3.72|1240870|USD|27
2012-02-13|3.76|3.915|3.75|3.89|796213|USD|28
2012-02-14|3.87|3.95|3.8|3.83|599786|USD|29
2012-02-15|3.86|3.8813|3.75|3.77|994099|USD|30
2012-02-16|3.78|3.9|3.75|3.89|973282|USD|31
2012-02-17|3.94|4.05|3.89|3.97|1375837|USD|32
2012-02-21|4.03|4.19|4.03|4.12|1829415|USD|33
2012-02-22|4.2|4.22|4.05|4.06|1050761|USD|34
2012-02-23|4.1|4.19|4.0|4.19|1180546|USD|35
2012-02-24|4.24|4.39|4.22|4.34|1456785|USD|36
2012-02-27|4.33|4.35|4.22|4.29|991366|USD|37
2012-02-28|4.28|4.37|4.16|4.25|1010527|USD|38
2012-02-29|4.26|4.37|4.01|4.02|1537519|USD|39
2012-03-01|4.07|4.19|4.03|4.06|933341|USD|40
2012-03-02|4.06|4.09|3.87|3.87|1372557|USD|41
2012-03-05|3.84|3.87|3.74|3.77|1297075|USD|42
2012-03-06|3.7|3.7|3.57|3.59|1551261|USD|43
2012-03-07|3.63|3.8|3.59|3.76|1047428|USD|44
2012-03-08|3.82|3.87|3.71|3.74|1119274|USD|45
2012-03-09|3.76|3.9|3.76|3.84|1122765|USD|46
2012-03-12|3.84|3.8699|3.71|3.78|658535|USD|47
2012-03-13|3.83|3.8799|3.73|3.83|853920|USD|48
2012-03-14|3.81|3.85|3.69|3.72|902291|USD|49
2012-03-15|3.65|3.715|3.41|3.52|2464584|USD|50
2012-03-16|3.49|3.5|3.12|3.27|6317817|USD|51
2012-03-19|3.25|3.32|3.13|3.17|1982164|USD|52
2012-03-20|3.11|3.14|3.03|3.08|2495655|USD|53
2012-03-21|3.11|3.24|3.07|3.2|1585711|USD|54
2012-03-22|3.15|3.1797|3.06|3.11|1530904|USD|55
2012-03-23|3.15|3.37|3.08|3.36|1928627|USD|56
2012-03-26|3.42|3.42|3.18|3.27|1602425|USD|57
2012-03-27|3.27|3.35|3.2|3.25|913417|USD|58
2012-03-28|3.25|3.27|3.11|3.19|1313768|USD|59
2012-03-29|3.15|3.18|3.05|3.12|926968|USD|60
2012-03-30|3.16|3.2|3.09|3.12|673491|USD|61
2012-04-02|3.1|3.28|3.1|3.25|2068477|USD|62
2012-04-03|3.24|3.24|3.12|3.13|894091|USD|63
2012-04-04|3.1|3.19|2.95|2.99|1612105|USD|64
2012-04-05|3.02|3.07|2.98|2.99|821778|USD|65
2012-04-09|2.89|3.0|2.85|2.93|967023|USD|66
2012-04-10|2.94|3.01|2.79|2.79|1225136|USD|67
2012-04-11|2.93|3.03|2.86|2.91|1335972|USD|68
