Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|35.42|36.19|35.05|36.0|485853|USD|0
2012-01-04|35.72|35.94|34.06|34.47|787852|USD|1
2012-01-05|34.29|34.32|32.96|33.75|404838|USD|2
2012-01-06|33.82|34.15|31.89|32.38|624414|USD|3
2012-01-09|32.43|32.74|31.84|32.07|370731|USD|4
2012-01-10|32.88|33.5|32.59|33.09|375117|USD|5
2012-01-11|32.92|33.16|31.19|31.47|400221|USD|6
2012-01-12|31.5|32.15|31.25|31.29|265671|USD|7
2012-01-13|30.8|30.9|29.44|30.19|541790|USD|8
2012-01-17|30.35|30.82|29.69|29.86|312298|USD|9
2012-01-18|28.87|30.24|28.61|29.99|621097|USD|10
2012-01-19|30.63|30.9|29.73|29.88|762116|USD|11
2012-01-20|29.87|30.54|29.63|30.4|363561|USD|12
2012-01-23|30.54|31.54|30.51|31.07|380635|USD|13
2012-01-24|30.7|31.55|30.32|31.47|557897|USD|14
2012-01-25|31.37|33.09|31.04|32.85|542668|USD|15
2012-01-26|33.2|33.65|32.8|33.3|731450|USD|16
2012-01-27|33.28|34.35|33.04|33.77|500299|USD|17
2012-01-30|33.18|33.72|32.31|32.53|321324|USD|18
2012-01-31|32.98|32.98|30.56|31.13|626313|USD|19
2012-02-01|31.54|31.86|30.64|31.27|558088|USD|20
2012-02-02|31.27|31.64|31.07|31.47|267039|USD|21
2012-02-03|32.07|32.15|31.57|31.65|487448|USD|22
2012-02-06|31.33|31.92|31.19|31.84|280925|USD|23
2012-02-07|31.45|32.18|30.72|32.01|253139|USD|24
2012-02-08|32.17|32.84|31.6|32.73|339059|USD|25
2012-02-09|33.01|34.25|32.82|34.12|408424|USD|26
2012-02-10|33.34|33.98|33.24|33.62|439352|USD|27
2012-02-13|33.98|35.03|33.75|34.98|411514|USD|28
2012-02-14|34.85|35.33|34.59|35.19|265837|USD|29
2012-02-15|35.54|35.78|34.83|35.27|317020|USD|30
2012-02-16|35.15|36.85|34.87|36.59|453837|USD|31
2012-02-17|36.89|37.26|36.36|36.83|322071|USD|32
2012-02-21|36.84|37.37|36.76|36.96|355552|USD|33
2012-02-22|36.78|36.78|35.18|35.8|377548|USD|34
2012-02-23|35.93|36.44|35.17|36.07|255143|USD|35
2012-02-24|36.21|36.93|35.56|35.73|152058|USD|36
2012-02-27|35.44|35.52|34.87|35.09|265854|USD|37
2012-02-28|35.01|35.62|34.1|34.3|686093|USD|38
2012-02-29|34.38|34.91|32.52|32.54|548259|USD|39
2012-03-01|32.62|36.13|31.41|34.85|1067982|USD|40
2012-03-02|35.16|36.6|34.19|36.01|845447|USD|41
2012-03-05|35.91|36.74|35.01|35.45|299947|USD|42
2012-03-06|36.15|36.15|33.2|34.03|667495|USD|43
2012-03-07|34.3|35.77|33.42|35.65|438345|USD|44
2012-03-08|35.97|36.59|35.22|36.53|288663|USD|45
2012-03-09|36.55|38.19|36.18|38.13|599149|USD|46
2012-03-12|38.05|38.5|37.02|38.47|631508|USD|47
2012-03-13|38.91|38.96|36.62|38.2|720280|USD|48
2012-03-14|38.44|39.8|37.53|38.7|434000|USD|49
2012-03-15|38.84|39.37|38.4|39.25|311729|USD|50
2012-03-16|39.58|39.71|38.9|39.57|519629|USD|51
2012-03-19|39.73|40.26|39.27|40.26|373390|USD|52
2012-03-20|39.65|39.79|38.58|38.84|271511|USD|53
2012-03-21|38.84|39.4|38.38|38.65|167662|USD|54
2012-03-22|38.17|38.3|36.36|36.88|207008|USD|55
2012-03-23|37.19|39.28|36.42|38.34|437608|USD|56
2012-03-26|38.98|39.55|38.78|39.43|289376|USD|57
2012-03-27|39.35|39.63|38.44|39.03|271545|USD|58
2012-03-28|38.98|39.16|37.51|38.27|420578|USD|59
2012-03-29|37.81|38.06|36.63|37.24|245693|USD|60
2012-03-30|37.73|38.05|36.79|37.09|286973|USD|61
2012-04-02|36.88|37.46|35.7|37.33|775311|USD|62
2012-04-03|37.33|37.63|36.32|36.62|385731|USD|63
2012-04-04|36.06|36.24|35.0|35.02|336777|USD|64
2012-04-05|34.58|35.26|34.03|34.44|605392|USD|65
2012-04-09|33.58|34.28|33.07|33.77|271800|USD|66
2012-04-10|33.86|34.22|32.37|32.51|294328|USD|67
2012-04-11|33.02|33.21|32.12|32.32|314070|USD|68
2012-04-12|32.46|33.72|32.13|33.49|385583|USD|69
2012-04-13|33.42|33.57|32.06|32.2|209668|USD|70
2012-04-16|32.4|32.91|31.5|31.69|284013|USD|71
2012-04-17|32.03|32.88|31.68|32.58|267203|USD|72
2012-04-18|32.18|32.55|30.8|31.08|381386|USD|73
2012-04-19|31.17|32.47|31.1|32.21|557867|USD|74
2012-04-20|32.68|32.9|31.38|31.65|311278|USD|75
2012-04-23|30.85|31.44|30.39|30.95|428229|USD|76
2012-04-24|31.03|31.77|30.45|31.52|252069|USD|77
2012-04-25|31.97|33.41|31.86|33.21|310558|USD|78
2012-04-26|33.19|34.66|32.82|34.21|349698|USD|79
2012-04-27|34.18|34.33|33.4|34.13|306537|USD|80
2012-04-30|34.27|35.31|33.86|34.39|439156|USD|81
2012-05-01|34.58|36.03|34.07|35.22|383100|USD|82
2012-05-02|34.78|34.81|33.34|34.22|433290|USD|83
2012-05-03|34.08|34.4|32.43|32.58|212044|USD|84
2012-05-04|32.26|32.5|30.63|31.36|309335|USD|85
2012-05-07|30.8|31.58|30.28|31.07|499217|USD|86
2012-05-08|30.93|31.86|30.49|31.8|464095|USD|87
2012-05-09|31.13|31.41|29.9|30.55|737467|USD|88
2012-05-10|31.22|33.64|29.22|31.66|1061586|USD|89
2012-05-11|31.23|32.05|30.63|31.79|370403|USD|90
2012-05-14|30.65|31.54|29.37|29.5|469707|USD|91
2012-05-15|29.45|29.66|27.22|27.25|818967|USD|92
2012-05-16|26.75|26.9|25.97|26.33|6385414|USD|93
