Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|20.36|21.68|20.3|21.46|4395180|USD|0
2012-01-04|21.27|21.8|21.01|21.35|4796574|USD|1
2012-01-05|21.12|21.38|20.76|21.04|2610978|USD|2
2012-01-06|21.05|21.37|20.97|21.21|1772539|USD|3
2012-01-09|21.22|21.59|21.08|21.18|1926170|USD|4
2012-01-10|21.58|22.14|21.55|21.93|4297214|USD|5
2012-01-11|21.72|21.79|20.35|20.42|4999945|USD|6
2012-01-12|20.45|20.56|19.04|19.12|7274541|USD|7
2012-01-13|18.86|19.59|18.8|19.09|5976406|USD|8
2012-01-17|19.11|19.52|18.17|18.39|5446182|USD|9
2012-01-18|18.33|18.89|18.11|18.83|6326129|USD|10
2012-01-19|18.92|19.0|18.31|18.42|7646754|USD|11
2012-01-20|18.26|18.91|18.16|18.7|4846925|USD|12
2012-01-23|18.63|18.67|18.2|18.45|5811842|USD|13
2012-01-24|18.29|19.36|18.02|19.24|6511093|USD|14
2012-01-25|19.26|19.3|18.47|19.24|5082171|USD|15
2012-01-26|19.27|19.43|17.93|18.05|5413489|USD|16
2012-01-27|18.02|18.92|17.8|18.76|5892233|USD|17
2012-01-30|18.52|18.95|18.24|18.86|4652665|USD|18
2012-01-31|19.1|19.36|18.63|18.87|3608509|USD|19
2012-02-01|18.98|19.42|18.6|19.05|6194802|USD|20
2012-02-02|18.48|19.26|18.31|18.68|8331667|USD|21
2012-02-03|18.97|19.17|18.22|18.53|6413675|USD|22
2012-02-06|18.36|18.55|18.15|18.5|2791451|USD|23
2012-02-07|18.47|18.66|18.21|18.62|3507520|USD|24
2012-02-08|18.64|19.2|18.63|18.95|4441450|USD|25
2012-02-09|19.04|19.13|18.39|18.45|4717343|USD|26
2012-02-10|18.25|18.31|17.84|17.98|4001067|USD|27
2012-02-13|18.07|18.34|17.67|17.82|2961862|USD|28
2012-02-14|17.79|17.9|17.57|17.8|2948413|USD|29
2012-02-15|17.98|18.55|17.85|18.12|5127795|USD|30
2012-02-16|18.0|19.12|18.0|19.06|6996618|USD|31
2012-02-17|19.23|20.1|19.2|19.76|6662571|USD|32
2012-02-21|19.96|20.06|19.45|19.59|3368220|USD|33
2012-02-22|19.53|20.39|19.52|19.97|4507280|USD|34
2012-02-23|20.04|20.19|19.57|20.12|2762976|USD|35
2012-02-24|20.18|20.65|20.04|20.3|3120208|USD|36
2012-02-27|20.16|20.2|19.74|19.95|3506937|USD|37
2012-02-28|19.99|20.06|19.51|19.6|3801952|USD|38
2012-02-29|19.76|19.9|19.18|19.45|3954208|USD|39
2012-03-01|19.57|19.74|19.35|19.56|2781760|USD|40
2012-03-02|19.52|19.7|19.21|19.37|3162458|USD|41
2012-03-05|19.32|19.4|18.93|19.04|3120899|USD|42
2012-03-06|18.89|18.94|18.57|18.8|3524066|USD|43
2012-03-07|18.92|19.18|18.74|18.87|2822128|USD|44
2012-03-08|19.07|19.21|18.82|18.94|3062355|USD|45
2012-03-09|18.97|19.29|18.73|18.9|2146299|USD|46
2012-03-12|18.73|18.82|18.28|18.43|2659545|USD|47
2012-03-13|18.45|18.77|18.12|18.67|2847333|USD|48
2012-03-14|18.69|18.87|18.15|18.21|2602256|USD|49
2012-03-15|18.32|18.42|17.88|18.25|2131371|USD|50
2012-03-16|18.29|18.96|18.29|18.87|2784007|USD|51
2012-03-19|18.91|19.05|18.61|18.82|1890184|USD|52
2012-03-20|18.68|18.68|18.12|18.14|2524922|USD|53
2012-03-21|17.85|18.1|17.49|18.08|5272721|USD|54
2012-03-22|17.93|17.96|17.55|17.6|4344998|USD|55
2012-03-23|17.61|18.1|17.49|17.89|3318860|USD|56
2012-03-26|18.09|18.11|17.77|17.86|3873028|USD|57
2012-03-27|17.87|17.95|17.32|17.55|4926945|USD|58
2012-03-28|17.46|17.54|16.98|17.18|4964588|USD|59
2012-03-29|17.05|17.26|16.83|17.09|3276433|USD|60
2012-03-30|17.19|17.35|16.9|17.29|2626653|USD|61
2012-04-02|17.33|17.7|17.02|17.27|3473359|USD|62
2012-04-03|17.27|17.4|16.98|17.26|4230885|USD|63
2012-04-04|17.04|17.16|16.73|16.76|3484035|USD|64
2012-04-05|16.77|17.21|16.7|16.94|3921806|USD|65
2012-04-09|16.7|17.13|16.51|16.68|2937125|USD|66
2012-04-10|16.62|16.76|16.0|16.23|4235587|USD|67
2012-04-11|16.4|16.58|16.25|16.35|3709042|USD|68
2012-04-12|16.38|17.17|16.35|17.02|3839166|USD|69
2012-04-13|16.92|16.92|16.18|16.2|3969964|USD|70
2012-04-16|16.34|16.39|15.61|15.66|4652836|USD|71
2012-04-17|15.84|16.36|15.83|15.96|3819677|USD|72
2012-04-18|15.92|16.36|15.79|15.93|2700100|USD|73
2012-04-19|15.94|16.48|15.91|16.11|3349657|USD|74
2012-04-20|16.23|16.47|15.9|15.93|2275201|USD|75
2012-04-23|15.78|16.19|15.5|16.02|2504333|USD|76
2012-04-24|16.04|16.47|16.04|16.2|4025040|USD|77
2012-04-25|16.48|16.88|16.33|16.85|5133631|USD|78
2012-04-26|17.48|17.66|16.61|16.96|7504828|USD|79
2012-04-27|16.85|16.85|16.2|16.32|4833100|USD|80
2012-04-30|16.27|16.45|16.02|16.18|4385248|USD|81
2012-05-01|16.29|16.85|15.95|16.63|3953322|USD|82
2012-05-02|16.42|16.43|16.06|16.08|2832378|USD|83
2012-05-03|16.05|16.15|15.59|15.61|4657554|USD|84
2012-05-04|15.48|15.49|15.03|15.27|5103534|USD|85
2012-05-07|15.19|15.53|14.95|15.43|4053027|USD|86
2012-05-08|15.37|15.65|14.86|15.62|4921428|USD|87
2012-05-09|15.37|15.85|15.18|15.78|4631213|USD|88
2012-05-10|15.99|16.41|15.81|15.99|6274319|USD|89
2012-05-11|15.84|16.11|15.42|15.48|3763790|USD|90
2012-05-14|15.31|15.64|15.09|15.27|3748250|USD|91
2012-05-15|15.3|15.4|14.36|14.61|6119925|USD|92
2012-05-16|14.65|15.11|14.45|14.51|3329710|USD|93
2012-05-17|14.58|15.09|14.5|14.64|4845898|USD|94
2012-05-18|14.72|15.06|14.41|14.42|2726158|USD|95
2012-05-21|14.51|15.43|14.45|15.4|2988663|USD|96
2012-05-22|15.46|16.04|15.1|15.26|4115756|USD|97
2012-05-23|15.12|15.86|14.96|15.86|3023024|USD|98
2012-05-24|15.98|15.98|15.31|15.58|3088956|USD|99
2012-05-25|15.72|15.88|15.48|15.75|2005078|USD|100
2012-05-29|15.98|16.29|15.83|16.11|3213789|USD|101
2012-05-30|15.89|15.9|15.42|15.48|2882346|USD|102
2012-05-31|15.54|15.58|14.95|15.12|2772240|USD|103
2012-06-01|14.82|15.23|14.69|14.71|3730804|USD|104
2012-06-04|14.85|15.18|14.56|15.16|3969893|USD|105
2012-06-05|15.06|15.55|15.0|15.13|4811784|USD|106
2012-06-06|15.3|15.63|14.99|15.22|5587791|USD|107
2012-06-07|15.27|15.61|14.75|15.04|4350919|USD|108
2012-06-08|14.95|15.08|14.65|14.91|2330470|USD|109
2012-06-11|15.13|15.25|14.26|14.28|3861859|USD|110
2012-06-12|14.34|14.55|14.07|14.2|4189500|USD|111
2012-06-13|13.97|14.3|13.66|13.76|4185994|USD|112
2012-06-14|13.82|14.06|13.71|13.95|3105819|USD|113
2012-06-15|13.92|14.13|13.66|14.08|4473463|USD|114
2012-06-18|13.77|14.02|13.74|13.98|2458885|USD|115
2012-06-19|14.04|14.62|13.99|14.58|5790153|USD|116
2012-06-20|14.64|14.99|14.6|14.74|5102901|USD|117
2012-06-21|14.79|14.8|13.69|13.76|3982168|USD|118
2012-06-22|13.93|13.98|13.55|13.84|2981806|USD|119
2012-06-25|13.54|13.57|13.02|13.09|3722166|USD|120
2012-06-26|13.01|13.28|12.81|13.23|4209549|USD|121
2012-06-27|13.27|13.67|13.1|13.62|4791490|USD|122
2012-06-28|13.47|14.07|13.47|13.97|4347173|USD|123
2012-06-29|14.3|14.71|14.16|14.56|5734893|USD|124
2012-07-02|14.59|14.71|13.94|14.12|4436451|USD|125
2012-07-03|14.34|14.95|14.26|14.79|4491313|USD|126
2012-07-05|14.75|14.97|14.43|14.73|2896860|USD|127
2012-07-06|14.51|14.74|14.35|14.6|2464223|USD|128
2012-07-09|14.54|14.73|14.34|14.6|2392578|USD|129
2012-07-10|14.75|14.83|13.84|14.0|2736106|USD|130
2012-07-11|14.06|14.32|13.91|14.01|5024349|USD|131
2012-07-12|13.83|13.9|13.4|13.79|5789148|USD|132
2012-07-13|13.84|14.11|13.73|14.05|3793985|USD|133
2012-07-16|13.96|14.25|13.73|14.08|3186807|USD|134
2012-07-17|14.17|14.61|13.93|14.57|4827079|USD|135
2012-07-18|14.53|15.3|14.44|15.11|5389661|USD|136
2012-07-19|15.25|15.43|15.13|15.18|3395524|USD|137
2012-07-20|15.15|15.57|15.06|15.26|4308845|USD|138
2012-07-23|15.0|15.24|14.64|15.19|2670760|USD|139
2012-07-24|15.18|15.26|14.6|15.02|4555177|USD|140
