Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.03|3.2|3.01|3.18|142083|USD|0
2012-01-04|3.0|3.04|2.75|2.91|392402|USD|1
2012-01-05|2.89|2.96|2.86|2.91|179623|USD|2
2012-01-06|2.91|2.96|2.86|2.89|145599|USD|3
2012-01-09|2.9|2.94|2.89|2.9|150516|USD|4
2012-01-10|2.93|3.15|2.9|3.09|311000|USD|5
2012-01-11|3.07|3.08|3.01|3.07|129707|USD|6
2012-01-12|3.06|3.1|3.02|3.1|125048|USD|7
2012-01-13|3.05|3.08|3.05|3.05|81982|USD|8
2012-01-17|3.06|3.19|3.05|3.09|161602|USD|9
2012-01-18|3.09|3.23|3.08|3.23|116031|USD|10
2012-01-19|3.24|3.26|3.18|3.25|160164|USD|11
2012-01-20|3.25|3.26|3.15|3.26|136773|USD|12
2012-01-23|3.26|3.37|3.23|3.35|149312|USD|13
2012-01-24|3.31|3.35|3.22|3.34|88415|USD|14
2012-01-25|3.37|3.44|3.27|3.44|145586|USD|15
2012-01-26|3.45|3.5|3.31|3.39|223933|USD|16
2012-01-27|3.33|3.41|3.33|3.4|52577|USD|17
2012-01-30|3.35|3.39|3.31|3.36|68782|USD|18
2012-01-31|3.35|3.43|3.32|3.4|117088|USD|19
2012-02-01|3.45|3.47|3.43|3.47|144680|USD|20
2012-02-02|3.47|3.55|3.44|3.54|132222|USD|21
2012-02-03|3.58|3.64|3.51|3.6|170150|USD|22
2012-02-06|3.57|3.68|3.57|3.67|87710|USD|23
2012-02-07|3.64|3.67|3.58|3.66|113412|USD|24
2012-02-08|3.64|3.68|3.6|3.66|84019|USD|25
2012-02-09|3.67|3.81|3.62|3.77|192613|USD|26
2012-02-10|3.7|3.74|3.4|3.49|220484|USD|27
2012-02-13|3.58|3.65|3.56|3.63|119188|USD|28
2012-02-14|3.61|3.61|3.41|3.49|195888|USD|29
2012-02-15|3.53|3.55|3.4|3.44|101484|USD|30
2012-02-16|3.43|3.57|3.42|3.57|101894|USD|31
2012-02-17|3.59|3.71|3.57|3.71|175369|USD|32
2012-02-21|3.78|3.8|3.71|3.77|176631|USD|33
2012-02-22|3.79|3.79|3.65|3.68|138092|USD|34
2012-02-23|3.71|3.74|3.65|3.74|85432|USD|35
2012-02-24|3.74|3.78|3.67|3.69|82789|USD|36
2012-02-27|3.65|3.73|3.64|3.68|100035|USD|37
2012-02-28|3.68|3.7|3.57|3.61|93204|USD|38
2012-02-29|3.62|3.65|3.14|3.29|269716|USD|39
2012-03-01|3.33|3.46|3.3|3.43|148279|USD|40
2012-03-02|3.44|3.44|3.26|3.28|155211|USD|41
2012-03-05|3.25|3.3|3.21|3.27|111282|USD|42
2012-03-06|3.24|3.28|3.09|3.11|163781|USD|43
2012-03-07|3.13|3.21|3.04|3.14|103754|USD|44
2012-03-08|3.18|3.29|3.13|3.28|164437|USD|45
2012-03-09|3.28|3.44|3.26|3.34|187442|USD|46
2012-03-12|3.36|3.37|3.22|3.25|137525|USD|47
2012-03-13|3.3|3.3|3.16|3.3|264993|USD|48
2012-03-14|3.27|3.3|3.2|3.25|108944|USD|49
2012-03-15|3.25|3.28|3.15|3.22|135019|USD|50
2012-03-16|3.24|3.24|3.06|3.1|316186|USD|51
2012-03-19|3.08|3.26|3.07|3.21|137886|USD|52
2012-03-20|3.16|3.19|3.04|3.07|91520|USD|53
2012-03-21|3.07|3.08|2.85|2.86|201497|USD|54
2012-03-22|2.85|2.88|2.75|2.85|186551|USD|55
2012-03-23|2.86|3.05|2.86|3.02|127255|USD|56
2012-03-26|3.05|3.14|3.03|3.13|105468|USD|57
2012-03-27|3.15|3.15|3.05|3.06|96315|USD|58
2012-03-28|3.17|3.34|3.14|3.2|247622|USD|59
2012-03-29|3.2|3.26|3.1|3.16|140787|USD|60
2012-03-30|3.17|3.22|3.15|3.16|67024|USD|61
2012-04-02|3.16|3.16|3.1|3.14|93317|USD|62
2012-04-03|3.12|3.15|2.96|3.0|91629|USD|63
2012-04-04|2.95|2.97|2.87|2.94|96976|USD|64
2012-04-05|2.91|2.96|2.87|2.87|74710|USD|65
2012-04-09|2.82|2.82|2.7|2.7|122302|USD|66
2012-04-10|2.69|2.72|2.51|2.57|181665|USD|67
2012-04-11|2.61|2.75|2.61|2.71|101835|USD|68
2012-04-12|2.7|2.82|2.7|2.81|76054|USD|69
2012-04-13|2.78|2.78|2.65|2.67|80168|USD|70
2012-04-16|2.67|2.75|2.64|2.67|74519|USD|71
2012-04-17|2.71|2.77|2.71|2.75|56321|USD|72
2012-04-18|2.72|2.75|2.6|2.61|66612|USD|73
2012-04-19|2.6|2.72|2.57|2.62|104426|USD|74
2012-04-20|2.7|2.72|2.63|2.64|71483|USD|75
2012-04-23|2.58|2.62|2.57|2.6|69113|USD|76
2012-04-24|2.6|2.64|2.58|2.63|41915|USD|77
2012-04-25|2.67|2.76|2.66|2.75|104554|USD|78
2012-04-26|2.73|2.79|2.71|2.77|57388|USD|79
2012-04-27|2.79|2.79|2.72|2.79|80050|USD|80
2012-04-30|2.75|2.78|2.61|2.62|88652|USD|81
2012-05-01|2.62|2.77|2.62|2.67|150932|USD|82
2012-05-02|2.66|2.69|2.58|2.65|133123|USD|83
2012-05-03|2.65|2.68|2.59|2.6|191244|USD|84
2012-05-04|2.56|2.6|2.5|2.5|65025|USD|85
2012-05-07|2.45|2.59|2.38|2.51|120408|USD|86
2012-05-08|2.5|2.58|2.4|2.48|88555|USD|87
2012-05-09|2.42|2.55|2.42|2.42|102927|USD|88
2012-05-10|2.45|2.55|2.45|2.51|79233|USD|89
2012-05-11|2.5|2.53|2.35|2.39|96415|USD|90
2012-05-14|2.34|2.48|2.34|2.41|101546|USD|91
2012-05-15|2.41|2.45|2.35|2.36|98325|USD|92
2012-05-16|2.37|2.46|2.35|2.35|80550|USD|93
2012-05-17|2.37|2.43|2.35|2.35|114399|USD|94
2012-05-18|2.35|2.35|2.29|2.3|159229|USD|95
2012-05-21|2.3|2.45|2.3|2.44|99717|USD|96
2012-05-22|2.44|2.58|2.42|2.45|171416|USD|97
2012-05-23|2.41|2.43|2.33|2.43|67645|USD|98
2012-05-24|2.43|2.44|2.36|2.39|50715|USD|99
2012-05-25|2.39|2.44|2.37|2.42|64711|USD|100
2012-05-29|2.42|2.5|2.42|2.46|144610|USD|101
2012-05-30|2.39|2.44|2.35|2.38|60202|USD|102
2012-05-31|2.38|2.38|2.23|2.25|170365|USD|103
2012-06-01|2.18|2.29|2.18|2.22|121212|USD|104
2012-06-04|2.22|2.29|2.1|2.22|167063|USD|105
2012-06-05|2.23|2.28|2.23|2.24|73732|USD|106
2012-06-06|2.26|2.37|2.25|2.36|108050|USD|107
2012-06-07|2.4|2.44|2.3|2.31|91881|USD|108
2012-06-08|2.29|2.31|2.22|2.27|78715|USD|109
2012-06-11|2.29|2.34|2.2|2.21|92712|USD|110
