Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.11|9.29|9.11|9.29|4334|USD|0
2012-01-04|9.11|9.26|9.11|9.26|4840|USD|1
2012-01-05|9.27|9.3|9.27|9.3|345|USD|2
2012-01-06|10.31|10.31|9.13|9.14|1112|USD|3
2012-01-10|9.21|9.21|9.12|9.12|4290|USD|4
2012-01-12|9.13|9.13|9.13|9.13|550|USD|5
2012-01-13|9.48|9.48|9.17|9.17|2310|USD|6
2012-01-17|9.25|9.27|9.15|9.15|1540|USD|7
2012-01-18|9.31|9.31|9.15|9.15|2471|USD|8
2012-01-19|10.18|10.18|10.18|10.18|0|USD|9
2012-01-20|9.45|9.47|9.45|9.47|1046|USD|10
2012-01-23|10.46|10.46|10.46|10.46|0|USD|11
2012-01-24|9.22|9.3|9.21|9.27|10112|USD|12
2012-01-26|9.27|9.47|9.27|9.47|2803|USD|13
2012-01-27|9.43|9.46|9.32|9.46|440|USD|14
2012-01-30|9.26|9.47|9.26|9.47|220|USD|15
2012-01-31|9.47|9.48|9.44|9.48|2287|USD|16
2012-02-01|9.57|9.57|9.46|9.48|7232|USD|17
2012-02-02|9.48|10.66|9.37|10.66|11313|USD|18
2012-02-03|9.5|9.96|9.5|9.85|4950|USD|19
2012-02-06|9.93|10.21|9.9|10.06|1133|USD|20
2012-02-07|9.85|9.85|9.83|9.83|2267|USD|21
2012-02-08|9.74|9.74|9.34|9.41|5268|USD|22
2012-02-09|9.74|9.75|9.57|9.57|550|USD|23
2012-02-10|9.7|9.7|9.7|9.7|110|USD|24
2012-02-13|9.5|9.75|9.5|9.51|1528|USD|25
2012-02-14|9.34|9.48|9.34|9.42|1870|USD|26
2012-02-15|9.45|9.74|9.45|9.48|550|USD|27
2012-02-16|9.41|9.48|9.41|9.48|220|USD|28
2012-02-17|9.66|9.66|9.62|9.62|220|USD|29
2012-02-21|9.71|9.84|9.57|9.84|922|USD|30
2012-02-22|9.54|9.54|9.34|9.4|2750|USD|31
2012-02-23|9.57|9.57|9.57|9.57|1314|USD|32
2012-02-24|9.57|9.84|9.39|9.84|770|USD|33
2012-02-27|9.46|9.84|9.46|9.84|4634|USD|34
2012-02-28|9.56|9.74|9.39|9.62|7247|USD|35
2012-02-29|9.76|9.84|9.67|9.74|1870|USD|36
2012-03-01|9.73|9.84|9.49|9.57|9286|USD|37
2012-03-02|9.58|9.82|9.44|9.62|6879|USD|38
2012-03-05|9.64|9.8|9.49|9.62|1797|USD|39
2012-03-06|9.54|9.54|9.54|9.54|330|USD|40
2012-03-07|9.74|9.74|9.74|9.74|110|USD|41
2012-03-08|9.78|9.84|9.5|9.67|2530|USD|42
2012-03-09|9.76|9.84|9.75|9.84|693|USD|43
2012-03-12|9.74|9.84|9.74|9.83|879|USD|44
2012-03-13|9.83|9.84|9.83|9.84|2000|USD|45
2012-03-14|9.84|9.84|9.84|9.84|275|USD|46
2012-03-15|9.84|10.39|9.84|10.12|1650|USD|47
2012-03-16|10.07|10.07|10.07|10.07|110|USD|48
2012-03-19|10.12|10.26|10.11|10.11|1540|USD|49
2012-03-20|10.1|10.19|9.89|9.89|1540|USD|50
2012-03-21|10.1|10.3|9.89|10.12|10120|USD|51
2012-03-22|10.21|10.21|10.02|10.16|966|USD|52
2012-03-23|10.66|10.66|10.16|10.16|2851|USD|53
2012-03-26|10.27|10.31|10.17|10.31|3300|USD|54
2012-03-27|10.31|10.31|10.31|10.31|286|USD|55
2012-03-28|10.39|10.39|10.3|10.3|2860|USD|56
2012-04-02|10.38|10.39|10.11|10.34|3626|USD|57
2012-04-03|10.39|10.39|10.39|10.39|110|USD|58
2012-04-04|10.17|10.39|10.17|10.3|715|USD|59
2012-04-05|10.3|10.39|10.06|10.1|7810|USD|60
2012-04-09|10.12|10.12|10.1|10.1|2805|USD|61
2012-04-10|10.06|10.06|10.06|10.06|605|USD|62
2012-04-11|10.3|10.39|10.02|10.39|1413|USD|63
2012-04-12|10.12|10.12|10.03|10.03|1706|USD|64
2012-04-16|10.08|10.6|10.04|10.31|12101|USD|65
2012-04-17|10.6|10.63|10.16|10.36|6680|USD|66
2012-04-18|10.25|10.35|10.15|10.19|4565|USD|67
2012-04-19|10.12|10.39|10.12|10.35|2502|USD|68
2012-04-20|10.06|10.06|10.06|10.06|372|USD|69
2012-04-23|10.03|10.15|10.03|10.03|2145|USD|70
2012-04-24|10.05|10.42|10.04|10.42|1080|USD|71
2012-04-25|10.08|10.59|10.03|10.03|10914|USD|72
2012-04-26|10.03|10.25|10.03|10.25|877|USD|73
2012-04-27|10.12|10.21|9.8|10.02|4921|USD|74
2012-04-30|10.06|10.08|10.0|10.08|2369|USD|75
2012-05-01|10.07|10.58|10.07|10.38|1954|USD|76
2012-05-02|10.35|10.39|10.11|10.11|1244|USD|77
