Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|38.24|38.95|37.98|38.64|22151|USD|0
2012-01-04|38.62|38.62|37.89|37.89|7352|USD|1
2012-01-05|37.9|38.46|37.5|38.4|33214|USD|2
2012-01-06|38.21|38.41|37.77|37.77|12273|USD|3
2012-01-09|37.94|38.53|37.63|38.26|14469|USD|4
2012-01-10|38.85|39.33|38.61|39.1|26354|USD|5
2012-01-11|38.97|39.23|38.64|39.1|15240|USD|6
2012-01-12|39.02|39.15|38.38|39.15|3001|USD|7
2012-01-13|38.5|39.25|38.32|38.65|11057|USD|8
2012-01-17|38.65|38.87|38.19|38.4|16230|USD|9
2012-01-18|38.02|38.58|38.0|38.58|9361|USD|10
2012-01-19|38.75|38.75|38.01|38.21|7677|USD|11
2012-01-20|37.5|38.73|37.5|38.54|14844|USD|12
2012-01-23|38.68|38.68|37.9|38.49|9523|USD|13
2012-01-24|38.21|38.76|38.1|38.52|15929|USD|14
2012-01-25|38.58|39.4|38.09|39.4|19426|USD|15
2012-01-26|39.46|39.46|38.56|38.88|23382|USD|16
2012-01-27|38.64|39.19|38.46|39.05|21442|USD|17
2012-01-30|38.58|39.18|38.18|38.94|9898|USD|18
2012-01-31|38.64|39.0|38.63|38.74|23512|USD|19
2012-02-01|38.77|39.5|38.55|39.19|16904|USD|20
2012-02-02|39.2|39.4|38.64|39.09|16662|USD|21
2012-02-03|39.5|40.0|39.27|39.99|19914|USD|22
2012-02-06|39.81|39.81|38.75|38.97|9543|USD|23
2012-02-07|38.99|38.99|38.61|38.79|2684|USD|24
2012-02-08|39.01|39.01|38.56|38.74|5869|USD|25
2012-02-09|38.67|38.73|38.44|38.44|2243|USD|26
2012-02-10|38.29|38.75|38.01|38.17|5127|USD|27
2012-02-13|38.27|39.75|38.19|39.03|14251|USD|28
2012-02-14|38.9|39.1|38.0|38.15|13354|USD|29
2012-02-15|38.43|38.43|37.15|37.41|6913|USD|30
2012-02-16|37.6|38.98|37.6|38.56|4926|USD|31
2012-02-17|38.65|38.98|38.12|38.8|7423|USD|32
2012-02-21|38.99|38.99|38.06|38.21|2257|USD|33
2012-02-22|38.09|38.39|37.19|37.39|3222|USD|34
2012-02-23|37.33|37.63|37.0|37.5|11944|USD|35
2012-02-24|37.46|37.53|37.0|37.06|3192|USD|36
2012-02-27|36.92|37.15|36.5|36.95|4055|USD|37
2012-02-28|36.81|37.15|36.3|36.7|36611|USD|38
2012-02-29|36.63|36.91|34.83|35.17|16685|USD|39
2012-03-01|35.28|35.86|35.22|35.25|14976|USD|40
2012-03-02|35.37|35.38|34.59|34.6|14293|USD|41
2012-03-05|34.56|35.14|34.56|35.13|14258|USD|42
2012-03-06|34.99|36.19|34.99|35.83|9792|USD|43
2012-03-07|36.0|36.35|36.0|36.35|5771|USD|44
2012-03-08|36.52|37.74|36.51|37.47|3305|USD|45
