Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.39|3.49|3.39|3.48|28133|USD|0
2012-01-04|3.47|3.51|3.44|3.5|5639|USD|1
2012-01-05|3.54|3.64|3.54|3.63|5600|USD|2
2012-01-06|3.5|3.63|3.5|3.63|4097|USD|3
2012-01-09|3.59|3.76|3.57|3.69|9408|USD|4
2012-01-10|3.71|3.95|3.71|3.89|24685|USD|5
2012-01-11|3.84|3.95|3.84|3.93|11139|USD|6
2012-01-12|3.98|3.98|3.89|3.93|24781|USD|7
2012-01-13|3.95|3.95|3.78|3.89|25396|USD|8
2012-01-17|3.89|3.94|3.89|3.93|39966|USD|9
2012-01-18|3.92|3.94|3.91|3.93|43601|USD|10
2012-01-19|3.93|3.93|3.88|3.91|7100|USD|11
2012-01-20|3.89|3.89|3.89|3.89|960|USD|12
2012-01-23|3.89|3.89|3.77|3.8|9100|USD|13
2012-01-24|3.8|3.88|3.53|3.53|24940|USD|14
2012-01-25|3.6|3.72|3.51|3.63|20634|USD|15
2012-01-26|3.63|3.76|3.63|3.72|26650|USD|16
2012-01-27|3.7|3.8|3.69|3.75|9028|USD|17
2012-01-30|3.73|3.77|3.73|3.76|13749|USD|18
2012-01-31|3.97|3.97|3.87|3.87|11912|USD|19
2012-02-01|3.86|3.89|3.83|3.88|7300|USD|20
2012-02-02|3.92|3.92|3.84|3.84|6650|USD|21
2012-02-03|3.91|3.91|3.84|3.84|7525|USD|22
2012-02-06|3.84|3.91|3.84|3.84|7442|USD|23
2012-02-07|3.9|4.11|3.9|4.09|52684|USD|24
2012-02-08|4.08|4.08|3.94|4.03|322156|USD|25
2012-02-09|3.95|4.04|3.95|4.0|22733|USD|26
2012-02-10|3.99|3.99|3.95|3.98|5409|USD|27
2012-02-13|3.99|3.99|3.95|3.99|12356|USD|28
2012-02-14|3.98|3.98|3.89|3.98|33150|USD|29
2012-02-15|3.96|3.99|3.94|3.94|24900|USD|30
2012-02-16|3.94|3.98|3.94|3.95|21400|USD|31
2012-02-17|3.95|3.98|3.95|3.98|13000|USD|32
2012-02-21|3.99|3.99|3.97|3.99|43753|USD|33
2012-02-22|3.99|3.99|3.95|3.95|14582|USD|34
2012-02-23|3.96|3.97|3.95|3.95|36947|USD|35
2012-02-24|3.95|3.97|3.94|3.95|13454|USD|36
2012-02-27|3.94|3.99|3.94|3.97|94063|USD|37
2012-02-28|3.97|3.97|3.94|3.94|9233|USD|38
2012-02-29|3.94|4.11|3.94|3.99|31287|USD|39
2012-03-01|3.99|4.05|3.99|4.04|7760|USD|40
2012-03-02|4.01|4.04|4.0|4.03|8159|USD|41
2012-03-05|4.02|4.26|4.01|4.16|99375|USD|42
2012-03-06|4.17|4.24|4.17|4.18|22019|USD|43
2012-03-07|4.16|4.18|4.11|4.13|208511|USD|44
2012-03-08|4.16|4.16|4.12|4.15|7313|USD|45
2012-03-09|4.14|4.16|4.12|4.13|21280|USD|46
2012-03-12|4.02|4.15|4.02|4.15|10850|USD|47
