Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|55.8|56.36|55.31|55.53|57137|USD|0
2012-01-04|55.14|55.79|54.65|55.55|68360|USD|1
2012-01-05|55.37|57.19|55.15|57.14|121438|USD|2
2012-01-06|56.36|57.16|56.09|56.74|117754|USD|3
2012-01-09|56.44|57.96|56.33|57.91|80393|USD|4
2012-01-10|58.22|59.59|57.94|59.04|203991|USD|5
2012-01-11|58.79|59.06|58.03|58.59|162495|USD|6
2012-01-12|58.61|58.87|58.0|58.83|118593|USD|7
2012-01-13|58.22|59.18|57.8|58.76|105391|USD|8
2012-01-17|59.0|59.0|58.06|58.28|118915|USD|9
2012-01-18|57.92|58.2|57.5|58.19|98439|USD|10
2012-01-19|58.23|58.53|57.66|58.45|54451|USD|11
2012-01-20|58.16|58.95|57.61|58.62|90439|USD|12
2012-01-23|58.32|58.95|58.01|58.1|60668|USD|13
2012-01-24|57.69|58.0|57.41|57.62|81194|USD|14
2012-01-25|57.48|58.04|57.37|57.59|43766|USD|15
2012-01-26|58.01|58.16|55.38|56.15|97899|USD|16
2012-01-27|56.02|56.6|55.88|56.22|83441|USD|17
2012-01-30|55.54|56.2|55.54|56.17|37742|USD|18
2012-01-31|56.31|56.48|55.23|55.7|95065|USD|19
2012-02-01|54.56|54.73|53.07|53.29|284918|USD|20
2012-02-02|53.4|53.74|52.58|53.6|116793|USD|21
2012-02-03|53.91|54.42|53.58|54.42|141056|USD|22
2012-02-06|54.02|54.45|53.39|53.67|98153|USD|23
2012-02-07|53.28|53.83|52.99|53.05|94796|USD|24
2012-02-08|53.04|53.52|52.75|53.37|124052|USD|25
2012-02-09|53.28|53.47|52.93|53.37|62245|USD|26
2012-02-10|52.88|53.37|52.7|53.05|99151|USD|27
2012-02-13|53.11|53.13|52.72|53.04|88296|USD|28
2012-02-14|52.94|52.94|52.1|52.56|227573|USD|29
2012-02-15|52.63|52.96|52.23|52.67|137320|USD|30
2012-02-16|52.63|53.96|52.39|53.89|118952|USD|31
2012-02-17|54.11|54.13|53.58|53.95|85863|USD|32
2012-02-21|53.95|54.2|53.47|54.1|82719|USD|33
2012-02-22|54.0|54.0|52.76|52.77|78702|USD|34
2012-02-23|52.99|54.01|52.5|54.0|97715|USD|35
2012-02-24|53.94|53.96|53.39|53.82|100350|USD|36
2012-02-27|53.62|54.33|53.2|54.1|51439|USD|37
2012-02-28|54.22|54.22|53.33|53.52|114024|USD|38
2012-02-29|53.79|54.23|53.55|53.68|73066|USD|39
2012-03-01|53.68|54.24|53.38|53.99|124764|USD|40
2012-03-02|53.57|54.06|53.21|53.35|81057|USD|41
2012-03-05|53.12|53.72|53.02|53.56|63602|USD|42
2012-03-06|53.12|53.12|52.53|52.69|107269|USD|43
2012-03-07|52.94|53.7|52.63|53.44|62930|USD|44
2012-03-08|53.66|54.05|53.4|53.97|49918|USD|45
2012-03-09|53.83|55.05|53.83|54.88|37542|USD|46
2012-03-12|54.89|54.94|54.12|54.21|81392|USD|47
2012-03-13|54.49|55.8|54.49|55.76|110242|USD|48
2012-03-14|55.62|56.15|54.94|55.58|71429|USD|49
2012-03-15|55.72|56.69|55.11|56.6|114280|USD|50
2012-03-16|56.63|58.0|56.44|57.27|91429|USD|51
2012-03-19|57.29|57.81|56.52|57.4|45218|USD|52
2012-03-20|57.13|57.3|56.6|56.96|23104|USD|53
2012-03-21|57.15|57.36|56.5|57.09|35463|USD|54
