Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|15.45|15.57|15.18|15.36|58633|USD|0
2012-01-04|15.21|15.33|15.09|15.12|32389|USD|1
2012-01-05|15.0|15.42|14.94|15.3|32537|USD|2
2012-01-06|15.3|15.45|15.06|15.27|44848|USD|3
2012-01-09|15.39|15.51|15.21|15.27|36531|USD|4
2012-01-10|15.57|15.72|15.39|15.66|44858|USD|5
2012-01-11|15.57|15.72|15.36|15.69|28012|USD|6
2012-01-12|15.81|15.81|15.39|15.75|20317|USD|7
2012-01-13|15.48|15.6|15.36|15.51|23609|USD|8
2012-01-17|15.63|15.78|15.39|15.45|49332|USD|9
2012-01-18|15.27|15.72|15.24|15.63|42516|USD|10
2012-01-19|15.72|15.72|15.45|15.57|24764|USD|11
2012-01-20|15.54|15.81|15.51|15.69|63693|USD|12
2012-01-23|15.66|15.84|15.54|15.63|17053|USD|13
2012-01-24|15.57|15.87|15.54|15.78|41417|USD|14
2012-01-25|15.45|15.66|15.42|15.63|50366|USD|15
2012-01-26|15.63|15.63|15.21|15.36|50882|USD|16
2012-01-27|15.33|15.6|15.21|15.6|40766|USD|17
2012-01-30|15.39|15.48|15.18|15.33|31326|USD|18
2012-01-31|15.39|15.51|14.97|15.03|46849|USD|19
2012-02-01|15.18|15.54|15.15|15.48|79461|USD|20
2012-02-02|15.51|15.63|15.21|15.51|44124|USD|21
2012-02-03|15.72|15.9|15.54|15.87|75828|USD|22
2012-02-06|15.78|15.78|15.54|15.63|24157|USD|23
2012-02-07|15.63|15.63|15.42|15.42|35932|USD|24
2012-02-08|15.48|15.63|15.21|15.45|78948|USD|25
2012-02-09|15.54|15.6|15.24|15.27|49377|USD|26
2012-02-10|15.12|15.45|15.03|15.03|41815|USD|27
2012-02-13|15.21|15.27|15.06|15.15|34803|USD|28
2012-02-14|15.06|15.06|14.79|14.94|38351|USD|29
2012-02-15|15.0|15.0|14.61|14.67|72724|USD|30
2012-02-16|14.67|15.27|14.67|15.15|44845|USD|31
2012-02-17|14.73|15.03|14.73|15.03|47954|USD|32
2012-02-21|15.03|15.12|14.76|14.76|35683|USD|33
2012-02-22|14.76|14.76|14.4|14.46|40040|USD|34
2012-02-23|14.55|15.15|14.55|15.03|53722|USD|35
2012-02-24|14.97|15.03|14.58|14.67|31923|USD|36
2012-02-27|14.52|15.0|14.43|14.64|45021|USD|37
2012-02-28|14.67|14.96|14.46|14.76|39785|USD|38
2012-02-29|14.82|14.94|14.46|14.52|65424|USD|39
2012-03-01|14.58|14.85|14.52|14.52|52749|USD|40
2012-03-02|14.58|14.76|13.74|13.89|79219|USD|41
2012-03-05|13.89|14.13|13.86|14.1|19883|USD|42
2012-03-06|13.86|14.25|13.86|13.89|51578|USD|43
2012-03-07|13.98|14.25|13.92|13.95|51211|USD|44
2012-03-08|14.1|14.34|13.68|13.95|35657|USD|45
2012-03-09|13.98|14.46|13.98|14.16|54660|USD|46
2012-03-12|14.13|14.34|14.1|14.25|18753|USD|47
2012-03-13|14.43|14.79|14.31|14.73|44354|USD|48
2012-03-14|14.67|14.79|14.43|14.46|60384|USD|49
2012-03-15|14.52|14.58|14.31|14.49|30766|USD|50
2012-03-16|14.55|14.73|14.49|14.7|104994|USD|51
2012-03-19|14.7|15.18|14.61|15.12|56266|USD|52
2012-03-20|15.09|15.15|14.76|14.91|31139|USD|53
2012-03-21|15.0|15.0|14.7|14.82|21630|USD|54
2012-03-22|14.61|14.67|14.28|14.46|40057|USD|55
2012-03-23|14.37|14.79|14.37|14.79|33530|USD|56
2012-03-26|14.94|15.21|14.65|15.18|47899|USD|57
2012-03-27|15.18|15.3|15.0|15.09|27803|USD|58
2012-03-28|15.06|15.21|14.85|15.06|35347|USD|59
2012-03-29|14.91|15.0|14.55|14.85|32266|USD|60
2012-03-30|15.03|15.03|14.67|14.79|61073|USD|61
2012-04-02|14.7|15.3|14.61|15.3|60141|USD|62
2012-04-03|15.21|15.3|15.03|15.21|45933|USD|63
2012-04-04|14.97|15.06|14.61|14.61|38109|USD|64
2012-04-05|14.49|14.76|14.4|14.55|31070|USD|65
2012-04-09|14.25|14.34|13.98|14.01|46460|USD|66
2012-04-10|14.04|14.16|13.65|13.68|66742|USD|67
2012-04-11|13.89|13.98|13.74|13.89|42205|USD|68
2012-04-12|13.89|14.13|13.68|14.07|49253|USD|69
2012-04-13|13.95|14.01|13.53|13.56|44781|USD|70
2012-04-16|13.59|14.07|13.59|13.83|26555|USD|71
2012-04-17|13.98|14.19|13.94|14.04|37329|USD|72
2012-04-18|13.77|13.86|13.53|13.62|42012|USD|73
2012-04-19|13.62|13.77|13.5|13.5|33804|USD|74
2012-04-20|14.04|14.04|13.62|13.83|49199|USD|75
2012-04-23|13.53|13.74|13.53|13.62|49898|USD|76
2012-04-24|13.59|14.1|13.59|14.04|20973|USD|77
2012-04-25|14.19|14.61|14.01|14.46|38185|USD|78
2012-04-26|14.37|14.61|14.16|14.19|41695|USD|79
2012-04-27|14.19|14.55|14.16|14.55|55187|USD|80
2012-04-30|14.52|14.52|13.89|13.92|42610|USD|81
2012-05-01|13.89|14.28|13.8|13.89|58767|USD|82
2012-05-02|13.74|13.92|13.56|13.65|48065|USD|83
2012-05-03|13.59|13.65|13.5|13.5|55884|USD|84
2012-05-04|13.5|13.59|13.26|13.29|59595|USD|85
2012-05-07|13.29|13.65|13.26|13.53|90722|USD|86
