Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.66|9.91|9.61|9.86|30987|USD|0
2012-01-04|9.77|9.77|9.6|9.72|18556|USD|1
2012-01-05|9.62|9.84|9.62|9.83|16679|USD|2
2012-01-06|9.71|9.77|9.6|9.61|23844|USD|3
2012-01-09|9.61|9.69|9.41|9.48|25616|USD|4
2012-01-10|9.59|9.65|9.45|9.65|26448|USD|5
2012-01-11|9.55|9.72|9.46|9.72|22417|USD|6
2012-01-12|9.74|9.85|9.54|9.79|9247|USD|7
2012-01-13|9.63|9.78|9.63|9.72|17556|USD|8
2012-01-17|9.77|9.78|9.51|9.55|18060|USD|9
2012-01-18|9.57|9.89|9.5|9.86|24738|USD|10
2012-01-19|9.8|9.8|9.56|9.68|17146|USD|11
2012-01-20|9.69|9.77|9.63|9.76|13786|USD|12
2012-01-23|9.72|9.72|9.51|9.57|15292|USD|13
2012-01-24|9.56|9.73|9.45|9.7|26315|USD|14
2012-01-25|9.61|9.8|9.59|9.75|14782|USD|15
2012-01-26|9.75|9.75|9.45|9.63|20987|USD|16
2012-01-27|9.49|9.55|8.84|9.01|34306|USD|17
2012-01-30|8.93|9.0|8.76|8.83|34219|USD|18
2012-01-31|8.89|8.97|8.67|8.75|54903|USD|19
2012-02-01|8.78|9.04|8.67|9.0|34420|USD|20
2012-02-02|9.02|9.26|8.86|9.18|16313|USD|21
2012-02-03|9.28|9.4|9.09|9.35|38740|USD|22
2012-02-06|9.33|9.35|9.18|9.28|6052|USD|23
2012-02-07|9.24|9.24|8.84|8.87|14548|USD|24
2012-02-08|8.91|9.03|8.9|9.01|12060|USD|25
2012-02-09|9.01|9.01|8.86|8.91|19379|USD|26
2012-02-10|8.9|9.02|8.82|8.85|24144|USD|27
2012-02-13|8.93|8.93|8.88|8.9|6371|USD|28
2012-02-14|8.9|8.96|8.88|8.9|26801|USD|29
2012-02-15|8.95|8.95|8.79|8.8|17055|USD|30
2012-02-16|8.89|8.98|8.83|8.95|9840|USD|31
2012-02-17|8.99|8.99|8.86|8.88|9841|USD|32
2012-02-21|8.88|8.88|8.68|8.68|18422|USD|33
2012-02-22|8.71|8.71|8.51|8.51|10635|USD|34
2012-02-23|8.53|8.53|8.25|8.49|26108|USD|35
2012-02-24|8.4|8.41|8.29|8.37|8756|USD|36
2012-02-27|8.34|8.34|8.18|8.22|14093|USD|37
2012-02-28|8.21|8.27|8.11|8.11|6116|USD|38
2012-02-29|8.12|8.14|7.87|7.87|28483|USD|39
2012-03-01|7.84|8.0|7.84|7.84|47182|USD|40
2012-03-02|7.88|7.9|7.5|7.5|30217|USD|41
2012-03-05|7.5|7.53|7.34|7.49|10841|USD|42
2012-03-06|7.46|7.46|7.33|7.39|30068|USD|43
2012-03-07|7.46|7.46|7.38|7.43|16357|USD|44
2012-03-08|7.44|7.44|7.32|7.4|41458|USD|45
2012-03-09|7.42|7.54|7.42|7.51|48842|USD|46
2012-03-12|7.51|7.51|7.38|7.43|22755|USD|47
2012-03-13|7.48|7.58|7.45|7.58|32868|USD|48
2012-03-14|7.98|7.98|7.62|7.66|15979|USD|49
2012-03-15|7.71|7.78|7.67|7.77|14317|USD|50
2012-03-16|7.78|7.87|7.7|7.72|42062|USD|51
2012-03-19|7.71|7.91|7.56|7.82|35701|USD|52
2012-03-20|7.77|7.81|7.71|7.72|18588|USD|53
2012-03-21|7.77|7.8|7.55|7.56|24124|USD|54
2012-03-22|7.52|7.55|7.5|7.5|11072|USD|55
2012-03-23|7.5|7.58|7.46|7.54|27794|USD|56
2012-03-26|7.57|7.75|7.55|7.62|27779|USD|57
2012-03-27|7.61|7.65|7.32|7.37|38645|USD|58
2012-03-28|7.39|7.48|7.39|7.41|24780|USD|59
2012-03-29|7.38|7.59|7.38|7.52|67656|USD|60
2012-03-30|7.55|7.55|7.43|7.45|38414|USD|61
2012-04-02|7.42|7.69|7.33|7.69|90412|USD|62
2012-04-03|7.65|7.72|7.53|7.68|21076|USD|63
2012-04-04|7.59|7.7|7.55|7.61|14828|USD|64
2012-04-05|7.63|7.7|7.53|7.68|17037|USD|65
2012-04-09|7.55|7.7|7.51|7.59|24549|USD|66
2012-04-10|7.58|7.63|7.5|7.5|20465|USD|67
2012-04-11|7.6|7.67|7.51|7.66|29498|USD|68
2012-04-12|7.62|7.79|7.59|7.7|13859|USD|69
2012-04-13|7.65|7.65|7.33|7.33|18369|USD|70
2012-04-16|7.35|7.63|7.35|7.59|4989|USD|71
2012-04-17|7.68|7.68|7.41|7.44|23983|USD|72
2012-04-18|7.4|7.4|7.23|7.24|21207|USD|73
2012-04-19|7.25|7.4|7.1|7.1|18709|USD|74
2012-04-20|7.31|7.46|7.21|7.42|26971|USD|75
2012-04-23|7.29|7.58|7.22|7.5|27365|USD|76
2012-04-24|7.58|7.93|7.58|7.93|25962|USD|77
2012-04-25|7.97|8.4|7.97|8.35|38183|USD|78
2012-04-26|8.3|8.45|8.27|8.35|22954|USD|79
2012-04-27|8.4|8.55|8.32|8.49|20551|USD|80
2012-04-30|8.45|8.73|8.3|8.35|38226|USD|81
2012-05-01|8.31|8.45|7.58|8.33|53031|USD|82
2012-05-02|8.26|8.45|7.94|8.15|23187|USD|83
2012-05-03|8.05|8.12|7.75|7.8|18770|USD|84
2012-05-04|7.76|8.05|7.28|7.76|28997|USD|85
2012-05-07|7.73|7.98|7.36|7.87|14407|USD|86
2012-05-08|7.8|8.49|7.68|8.21|8911|USD|87
2012-05-09|8.15|8.15|7.79|7.8|10324|USD|88
2012-05-10|7.86|7.86|7.45|7.61|24134|USD|89
2012-05-11|7.53|7.53|7.38|7.4|25705|USD|90
2012-05-14|7.35|7.39|7.21|7.25|10349|USD|91
2012-05-15|7.2|7.44|7.2|7.25|10057|USD|92
2012-05-16|7.33|7.33|6.8|6.87|62378|USD|93
2012-05-17|6.85|6.86|6.52|6.69|67451|USD|94
2012-05-18|6.6|6.74|6.51|6.65|36565|USD|95
2012-05-21|6.68|6.77|6.55|6.77|27852|USD|96
2012-05-22|6.77|6.87|6.4|6.51|65256|USD|97
2012-05-23|6.43|6.7|6.35|6.65|35582|USD|98
2012-05-24|6.67|6.69|6.45|6.68|78059|USD|99
2012-05-25|6.66|6.83|6.59|6.76|49235|USD|100
2012-05-29|6.78|6.84|6.64|6.69|53738|USD|101
2012-05-30|6.68|6.84|6.61|6.67|31577|USD|102
2012-05-31|6.64|6.89|6.6|6.72|278656|USD|103
2012-06-01|6.63|6.85|6.63|6.71|42072|USD|104
2012-06-04|6.77|7.02|6.77|7.0|41578|USD|105
2012-06-05|6.94|7.2|6.94|7.05|58688|USD|106
2012-06-06|7.14|7.33|7.02|7.31|30634|USD|107
2012-06-07|7.33|7.33|7.07|7.14|27236|USD|108
2012-06-08|7.14|7.59|7.04|7.27|48411|USD|109
2012-06-11|7.37|7.37|6.81|6.94|46591|USD|110
2012-06-12|7.02|7.19|6.99|7.14|22811|USD|111
2012-06-13|7.11|7.15|6.62|6.71|20957|USD|112
2012-06-14|6.7|6.96|6.58|6.72|35177|USD|113
2012-06-15|6.71|7.01|6.66|6.97|56936|USD|114
2012-06-18|6.91|6.98|6.57|6.66|68648|USD|115
2012-06-19|6.61|6.81|6.61|6.79|38144|USD|116
2012-06-20|6.76|6.9|6.65|6.83|15418|USD|117
2012-06-21|6.8|6.8|6.52|6.58|27929|USD|118
2012-06-22|6.59|6.85|6.59|6.77|74220|USD|119
2012-06-25|6.64|6.8|6.55|6.6|16899|USD|120
