Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-02-21|10.91|10.91|10.91|10.91|136|USD|0
2012-02-22|10.91|10.91|10.91|10.91|220|USD|1
2012-02-27|10.0|10.0|10.0|10.0|220|USD|2
2012-02-29|9.32|9.32|9.32|9.32|956|USD|3
2012-03-09|9.27|9.27|9.27|9.27|550|USD|4
2012-04-11|9.32|9.32|9.32|9.32|239|USD|5
2012-04-24|11.14|11.14|11.14|11.14|110|USD|6
2012-05-03|10.91|10.91|10.91|10.91|275|USD|7
2012-05-07|10.91|11.36|10.91|11.36|440|USD|8
2012-05-08|11.82|11.82|10.0|10.0|385|USD|9
2012-05-15|11.36|11.36|11.36|11.36|398|USD|10
2012-05-22|11.36|11.36|11.36|11.36|110|USD|11
2012-06-01|10.0|10.0|10.0|10.0|144|USD|12
2012-06-21|10.0|10.0|10.0|10.0|440|USD|13
2012-06-26|10.68|10.82|10.02|10.82|1553|USD|14
2012-06-27|10.68|10.68|10.02|10.02|1375|USD|15
2012-06-28|10.85|10.85|10.68|10.68|670|USD|16
2012-06-29|10.68|10.68|10.68|10.68|330|USD|17
2012-07-03|11.3|11.3|11.3|11.3|110|USD|18
2012-07-05|11.82|11.82|11.82|11.82|110|USD|19
2012-07-13|10.87|10.87|10.09|10.68|1719|USD|20
2012-07-19|10.45|10.45|10.45|10.45|137|USD|21
2012-07-25|10.45|10.45|10.14|10.14|733|USD|22
2012-07-26|10.36|10.36|10.36|10.36|110|USD|23
2012-07-31|10.91|10.91|10.68|10.68|1320|USD|24
2012-08-01|10.82|10.91|10.82|10.91|770|USD|25
2012-08-06|11.82|11.82|11.36|11.36|1025|USD|26
2012-08-07|11.82|11.82|11.82|11.82|110|USD|27
2012-08-16|11.82|11.82|11.82|11.82|330|USD|28
2012-08-29|12.05|12.05|12.05|12.05|1100|USD|29
2012-08-30|12.05|12.05|12.05|12.05|110|USD|30
2012-09-04|12.05|12.05|12.05|12.05|1874|USD|31
2012-09-07|12.73|12.73|12.73|12.73|1100|USD|32
2012-09-18|12.73|12.73|12.73|12.73|2200|USD|33
2012-09-25|12.73|12.73|12.73|12.73|550|USD|34
2012-09-28|12.73|12.73|12.73|12.73|550|USD|35
2012-10-02|12.73|12.73|12.73|12.73|442|USD|36
2012-10-04|12.14|12.14|12.14|12.14|110|USD|37
2012-10-05|12.73|12.73|12.73|12.73|110|USD|38
2012-10-16|12.73|12.73|12.73|12.73|2354|USD|39
2012-10-19|12.73|12.73|12.73|12.73|220|USD|40
2012-10-23|12.73|12.73|12.73|12.73|880|USD|41
2012-10-31|15.45|16.59|15.45|16.59|220|USD|42
2012-11-07|15.45|15.45|13.63|13.64|2101|USD|43
2012-11-12|13.68|13.68|13.68|13.68|110|USD|44
2012-11-13|13.21|14.5|13.17|14.5|770|USD|45
2012-11-14|13.27|13.27|13.27|13.27|220|USD|46
2012-11-15|13.35|13.35|13.27|13.27|330|USD|47
2012-11-19|13.45|13.45|12.84|12.84|503|USD|48
2012-11-20|13.64|13.64|13.64|13.64|294358|USD|49
2012-11-26|13.6|13.6|13.6|13.6|220|USD|50
2012-11-27|13.58|13.58|13.58|13.58|2200|USD|51
2012-11-28|13.59|13.64|13.59|13.64|2601|USD|52
2012-11-29|12.73|12.73|12.73|12.73|59619|USD|53
2012-11-30|13.82|14.18|13.18|13.82|2310|USD|54
2012-12-04|13.01|13.63|12.74|12.74|7437|USD|55
2012-12-05|12.73|12.95|12.73|12.95|14741|USD|56
2012-12-06|12.73|12.73|12.64|12.64|946|USD|57
2012-12-07|12.59|12.73|12.14|12.35|3818|USD|58
2012-12-10|12.14|12.14|11.91|11.91|440|USD|59
2012-12-11|11.82|12.36|11.82|12.36|2420|USD|60
2012-12-12|12.25|12.9|12.25|12.73|3520|USD|61
2012-12-13|12.42|12.61|12.42|12.5|1870|USD|62
