Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.99|6.99|6.81|6.94|486|USD|0
2012-01-05|6.91|7.49|6.91|7.49|8193|USD|1
2012-01-06|7.73|7.87|7.29|7.29|2963|USD|2
2012-01-09|7.31|7.32|7.31|7.32|1121|USD|3
2012-01-10|7.69|7.69|7.4|7.4|829|USD|4
2012-01-11|7.37|7.49|7.28|7.28|2519|USD|5
2012-01-13|7.24|7.24|7.24|7.24|869|USD|6
2012-01-17|7.45|7.92|7.42|7.92|10795|USD|7
2012-01-18|7.85|8.14|7.85|8.14|7220|USD|8
2012-01-19|8.06|8.14|8.06|8.14|3975|USD|9
2012-01-20|8.06|8.19|8.06|8.18|3495|USD|10
2012-01-23|8.19|8.19|8.1|8.19|4011|USD|11
2012-01-24|7.9|8.19|7.79|8.19|5501|USD|12
2012-01-25|8.06|8.19|8.0|8.19|1485|USD|13
2012-01-26|8.19|8.33|8.13|8.33|14877|USD|14
2012-01-27|8.43|8.43|8.06|8.42|7797|USD|15
2012-01-30|8.36|8.42|8.36|8.42|1969|USD|16
2012-01-31|8.41|8.43|8.23|8.43|3552|USD|17
2012-02-01|8.23|8.39|8.23|8.39|3890|USD|18
2012-02-02|8.43|8.43|8.31|8.43|2264|USD|19
2012-02-03|8.51|8.51|8.4|8.51|1884|USD|20
2012-02-06|8.46|8.47|8.31|8.47|2928|USD|21
2012-02-07|8.47|8.6|8.47|8.51|4189|USD|22
2012-02-08|8.56|8.6|8.35|8.57|4313|USD|23
2012-02-09|8.39|8.58|8.36|8.49|4451|USD|24
2012-02-10|8.52|8.52|8.27|8.32|3345|USD|25
2012-02-13|8.4|8.47|8.27|8.47|6928|USD|26
2012-02-14|8.47|8.56|8.46|8.56|5348|USD|27
2012-02-15|8.56|8.57|8.42|8.57|13110|USD|28
2012-02-16|8.56|8.58|8.48|8.58|1337|USD|29
2012-02-17|8.58|8.84|8.54|8.84|5092|USD|30
2012-02-21|8.82|8.84|8.72|8.84|4108|USD|31
