Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.14|5.14|4.97|4.97|2995|USD|0
2012-01-04|4.99|5.0|4.99|5.0|7400|USD|1
2012-01-05|5.1|5.1|5.0|5.0|300|USD|2
2012-01-10|5.04|5.15|5.04|5.14|3500|USD|3
2012-01-11|5.15|5.15|5.15|5.15|2000|USD|4
2012-01-12|5.05|5.05|5.05|5.05|1600|USD|5
2012-01-17|5.09|5.1|4.91|4.91|1500|USD|6
2012-01-18|5.05|5.15|5.05|5.15|5200|USD|7
2012-01-19|5.11|5.4|5.11|5.38|3724|USD|8
2012-01-20|5.35|5.38|5.35|5.38|801|USD|9
2012-01-24|5.38|5.38|5.38|5.38|300|USD|10
2012-01-26|5.38|5.4|5.38|5.4|4148|USD|11
2012-01-27|5.55|5.55|5.55|5.55|100|USD|12
2012-01-30|5.59|5.6|5.58|5.6|2000|USD|13
2012-01-31|5.6|5.75|5.6|5.75|10960|USD|14
2012-02-01|5.75|5.75|5.47|5.56|6840|USD|15
2012-02-02|5.6|5.6|5.6|5.6|1100|USD|16
2012-02-06|5.61|5.62|5.0|5.6|6901|USD|17
2012-02-07|5.59|5.73|5.56|5.73|5300|USD|18
2012-02-09|5.69|5.75|5.69|5.75|781|USD|19
2012-02-10|5.62|5.62|5.5|5.6|22900|USD|20
2012-02-13|5.6|5.6|5.5|5.6|10148|USD|21
2012-02-14|5.6|5.62|5.55|5.61|9820|USD|22
2012-02-15|5.6|5.6|5.55|5.58|99701|USD|23
2012-02-16|5.6|5.61|5.5|5.6|69218|USD|24
2012-02-17|5.72|6.06|5.71|5.99|67764|USD|25
2012-02-21|5.82|5.99|5.82|5.83|3544|USD|26
2012-02-22|5.8|5.85|5.78|5.79|4200|USD|27
2012-02-23|5.89|5.99|5.89|5.99|7400|USD|28
2012-02-24|5.93|5.96|5.91|5.95|3300|USD|29
2012-02-27|6.0|6.0|5.91|5.91|1400|USD|30
2012-02-28|5.91|5.91|5.85|5.9|10808|USD|31
2012-03-01|5.91|5.91|5.8|5.8|300|USD|32
2012-03-02|5.8|5.81|5.7|5.75|23676|USD|33
2012-03-06|5.74|5.8|5.74|5.8|7595|USD|34
2012-03-08|5.8|5.91|5.79|5.91|10003|USD|35
2012-03-09|5.76|5.9|5.72|5.79|56409|USD|36
2012-03-12|5.75|5.94|5.73|5.75|37706|USD|37
2012-03-13|5.79|5.83|5.78|5.83|13500|USD|38
2012-03-14|5.89|5.93|5.89|5.9|1400|USD|39
2012-03-15|5.93|6.0|5.88|5.95|30424|USD|40
2012-03-16|5.96|6.07|5.96|6.07|9900|USD|41
2012-03-19|5.98|6.1|5.95|6.0|43690|USD|42
2012-03-20|6.06|6.06|6.01|6.01|500|USD|43
2012-03-21|6.06|6.14|6.05|6.06|10300|USD|44
2012-03-22|6.02|6.15|5.98|6.01|14432|USD|45
2012-03-23|6.05|6.15|6.01|6.15|15048|USD|46
2012-03-26|6.1|6.1|6.1|6.1|3000|USD|47
2012-03-27|6.1|6.1|6.1|6.1|5000|USD|48
2012-03-28|6.17|6.2|6.03|6.1|21700|USD|49
2012-03-29|6.05|6.1|6.05|6.1|2150|USD|50
2012-03-30|6.07|6.07|6.06|6.06|2082|USD|51
2012-04-02|6.08|6.2|6.08|6.15|7700|USD|52
2012-04-03|6.15|6.19|6.15|6.15|1400|USD|53
2012-04-04|6.1|6.1|6.1|6.1|1000|USD|54
2012-04-05|6.11|6.18|6.1|6.1|3050|USD|55
2012-04-09|6.1|6.11|5.94|6.04|17151|USD|56
2012-04-10|6.01|6.06|5.95|6.05|13015|USD|57
2012-04-11|6.17|6.18|6.16|6.18|1000|USD|58
2012-04-12|6.17|6.17|6.07|6.07|500|USD|59
2012-04-13|6.0|6.0|6.0|6.0|1200|USD|60
2012-04-16|5.96|6.09|5.95|6.09|17200|USD|61
2012-04-17|6.04|6.14|5.97|6.01|1338|USD|62
2012-04-18|6.09|6.09|6.02|6.02|38970|USD|63
2012-04-19|6.0|6.0|6.0|6.0|3400|USD|64
2012-04-20|6.03|6.11|6.02|6.1|5000|USD|65
2012-04-23|6.02|6.15|6.01|6.15|3400|USD|66
2012-04-24|6.1|6.24|6.07|6.18|7800|USD|67
2012-04-25|6.22|6.24|6.19|6.19|700|USD|68
2012-04-26|6.17|6.17|6.17|6.17|100|USD|69
2012-04-30|6.2|6.21|6.13|6.17|1400|USD|70
2012-05-01|6.21|6.21|6.1|6.1|18500|USD|71
2012-05-02|6.09|6.09|6.01|6.02|977|USD|72
2012-05-03|6.1|6.1|6.09|6.09|200|USD|73
2012-05-04|6.04|6.22|6.04|6.18|5282|USD|74
2012-05-07|6.17|6.17|6.01|6.15|1690|USD|75
2012-05-08|6.1|6.1|6.1|6.1|100|USD|76
2012-05-09|6.04|6.04|6.04|6.04|100|USD|77
2012-05-10|6.1|6.1|6.1|6.1|9265|USD|78
2012-05-11|6.21|6.21|6.21|6.21|100|USD|79
2012-05-15|6.21|6.21|6.01|6.01|8514|USD|80
2012-05-16|6.01|6.01|6.01|6.01|1000|USD|81
2012-05-17|6.05|6.05|6.05|6.05|400|USD|82
2012-05-18|6.21|6.22|6.01|6.05|6020|USD|83
2012-05-21|6.04|6.28|6.02|6.28|5438|USD|84
2012-05-22|6.26|6.26|6.05|6.2|11800|USD|85
2012-05-23|6.14|6.21|6.07|6.15|6192|USD|86
2012-05-24|6.14|6.14|6.05|6.05|2500|USD|87
2012-05-25|6.05|6.15|6.05|6.15|900|USD|88
2012-05-29|6.17|6.23|6.01|6.23|45788|USD|89
2012-05-31|6.19|6.19|6.02|6.02|17483|USD|90
2012-06-01|5.95|5.97|5.93|5.93|3900|USD|91
2012-06-04|6.0|6.0|6.0|6.0|3900|USD|92
2012-06-05|5.95|5.95|5.9|5.9|6930|USD|93
2012-06-06|5.91|6.0|5.9|6.0|1900|USD|94
2012-06-07|6.0|6.0|5.9|5.9|455|USD|95
2012-06-08|5.9|5.9|5.9|5.9|2470|USD|96
2012-06-12|5.8|5.8|5.7|5.7|18190|USD|97
2012-06-13|5.69|5.7|5.61|5.61|2500|USD|98
2012-06-14|5.68|5.69|5.68|5.69|354|USD|99
2012-06-15|5.61|5.62|5.54|5.62|22471|USD|100
2012-06-18|5.59|5.75|5.55|5.63|45160|USD|101
2012-06-19|5.65|5.65|5.6|5.63|600|USD|102
2012-06-21|5.6|5.67|5.6|5.63|20078|USD|103
2012-06-22|5.63|5.63|5.63|5.63|1079|USD|104
2012-06-25|5.57|5.64|5.5|5.63|6010|USD|105
2012-06-26|5.65|5.65|5.6|5.65|5962|USD|106
2012-06-27|5.63|5.65|5.52|5.65|7940|USD|107
2012-06-28|5.66|5.66|5.65|5.65|400|USD|108
2012-06-29|5.65|5.65|5.59|5.65|6756|USD|109
2012-07-02|5.55|5.65|5.54|5.65|5150|USD|110
2012-07-05|5.66|5.75|5.66|5.66|1200|USD|111
2012-07-06|5.67|5.67|5.64|5.65|10500|USD|112
2012-07-10|5.75|5.76|5.68|5.68|9850|USD|113
2012-07-11|5.7|5.7|5.65|5.68|3400|USD|114
2012-07-12|5.65|5.65|5.56|5.62|3200|USD|115
2012-07-13|5.59|5.65|5.56|5.65|2200|USD|116
2012-07-16|5.59|5.65|5.59|5.64|4073|USD|117
2012-07-17|5.6|5.6|5.54|5.59|10905|USD|118
2012-07-18|5.58|5.61|5.58|5.6|13350|USD|119
2012-07-19|5.6|5.6|5.6|5.6|6400|USD|120
2012-07-20|5.55|5.57|5.5|5.5|4146|USD|121
2012-07-23|5.49|5.56|5.49|5.56|38100|USD|122
2012-07-24|5.5|5.62|5.5|5.62|5900|USD|123
2012-07-25|5.56|5.56|5.55|5.55|2941|USD|124
2012-07-26|5.6|5.6|5.6|5.6|276|USD|125
2012-07-27|5.65|5.65|5.55|5.65|2377|USD|126
2012-07-30|5.73|5.75|5.6|5.6|4564|USD|127
2012-07-31|5.66|5.75|5.65|5.75|8991|USD|128
2012-08-01|5.75|5.75|5.75|5.75|5000|USD|129
2012-08-02|5.73|5.73|5.73|5.73|100|USD|130
2012-08-07|5.9|5.93|5.9|5.93|2309|USD|131
2012-08-09|5.85|6.09|5.84|6.09|29223|USD|132
2012-08-13|5.79|5.79|5.79|5.79|233|USD|133
2012-08-14|6.0|6.02|6.0|6.0|12910|USD|134
