Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.18|8.54|8.16|8.48|6205702|USD|0
2012-01-04|8.42|8.43|8.21|8.42|4597830|USD|1
2012-01-05|8.34|8.64|8.23|8.58|5293053|USD|2
2012-01-06|8.57|8.63|8.41|8.48|3304953|USD|3
2012-01-09|8.51|8.56|8.4|8.5|2937171|USD|4
2012-01-10|8.63|8.98|8.62|8.88|6814739|USD|5
2012-01-11|8.79|9.06|8.74|9.02|5999708|USD|6
2012-01-12|9.06|9.34|8.92|9.25|5722926|USD|7
2012-01-13|9.1|9.29|9.02|9.24|7144179|USD|8
2012-01-17|8.97|9.21|8.96|9.2|5780013|USD|9
2012-01-18|9.17|9.45|9.13|9.36|4834470|USD|10
2012-01-19|9.45|9.7|9.39|9.62|6127199|USD|11
2012-01-20|9.57|9.73|9.5|9.66|3631599|USD|12
2012-01-23|9.66|9.8|9.5|9.62|3340016|USD|13
2012-01-24|9.5|9.6|9.4|9.54|3706913|USD|14
2012-01-25|9.52|9.55|9.1|9.36|8651901|USD|15
2012-01-26|8.54|8.7|7.86|7.99|34114472|USD|16
2012-01-27|8.02|8.22|7.77|8.19|11009722|USD|17
2012-01-30|8.08|8.35|8.0|8.27|7404475|USD|18
2012-01-31|8.31|8.34|8.06|8.19|6466158|USD|19
2012-02-01|8.29|8.53|8.22|8.52|10074994|USD|20
2012-02-02|8.57|8.86|8.53|8.85|11471082|USD|21
2012-02-03|8.99|9.26|8.98|9.19|9773688|USD|22
2012-02-06|9.11|9.33|9.05|9.22|5334195|USD|23
2012-02-07|9.22|9.22|8.86|9.1|6521130|USD|24
2012-02-08|9.19|9.28|9.1|9.13|7639559|USD|25
2012-02-09|9.17|9.24|9.02|9.19|4931013|USD|26
2012-02-10|9.1|9.23|9.07|9.21|4799469|USD|27
2012-02-13|9.32|9.35|9.21|9.31|5552451|USD|28
2012-02-14|9.25|9.3|8.96|9.07|5337542|USD|29
2012-02-15|9.14|9.24|9.05|9.17|5598476|USD|30
2012-02-16|9.17|9.28|9.05|9.26|4302582|USD|31
2012-02-17|9.29|9.4|9.22|9.35|3751880|USD|32
2012-02-21|9.4|9.52|9.3|9.5|5912944|USD|33
2012-02-22|9.42|9.5|9.32|9.32|6675248|USD|34
2012-02-23|9.3|9.51|9.15|9.49|3191765|USD|35
2012-02-24|9.52|9.73|9.46|9.66|6358824|USD|36
2012-02-27|9.58|9.72|9.47|9.66|2745337|USD|37
2012-02-28|9.68|9.77|9.58|9.68|3253424|USD|38
2012-02-29|9.73|9.9|9.61|9.63|5066675|USD|39
2012-03-01|9.7|10.0|9.7|9.84|6946763|USD|40
2012-03-02|9.84|10.02|9.79|9.99|4765265|USD|41
2012-03-05|9.94|9.95|9.68|9.71|3699010|USD|42
2012-03-06|9.52|9.55|9.23|9.27|6130662|USD|43
2012-03-07|9.35|9.5|9.29|9.4|3755676|USD|44
2012-03-08|9.51|9.76|9.48|9.68|7063523|USD|45
2012-03-09|9.72|9.76|9.6|9.67|5184724|USD|46
2012-03-12|9.7|9.72|9.5|9.58|5440195|USD|47
2012-03-13|9.65|10.15|9.62|10.05|8815186|USD|48
2012-03-14|10.15|10.5|10.06|10.4|9777459|USD|49
2012-03-15|10.49|11.09|10.43|10.95|10282947|USD|50
2012-03-16|11.01|11.13|10.81|11.04|5993068|USD|51
2012-03-19|11.28|11.5|11.12|11.22|10156502|USD|52
2012-03-20|11.11|11.32|11.02|11.21|3527961|USD|53
2012-03-21|11.26|11.36|11.17|11.26|3937422|USD|54
2012-03-22|11.15|11.26|10.92|11.03|3142425|USD|55
2012-03-23|11.0|11.29|10.83|11.27|4804062|USD|56
2012-03-26|11.41|11.44|11.27|11.36|5513379|USD|57
2012-03-27|11.37|11.45|11.18|11.19|3853034|USD|58
2012-03-28|11.22|11.26|10.92|11.03|4240646|USD|59
2012-03-29|10.89|10.95|10.72|10.9|3772383|USD|60
2012-03-30|10.98|11.08|10.75|10.95|4224206|USD|61
2012-04-02|10.89|11.16|10.85|11.09|3512655|USD|62
2012-04-03|11.06|11.12|10.78|11.05|4109370|USD|63
2012-04-04|10.89|10.97|10.69|10.69|3458417|USD|64
2012-04-05|10.63|10.75|10.58|10.66|1957214|USD|65
2012-04-09|10.42|10.47|10.19|10.38|3091092|USD|66
2012-04-10|10.31|10.47|10.02|10.05|4928075|USD|67
2012-04-11|10.25|10.45|10.2|10.31|3841428|USD|68
2012-04-12|10.36|10.69|10.31|10.66|2906805|USD|69
2012-04-13|10.62|10.64|9.98|10.06|10009559|USD|70
2012-04-16|10.24|10.35|9.72|9.91|9208280|USD|71
2012-04-17|10.03|10.23|9.98|10.11|2691790|USD|72
2012-04-18|10.05|10.07|9.87|9.96|3791569|USD|73
2012-04-19|10.02|10.14|9.77|9.88|6689537|USD|74
2012-04-20|10.4|10.65|10.22|10.47|17655996|USD|75
2012-04-23|10.36|10.4|10.21|10.27|8586638|USD|76
2012-04-24|10.27|10.48|10.25|10.41|5857052|USD|77
2012-04-25|10.51|10.7|10.45|10.67|4619961|USD|78
2012-04-26|10.66|11.0|10.6|10.67|5889354|USD|79
2012-04-27|10.73|10.76|10.52|10.73|2679526|USD|80
2012-04-30|10.72|10.72|10.53|10.63|1738551|USD|81
2012-05-01|10.63|10.93|10.56|10.73|4767982|USD|82
2012-05-02|10.58|10.63|10.36|10.46|4376412|USD|83
2012-05-03|10.4|10.43|10.13|10.19|3482079|USD|84
2012-05-04|10.12|10.14|9.9|9.98|3227458|USD|85
2012-05-07|9.93|10.07|9.8|9.88|3249339|USD|86
2012-05-08|9.77|9.81|9.53|9.73|3797706|USD|87
2012-05-09|9.57|9.73|9.39|9.64|3868676|USD|88
2012-05-10|9.7|9.84|9.56|9.64|2590700|USD|89
2012-05-11|9.47|9.77|9.21|9.59|2815009|USD|90
2012-05-14|9.42|9.48|9.21|9.22|4539700|USD|91
2012-05-15|9.21|9.29|9.0|9.08|5153016|USD|92
2012-05-16|9.15|9.32|8.81|8.81|4005530|USD|93
2012-05-17|8.84|8.91|8.59|8.6|4839212|USD|94
2012-05-18|8.69|8.73|8.41|8.46|4835341|USD|95
2012-05-21|8.49|8.65|8.45|8.65|2504831|USD|96
2012-05-22|8.7|9.02|8.66|8.77|3940812|USD|97
2012-05-23|8.62|8.94|8.5|8.9|4435972|USD|98
2012-05-24|8.92|9.0|8.61|8.76|2561581|USD|99
2012-05-25|8.75|8.76|8.49|8.68|1822226|USD|100
2012-05-29|8.75|8.99|8.75|8.91|4695263|USD|101
2012-05-30|8.76|8.8|8.5|8.53|5766582|USD|102
2012-05-31|8.53|8.56|8.31|8.49|5520594|USD|103
2012-06-01|8.31|8.37|7.96|8.05|7281148|USD|104
2012-06-04|8.09|8.09|7.74|7.86|6844281|USD|105
2012-06-05|7.86|8.25|7.81|8.06|7109943|USD|106
2012-06-06|8.16|8.37|8.1|8.29|10147840|USD|107
2012-06-07|8.46|8.53|8.15|8.19|4414701|USD|108
2012-06-08|8.19|8.2|8.02|8.19|5363015|USD|109
2012-06-11|8.29|8.36|7.85|7.87|4790305|USD|110
2012-06-12|7.86|8.02|7.82|7.96|6191585|USD|111
2012-06-13|8.05|8.17|7.85|7.87|7620415|USD|112
2012-06-14|7.88|8.02|7.83|7.99|3752525|USD|113
2012-06-15|8.03|8.03|7.92|7.97|5172699|USD|114
2012-06-18|7.92|7.95|7.8|7.84|3685707|USD|115
2012-06-19|7.91|8.09|7.89|8.04|6593664|USD|116
2012-06-20|8.05|8.33|8.0|8.17|4288078|USD|117
2012-06-21|8.17|8.22|7.79|7.83|4206071|USD|118
2012-06-22|7.9|7.95|7.72|7.82|5964660|USD|119
2012-06-25|7.71|7.74|7.42|7.47|3898140|USD|120
2012-06-26|7.49|7.57|7.45|7.5|3060960|USD|121
2012-06-27|7.5|7.61|7.5|7.55|4066226|USD|122
2012-06-28|7.48|7.64|7.39|7.61|6039034|USD|123
2012-06-29|7.88|8.2|7.77|8.04|11951786|USD|124
2012-07-02|8.11|8.17|7.8|8.03|6044140|USD|125
2012-07-03|8.03|8.2|7.99|8.14|2575426|USD|126
2012-07-05|8.07|8.15|7.95|8.07|3909714|USD|127
2012-07-06|7.97|8.03|7.76|7.84|4418020|USD|128
2012-07-09|7.79|7.81|7.5|7.55|5363111|USD|129
2012-07-10|7.59|7.65|7.46|7.53|5586384|USD|130
2012-07-11|7.53|7.68|7.48|7.65|4279550|USD|131
2012-07-12|7.57|7.58|7.39|7.48|5385345|USD|132
2012-07-13|7.5|7.97|7.47|7.87|6522218|USD|133
2012-07-16|7.82|8.07|7.82|8.04|5368505|USD|134
2012-07-17|8.07|8.14|7.84|8.03|4777359|USD|135
2012-07-18|7.97|8.09|7.82|7.9|2223706|USD|136
2012-07-19|7.88|7.99|7.72|7.82|5170422|USD|137
2012-07-20|7.74|7.74|7.32|7.39|15854274|USD|138
2012-07-23|7.28|7.29|7.1|7.2|13243520|USD|139
2012-07-24|7.19|7.25|7.1|7.18|7501024|USD|140
2012-07-25|7.19|7.27|7.08|7.18|6407764|USD|141
2012-07-26|7.3|7.3|7.15|7.26|3667177|USD|142
2012-07-27|7.31|7.58|7.25|7.53|4624222|USD|143
2012-07-30|7.53|7.66|7.46|7.54|3480201|USD|144
2012-07-31|7.51|7.65|7.49|7.63|3207717|USD|145
2012-08-01|7.66|7.75|7.57|7.75|5305556|USD|146
2012-08-02|7.6|7.6|7.25|7.33|11381180|USD|147
2012-08-03|7.55|7.96|7.5|7.86|8731852|USD|148
2012-08-06|7.95|8.02|7.9|7.92|4150565|USD|149
2012-08-07|7.96|8.15|7.92|8.06|3376313|USD|150
2012-08-08|8.02|8.09|7.91|8.02|2436928|USD|151
2012-08-09|8.35|8.62|8.3|8.57|18578220|USD|152
2012-08-10|8.53|8.53|8.32|8.42|4154456|USD|153
2012-08-13|8.4|8.54|8.33|8.51|3919970|USD|154
2012-08-14|8.64|8.81|8.6|8.67|7177503|USD|155
2012-08-15|8.65|8.76|8.49|8.53|6085058|USD|156
2012-08-16|8.55|8.6|8.47|8.55|11232446|USD|157
2012-08-17|8.6|8.65|8.5|8.57|3590503|USD|158
2012-08-20|8.57|8.68|8.53|8.68|2823289|USD|159
2012-08-21|8.69|8.88|8.63|8.68|5846380|USD|160
2012-08-22|8.69|8.76|8.59|8.73|4935531|USD|161
2012-08-23|8.74|8.75|8.37|8.4|4307819|USD|162
2012-08-24|8.4|8.56|8.26|8.5|2892034|USD|163
2012-08-27|8.48|8.57|8.34|8.39|3072600|USD|164
2012-08-28|8.38|8.71|8.34|8.6|3346123|USD|165
2012-08-29|8.64|8.68|8.5|8.62|2654954|USD|166
2012-08-30|8.55|8.55|8.4|8.5|2056313|USD|167
2012-08-31|8.57|8.68|8.45|8.57|2372967|USD|168
2012-09-04|8.53|8.63|8.41|8.59|2260186|USD|169
2012-09-05|8.57|8.63|8.46|8.56|2397751|USD|170
2012-09-06|8.6|8.87|8.56|8.85|3700434|USD|171
2012-09-07|8.9|9.06|8.84|9.05|4577616|USD|172
2012-09-10|9.0|9.06|8.62|8.75|3661510|USD|173
2012-09-11|8.73|9.01|8.7|8.94|3448132|USD|174
2012-09-12|8.99|9.33|8.96|9.32|9657990|USD|175
2012-09-13|9.3|9.64|9.22|9.56|4354645|USD|176
2012-09-14|9.67|10.09|9.61|9.88|9577605|USD|177
2012-09-17|9.85|9.88|9.47|9.52|4538040|USD|178
2012-09-18|9.45|9.49|9.22|9.38|2844196|USD|179
2012-09-19|9.38|9.42|9.16|9.25|4508699|USD|180
2012-09-20|9.15|9.27|8.96|9.22|4796195|USD|181
2012-09-21|9.11|9.34|9.11|9.27|5012758|USD|182
2012-09-24|9.11|9.24|9.05|9.16|2801265|USD|183
2012-09-25|9.22|9.27|8.73|8.78|4461758|USD|184
2012-09-26|8.75|8.82|8.58|8.7|3937946|USD|185
2012-09-27|8.79|8.92|8.7|8.85|2931142|USD|186
2012-09-28|8.77|8.87|8.51|8.8|5367157|USD|187
2012-10-01|8.9|9.15|8.86|8.94|4215665|USD|188
2012-10-02|8.99|9.05|8.82|8.96|2860589|USD|189
2012-10-03|8.97|9.1|8.81|9.02|3035283|USD|190
2012-10-04|9.07|9.13|9.0|9.12|2466527|USD|191
2012-10-05|9.17|9.38|9.02|9.12|4003985|USD|192
2012-10-08|9.05|9.12|9.0|9.03|1440378|USD|193
2012-10-09|9.03|9.16|8.97|9.01|2577633|USD|194
2012-10-10|9.02|9.08|8.93|9.07|2758106|USD|195
2012-10-11|9.1|9.37|9.07|9.32|3436496|USD|196
2012-10-12|9.21|9.24|8.89|9.0|9091439|USD|197
2012-10-15|9.02|9.18|8.98|9.16|3157081|USD|198
2012-10-16|9.24|9.34|9.13|9.22|3423318|USD|199
2012-10-17|9.23|9.54|9.21|9.54|5019259|USD|200
2012-10-18|9.51|9.54|9.34|9.42|3997072|USD|201
2012-10-19|8.74|9.0|8.38|8.57|20141696|USD|202
2012-10-22|8.57|8.64|8.34|8.44|5099668|USD|203
2012-10-23|8.26|8.45|8.21|8.36|5099191|USD|204
2012-10-24|8.42|8.47|8.13|8.24|5357621|USD|205
2012-10-25|8.28|8.42|8.19|8.39|2891590|USD|206
2012-10-26|8.38|8.41|8.23|8.26|2232133|USD|207
2012-10-31|8.32|8.44|8.3|8.36|1832935|USD|208
2012-11-01|8.27|8.62|8.27|8.49|3907666|USD|209
2012-11-02|8.6|8.65|8.3|8.4|3263679|USD|210
2012-11-05|8.7|8.89|8.65|8.77|5341166|USD|211
2012-11-06|8.82|8.83|8.61|8.65|3472974|USD|212
2012-11-07|8.56|8.62|8.21|8.25|5193107|USD|213
2012-11-08|8.29|8.4|8.14|8.14|2900664|USD|214
2012-11-09|8.13|8.23|8.02|8.08|2894739|USD|215
2012-11-12|8.13|8.19|8.05|8.13|1694014|USD|216
2012-11-13|8.05|8.19|7.96|8.0|2645799|USD|217
2012-11-14|8.0|8.0|7.7|7.74|6064231|USD|218
2012-11-15|7.76|7.89|7.7|7.86|6124472|USD|219
2012-11-16|7.94|7.99|7.72|7.88|3932272|USD|220
2012-11-19|8.04|8.19|8.02|8.17|3305654|USD|221
2012-11-20|8.15|8.19|8.04|8.1|4057991|USD|222
2012-11-21|8.12|8.14|8.03|8.11|2189372|USD|223
2012-11-23|8.17|8.18|8.03|8.14|1994930|USD|224
2012-11-26|8.12|8.47|8.08|8.43|3403463|USD|225
