Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.1|17.35|17.02|17.24|230597|USD|0
2012-01-04|17.06|17.23|16.85|17.11|151592|USD|1
2012-01-05|16.98|17.72|16.79|17.42|258674|USD|2
2012-01-06|17.46|17.57|17.05|17.28|175765|USD|3
2012-01-09|17.39|17.55|17.15|17.47|167271|USD|4
2012-01-10|17.73|17.93|17.51|17.84|247416|USD|5
2012-01-11|17.78|17.84|17.65|17.79|223081|USD|6
2012-01-12|17.89|17.94|17.52|17.9|163857|USD|7
2012-01-13|17.51|17.9|17.51|17.74|116012|USD|8
2012-01-17|17.85|18.0|17.48|17.55|229666|USD|9
2012-01-18|17.51|17.87|17.3|17.86|112588|USD|10
2012-01-19|18.0|18.0|17.52|17.83|136198|USD|11
2012-01-20|17.73|18.15|17.64|17.93|242472|USD|12
2012-01-23|17.89|18.04|17.64|17.71|132965|USD|13
2012-01-24|17.62|17.93|17.41|17.8|202069|USD|14
2012-01-25|17.73|18.09|17.73|17.9|268660|USD|15
2012-01-26|17.94|18.25|17.32|17.55|296874|USD|16
2012-01-27|17.52|17.86|17.5|17.56|230136|USD|17
2012-01-30|17.45|17.67|17.32|17.4|288627|USD|18
2012-01-31|17.56|17.63|17.24|17.38|273976|USD|19
2012-02-01|17.53|17.96|17.41|17.89|444676|USD|20
2012-02-02|17.9|18.2|17.75|17.92|224601|USD|21
2012-02-03|18.25|18.39|18.1|18.28|391205|USD|22
2012-02-06|17.96|18.19|17.58|17.74|574913|USD|23
2012-02-07|17.69|17.87|17.59|17.68|203207|USD|24
2012-02-08|17.72|17.93|17.5|17.7|177785|USD|25
2012-02-09|17.79|17.87|17.44|17.47|170365|USD|26
2012-02-10|17.23|17.3|17.06|17.08|119816|USD|27
2012-02-13|17.3|17.35|17.15|17.3|156298|USD|28
2012-02-14|17.28|17.3|17.06|17.18|132023|USD|29
2012-02-15|17.23|17.29|17.02|17.11|218378|USD|30
2012-02-16|17.12|17.47|16.99|17.44|348375|USD|31
2012-02-17|17.41|17.51|17.32|17.39|241341|USD|32
2012-02-21|17.45|17.51|17.14|17.19|200453|USD|33
2012-02-22|17.13|17.2|16.76|16.77|190185|USD|34
2012-02-23|16.84|17.11|16.71|17.0|149801|USD|35
2012-02-24|16.99|17.0|16.7|16.81|145729|USD|36
2012-02-27|16.74|16.97|16.51|16.88|241670|USD|37
2012-02-28|16.92|17.05|16.71|16.83|272640|USD|38
2012-02-29|16.62|16.71|16.32|16.37|228715|USD|39
2012-03-01|16.42|16.73|16.29|16.33|219979|USD|40
2012-03-02|16.35|16.35|15.87|16.11|403412|USD|41
2012-03-05|16.02|16.61|16.0|16.46|435047|USD|42
2012-03-06|16.31|16.37|16.11|16.25|370185|USD|43
2012-03-07|16.34|16.57|16.3|16.52|244190|USD|44
2012-03-08|16.61|16.87|16.48|16.84|282464|USD|45
2012-03-09|16.85|17.27|16.73|17.08|238876|USD|46
2012-03-12|17.04|17.09|16.87|16.91|120059|USD|47
2012-03-13|17.04|17.09|16.94|17.06|428173|USD|48
2012-03-14|17.09|17.2|16.87|16.99|208523|USD|49
2012-03-15|17.06|17.21|16.86|17.21|263607|USD|50
2012-03-16|17.21|17.55|17.07|17.42|521879|USD|51
2012-03-19|17.39|17.6|17.15|17.37|351208|USD|52
2012-03-20|17.22|17.39|17.06|17.27|205602|USD|53
2012-03-21|17.35|17.35|17.08|17.2|92820|USD|54
2012-03-22|17.07|17.07|16.68|16.85|136928|USD|55
2012-03-23|16.74|16.98|16.68|16.95|188641|USD|56
2012-03-26|17.17|17.4|17.06|17.37|156241|USD|57
2012-03-27|17.41|17.41|17.16|17.17|131170|USD|58
2012-03-28|17.22|17.46|17.17|17.44|174135|USD|59
2012-03-29|17.27|17.35|17.02|17.31|150047|USD|60
2012-03-30|17.49|17.49|17.21|17.3|245712|USD|61
2012-04-02|17.34|17.77|17.25|17.7|367914|USD|62
2012-04-03|17.69|17.81|17.42|17.63|252649|USD|63
2012-04-04|17.48|17.51|17.05|17.34|185215|USD|64
2012-04-05|17.22|17.35|17.1|17.2|103664|USD|65
2012-04-09|16.92|17.04|16.83|16.86|170088|USD|66
2012-04-10|16.89|16.94|16.43|16.56|210790|USD|67
2012-04-11|16.8|16.92|16.6|16.83|201643|USD|68
2012-04-12|16.89|17.08|16.82|17.05|155324|USD|69
2012-04-13|17.01|17.01|16.5|16.51|165249|USD|70
2012-04-16|16.59|16.86|16.46|16.83|169678|USD|71
2012-04-17|17.04|17.37|16.86|17.22|226038|USD|72
2012-04-18|17.14|17.14|16.72|16.9|244434|USD|73
2012-04-19|16.96|17.16|16.61|16.8|212538|USD|74
2012-04-20|17.08|17.23|16.93|17.1|205154|USD|75
2012-04-23|16.79|16.87|16.62|16.78|235685|USD|76
2012-04-24|16.86|17.26|16.86|17.06|209298|USD|77
2012-04-25|17.34|17.43|16.67|17.1|299729|USD|78
2012-04-26|17.11|17.11|16.51|16.84|314567|USD|79
2012-04-27|16.82|16.99|16.52|16.94|355139|USD|80
2012-04-30|16.97|16.97|16.67|16.81|278264|USD|81
2012-05-01|16.88|17.3|16.84|16.96|369516|USD|82
2012-05-02|16.92|17.16|16.84|17.01|217369|USD|83
2012-05-03|17.0|17.2|16.92|16.92|284282|USD|84
2012-05-04|16.87|17.01|16.66|16.8|362546|USD|85
2012-05-07|16.78|17.16|16.66|16.92|288907|USD|86
2012-05-08|16.83|16.95|16.7|16.77|293463|USD|87
2012-05-09|16.65|16.67|16.38|16.49|317624|USD|88
2012-05-10|16.61|16.81|16.55|16.8|180228|USD|89
2012-05-11|16.62|16.9|16.26|16.58|128886|USD|90
2012-05-14|16.4|16.58|16.32|16.39|160316|USD|91
2012-05-15|16.36|16.54|16.27|16.37|102183|USD|92
2012-05-16|16.5|16.54|16.24|16.24|109010|USD|93
2012-05-17|16.25|16.35|16.0|16.0|152481|USD|94
2012-05-18|15.98|16.18|15.86|15.87|227572|USD|95
2012-05-21|15.98|16.2|15.82|15.89|295078|USD|96
2012-05-22|15.95|16.18|15.89|15.99|280956|USD|97
2012-05-23|15.85|16.15|15.77|16.08|180420|USD|98
2012-05-24|16.17|16.31|15.93|16.31|142856|USD|99
2012-05-25|16.34|16.35|16.13|16.21|139409|USD|100
2012-05-29|15.93|16.22|15.86|16.15|281538|USD|101
2012-05-30|15.78|15.78|15.38|15.39|301280|USD|102
2012-05-31|15.46|15.49|15.22|15.36|466734|USD|103
2012-06-01|15.1|15.17|14.78|14.92|337105|USD|104
2012-06-04|14.97|15.0|14.71|14.88|293555|USD|105
2012-06-05|14.84|15.1|14.84|15.02|327195|USD|106
2012-06-06|15.07|15.39|15.01|15.39|256444|USD|107
2012-06-07|15.68|15.71|15.46|15.62|352532|USD|108
2012-06-08|15.59|16.02|15.52|15.88|179936|USD|109
2012-06-11|16.13|16.13|15.36|15.38|209268|USD|110
2012-06-12|15.52|15.63|15.31|15.54|191513|USD|111
2012-06-13|15.47|15.82|15.33|15.37|134102|USD|112
2012-06-14|15.45|15.63|15.37|15.51|131552|USD|113
2012-06-15|15.54|15.87|15.45|15.76|343857|USD|114
2012-06-18|15.68|15.82|15.61|15.63|123144|USD|115
2012-06-19|15.75|16.01|15.63|15.88|140076|USD|116
2012-06-20|15.93|15.95|15.65|15.79|137350|USD|117
2012-06-21|15.84|15.89|15.27|15.35|206534|USD|118
2012-06-22|15.5|15.54|15.32|15.46|368814|USD|119
2012-06-25|15.29|15.32|15.09|15.13|155513|USD|120
2012-06-26|15.2|15.38|15.05|15.22|114124|USD|121
2012-06-27|15.28|15.54|15.17|15.53|174473|USD|122
2012-06-28|15.39|15.7|15.23|15.7|154488|USD|123
2012-06-29|16.09|16.3|15.9|15.98|265436|USD|124
2012-07-02|16.14|16.26|15.93|16.26|217504|USD|125
2012-07-03|16.32|16.52|16.22|16.51|183600|USD|126
2012-07-05|16.4|16.58|16.35|16.48|142303|USD|127
2012-07-06|16.26|16.49|16.26|16.44|127395|USD|128
2012-07-09|16.42|16.44|16.24|16.35|182584|USD|129
2012-07-10|16.45|16.54|16.22|16.3|116230|USD|130
2012-07-11|16.38|16.5|16.23|16.45|132933|USD|131
2012-07-12|16.39|16.55|16.31|16.52|154564|USD|132
2012-07-13|16.59|16.84|16.56|16.83|150804|USD|133
2012-07-16|16.76|16.81|16.61|16.71|240964|USD|134
2012-07-17|16.84|17.0|16.56|16.9|121161|USD|135
2012-07-18|16.9|17.07|16.65|16.77|249323|USD|136
2012-07-19|16.84|16.87|16.43|16.43|106447|USD|137
2012-07-20|16.32|16.39|16.26|16.31|154073|USD|138
2012-07-23|16.09|16.32|16.02|16.17|118429|USD|139
2012-07-24|16.28|16.33|16.02|16.21|168035|USD|140
2012-07-25|16.43|16.43|15.89|15.91|173154|USD|141
2012-07-26|16.1|16.1|15.8|15.87|782055|USD|142
2012-07-27|15.92|16.25|15.72|16.08|265172|USD|143
2012-07-30|16.14|16.27|15.87|15.88|138287|USD|144
2012-07-31|15.88|16.13|15.88|15.96|207966|USD|145
2012-08-01|16.1|16.15|15.73|15.73|256131|USD|146
2012-08-02|15.69|15.76|15.5|15.58|149915|USD|147
2012-08-03|15.76|16.14|15.6|16.01|160666|USD|148
