Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.95|17.95|17.52|17.64|20622|USD|0
2012-01-04|17.49|17.65|17.37|17.41|17155|USD|1
2012-01-05|17.25|17.65|17.25|17.59|15775|USD|2
2012-01-06|17.52|17.67|17.52|17.6|13092|USD|3
2012-01-09|17.61|17.67|17.36|17.36|33351|USD|4
2012-01-10|17.51|17.67|17.36|17.44|14127|USD|5
2012-01-11|17.29|17.67|17.09|17.57|51388|USD|6
2012-01-12|17.59|17.66|17.35|17.52|29140|USD|7
2012-01-13|17.5|17.65|17.4|17.45|24439|USD|8
2012-01-17|17.57|17.94|17.45|17.55|25807|USD|9
2012-01-18|17.55|17.67|17.55|17.67|18658|USD|10
2012-01-19|17.79|17.83|17.58|17.65|17314|USD|11
2012-01-20|17.57|17.75|17.57|17.75|23739|USD|12
2012-01-23|17.78|17.96|17.78|17.93|3802|USD|13
2012-01-24|17.75|18.08|17.59|17.99|20256|USD|14
2012-01-25|17.97|18.24|17.9|18.1|17761|USD|15
2012-01-26|18.26|18.4|17.98|18.33|20760|USD|16
2012-01-27|18.13|18.66|17.8|18.65|20068|USD|17
2012-01-30|18.57|18.57|18.02|18.2|8985|USD|18
2012-01-31|18.03|18.23|17.69|17.73|50466|USD|19
2012-02-01|17.92|18.09|17.84|18.05|23284|USD|20
2012-02-02|17.87|18.24|17.87|18.16|19521|USD|21
2012-02-03|18.4|18.83|18.07|18.63|31479|USD|22
2012-02-06|18.5|18.5|18.14|18.14|21907|USD|23
2012-02-07|18.13|18.23|17.95|18.07|6307|USD|24
2012-02-08|18.16|18.23|17.98|18.12|7042|USD|25
2012-02-09|18.11|18.11|17.83|17.9|4302|USD|26
2012-02-10|17.74|17.89|17.67|17.67|7308|USD|27
2012-02-13|17.91|17.91|17.64|17.76|11010|USD|28
2012-02-14|17.7|17.95|17.7|17.74|13393|USD|29
2012-02-15|17.75|17.77|17.4|17.48|21177|USD|30
2012-02-16|17.81|17.94|17.7|17.7|12124|USD|31
2012-02-17|17.77|17.82|17.57|17.67|22966|USD|32
2012-02-21|17.78|18.0|17.78|17.89|27645|USD|33
2012-02-22|17.82|17.97|17.53|17.57|6997|USD|34
2012-02-23|18.0|18.0|17.63|17.99|11706|USD|35
2012-02-24|18.0|18.0|17.7|17.75|5743|USD|36
2012-02-27|17.71|17.97|17.55|17.65|12018|USD|37
2012-02-28|17.51|17.59|17.4|17.57|10668|USD|38
2012-02-29|17.52|17.56|17.24|17.29|17949|USD|39
2012-03-01|17.34|17.35|17.13|17.13|19810|USD|40
2012-03-02|17.13|17.26|16.83|16.84|26419|USD|41
2012-03-05|16.84|17.03|16.84|17.01|18934|USD|42
2012-03-06|16.83|16.96|16.73|16.76|29484|USD|43
2012-03-07|16.88|17.01|16.74|17.01|12222|USD|44
2012-03-08|17.06|17.17|16.92|17.17|16186|USD|45
2012-03-09|17.12|17.6|17.12|17.47|13896|USD|46
2012-03-12|17.49|17.57|17.41|17.47|4519|USD|47
2012-03-13|17.67|17.83|17.4|17.77|58990|USD|48
2012-03-14|17.83|17.83|17.72|17.72|5592|USD|49
2012-03-15|17.64|17.83|17.64|17.83|20443|USD|50
2012-03-16|17.83|17.83|17.55|17.65|41682|USD|51
2012-03-19|17.65|18.0|17.65|17.93|12702|USD|52
2012-03-20|17.76|17.87|17.61|17.69|6489|USD|53
2012-03-21|17.68|17.81|17.55|17.66|5908|USD|54
2012-03-22|17.6|17.74|17.53|17.74|56223|USD|55
2012-03-23|17.71|18.07|17.67|18.0|16272|USD|56
2012-03-26|18.1|18.13|17.93|18.05|21349|USD|57
2012-03-27|18.0|18.0|17.76|17.87|20785|USD|58
2012-03-28|17.73|18.02|17.71|17.95|16023|USD|59
2012-03-29|17.86|18.08|17.75|17.95|16246|USD|60
2012-03-30|18.1|18.1|17.67|17.67|36753|USD|61
2012-04-02|17.67|17.95|17.67|17.89|16021|USD|62
2012-04-03|17.91|17.96|17.7|17.86|19755|USD|63
2012-04-04|17.7|17.92|17.7|17.84|20410|USD|64
2012-04-05|17.73|17.87|17.73|17.85|4536|USD|65
2012-04-09|17.67|17.77|17.6|17.76|16260|USD|66
2012-04-10|17.78|17.81|17.64|17.69|37471|USD|67
2012-04-11|17.87|18.0|17.79|18.0|15609|USD|68
2012-04-12|17.95|18.2|17.95|18.18|22029|USD|69
2012-04-13|18.13|18.16|17.77|17.85|16492|USD|70
2012-04-16|17.89|18.19|17.89|18.18|3759|USD|71
2012-04-17|18.2|18.32|18.07|18.17|18511|USD|72
2012-04-18|18.07|18.31|17.95|18.03|14265|USD|73
2012-04-19|17.93|18.1|17.9|18.07|44707|USD|74
2012-04-20|18.43|18.47|18.07|18.29|28144|USD|75
2012-04-23|18.01|18.17|17.97|18.07|17218|USD|76
2012-04-24|18.01|18.27|18.0|18.27|7885|USD|77
2012-04-25|18.41|18.48|18.17|18.47|17196|USD|78
