Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.2|17.49|17.08|17.08|1008|USD|0
2012-01-04|17.57|17.61|17.07|17.26|2878|USD|1
2012-01-06|16.75|16.75|16.75|16.75|100|USD|2
2012-01-09|17.25|17.27|16.76|16.76|1100|USD|3
2012-01-10|16.81|16.81|16.78|16.78|1500|USD|4
2012-01-12|17.12|17.12|17.12|17.12|300|USD|5
2012-01-13|16.75|17.46|16.75|17.46|400|USD|6
2012-01-17|16.86|17.1|16.86|17.1|200|USD|7
2012-01-23|17.1|17.1|17.1|17.1|600|USD|8
2012-01-24|17.0|17.0|16.59|16.59|1355|USD|9
2012-01-25|16.71|16.71|16.7|16.7|600|USD|10
2012-02-08|16.98|17.0|16.98|17.0|665|USD|11
2012-02-09|16.98|17.0|16.98|17.0|802|USD|12
2012-02-10|17.25|17.25|17.25|17.25|202|USD|13
2012-02-13|17.19|17.19|17.19|17.19|200|USD|14
2012-02-14|17.25|17.5|17.25|17.5|2598|USD|15
2012-02-15|17.23|17.25|17.0|17.0|3000|USD|16
2012-02-16|16.98|17.0|16.98|17.0|3200|USD|17
2012-02-23|17.0|17.0|17.0|17.0|100|USD|18
2012-02-29|17.25|17.25|17.21|17.21|300|USD|19
2012-03-07|16.89|16.89|16.89|16.89|0|USD|20
2012-03-09|16.89|16.93|16.88|16.93|1450|USD|21
2012-03-12|16.94|16.96|16.25|16.45|4698|USD|22
2012-03-13|16.64|17.18|16.63|17.18|1090|USD|23
2012-03-14|16.72|16.72|16.7|16.7|200|USD|24
2012-03-15|16.7|16.7|16.7|16.7|300|USD|25
2012-03-16|17.18|17.25|17.18|17.25|3910|USD|26
2012-03-19|17.12|17.12|17.12|17.12|0|USD|27
2012-03-20|17.25|17.25|17.25|17.25|500|USD|28
2012-03-26|17.49|17.49|17.49|17.49|355|USD|29
2012-03-27|17.03|17.03|17.03|17.03|100|USD|30
2012-03-28|17.03|17.1|17.03|17.1|300|USD|31
2012-04-02|17.13|17.49|17.13|17.23|1100|USD|32
2012-04-03|17.22|17.22|17.21|17.21|396|USD|33
2012-04-05|17.13|17.13|17.13|17.13|272|USD|34
2012-04-10|17.01|17.25|17.01|17.25|458|USD|35
2012-04-13|17.25|17.25|17.2|17.25|500|USD|36
2012-04-16|17.49|17.49|17.47|17.49|975|USD|37
2012-04-17|17.5|17.5|17.5|17.5|100|USD|38
2012-04-19|17.77|17.77|17.77|17.77|150|USD|39
2012-04-20|17.56|17.56|17.56|17.56|500|USD|40
2012-04-23|17.51|17.51|16.8|16.8|2600|USD|41
2012-04-25|17.52|17.52|17.5|17.5|999|USD|42
2012-04-26|17.5|17.5|17.5|17.5|0|USD|43
2012-04-27|17.72|17.72|17.72|17.72|200|USD|44
2012-04-30|17.78|17.99|17.78|17.9|2074|USD|45
2012-05-01|17.77|17.77|17.77|17.77|600|USD|46
2012-05-02|17.96|18.0|17.96|18.0|5374|USD|47
2012-05-03|17.98|18.28|17.98|18.26|4874|USD|48
2012-05-04|18.25|18.25|18.25|18.25|100|USD|49
2012-05-07|18.44|18.49|17.76|18.49|8434|USD|50
2012-05-08|18.32|18.32|18.32|18.32|300|USD|51
2012-05-09|18.33|18.33|18.33|18.33|100|USD|52
2012-05-10|18.25|18.27|17.66|17.66|6350|USD|53
2012-05-11|18.25|18.41|18.2|18.2|19996|USD|54
2012-05-14|18.05|18.1|18.0|18.0|3568|USD|55
2012-05-15|18.23|18.23|18.23|18.23|200|USD|56
2012-05-17|17.94|17.94|17.63|17.63|6031|USD|57
2012-05-18|17.61|17.61|17.61|17.61|100|USD|58
2012-05-21|18.19|18.19|17.55|17.55|300|USD|59
2012-05-22|17.58|17.75|17.5|17.51|8354|USD|60
2012-05-23|18.0|18.0|17.98|18.0|500|USD|61
2012-05-24|17.99|17.99|17.51|17.51|366|USD|62
2012-05-25|18.06|18.1|18.0|18.0|1400|USD|63
2012-05-30|17.96|18.2|17.96|18.2|700|USD|64
2012-05-31|18.2|18.2|17.99|17.99|302|USD|65
