Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.63|5.76|5.61|5.62|12487739|USD|0
2012-01-04|5.6|5.74|5.56|5.68|10223219|USD|1
2012-01-05|5.65|5.83|5.56|5.79|12471701|USD|2
2012-01-06|5.81|5.85|5.73|5.8|10174927|USD|3
2012-01-09|5.78|5.88|5.74|5.86|14953423|USD|4
2012-01-10|5.95|5.97|5.85|5.9|12246696|USD|5
2012-01-11|5.84|5.94|5.79|5.94|13865287|USD|6
2012-01-12|5.97|5.97|5.88|5.97|12156168|USD|7
2012-01-13|5.89|5.98|5.82|5.97|11435174|USD|8
2012-01-17|6.0|6.11|5.92|5.99|23836958|USD|9
2012-01-18|5.98|6.04|5.95|6.03|18771144|USD|10
2012-01-19|6.0|6.01|5.72|5.79|31404014|USD|11
2012-01-20|5.69|5.95|5.63|5.92|27785212|USD|12
2012-01-23|5.97|5.97|5.8|5.82|20288076|USD|13
2012-01-24|5.76|5.89|5.72|5.82|21266240|USD|14
2012-01-25|5.81|5.97|5.77|5.94|17878446|USD|15
2012-01-26|5.96|5.97|5.62|5.64|24185564|USD|16
2012-01-27|5.64|5.76|5.63|5.7|13107324|USD|17
2012-01-30|5.71|5.71|5.59|5.66|9929779|USD|18
2012-01-31|5.68|5.77|5.64|5.72|19450820|USD|19
2012-02-01|5.74|5.82|5.71|5.77|16582522|USD|20
2012-02-02|5.76|5.83|5.72|5.78|9719127|USD|21
2012-02-03|5.83|5.9|5.83|5.89|15160757|USD|22
2012-02-06|5.85|5.94|5.84|5.84|7174061|USD|23
2012-02-07|5.86|5.99|5.82|5.93|16279362|USD|24
2012-02-08|5.94|6.05|5.91|6.05|16232223|USD|25
2012-02-09|6.08|6.09|5.95|6.03|11387018|USD|26
2012-02-10|5.94|5.94|5.87|5.91|9093289|USD|27
2012-02-13|5.95|5.98|5.85|5.89|8561459|USD|28
2012-02-14|5.86|5.94|5.75|5.79|19765630|USD|29
2012-02-15|5.8|5.89|5.79|5.8|10211999|USD|30
2012-02-16|5.82|5.93|5.79|5.93|12049517|USD|31
2012-02-17|5.97|6.1|5.9|6.09|18569368|USD|32
2012-02-21|6.14|6.15|5.98|6.01|16512760|USD|33
2012-02-22|6.02|6.04|5.92|5.95|13886822|USD|34
2012-02-23|5.95|6.01|5.91|6.01|7475968|USD|35
2012-02-24|6.02|6.02|5.9|5.91|9091422|USD|36
2012-02-27|5.87|5.94|5.82|5.88|12082514|USD|37
2012-02-28|5.89|6.01|5.84|5.99|13058445|USD|38
2012-02-29|6.0|6.05|5.83|5.84|15825742|USD|39
2012-03-01|5.89|5.98|5.86|5.9|11566389|USD|40
2012-03-02|5.9|5.94|5.85|5.88|9629380|USD|41
2012-03-05|5.85|5.86|5.7|5.72|14110028|USD|42
2012-03-06|5.66|5.67|5.49|5.56|17463204|USD|43
2012-03-07|5.6|5.74|5.59|5.7|8219459|USD|44
2012-03-08|5.77|5.8|5.71|5.8|6281180|USD|45
2012-03-09|5.8|5.89|5.77|5.86|6822640|USD|46
2012-03-12|5.83|5.9|5.79|5.81|6039438|USD|47
2012-03-13|5.89|6.11|5.87|6.09|15131287|USD|48
2012-03-14|6.17|6.27|6.06|6.24|22070000|USD|49
2012-03-15|6.26|6.5|6.17|6.45|21275422|USD|50
2012-03-16|6.54|6.55|6.35|6.43|13825576|USD|51
2012-03-19|6.48|6.58|6.37|6.49|17208004|USD|52
2012-03-20|6.46|6.53|6.39|6.49|16475613|USD|53
2012-03-21|6.55|6.56|6.41|6.41|15736331|USD|54
2012-03-22|6.37|6.43|6.31|6.34|12163980|USD|55
2012-03-23|6.41|6.43|6.27|6.29|15196088|USD|56
2012-03-26|6.42|6.45|6.35|6.41|11094992|USD|57
2012-03-27|6.42|6.44|6.33|6.35|10424656|USD|58
2012-03-28|6.38|6.46|6.33|6.46|9600733|USD|59
2012-03-29|6.4|6.43|6.31|6.4|10090472|USD|60
2012-03-30|6.46|6.46|6.32|6.45|9037440|USD|61
2012-04-02|6.45|6.57|6.37|6.56|14636707|USD|62
2012-04-03|6.57|6.58|6.43|6.5|11280899|USD|63
2012-04-04|6.42|6.55|6.36|6.5|14042487|USD|64
2012-04-05|6.48|6.51|6.41|6.42|7912196|USD|65
2012-04-09|6.32|6.36|6.29|6.34|8829754|USD|66
2012-04-10|6.32|6.35|6.15|6.16|10154159|USD|67
2012-04-11|6.25|6.35|6.24|6.33|9757172|USD|68
2012-04-12|6.35|6.45|6.31|6.42|5651272|USD|69
2012-04-13|6.4|6.4|6.21|6.22|9723328|USD|70
2012-04-16|6.32|6.35|6.19|6.33|10390170|USD|71
2012-04-17|6.41|6.44|6.35|6.35|11092226|USD|72
2012-04-18|6.46|6.62|6.32|6.4|27559324|USD|73
2012-04-19|6.43|6.55|6.37|6.45|21040866|USD|74
2012-04-20|6.51|6.62|6.44|6.55|18976312|USD|75
2012-04-23|6.4|6.5|6.35|6.42|17306232|USD|76
2012-04-24|6.46|6.57|6.44|6.54|19308802|USD|77
2012-04-25|6.59|6.68|6.55|6.66|17093580|USD|78
