Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|15.82|15.96|15.68|15.86|26850|USD|0
2012-01-04|15.67|15.82|15.62|15.78|7402|USD|1
2012-01-05|15.48|16.1|15.35|16.01|14276|USD|2
2012-01-06|15.94|16.07|15.77|15.85|17641|USD|3
2012-01-09|15.97|16.65|15.97|16.33|15025|USD|4
2012-01-10|16.65|16.65|16.38|16.57|11623|USD|5
2012-01-11|16.52|16.64|16.31|16.64|6721|USD|6
2012-01-12|16.63|16.74|16.32|16.71|6657|USD|7
2012-01-13|16.35|16.69|16.35|16.5|15563|USD|8
2012-01-17|16.71|16.72|16.05|16.26|31756|USD|9
2012-01-18|16.27|16.62|16.19|16.62|8280|USD|10
2012-01-19|16.66|16.75|15.66|16.45|9380|USD|11
2012-01-20|16.36|16.75|16.32|16.7|12599|USD|12
2012-01-23|16.68|16.84|16.44|16.84|6510|USD|13
2012-01-24|16.62|16.97|16.39|16.94|13643|USD|14
2012-01-25|16.53|16.96|16.52|16.93|14401|USD|15
2012-01-26|16.95|16.97|16.7|16.95|22679|USD|16
2012-01-27|16.5|16.97|16.5|16.97|11152|USD|17
2012-01-30|16.84|17.02|16.81|16.88|15988|USD|18
2012-01-31|16.95|16.95|16.4|16.47|19060|USD|19
2012-02-01|16.63|16.63|16.3|16.56|31740|USD|20
2012-02-02|16.65|16.88|16.54|16.7|17448|USD|21
2012-02-03|16.87|17.17|16.71|17.17|28319|USD|22
2012-02-06|16.96|17.16|16.85|17.07|8031|USD|23
2012-02-07|16.87|17.2|16.87|17.09|15421|USD|24
2012-02-08|17.08|17.13|16.91|17.09|26646|USD|25
2012-02-09|17.13|17.13|16.93|17.01|3833|USD|26
2012-02-10|16.76|16.96|16.66|16.78|7873|USD|27
2012-02-13|17.04|17.04|16.82|17.04|7712|USD|28
2012-02-14|16.85|16.87|16.62|16.71|6045|USD|29
2012-02-15|16.6|16.8|16.35|16.35|15523|USD|30
2012-02-16|16.38|16.97|16.38|16.81|7192|USD|31
2012-02-17|16.91|16.93|16.63|16.89|9796|USD|32
2012-02-21|16.98|16.98|16.62|16.67|4764|USD|33
2012-02-22|16.6|16.6|16.22|16.29|13332|USD|34
2012-02-23|16.69|16.85|16.55|16.83|10088|USD|35
2012-02-24|16.79|16.79|16.53|16.56|8436|USD|36
2012-02-27|16.51|16.55|16.33|16.49|7046|USD|37
2012-02-28|16.55|16.55|16.38|16.42|6521|USD|38
2012-02-29|16.52|16.52|15.71|15.71|17292|USD|39
2012-03-01|15.89|15.93|15.6|15.6|21121|USD|40
2012-03-02|15.76|15.76|14.68|14.91|36483|USD|41
2012-03-05|14.97|15.34|14.97|15.34|11989|USD|42
2012-03-06|15.15|15.19|14.51|14.8|21265|USD|43
2012-03-07|14.88|15.13|14.88|15.12|13137|USD|44
2012-03-08|15.17|15.32|14.93|15.31|10891|USD|45
2012-03-09|15.43|15.89|15.28|15.87|17936|USD|46
2012-03-12|15.81|15.93|15.76|15.89|4422|USD|47
2012-03-13|15.99|16.79|15.94|16.57|13659|USD|48
2012-03-14|16.46|16.63|16.46|16.6|8883|USD|49
2012-03-15|16.5|16.92|16.5|16.92|14525|USD|50
2012-03-16|16.96|17.06|16.73|16.91|48345|USD|51
2012-03-19|16.95|17.27|16.89|17.19|31360|USD|52
2012-03-20|17.08|17.08|16.77|16.88|9160|USD|53
2012-03-21|17.0|17.09|16.77|16.95|14612|USD|54
2012-03-22|16.66|16.79|16.49|16.79|14800|USD|55
2012-03-23|16.77|17.21|16.62|17.21|18648|USD|56
2012-03-26|17.27|17.46|17.17|17.42|30906|USD|57
2012-03-27|17.01|17.47|17.01|17.25|8290|USD|58
2012-03-28|17.37|17.46|17.15|17.35|11856|USD|59
