Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.31|1.42|1.3|1.36|19653|USD|0
2012-01-04|1.35|1.39|1.35|1.39|6713|USD|1
2012-01-05|1.4|1.4|1.35|1.37|11389|USD|2
2012-01-06|1.36|1.4|1.34|1.39|12417|USD|3
2012-01-09|1.4|1.42|1.35|1.4|9712|USD|4
2012-01-10|1.42|1.47|1.36|1.47|46101|USD|5
2012-01-11|1.43|1.5|1.43|1.46|24801|USD|6
2012-01-12|1.49|1.49|1.41|1.45|15161|USD|7
2012-01-13|1.43|1.49|1.37|1.41|9200|USD|8
2012-01-17|1.45|1.5|1.35|1.45|30904|USD|9
2012-01-18|1.5|1.72|1.5|1.69|58584|USD|10
2012-01-19|1.75|1.97|1.47|1.65|239955|USD|11
2012-01-20|1.65|1.65|1.45|1.55|74616|USD|12
2012-01-23|1.55|1.62|1.55|1.6|12124|USD|13
2012-01-24|1.62|1.69|1.6|1.65|36228|USD|14
2012-01-25|1.65|1.67|1.57|1.67|18598|USD|15
2012-01-26|1.68|1.85|1.59|1.63|19122|USD|16
2012-01-27|1.63|1.7|1.63|1.67|13293|USD|17
2012-01-30|1.69|1.69|1.67|1.67|33391|USD|18
2012-01-31|1.67|1.72|1.65|1.7|17648|USD|19
2012-02-01|1.74|1.74|1.55|1.55|69185|USD|20
2012-02-02|1.6|1.6|1.49|1.5|29533|USD|21
2012-02-03|1.56|1.67|1.45|1.66|72415|USD|22
2012-02-06|1.61|1.66|1.52|1.61|41638|USD|23
2012-02-07|1.58|1.65|1.56|1.64|16470|USD|24
2012-02-08|1.64|1.71|1.6|1.6|33569|USD|25
2012-02-09|1.64|1.7|1.6|1.68|31072|USD|26
2012-02-10|1.66|1.68|1.55|1.57|24448|USD|27
2012-02-13|1.56|1.6|1.55|1.56|12899|USD|28
2012-02-14|1.56|1.62|1.55|1.59|987|USD|29
2012-02-15|1.62|1.63|1.58|1.63|14902|USD|30
2012-02-16|1.64|1.7|1.64|1.7|17793|USD|31
2012-02-17|1.68|1.7|1.61|1.66|11157|USD|32
2012-02-21|1.64|1.66|1.57|1.64|14780|USD|33
2012-02-22|1.65|1.67|1.61|1.63|4972|USD|34
2012-02-23|1.61|1.62|1.55|1.57|22712|USD|35
2012-02-24|1.6|1.63|1.55|1.6|4879|USD|36
2012-02-27|1.6|1.61|1.55|1.58|21626|USD|37
2012-02-28|1.6|1.62|1.56|1.57|19486|USD|38
2012-02-29|1.57|1.63|1.55|1.55|18019|USD|39
2012-03-01|1.55|1.61|1.51|1.57|8333|USD|40
2012-03-02|1.54|1.58|1.52|1.57|3044|USD|41
2012-03-05|1.53|1.63|1.51|1.61|33416|USD|42
2012-03-06|1.56|1.62|1.55|1.61|18305|USD|43
2012-03-07|1.6|1.62|1.55|1.62|4668|USD|44
2012-03-08|1.6|1.62|1.57|1.59|16566|USD|45
2012-03-09|1.59|1.69|1.55|1.67|63617|USD|46
2012-03-12|1.68|1.69|1.55|1.68|12264|USD|47
2012-03-13|1.69|1.84|1.63|1.82|93060|USD|48
2012-03-14|1.84|1.86|1.72|1.75|28665|USD|49
2012-03-15|1.79|1.89|1.75|1.83|47591|USD|50
2012-03-16|1.83|1.89|1.8|1.87|43039|USD|51
2012-03-19|1.84|1.95|1.8|1.85|50040|USD|52
2012-03-20|1.86|1.87|1.78|1.83|44136|USD|53
2012-03-21|1.85|1.9|1.81|1.9|82381|USD|54
2012-03-22|1.85|1.89|1.8|1.85|46066|USD|55
2012-03-23|1.85|1.86|1.82|1.82|15679|USD|56
2012-03-26|1.84|2.08|1.81|2.08|86125|USD|57
2012-03-27|2.0|2.22|2.0|2.15|107191|USD|58
2012-03-28|2.2|2.45|2.15|2.24|158424|USD|59
