Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|18.9|19.37|18.8|19.07|300991|USD|0
2012-01-04|18.94|19.35|18.85|19.2|207620|USD|1
2012-01-05|19.06|19.73|18.78|19.45|256261|USD|2
2012-01-06|19.46|19.46|18.97|19.03|196884|USD|3
2012-01-09|19.19|19.38|18.89|19.14|301446|USD|4
2012-01-10|19.25|19.7|19.21|19.38|286909|USD|5
2012-01-11|19.33|19.63|19.02|19.57|160298|USD|6
2012-01-12|19.6|19.8|19.18|19.78|264358|USD|7
2012-01-13|19.3|19.63|19.19|19.47|261133|USD|8
2012-01-17|19.64|19.9|19.32|19.54|238234|USD|9
2012-01-18|19.52|19.89|19.28|19.88|170565|USD|10
2012-01-19|19.94|19.95|19.53|19.81|150926|USD|11
2012-01-20|19.72|19.95|19.59|19.87|246215|USD|12
2012-01-23|19.82|19.97|19.56|19.7|104798|USD|13
2012-01-24|19.53|20.01|19.15|19.93|221275|USD|14
2012-01-25|19.93|19.93|19.54|19.78|245513|USD|15
2012-01-26|19.95|19.95|19.02|19.31|170030|USD|16
2012-01-27|19.18|19.67|19.18|19.55|96671|USD|17
2012-01-30|19.34|19.52|19.12|19.3|117704|USD|18
2012-01-31|19.42|19.53|19.16|19.22|116814|USD|19
2012-02-01|19.39|19.83|19.21|19.81|317194|USD|20
2012-02-02|19.85|20.0|19.69|19.9|199527|USD|21
2012-02-03|20.0|20.1|19.93|19.98|358467|USD|22
2012-02-06|19.88|20.05|19.75|19.9|134406|USD|23
2012-02-07|19.85|20.0|19.61|19.67|177956|USD|24
2012-02-08|19.68|19.99|19.46|19.79|161107|USD|25
2012-02-09|19.83|19.95|19.47|19.65|115389|USD|26
2012-02-10|19.38|19.69|19.19|19.2|100387|USD|27
2012-02-13|19.5|19.87|19.47|19.76|170068|USD|28
2012-02-14|19.65|19.74|19.27|19.57|126826|USD|29
2012-02-15|19.63|19.68|19.16|19.35|261929|USD|30
2012-02-16|19.34|19.94|19.25|19.79|368929|USD|31
2012-02-17|19.91|19.91|19.6|19.75|366081|USD|32
2012-02-21|19.8|19.8|19.4|19.55|147180|USD|33
2012-02-22|19.5|19.6|18.91|18.93|135378|USD|34
2012-02-23|19.0|19.57|18.89|19.23|314374|USD|35
2012-02-24|19.21|19.45|18.93|19.02|95972|USD|36
2012-02-27|18.77|19.4|18.6|19.1|139885|USD|37
2012-02-28|19.19|19.19|18.45|18.68|273103|USD|38
2012-02-29|18.79|19.28|18.62|18.98|406015|USD|39
2012-03-01|19.1|19.39|19.1|19.14|300637|USD|40
2012-03-02|19.16|19.29|18.65|18.82|217572|USD|41
2012-03-05|18.76|19.07|18.68|18.87|350487|USD|42
2012-03-06|18.61|18.76|18.32|18.47|348683|USD|43
2012-03-07|18.57|18.82|18.39|18.76|269709|USD|44
2012-03-08|18.9|19.1|18.61|19.03|384511|USD|45
2012-03-09|19.03|19.69|19.03|19.49|302431|USD|46
2012-03-12|19.51|19.6|19.3|19.46|173246|USD|47
2012-03-13|19.58|20.1|19.58|20.07|341977|USD|48
2012-03-14|20.08|20.29|19.7|20.15|330552|USD|49
2012-03-15|20.16|20.65|19.98|20.65|372869|USD|50
2012-03-16|20.67|20.99|20.42|20.72|419999|USD|51
2012-03-19|20.67|21.26|20.42|21.0|286171|USD|52
2012-03-20|20.74|20.99|20.63|20.86|561847|USD|53
2012-03-21|20.97|21.0|20.71|20.75|211824|USD|54
2012-03-22|20.46|20.65|20.16|20.55|201753|USD|55
2012-03-23|20.64|21.15|20.37|21.12|280182|USD|56
2012-03-26|21.32|21.64|21.14|21.6|392624|USD|57
2012-03-27|21.59|21.88|21.41|21.72|378545|USD|58
2012-03-28|21.7|21.89|21.43|21.84|229005|USD|59
2012-03-29|21.39|21.61|21.04|21.47|237199|USD|60
2012-03-30|21.71|21.71|21.14|21.15|356371|USD|61
2012-04-02|21.14|21.49|21.05|21.37|283798|USD|62
2012-04-03|21.4|21.44|20.99|21.35|231688|USD|63
2012-04-04|21.0|21.28|20.59|20.8|230227|USD|64
2012-04-05|20.79|20.86|20.43|20.55|176531|USD|65
2012-04-09|20.11|20.3|19.88|20.09|182918|USD|66
2012-04-10|20.09|20.19|19.68|19.72|290015|USD|67
2012-04-11|19.97|20.12|19.8|20.12|175018|USD|68
2012-04-12|20.16|20.53|20.08|20.46|154986|USD|69
2012-04-13|20.3|20.31|19.46|19.52|227381|USD|70
2012-04-16|19.62|19.91|19.42|19.73|141225|USD|71
2012-04-17|19.95|20.39|19.85|20.22|186280|USD|72
2012-04-18|20.02|20.02|19.6|19.79|163560|USD|73
2012-04-19|19.8|19.99|19.27|19.53|124066|USD|74
2012-04-20|19.84|19.98|19.55|19.91|206023|USD|75
2012-04-23|19.62|19.76|19.39|19.53|230045|USD|76
2012-04-24|19.6|20.0|19.6|19.97|155778|USD|77
2012-04-25|20.05|20.49|19.95|20.23|180491|USD|78
2012-04-26|20.15|20.43|20.03|20.31|113417|USD|79
2012-04-27|20.3|20.39|19.99|20.2|293809|USD|80
2012-04-30|20.15|20.22|19.7|19.73|124793|USD|81
2012-05-01|19.76|20.36|19.69|19.98|238198|USD|82
2012-05-02|19.76|20.08|19.6|19.95|114016|USD|83
2012-05-03|19.88|20.12|19.24|19.39|177317|USD|84
2012-05-04|19.3|19.47|18.78|18.82|235366|USD|85
2012-05-07|18.76|19.32|18.58|19.15|92334|USD|86
2012-05-08|18.96|19.44|18.96|19.39|131142|USD|87
2012-05-09|19.09|19.25|18.9|19.0|113900|USD|88
2012-05-10|19.21|19.55|19.2|19.48|178709|USD|89
2012-05-11|19.21|19.48|18.96|19.09|161846|USD|90
2012-05-14|18.8|18.95|18.66|18.67|125604|USD|91
2012-05-15|18.66|18.91|18.56|18.58|81621|USD|92
2012-05-16|18.64|18.88|18.49|18.49|104378|USD|93
2012-05-17|18.48|18.66|18.22|18.37|216842|USD|94
2012-05-18|18.32|18.69|18.25|18.29|243794|USD|95
2012-05-21|18.42|18.68|18.32|18.53|202142|USD|96
2012-05-22|18.56|18.88|18.43|18.53|185357|USD|97
2012-05-23|18.26|18.7|18.15|18.62|135372|USD|98
2012-05-24|18.68|18.71|18.27|18.71|124176|USD|99
2012-05-25|18.71|18.8|18.38|18.5|82405|USD|100
2012-05-29|18.75|18.75|18.35|18.7|92728|USD|101
2012-05-30|18.44|18.54|18.24|18.27|107513|USD|102
2012-05-31|18.32|18.55|18.15|18.47|266045|USD|103
2012-06-01|18.23|18.23|17.65|17.69|308581|USD|104
2012-06-04|17.81|17.87|17.6|17.72|188587|USD|105
2012-06-05|17.57|17.99|17.57|17.72|165432|USD|106
2012-06-06|17.88|18.15|17.79|18.14|102002|USD|107
2012-06-07|18.44|18.58|18.21|18.28|167803|USD|108
2012-06-08|18.19|18.8|18.09|18.65|106840|USD|109
2012-06-11|18.8|18.92|18.32|18.36|250228|USD|110
2012-06-12|18.54|18.78|18.31|18.7|170618|USD|111
2012-06-13|18.62|18.99|18.25|18.41|189080|USD|112
2012-06-14|18.46|18.99|18.45|18.9|232825|USD|113
2012-06-15|18.96|19.34|18.77|19.18|398486|USD|114
2012-06-18|18.96|19.7|18.92|19.66|315935|USD|115
2012-06-19|19.67|20.3|19.53|20.21|970429|USD|116
2012-06-20|20.18|20.31|19.88|20.12|268481|USD|117
2012-06-21|20.18|20.27|19.36|19.4|219909|USD|118
2012-06-22|19.58|19.86|19.45|19.82|268466|USD|119
2012-06-25|19.43|19.52|19.23|19.31|133642|USD|120
2012-06-26|19.28|19.55|19.13|19.35|165173|USD|121
2012-06-27|19.43|19.94|19.12|19.87|128803|USD|122
2012-06-28|19.63|19.65|19.0|19.22|570317|USD|123
2012-06-29|19.77|19.77|19.04|19.52|446563|USD|124
2012-07-02|19.5|19.88|19.46|19.76|235993|USD|125
2012-07-03|19.73|19.73|19.51|19.7|284914|USD|126
2012-07-05|19.63|19.88|19.34|19.76|218411|USD|127
2012-07-06|19.51|19.76|19.48|19.59|94975|USD|128
2012-07-09|19.52|19.53|19.23|19.41|164312|USD|129
2012-07-10|19.49|19.6|19.14|19.25|141324|USD|130
2012-07-11|19.22|19.32|18.98|19.21|178358|USD|131
2012-07-12|19.07|19.19|18.79|19.06|160058|USD|132
2012-07-13|19.13|19.71|19.07|19.68|125667|USD|133
2012-07-16|19.63|19.63|19.38|19.43|128418|USD|134
2012-07-17|19.6|19.77|19.25|19.64|138194|USD|135
2012-07-18|19.6|19.76|19.53|19.59|128003|USD|136
2012-07-19|19.66|19.66|19.15|19.16|81449|USD|137
2012-07-20|18.97|19.13|18.78|18.8|136589|USD|138
2012-07-23|18.37|18.61|18.33|18.49|103724|USD|139
2012-07-24|18.57|18.61|18.22|18.33|205522|USD|140
2012-07-25|18.47|18.55|18.08|18.16|125364|USD|141
2012-07-26|18.49|18.5|18.23|18.27|118162|USD|142
2012-07-27|18.4|19.04|17.73|18.8|177601|USD|143
2012-07-30|18.77|19.03|18.57|18.6|59721|USD|144
2012-07-31|18.49|18.71|18.29|18.33|199782|USD|145
2012-08-01|18.43|18.57|18.02|18.05|177885|USD|146
2012-08-02|17.89|18.09|17.62|17.97|376229|USD|147
2012-08-03|18.31|18.75|18.05|18.52|204664|USD|148
2012-08-06|18.48|18.93|18.37|18.38|145489|USD|149
2012-08-07|18.5|18.6|18.07|18.1|248234|USD|150
2012-08-08|17.96|18.02|17.72|17.88|203071|USD|151
2012-08-09|17.84|17.94|17.74|17.83|121470|USD|152
2012-08-10|17.77|17.88|17.66|17.83|69448|USD|153
2012-08-13|17.75|17.82|17.45|17.82|82755|USD|154
2012-08-14|17.97|18.09|17.78|17.86|130376|USD|155
2012-08-15|17.77|18.02|17.75|18.01|82190|USD|156
2012-08-16|18.0|18.15|17.79|18.11|89584|USD|157
2012-08-17|18.11|18.31|18.01|18.26|117288|USD|158
2012-08-20|18.18|18.45|18.18|18.41|142975|USD|159
2012-08-21|18.5|18.94|18.32|18.54|186113|USD|160
2012-08-22|18.48|18.6|18.3|18.33|107449|USD|161
2012-08-23|18.3|18.41|17.91|17.95|94632|USD|162
2012-08-24|17.87|18.19|17.85|18.05|106370|USD|163
2012-08-27|18.17|18.23|18.0|18.14|134104|USD|164
2012-08-28|18.14|18.57|18.14|18.5|331558|USD|165
2012-08-29|18.48|18.79|18.29|18.65|137879|USD|166
2012-08-30|18.51|18.53|18.38|18.4|111499|USD|167
2012-08-31|18.6|18.61|18.19|18.26|120975|USD|168
2012-09-04|18.19|18.68|18.0|18.63|281807|USD|169
2012-09-05|18.76|18.83|18.41|18.66|273272|USD|170
2012-09-06|18.72|19.48|18.7|19.27|476481|USD|171
2012-09-07|19.45|19.49|19.17|19.42|576828|USD|172
2012-09-10|19.44|19.46|19.26|19.29|163322|USD|173
2012-09-11|19.29|19.49|19.24|19.35|127059|USD|174
2012-09-12|19.37|19.45|19.26|19.39|79124|USD|175
2012-09-13|19.41|19.85|19.28|19.72|259196|USD|176
2012-09-14|19.84|20.4|19.66|20.14|506021|USD|177
2012-09-17|20.02|20.12|19.63|19.77|165997|USD|178
2012-09-18|19.71|19.96|19.65|19.89|166679|USD|179
2012-09-19|19.89|20.0|19.63|19.71|170861|USD|180
2012-09-20|19.58|19.6|19.32|19.5|143416|USD|181
2012-09-21|19.82|19.95|19.74|19.75|907797|USD|182
2012-09-24|19.7|19.96|19.54|19.75|126260|USD|183
2012-09-25|19.89|19.97|19.37|19.38|146496|USD|184
2012-09-26|19.24|19.4|19.17|19.26|113912|USD|185
2012-09-27|19.32|19.39|19.07|19.23|213962|USD|186
2012-09-28|19.1|19.2|19.04|19.07|194764|USD|187
2012-10-01|19.25|19.25|18.73|19.01|256549|USD|188
2012-10-02|19.1|19.16|18.91|19.07|114505|USD|189
2012-10-03|19.05|19.23|18.95|19.02|93858|USD|190
2012-10-04|19.05|19.19|18.87|19.12|197826|USD|191
2012-10-05|19.14|19.47|19.04|19.14|113526|USD|192
2012-10-08|19.05|19.08|18.92|18.94|93615|USD|193
2012-10-09|18.93|18.96|18.57|18.58|108312|USD|194
2012-10-10|18.65|18.88|18.57|18.72|201963|USD|195
2012-10-11|18.91|18.91|18.66|18.75|97710|USD|196
2012-10-12|18.66|18.66|18.05|18.07|83417|USD|197
2012-10-15|18.19|18.32|17.97|18.22|82755|USD|198
2012-10-16|18.36|18.36|17.75|17.9|187685|USD|199
2012-10-17|17.96|18.32|17.96|18.23|134092|USD|200
2012-10-18|18.18|18.31|17.96|17.96|81681|USD|201
2012-10-19|17.8|17.92|17.64|17.85|198828|USD|202
2012-10-22|17.83|18.01|17.79|18.0|78072|USD|203
2012-10-23|17.84|18.11|17.61|18.03|233351|USD|204
2012-10-24|18.08|18.19|17.89|17.99|196045|USD|205
2012-10-25|18.18|18.29|17.81|18.27|193216|USD|206
2012-10-26|18.3|18.34|18.09|18.21|107488|USD|207
2012-10-31|18.17|18.23|17.95|18.15|102681|USD|208
2012-11-01|18.11|18.91|17.96|18.62|279492|USD|209
2012-11-02|18.66|18.94|18.1|18.14|193278|USD|210
2012-11-05|18.11|18.33|17.84|18.18|78728|USD|211
2012-11-06|18.3|19.18|18.3|19.09|153660|USD|212
2012-11-07|18.78|18.94|18.48|18.5|226187|USD|213
2012-11-08|18.51|18.8|18.06|18.08|231712|USD|214
2012-11-09|17.94|18.33|17.83|18.05|134263|USD|215
2012-11-12|18.11|18.29|17.86|18.03|65595|USD|216
2012-11-13|17.91|18.24|17.88|17.9|105478|USD|217
2012-11-14|17.97|18.07|17.57|17.62|144735|USD|218
2012-11-15|17.62|17.82|17.25|17.32|158091|USD|219
2012-11-16|17.27|17.49|16.92|17.14|399569|USD|220
2012-11-19|17.31|17.57|17.31|17.4|149411|USD|221
2012-11-20|17.42|17.51|17.34|17.43|135210|USD|222
2012-11-21|17.54|17.54|17.22|17.41|80451|USD|223
2012-11-23|17.51|17.9|17.41|17.88|62222|USD|224
2012-11-26|17.84|17.91|17.72|17.88|110062|USD|225
2012-11-27|17.91|18.06|17.8|17.83|98420|USD|226
2012-11-28|17.72|17.89|17.42|17.8|89114|USD|227
2012-11-29|18.0|18.17|17.94|18.09|108193|USD|228
2012-11-30|18.16|18.18|17.9|18.1|195562|USD|229
2012-12-03|18.28|18.48|17.92|18.12|121946|USD|230
2012-12-04|18.11|18.19|17.89|17.99|125504|USD|231
2012-12-05|18.12|18.26|17.92|18.19|330881|USD|232
2012-12-06|18.12|18.45|18.09|18.43|187134|USD|233
2012-12-07|18.5|18.5|18.21|18.29|84712|USD|234
2012-12-10|18.31|18.36|18.05|18.2|146557|USD|235
2012-12-11|18.15|18.49|17.78|18.49|176632|USD|236
2012-12-12|18.5|18.5|17.86|17.98|353106|USD|237
2012-12-13|18.03|18.03|17.72|17.76|204693|USD|238
2012-12-14|17.67|17.88|17.61|17.67|98580|USD|239
2012-12-17|17.71|18.09|17.68|18.09|211864|USD|240
2012-12-18|18.09|18.64|17.83|18.64|148888|USD|241
2012-12-19|18.6|18.9|18.13|18.73|146823|USD|242
2012-12-20|18.71|18.98|18.59|18.77|139077|USD|243
2012-12-21|18.59|18.71|18.19|18.58|576636|USD|244
2012-12-24|18.61|18.61|18.13|18.33|60121|USD|245
2012-12-26|18.34|18.34|18.12|18.22|76494|USD|246
2012-12-27|18.23|18.25|17.81|18.14|104711|USD|247
2012-12-28|18.06|18.2|17.91|17.93|91688|USD|248
2012-12-31|17.84|18.12|17.82|18.09|208986|USD|249
2013-01-02|18.57|18.95|18.26|18.91|314502|USD|250
2013-01-03|18.89|19.07|18.77|19.05|143413|USD|251
2013-01-04|19.18|19.47|19.01|19.36|161743|USD|252
2013-01-07|19.19|19.33|19.12|19.2|90193|USD|253
2013-01-08|19.17|19.34|18.78|18.94|163669|USD|254
2013-01-09|19.05|19.17|18.98|19.05|119210|USD|255
2013-01-10|19.18|19.22|19.03|19.09|162643|USD|256
2013-01-11|19.13|19.13|18.52|18.91|327112|USD|257
2013-01-14|18.8|19.18|18.77|19.1|100162|USD|258
2013-01-15|19.01|19.23|18.91|19.19|85105|USD|259
2013-01-16|19.1|19.34|19.05|19.23|111351|USD|260
2013-01-17|19.36|19.66|19.26|19.62|145084|USD|261
2013-01-18|19.58|19.61|19.44|19.54|103010|USD|262
2013-01-22|19.53|19.85|19.5|19.85|75957|USD|263
2013-01-23|19.85|19.85|19.53|19.61|96469|USD|264
2013-01-24|19.6|19.79|19.52|19.69|97078|USD|265
2013-01-25|19.82|19.82|19.33|19.62|121481|USD|266
2013-01-28|19.43|19.95|19.43|19.91|128300|USD|267
2013-01-29|19.85|20.1|19.84|19.95|186231|USD|268
2013-01-30|19.87|19.99|19.54|19.61|177548|USD|269
2013-01-31|19.57|19.71|19.3|19.55|240961|USD|270
2013-02-01|19.7|19.9|19.49|19.83|206197|USD|271
2013-02-04|19.66|19.71|19.3|19.35|127122|USD|272
2013-02-05|19.54|19.8|19.42|19.72|86412|USD|273
2013-02-06|19.57|19.87|19.53|19.87|69142|USD|274
2013-02-07|19.83|19.93|19.6|19.8|106459|USD|275
2013-02-08|19.8|19.94|19.75|19.81|55538|USD|276
2013-02-11|19.93|19.98|19.65|19.79|56538|USD|277
2013-02-12|19.82|20.14|19.81|20.07|95724|USD|278
2013-02-13|20.14|20.14|19.79|19.99|147834|USD|279
2013-02-14|19.88|20.14|19.88|19.96|82951|USD|280
2013-02-15|20.0|20.1|19.82|20.01|139340|USD|281
2013-02-19|20.06|20.25|20.05|20.1|192532|USD|282
2013-02-20|20.1|20.45|19.99|20.06|255361|USD|283
2013-02-21|20.09|20.41|20.09|20.23|179863|USD|284
2013-02-22|20.4|20.59|20.3|20.58|131808|USD|285
2013-02-25|20.67|20.67|20.01|20.04|215719|USD|286
2013-02-26|20.21|20.3|19.86|20.08|133161|USD|287
2013-02-27|20.12|20.4|20.12|20.26|155929|USD|288
2013-02-28|20.25|20.59|20.2|20.25|238451|USD|289
