Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.25|11.26|11.16|11.26|6252|USD|0
2012-01-04|11.3|11.3|11.25|11.26|800|USD|1
2012-01-06|11.29|11.29|11.25|11.25|1500|USD|2
2012-01-11|11.24|11.24|11.24|11.24|286|USD|3
2012-01-13|11.25|11.25|11.25|11.25|400|USD|4
2012-01-17|11.25|11.25|11.25|11.25|350|USD|5
2012-01-18|11.26|11.26|11.26|11.26|500|USD|6
2012-01-19|11.26|11.26|11.26|11.26|6800|USD|7
2012-01-20|11.3|11.3|11.26|11.26|900|USD|8
2012-01-23|11.3|11.41|11.3|11.34|2750|USD|9
2012-01-24|11.46|11.47|11.3|11.31|13737|USD|10
2012-01-25|11.3|11.3|11.3|11.3|650|USD|11
2012-01-26|11.34|11.35|11.34|11.35|900|USD|12
2012-01-27|11.34|11.35|11.34|11.35|4495|USD|13
2012-01-30|11.35|11.35|11.31|11.31|1900|USD|14
2012-01-31|11.36|11.36|11.36|11.36|200|USD|15
2012-02-01|11.4|11.4|11.4|11.4|400|USD|16
2012-02-03|11.4|11.4|11.4|11.4|436|USD|17
2012-02-08|11.37|11.37|11.37|11.37|0|USD|18
2012-02-13|11.36|11.36|11.36|11.36|100|USD|19
2012-02-14|11.35|11.35|11.35|11.35|5211|USD|20
2012-02-15|11.4|11.44|11.39|11.4|10436|USD|21
2012-02-16|11.4|11.4|11.35|11.36|16151|USD|22
2012-02-17|11.5|11.5|11.31|11.5|20650|USD|23
2012-02-21|11.51|11.54|11.35|11.38|56801|USD|24
2012-02-22|11.35|11.37|11.3|11.35|80200|USD|25
2012-02-23|11.36|11.36|11.36|11.36|34900|USD|26
2012-02-24|11.36|11.36|11.36|11.36|58600|USD|27
2012-02-27|11.36|11.49|11.29|11.4|56750|USD|28
2012-02-28|11.45|11.55|11.4|11.49|8825|USD|29
2012-02-29|11.43|11.43|11.43|11.43|200|USD|30
2012-03-01|11.4|11.59|11.4|11.59|3300|USD|31
2012-03-02|11.5|11.5|11.4|11.4|2000|USD|32
2012-03-05|11.44|11.6|11.44|11.6|16880|USD|33
2012-03-06|11.64|11.75|11.6|11.68|18088|USD|34
2012-03-07|11.7|11.88|11.7|11.76|1420|USD|35
2012-03-08|11.8|11.82|11.8|11.82|2670|USD|36
2012-03-09|11.85|11.89|11.85|11.89|3900|USD|37
2012-03-12|11.86|11.88|11.82|11.82|685|USD|38
2012-03-13|11.84|11.84|11.83|11.83|1400|USD|39
2012-03-14|11.85|11.99|11.85|11.99|10892|USD|40
