Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|36.56|37.05|36.56|36.98|1249|USD|0
2012-01-04|35.8|37.0|35.8|36.51|2002|USD|1
2012-01-05|36.2|36.2|35.84|36.2|551|USD|2
2012-01-06|37.02|37.02|36.78|37.02|1382|USD|3
2012-01-09|37.0|37.0|36.92|36.92|1200|USD|4
2012-01-10|37.02|37.06|37.02|37.03|2476|USD|5
2012-01-13|36.79|37.0|36.76|36.76|2642|USD|6
2012-01-17|37.02|37.08|36.85|36.85|7810|USD|7
2012-01-18|37.01|37.6|37.01|37.6|633|USD|8
2012-01-19|37.01|37.95|37.01|37.83|2250|USD|9
2012-01-20|37.81|37.81|36.8|36.8|996|USD|10
2012-01-23|37.58|38.49|37.58|38.14|2596|USD|11
2012-01-24|38.28|40.28|38.28|38.53|5382|USD|12
2012-01-25|39.64|41.29|39.64|41.29|1969|USD|13
2012-01-27|41.3|41.5|41.3|41.5|300|USD|14
2012-01-30|41.5|41.5|39.1|40.15|995|USD|15
2012-01-31|39.83|39.85|39.83|39.85|520|USD|16
2012-02-01|41.0|41.25|39.86|41.25|2364|USD|17
2012-02-02|41.0|41.0|39.95|40.37|2808|USD|18
2012-02-03|41.24|41.25|41.0|41.22|2678|USD|19
2012-02-06|41.33|42.72|40.75|42.72|11938|USD|20
2012-02-07|43.47|43.5|42.55|43.5|11300|USD|21
2012-02-08|42.02|43.48|42.0|43.48|9622|USD|22
2012-02-09|42.0|43.79|42.0|43.79|6466|USD|23
2012-02-10|43.01|45.0|42.7|44.0|13063|USD|24
2012-02-13|44.02|45.15|44.0|44.91|6059|USD|25
2012-02-14|44.04|45.0|40.11|44.5|2769|USD|26
2012-02-15|43.08|44.8|42.31|44.0|3147|USD|27
2012-02-16|44.0|44.0|44.0|44.0|608|USD|28
2012-02-17|44.02|48.2|43.5|47.6|7905|USD|29
2012-02-21|47.5|47.5|44.0|44.35|1670|USD|30
2012-02-22|43.97|44.0|43.3|43.75|1306|USD|31
2012-02-23|43.4|45.0|43.38|44.8|10875|USD|32
2012-02-24|44.92|45.0|43.72|45.0|7584|USD|33
2012-02-27|44.93|45.66|44.9|44.9|2186|USD|34
2012-02-28|44.08|45.3|43.5|45.0|9849|USD|35
2012-02-29|45.1|45.4|45.1|45.4|1951|USD|36
2012-03-01|44.12|45.0|43.8|44.66|1100|USD|37
2012-03-06|45.0|45.0|44.8|44.99|1100|USD|38
2012-03-07|44.99|45.0|44.15|44.59|6296|USD|39
2012-03-08|44.89|44.89|43.75|44.64|5146|USD|40
2012-03-09|44.98|44.98|44.98|44.98|547|USD|41
2012-03-12|43.41|45.0|43.08|45.0|905|USD|42
2012-03-13|44.57|45.0|44.25|45.0|1600|USD|43
