Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|30.77|30.91|30.4|30.78|217906|USD|0
2012-01-04|30.45|30.69|29.94|30.43|209643|USD|1
2012-01-05|30.17|30.88|30.13|30.76|249293|USD|2
2012-01-06|30.75|31.0|30.21|30.85|262977|USD|3
2012-01-09|31.0|31.85|30.38|31.77|443869|USD|4
2012-01-10|32.0|32.21|31.84|32.11|222945|USD|5
2012-01-11|32.08|33.0|32.0|32.94|399628|USD|6
2012-01-12|32.98|33.16|32.79|33.14|391168|USD|7
2012-01-13|32.99|33.42|32.65|33.31|253741|USD|8
2012-01-17|33.5|33.82|33.24|33.7|287958|USD|9
2012-01-18|33.61|34.0|33.41|34.0|321408|USD|10
2012-01-19|34.0|34.66|33.89|34.47|319761|USD|11
2012-01-20|34.51|34.87|34.31|34.67|163641|USD|12
2012-01-23|34.51|34.67|34.09|34.09|206698|USD|13
2012-01-24|33.89|34.24|33.62|34.12|182805|USD|14
2012-01-25|34.04|34.27|33.06|33.18|433074|USD|15
2012-01-26|33.12|33.63|32.75|32.99|438811|USD|16
2012-01-27|32.92|33.37|32.68|32.88|107478|USD|17
2012-01-30|32.72|32.92|32.36|32.65|194224|USD|18
2012-01-31|32.85|33.12|32.6|32.85|317004|USD|19
2012-02-01|32.97|33.85|32.95|33.75|286983|USD|20
2012-02-02|33.91|34.05|33.57|34.04|259409|USD|21
2012-02-03|34.25|35.16|34.25|35.14|325938|USD|22
2012-02-06|34.99|35.37|34.89|35.05|278976|USD|23
2012-02-07|34.26|36.36|34.22|35.9|757912|USD|24
2012-02-08|35.38|36.15|32.29|32.44|1204428|USD|25
2012-02-09|32.43|33.05|32.06|32.26|336589|USD|26
2012-02-10|32.0|32.25|31.74|32.2|249383|USD|27
2012-02-13|32.42|33.04|32.25|32.59|245124|USD|28
2012-02-14|32.45|32.97|32.26|32.4|171553|USD|29
2012-02-15|32.45|32.58|31.89|32.0|67834|USD|30
2012-02-16|32.0|33.01|31.95|33.01|185321|USD|31
2012-02-17|33.1|33.36|32.52|33.08|351965|USD|32
2012-02-21|32.88|33.2|32.59|32.71|147077|USD|33
2012-02-22|32.68|32.89|32.48|32.6|143843|USD|34
2012-02-23|32.59|33.05|32.59|32.89|98088|USD|35
2012-02-24|32.94|32.96|32.68|32.81|140778|USD|36
2012-02-27|32.59|33.42|32.42|33.19|260659|USD|37
2012-02-28|33.17|34.0|32.98|33.96|489555|USD|38
2012-02-29|33.99|34.23|33.64|34.1|653268|USD|39
2012-03-01|34.48|34.62|33.99|34.61|764147|USD|40
2012-03-02|34.31|34.41|33.93|34.08|231946|USD|41
2012-03-05|33.85|34.04|33.33|33.75|179546|USD|42
2012-03-06|33.34|34.17|33.25|34.03|568977|USD|43
2012-03-07|34.32|34.58|33.86|34.57|243548|USD|44
2012-03-08|34.53|35.08|34.49|35.02|227507|USD|45
2012-03-09|35.07|36.34|35.05|36.15|605402|USD|46
2012-03-12|35.89|36.12|35.6|35.81|247144|USD|47
2012-03-13|36.0|36.66|35.86|36.61|285603|USD|48
2012-03-14|36.53|36.9|36.49|36.64|264865|USD|49
2012-03-15|36.7|37.12|36.28|37.04|285467|USD|50
2012-03-16|37.03|37.2|36.54|36.8|263064|USD|51
2012-03-19|36.93|37.49|36.61|37.37|239218|USD|52
2012-03-20|36.49|37.64|36.45|37.56|218778|USD|53
2012-03-21|37.6|37.93|37.48|37.87|188185|USD|54
2012-03-22|37.49|37.49|36.96|37.2|145248|USD|55
2012-03-23|37.21|37.3|37.03|37.21|252047|USD|56
2012-03-26|37.41|38.0|37.41|38.0|147373|USD|57
2012-03-27|37.99|38.47|37.9|38.34|348143|USD|58
2012-03-28|38.17|38.39|37.77|38.26|305551|USD|59
2012-03-29|37.97|38.26|37.63|37.95|237991|USD|60
2012-03-30|37.94|38.43|37.63|37.94|231333|USD|61
2012-04-02|37.63|38.4|37.14|38.02|359983|USD|62
2012-04-03|37.93|38.68|37.88|38.67|211780|USD|63
2012-04-04|38.15|38.94|37.87|38.14|246088|USD|64
2012-04-05|38.14|38.34|37.99|38.12|149131|USD|65
2012-04-09|37.64|37.89|37.2|37.67|171742|USD|66
2012-04-10|37.12|37.63|36.55|36.55|323524|USD|67
2012-04-11|36.97|37.22|36.72|37.0|157885|USD|68
2012-04-12|37.0|37.15|36.96|37.0|285882|USD|69
2012-04-13|37.0|37.09|36.42|36.56|235309|USD|70
2012-04-16|36.7|36.99|36.39|36.73|277719|USD|71
2012-04-17|36.46|37.0|36.29|36.92|391706|USD|72
2012-04-18|36.9|37.14|36.53|37.06|380032|USD|73
2012-04-19|36.91|37.1|36.72|36.94|84401|USD|74
2012-04-20|37.0|37.14|36.59|36.9|142652|USD|75
2012-04-23|36.57|37.0|36.33|36.84|178289|USD|76
2012-04-24|36.95|37.2|36.69|36.8|99250|USD|77
2012-04-25|37.0|37.03|36.75|36.97|171167|USD|78
2012-04-26|37.0|37.0|36.64|36.93|375184|USD|79
2012-04-27|37.21|37.52|36.95|36.98|489707|USD|80
2012-04-30|35.62|36.39|35.11|35.89|745589|USD|81
2012-05-01|35.42|35.99|34.88|35.75|2587020|USD|82
2012-05-02|34.84|34.95|34.33|34.88|8007740|USD|83
2012-05-03|34.75|34.8|34.17|34.52|1164047|USD|84
2012-05-04|34.23|34.66|34.23|34.59|575822|USD|85
2012-05-07|34.13|34.55|34.07|34.39|586895|USD|86
2012-05-08|34.27|34.34|32.39|33.95|1095024|USD|87
2012-05-09|32.62|34.0|32.47|33.65|688445|USD|88
2012-05-10|33.88|34.51|33.81|34.51|1094169|USD|89
