Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.94|8.94|8.68|8.74|219823|USD|0
2012-01-04|8.67|8.77|8.63|8.71|141633|USD|1
2012-01-05|8.65|8.77|8.53|8.75|165118|USD|2
2012-01-06|8.77|8.87|8.63|8.82|315247|USD|3
2012-01-09|8.83|8.84|8.73|8.8|129725|USD|4
2012-01-10|8.92|8.99|8.34|8.97|273167|USD|5
2012-01-11|8.94|9.12|8.91|9.08|125933|USD|6
2012-01-12|9.09|9.16|9.01|9.12|113421|USD|7
2012-01-13|9.0|9.15|8.91|9.11|145905|USD|8
2012-01-17|9.19|9.24|9.0|9.04|173125|USD|9
2012-01-18|9.06|9.16|8.68|9.13|174004|USD|10
2012-01-19|9.17|9.19|9.09|9.14|109424|USD|11
2012-01-20|9.1|9.48|9.09|9.43|147097|USD|12
2012-01-23|9.39|9.39|9.2|9.23|69536|USD|13
2012-01-24|9.16|9.17|9.05|9.17|141278|USD|14
2012-01-25|9.16|9.3|9.13|9.27|116613|USD|15
2012-01-26|9.3|9.34|9.16|9.29|111718|USD|16
2012-01-27|9.24|9.36|9.22|9.35|246765|USD|17
2012-01-30|9.26|9.31|9.2|9.24|162672|USD|18
2012-01-31|9.3|9.36|9.19|9.32|205742|USD|19
2012-02-01|9.4|9.63|9.29|9.55|281939|USD|20
2012-02-02|9.54|9.65|9.35|9.55|201183|USD|21
2012-02-03|9.73|9.73|9.55|9.65|241564|USD|22
2012-02-06|9.6|9.7|9.49|9.53|109859|USD|23
2012-02-07|9.49|9.59|9.48|9.49|111497|USD|24
2012-02-08|9.5|9.54|9.3|9.41|142918|USD|25
2012-02-09|9.43|9.43|9.19|9.22|143608|USD|26
2012-02-10|9.15|9.18|9.0|9.15|148993|USD|27
2012-02-13|9.25|9.63|9.22|9.58|180324|USD|28
2012-02-14|9.52|9.52|9.27|9.43|131053|USD|29
2012-02-15|9.45|9.45|9.12|9.14|162565|USD|30
2012-02-16|9.14|9.4|9.11|9.37|80877|USD|31
2012-02-17|9.41|9.45|9.27|9.39|77161|USD|32
2012-02-21|9.36|9.49|9.27|9.42|103373|USD|33
2012-02-22|9.41|9.44|9.14|9.14|196821|USD|34
2012-02-23|8.34|9.07|8.27|8.99|456586|USD|35
2012-02-24|8.98|8.98|8.76|8.76|222566|USD|36
2012-02-27|8.69|8.95|8.69|8.93|320570|USD|37
2012-02-28|8.91|9.06|8.87|8.97|320943|USD|38
2012-02-29|8.96|9.03|8.65|8.65|218661|USD|39
2012-03-01|8.68|8.78|8.55|8.56|192399|USD|40
