Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|60.09|60.12|59.13|59.49|52227|USD|0
2012-01-04|59.38|59.38|56.23|58.76|44396|USD|1
2012-01-05|58.66|58.88|58.05|58.88|33495|USD|2
2012-01-06|58.73|59.56|58.34|59.49|141818|USD|3
2012-01-09|59.47|59.64|59.24|59.5|57950|USD|4
2012-01-10|59.85|59.96|59.39|59.44|74231|USD|5
2012-01-11|59.35|59.5|59.2|59.5|38662|USD|6
2012-01-12|59.68|59.68|58.95|59.5|37114|USD|7
2012-01-13|59.31|59.31|58.69|58.91|39612|USD|8
2012-01-17|59.23|59.25|58.37|58.55|28090|USD|9
2012-01-18|58.56|59.45|58.18|59.44|46647|USD|10
2012-01-19|59.38|59.58|59.26|59.44|62698|USD|11
2012-01-20|59.28|59.61|58.89|59.46|53392|USD|12
2012-01-23|59.14|59.56|59.14|59.4|27707|USD|13
2012-01-24|59.3|59.5|59.05|59.4|23729|USD|14
2012-01-25|59.28|59.52|59.17|59.5|23026|USD|15
2012-01-26|59.59|60.09|59.34|59.97|88235|USD|16
2012-01-27|59.72|60.0|59.51|59.77|48878|USD|17
2012-01-30|59.22|59.7|59.22|59.52|27522|USD|18
2012-01-31|59.83|59.87|59.27|59.77|25340|USD|19
2012-02-01|59.95|60.42|59.64|60.23|65802|USD|20
2012-02-02|60.12|60.42|59.67|59.76|23408|USD|21
2012-02-03|60.16|60.89|60.11|60.88|54229|USD|22
2012-02-06|60.45|61.24|59.76|60.95|61330|USD|23
2012-02-07|60.62|61.06|60.37|60.76|44000|USD|24
2012-02-08|60.68|60.96|60.34|60.5|49081|USD|25
2012-02-09|60.49|61.18|60.26|61.13|27807|USD|26
2012-02-10|60.14|61.01|60.14|60.81|28675|USD|27
2012-02-13|61.25|61.39|60.76|61.39|39225|USD|28
2012-02-14|61.18|61.34|60.87|61.25|31262|USD|29
2012-02-15|61.34|61.9|60.77|60.94|99388|USD|30
2012-02-16|60.64|62.0|60.64|61.75|123849|USD|31
2012-02-17|61.7|61.84|61.28|61.61|57646|USD|32
2012-02-21|61.26|61.26|59.39|59.93|99117|USD|33
2012-02-22|60.55|61.12|59.4|59.74|95338|USD|34
2012-02-23|59.72|60.42|59.72|60.0|72490|USD|35
