Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.97|7.5|5.97|7.5|4369|USD|0
2012-01-04|7.35|7.35|7.35|7.35|1000|USD|1
2012-01-05|7.37|7.37|7.25|7.25|1950|USD|2
2012-01-10|6.83|7.11|6.83|7.02|900|USD|3
2012-01-11|7.06|7.06|6.94|6.96|1200|USD|4
2012-01-12|6.81|6.96|6.81|6.96|3867|USD|5
2012-01-17|6.97|6.97|6.97|6.97|2050|USD|6
2012-01-18|7.09|7.11|7.09|7.1|403|USD|7
2012-01-19|7.4|7.4|7.11|7.39|1312|USD|8
2012-01-20|7.11|7.45|7.11|7.11|9900|USD|9
2012-01-23|6.96|7.11|6.96|6.96|2831|USD|10
2012-01-24|7.0|7.0|7.0|7.0|300|USD|11
2012-01-25|7.41|7.6|7.41|7.6|3000|USD|12
2012-01-26|7.79|7.89|7.77|7.77|3296|USD|13
2012-01-27|7.79|7.79|7.7|7.7|700|USD|14
2012-01-30|7.71|7.71|7.7|7.7|400|USD|15
2012-01-31|7.77|7.94|7.77|7.94|3250|USD|16
2012-02-01|7.74|7.74|7.73|7.74|1500|USD|17
2012-02-03|7.85|8.5|7.85|8.5|10226|USD|18
2012-02-06|8.39|8.39|8.26|8.33|5971|USD|19
2012-02-07|8.31|8.69|8.31|8.62|1383|USD|20
2012-02-08|8.53|8.82|8.09|8.82|854|USD|21
2012-02-09|8.67|8.73|8.63|8.73|720|USD|22
2012-02-10|8.82|8.82|8.55|8.82|11205|USD|23
2012-02-13|8.82|8.82|8.82|8.82|400|USD|24
2012-02-14|9.07|9.31|9.07|9.31|1370|USD|25
2012-02-15|9.64|9.76|9.07|9.61|3666|USD|26
2012-02-16|10.77|10.77|9.03|9.99|10127|USD|27
2012-02-17|10.02|10.02|9.94|10.0|3150|USD|28
2012-02-21|9.86|9.87|9.78|9.78|900|USD|29
2012-02-22|9.8|10.05|9.8|10.05|4000|USD|30
2012-02-24|9.8|9.8|9.64|9.64|400|USD|31
2012-02-27|10.28|10.28|9.81|9.85|5373|USD|32
2012-02-28|10.37|10.4|10.4|10.4|0|USD|33
2012-02-29|9.91|11.2|9.91|10.67|4088|USD|34
2012-03-01|10.68|10.68|10.29|10.51|2122|USD|35
2012-03-02|10.61|10.61|10.1|10.1|3425|USD|36
2012-03-06|9.97|9.97|9.77|9.77|300|USD|37
2012-03-07|9.9|9.9|9.9|9.9|300|USD|38
2012-03-08|10.63|10.63|10.05|10.05|2900|USD|39
2012-03-09|10.52|10.63|10.35|10.35|1300|USD|40
2012-03-14|10.15|10.15|10.15|10.15|172|USD|41
2012-03-15|10.62|10.62|10.62|10.62|100|USD|42
2012-03-16|10.67|10.67|10.63|10.63|300|USD|43
2012-03-19|10.42|10.42|10.42|10.42|169|USD|44
2012-03-20|10.63|10.63|10.63|10.63|500|USD|45
2012-03-21|10.59|10.63|10.59|10.63|1088|USD|46
2012-03-27|10.73|10.73|10.07|10.72|4200|USD|47
2012-03-28|10.14|10.34|9.81|9.81|2328|USD|48
2012-03-29|9.83|9.83|9.35|9.78|4972|USD|49
2012-03-30|9.8|9.9|9.8|9.9|1500|USD|50
2012-04-02|9.95|10.37|9.31|10.19|5003|USD|51
2012-04-03|10.19|10.47|9.81|9.94|3468|USD|52
2012-04-09|10.61|10.63|10.35|10.35|1100|USD|53
2012-04-10|10.3|10.73|9.74|9.92|3000|USD|54
2012-04-11|9.93|10.34|9.84|10.01|1569|USD|55
2012-04-16|9.7|9.99|9.7|9.98|300|USD|56
2012-04-20|9.8|9.8|9.8|9.8|200|USD|57
2012-04-23|10.0|10.1|10.0|10.1|200|USD|58
2012-04-24|10.29|10.29|9.43|9.98|1179|USD|59
2012-04-25|9.63|9.63|9.63|9.63|100|USD|60
2012-04-26|9.34|9.61|9.31|9.61|400|USD|61
2012-04-27|9.31|9.31|9.31|9.31|500|USD|62
2012-04-30|10.17|10.17|9.71|9.71|249|USD|63
2012-05-03|9.8|9.8|9.8|9.8|300|USD|64
2012-05-04|9.8|9.8|9.8|9.8|200|USD|65
2012-05-08|9.77|9.77|9.77|9.77|100|USD|66
2012-05-09|9.67|9.67|9.67|9.67|100|USD|67
2012-05-10|9.79|9.79|9.79|9.79|400|USD|68
2012-05-11|9.71|9.71|9.66|9.66|200|USD|69
2012-05-15|9.98|9.98|9.98|9.98|100|USD|70
2012-05-16|9.8|9.8|9.8|9.8|469|USD|71
2012-05-17|9.84|9.92|9.31|9.61|6608|USD|72
2012-05-18|9.48|9.79|9.47|9.48|2424|USD|73
2012-05-21|9.44|9.44|9.44|9.44|100|USD|74
2012-05-22|9.31|9.31|9.31|9.31|230|USD|75
2012-05-23|9.31|9.31|9.31|9.31|600|USD|76
2012-05-24|9.31|9.31|9.31|9.31|300|USD|77
2012-05-29|9.98|10.59|9.98|10.59|4074|USD|78
2012-05-30|10.54|10.54|10.54|10.54|201|USD|79
2012-05-31|10.55|10.55|9.32|9.32|500|USD|80
2012-06-01|9.35|9.35|9.35|9.35|222|USD|81
2012-06-04|9.32|9.32|9.26|9.26|883|USD|82
2012-06-05|10.51|10.51|10.51|10.51|100|USD|83
2012-06-06|10.59|10.59|10.59|10.59|300|USD|84
2012-06-07|10.59|10.59|10.59|10.59|306|USD|85
2012-06-08|10.59|10.59|10.59|10.59|402|USD|86
2012-06-11|10.59|10.59|10.59|10.59|300|USD|87
2012-06-12|9.26|9.36|9.26|9.36|2646|USD|88
2012-06-13|9.41|9.41|9.41|9.41|355|USD|89
2012-06-14|9.73|9.73|9.4|9.51|1051|USD|90
2012-06-20|10.34|10.34|10.31|10.31|327|USD|91
2012-06-21|10.27|11.27|10.27|10.73|992|USD|92
2012-06-22|10.31|10.31|10.31|10.31|0|USD|93
2012-07-03|10.53|10.54|10.53|10.54|600|USD|94
2012-07-06|10.05|10.05|10.05|10.05|150|USD|95
2012-07-10|10.05|10.05|10.05|10.05|148|USD|96
2012-07-11|10.1|10.1|10.05|10.05|545|USD|97
2012-07-12|10.29|10.29|9.8|9.8|1200|USD|98
2012-07-13|9.31|10.05|9.31|10.05|3154|USD|99
2012-07-16|9.51|9.53|8.79|8.81|3363|USD|100
