Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|28.0|28.66|27.97|28.66|13680|USD|0
2012-01-04|28.36|28.55|27.9|28.05|6294|USD|1
2012-01-05|28.08|28.35|27.59|28.35|27438|USD|2
2012-01-06|28.35|28.35|28.04|28.04|7870|USD|3
2012-01-09|28.33|28.33|27.69|27.99|9202|USD|4
2012-01-10|28.18|28.4|27.89|28.37|10126|USD|5
2012-01-11|28.16|28.47|28.14|28.45|4244|USD|6
2012-01-12|28.24|28.45|28.02|28.41|2697|USD|7
2012-01-13|27.96|28.4|27.81|27.94|6934|USD|8
2012-01-17|28.24|28.24|27.64|27.97|6642|USD|9
2012-01-18|27.79|28.12|27.72|28.12|4070|USD|10
2012-01-19|27.73|28.14|27.7|27.91|2209|USD|11
2012-01-20|27.91|28.27|27.84|28.27|3850|USD|12
2012-01-23|27.92|28.37|27.87|28.33|1474|USD|13
2012-01-24|28.15|28.48|28.02|28.36|6593|USD|14
2012-01-25|28.21|28.74|28.1|28.36|11477|USD|15
2012-01-26|28.98|29.0|28.84|28.85|7059|USD|16
2012-01-27|28.16|29.03|28.16|28.99|7154|USD|17
2012-01-30|28.63|28.68|28.29|28.29|3537|USD|18
2012-01-31|28.61|28.97|28.57|28.68|3623|USD|19
2012-02-01|28.78|29.5|28.5|29.48|11465|USD|20
2012-02-02|29.5|29.5|29.2|29.37|13213|USD|21
2012-02-03|29.5|31.16|29.5|31.16|19880|USD|22
2012-02-06|30.65|30.87|30.31|30.74|8832|USD|23
2012-02-07|30.66|30.97|30.43|30.65|7728|USD|24
2012-02-08|30.51|30.6|30.17|30.17|4334|USD|25
2012-02-09|29.74|30.0|28.56|28.7|4868|USD|26
2012-02-10|29.12|29.82|28.53|28.55|6502|USD|27
2012-02-13|28.96|29.17|28.39|28.5|16735|USD|28
2012-02-14|28.31|28.31|26.3|26.65|12346|USD|29
2012-02-15|26.97|27.19|26.08|26.08|11920|USD|30
2012-02-16|26.94|26.94|26.07|26.15|18492|USD|31
2012-02-17|26.0|26.33|25.91|25.95|14693|USD|32
2012-02-21|25.99|26.71|25.99|26.59|8715|USD|33
2012-02-22|26.47|27.55|26.23|26.4|50083|USD|34
2012-02-23|26.51|26.76|26.35|26.55|34425|USD|35
2012-02-24|26.66|27.13|26.65|26.91|8763|USD|36
2012-02-27|26.86|27.44|26.86|27.28|3448|USD|37
2012-02-28|27.17|27.56|27.12|27.33|4804|USD|38
2012-02-29|27.26|27.35|27.0|27.01|17882|USD|39
2012-03-01|27.26|27.58|27.0|27.36|9763|USD|40
2012-03-02|27.06|27.39|26.7|26.76|18964|USD|41
2012-03-05|26.76|27.52|26.76|27.24|6188|USD|42
2012-03-06|26.95|27.65|26.95|27.42|16146|USD|43
2012-03-07|27.3|27.76|27.3|27.76|5860|USD|44
2012-03-08|27.62|28.55|27.47|28.49|6106|USD|45
2012-03-09|28.37|28.71|28.25|28.5|10468|USD|46
2012-03-12|28.31|29.0|28.31|28.68|3867|USD|47
2012-03-13|28.91|29.5|28.65|29.5|12603|USD|48
2012-03-14|29.52|29.55|29.35|29.41|3551|USD|49
2012-03-15|29.44|29.44|28.89|29.14|3748|USD|50
2012-03-16|29.08|29.96|28.69|29.76|20622|USD|51
2012-03-19|29.76|29.76|29.12|29.54|8060|USD|52
2012-03-20|29.25|29.59|28.25|28.67|7190|USD|53
2012-03-21|28.62|28.62|28.27|28.45|3996|USD|54
2012-03-22|28.19|29.45|28.11|28.31|3128|USD|55
2012-03-23|28.2|29.49|28.2|29.46|6267|USD|56
