Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2013-11-11|14.0|14.45|13.98|14.04|82256|USD|0
2013-11-12|14.0|14.24|13.5|14.0|154776|USD|1
2013-11-13|13.99|15.24|13.9|14.0|172849|USD|2
2013-11-14|14.1|14.16|13.91|13.94|54444|USD|3
2013-11-15|14.35|14.35|13.95|14.0|58479|USD|4
2013-11-18|14.25|14.49|13.95|14.1|61746|USD|5
2013-11-19|13.96|14.1|13.96|14.05|21593|USD|6
2013-11-20|13.96|14.0|13.5|13.82|221457|USD|7
2013-11-21|13.77|13.77|13.75|13.75|2390|USD|8
2013-11-22|13.5|14.4|13.49|13.83|26287|USD|9
2013-11-25|13.83|14.1|13.76|14.0|15300|USD|10
2013-11-26|14.13|14.15|13.96|13.98|14626|USD|11
2013-11-27|13.95|14.15|13.95|14.15|23940|USD|12
2013-11-29|14.15|14.49|13.99|14.04|17400|USD|13
2013-12-02|13.82|14.4|13.8|14.02|18715|USD|14
2013-12-03|14.08|14.38|13.82|13.9|8388|USD|15
2013-12-04|14.11|14.11|13.78|13.78|6940|USD|16
2013-12-05|13.78|13.9|13.75|13.76|3450|USD|17
2013-12-06|13.93|13.94|13.1|13.1|10608|USD|18
2013-12-09|13.5|13.52|13.0|13.48|1435560|USD|19
2013-12-10|13.4|13.45|12.65|12.65|32964|USD|20
2013-12-11|12.66|12.68|12.0|12.19|45432|USD|21
2013-12-12|13.45|13.45|12.24|12.24|37906|USD|22
2013-12-13|12.17|13.2|11.55|12.0|76561|USD|23
2013-12-16|12.61|12.88|12.11|12.88|11205|USD|24
2013-12-17|12.67|13.15|12.05|12.3|3264992|USD|25
2013-12-18|12.45|13.45|12.45|12.84|108473|USD|26
2013-12-19|12.63|12.89|12.24|12.37|131846|USD|27
2013-12-20|12.86|12.86|12.13|12.13|1053299|USD|28
2013-12-23|12.13|13.3|12.09|12.76|54720|USD|29
2013-12-24|12.67|12.7|12.45|12.45|6996|USD|30
2013-12-26|12.45|12.68|12.43|12.5|27464|USD|31
2013-12-27|12.5|12.65|12.22|12.55|4450|USD|32
2013-12-30|12.44|12.72|12.21|12.5|8887|USD|33
2013-12-31|11.92|12.75|11.48|12.73|46453|USD|34
2014-01-02|12.59|12.59|12.09|12.46|12308|USD|35
2014-01-03|12.52|12.57|12.15|12.26|7473|USD|36
2014-01-06|12.46|12.5|12.24|12.34|1056189|USD|37
2014-01-07|12.32|12.49|12.04|12.21|915640|USD|38
2014-01-08|12.47|12.49|12.12|12.35|83649|USD|39
2014-01-09|12.3|13.0|12.3|12.4|50486|USD|40
2014-01-10|12.49|12.53|12.36|12.5|14466|USD|41
2014-01-13|12.57|12.57|12.3|12.5|29769|USD|42
2014-01-14|12.42|12.59|12.42|12.5|14441|USD|43
2014-01-15|12.55|12.59|12.27|12.29|60017|USD|44
2014-01-16|12.47|12.47|12.1|12.16|49414|USD|45
2014-01-17|12.08|12.48|12.0|12.3|30088|USD|46
2014-01-21|12.4|12.69|12.03|12.25|101684|USD|47
2014-01-22|12.24|12.47|12.07|12.26|38611|USD|48
2014-01-23|12.37|12.37|12.2|12.28|17232|USD|49
2014-01-24|12.17|12.3|12.07|12.25|14338|USD|50
2014-01-27|12.28|12.44|12.0|12.06|28078|USD|51
2014-01-28|12.13|12.49|12.0|12.05|40088|USD|52
2014-01-29|11.88|12.5|11.88|12.14|86392|USD|53
2014-01-30|12.19|13.94|12.18|12.18|10374|USD|54
2014-01-31|12.11|12.32|12.1|12.27|84050|USD|55
2014-02-03|12.47|12.47|12.04|12.2|18005|USD|56
2014-02-04|12.21|12.25|12.06|12.09|23216|USD|57
2014-02-05|12.24|12.24|12.06|12.2|44477|USD|58
2014-02-06|12.13|12.34|12.13|12.16|45756|USD|59
2014-02-07|12.18|12.89|12.18|12.21|14769|USD|60
2014-02-10|12.21|12.4|12.21|12.24|33578|USD|61
2014-02-11|12.26|12.39|12.23|12.25|67450|USD|62
2014-02-12|12.29|12.34|12.21|12.32|6435|USD|63
2014-02-13|12.3|12.34|12.21|12.27|40308|USD|64
2014-02-14|12.25|12.26|12.12|12.22|30968|USD|65
2014-02-18|12.24|12.28|12.01|12.12|131638|USD|66
2014-02-19|12.07|12.24|11.69|11.69|119553|USD|67
2014-02-20|11.72|12.08|11.69|11.78|47342|USD|68
2014-02-21|11.82|11.99|11.43|11.47|96426|USD|69
2014-02-24|11.48|11.88|11.48|11.55|46139|USD|70
2014-02-25|11.61|11.61|11.38|11.46|20843|USD|71
2014-02-26|11.0|11.57|10.5|10.94|219016|USD|72
2014-02-27|10.93|11.02|10.77|10.82|95871|USD|73
2014-02-28|10.81|11.48|10.81|10.94|234251|USD|74
2014-03-03|10.93|10.93|10.53|10.67|68854|USD|75
2014-03-04|10.8|10.83|10.42|10.52|552763|USD|76
2014-03-05|10.49|10.73|10.32|10.53|164337|USD|77
2014-03-06|10.45|10.67|10.42|10.53|55164|USD|78
2014-03-07|10.67|11.4|10.65|10.9|659610|USD|79
2014-03-10|11.05|11.37|10.9|11.35|204200|USD|80
2014-03-11|11.28|12.05|10.96|11.96|860158|USD|81
2014-03-12|11.9|12.03|11.79|11.9|365032|USD|82
2014-03-13|11.9|11.97|11.77|11.81|85754|USD|83
2014-03-14|11.81|11.93|11.8|11.85|178267|USD|84
2014-03-17|11.92|11.97|11.79|11.81|101964|USD|85
2014-03-18|11.84|11.93|11.68|11.89|379130|USD|86
2014-03-19|11.89|11.99|11.78|11.88|128034|USD|87
