Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|8.65|8.87|8.25|8.41|2796|USD|0
2012-01-04|8.05|8.19|7.79|7.98|1400|USD|1
2012-01-05|8.0|9.34|8.0|8.81|5435|USD|2
2012-01-06|8.79|8.89|8.65|8.82|7200|USD|3
2012-01-09|8.34|8.79|8.23|8.44|3882|USD|4
2012-01-10|8.49|8.65|8.2|8.2|900|USD|5
2012-01-11|8.52|8.84|8.2|8.76|1948|USD|6
2012-01-13|8.21|9.04|8.21|9.04|1472|USD|7
2012-01-17|9.14|9.14|8.8|8.92|1100|USD|8
2012-01-18|9.0|9.06|9.0|9.06|200|USD|9
2012-01-24|9.02|9.02|8.75|8.75|1000|USD|10
2012-01-25|8.33|8.33|8.33|8.33|100|USD|11
2012-01-26|8.37|9.0|8.06|9.0|4121|USD|12
2012-01-27|10.24|10.24|10.05|10.11|1443|USD|13
2012-01-30|9.9|9.92|8.83|9.3|4800|USD|14
2012-01-31|9.1|9.99|9.1|9.99|6200|USD|15
2012-02-01|9.92|10.09|9.61|10.0|6407|USD|16
2012-02-02|9.99|10.0|9.93|9.93|1150|USD|17
2012-02-03|10.0|10.0|10.0|10.0|500|USD|18
2012-02-06|8.99|9.15|8.99|9.15|608|USD|19
2012-02-07|9.25|10.92|9.25|9.31|2000|USD|20
2012-02-08|10.75|10.75|9.8|9.8|480|USD|21
2012-02-09|10.24|10.24|10.1|10.1|400|USD|22
2012-02-10|9.98|9.98|9.98|9.98|100|USD|23
2012-02-13|9.67|10.28|9.26|9.3|7009|USD|24
2012-02-14|9.57|10.2|9.57|10.2|3150|USD|25
2012-02-15|10.28|10.28|10.04|10.04|1200|USD|26
2012-02-16|9.64|9.9|9.64|9.9|600|USD|27
2012-02-17|9.65|9.83|9.32|9.32|600|USD|28
2012-02-21|9.49|10.06|9.49|9.71|2300|USD|29
2012-02-22|9.78|9.78|9.16|9.16|1400|USD|30
2012-02-23|9.17|9.58|8.82|8.82|1410|USD|31
2012-02-24|9.0|9.35|8.76|8.76|700|USD|32
2012-02-27|8.96|9.92|8.96|9.92|3299|USD|33
2012-02-28|9.95|9.95|8.96|8.96|6241|USD|34
2012-02-29|9.18|9.22|9.1|9.1|1633|USD|35
