Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|11.94|12.08|11.77|11.79|726607|USD|0
2012-01-04|11.69|11.88|11.49|11.78|891187|USD|1
2012-01-05|11.65|12.16|11.61|12.13|1112815|USD|2
2012-01-06|12.13|12.15|11.85|11.95|489446|USD|3
2012-01-09|11.97|12.15|11.9|12.15|593083|USD|4
2012-01-10|12.28|12.46|12.15|12.27|631680|USD|5
2012-01-11|12.29|12.29|12.03|12.18|466378|USD|6
2012-01-12|12.23|12.27|11.96|12.2|368093|USD|7
2012-01-13|12.03|12.15|11.96|12.08|379740|USD|8
2012-01-17|12.15|12.35|11.91|12.0|576080|USD|9
2012-01-18|12.0|12.22|11.88|12.19|389265|USD|10
2012-01-19|12.28|12.31|12.0|12.15|326242|USD|11
2012-01-20|12.14|12.48|12.09|12.44|595375|USD|12
2012-01-23|12.45|12.55|12.35|12.37|362255|USD|13
2012-01-24|12.25|12.43|12.15|12.38|370957|USD|14
2012-01-25|11.89|12.25|11.83|12.17|1603481|USD|15
2012-01-26|12.18|12.23|11.67|12.0|1215001|USD|16
2012-01-27|12.0|12.13|11.8|12.09|700592|USD|17
2012-01-30|12.26|12.26|11.8|11.85|546408|USD|18
2012-01-31|11.99|12.14|11.68|11.77|726178|USD|19
2012-02-01|11.85|12.2|11.79|12.17|857125|USD|20
2012-02-02|12.16|12.28|12.11|12.23|537147|USD|21
2012-02-03|12.35|12.76|12.35|12.75|1051378|USD|22
2012-02-06|12.71|12.77|12.44|12.51|340466|USD|23
2012-02-07|12.49|12.55|12.3|12.39|531888|USD|24
2012-02-08|12.4|12.48|12.2|12.39|346704|USD|25
2012-02-09|12.44|12.44|12.21|12.25|232853|USD|26
2012-02-10|12.13|12.19|11.98|12.02|274698|USD|27
2012-02-13|12.16|12.27|12.02|12.26|315344|USD|28
2012-02-14|12.21|12.21|12.0|12.1|270380|USD|29
2012-02-15|12.17|12.18|11.96|12.05|382587|USD|30
2012-02-16|12.07|12.43|12.0|12.43|375353|USD|31
2012-02-17|12.43|12.43|12.24|12.36|416639|USD|32
2012-02-21|12.35|12.46|12.17|12.34|343596|USD|33
2012-02-22|12.31|12.46|12.03|12.04|579000|USD|34
2012-02-23|12.03|12.4|12.0|12.38|271356|USD|35
2012-02-24|12.36|12.38|12.13|12.19|220939|USD|36
2012-02-27|12.07|12.36|12.04|12.25|429156|USD|37
2012-02-28|12.18|12.29|12.02|12.13|377240|USD|38
2012-02-29|12.15|12.4|12.03|12.08|478505|USD|39
2012-03-01|12.1|12.39|12.1|12.2|368034|USD|40
2012-03-02|12.2|12.28|11.81|11.84|511781|USD|41
2012-03-05|11.77|11.95|11.71|11.87|311428|USD|42
2012-03-06|11.72|11.78|11.49|11.52|479148|USD|43
2012-03-07|11.55|11.7|11.46|11.7|447073|USD|44
2012-03-08|11.76|11.79|11.58|11.78|569179|USD|45
2012-03-09|11.78|12.17|11.76|12.11|621943|USD|46
2012-03-12|12.14|12.27|12.03|12.25|440049|USD|47
2012-03-13|12.35|12.82|12.28|12.8|709273|USD|48
2012-03-14|12.76|12.84|12.46|12.75|622338|USD|49
2012-03-15|12.79|13.12|12.65|12.97|682434|USD|50
2012-03-16|12.95|13.0|12.83|12.92|1218800|USD|51
2012-03-19|12.93|13.22|12.68|13.1|624182|USD|52
2012-03-20|12.97|13.09|12.87|12.91|727727|USD|53
2012-03-21|12.94|13.05|12.75|12.95|602680|USD|54
2012-03-22|12.87|12.93|12.65|12.86|901557|USD|55
2012-03-23|12.82|12.88|12.62|12.78|850064|USD|56
2012-03-26|12.93|13.06|12.86|13.0|674068|USD|57
2012-03-27|12.99|13.1|12.95|13.03|533732|USD|58
2012-03-28|13.02|13.29|12.96|13.29|812545|USD|59
2012-03-29|13.14|13.21|12.92|13.16|748384|USD|60
2012-03-30|13.3|13.3|13.05|13.14|829508|USD|61
2012-04-02|13.07|13.23|12.98|13.21|811109|USD|62
2012-04-03|13.18|13.23|13.01|13.19|543217|USD|63
2012-04-04|13.0|13.07|12.79|12.91|520927|USD|64
2012-04-05|12.81|12.88|12.77|12.84|366769|USD|65
2012-04-09|12.57|12.78|12.52|12.7|623674|USD|66
2012-04-10|12.65|12.7|12.43|12.52|698364|USD|67
2012-04-11|12.68|12.71|12.53|12.69|430941|USD|68
2012-04-12|12.68|12.84|12.61|12.8|435845|USD|69
2012-04-13|12.74|12.74|12.39|12.46|437330|USD|70
2012-04-16|12.55|12.71|12.41|12.68|383552|USD|71
2012-04-17|12.83|12.99|12.74|12.89|535948|USD|72
2012-04-18|12.78|12.79|12.63|12.7|334728|USD|73
2012-04-19|12.74|12.85|12.5|12.63|409114|USD|74
2012-04-20|12.75|12.91|12.65|12.7|362893|USD|75
2012-04-23|12.49|12.59|12.44|12.57|414197|USD|76
2012-04-24|12.58|12.83|12.53|12.8|379836|USD|77
