Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.35|1.36|1.28|1.32|9935|USD|0
2012-01-04|1.32|1.35|1.24|1.24|23812|USD|1
2012-01-05|1.25|1.25|1.24|1.24|25700|USD|2
2012-01-06|1.25|1.25|1.15|1.16|55811|USD|3
2012-01-09|1.17|1.18|1.15|1.18|54650|USD|4
2012-01-10|1.17|1.18|1.15|1.18|49830|USD|5
2012-01-11|1.18|1.19|1.17|1.18|28800|USD|6
2012-01-12|1.19|1.21|1.15|1.21|29430|USD|7
2012-01-13|1.21|1.21|1.2|1.2|30660|USD|8
2012-01-17|1.18|1.3|1.18|1.3|47797|USD|9
2012-01-18|1.26|1.3|1.18|1.18|12656|USD|10
2012-01-19|1.16|1.25|1.16|1.21|2491|USD|11
2012-01-20|1.25|1.26|1.21|1.26|3000|USD|12
2012-01-23|1.26|1.26|1.21|1.21|8870|USD|13
2012-01-24|1.22|1.26|1.21|1.21|5080|USD|14
2012-01-25|1.25|1.35|1.2|1.26|38179|USD|15
2012-01-26|1.26|1.26|1.15|1.17|36785|USD|16
2012-01-27|1.17|1.2|1.15|1.16|6430|USD|17
2012-01-30|1.16|1.22|1.15|1.19|18680|USD|18
2012-01-31|1.22|1.23|1.22|1.22|5900|USD|19
2012-02-01|1.23|1.32|1.18|1.23|15697|USD|20
2012-02-02|1.2|1.21|1.18|1.2|7475|USD|21
2012-02-03|1.21|1.3|1.21|1.26|5825|USD|22
2012-02-06|1.26|1.3|1.17|1.25|12546|USD|23
2012-02-07|1.25|1.26|1.2|1.21|22647|USD|24
2012-02-08|1.22|1.23|1.2|1.23|3200|USD|25
2012-02-09|1.2|1.27|1.2|1.26|3900|USD|26
2012-02-10|1.25|1.29|1.25|1.29|3950|USD|27
2012-02-13|1.3|1.3|1.23|1.24|6612|USD|28
2012-02-14|1.28|1.28|1.21|1.21|2100|USD|29
2012-02-15|1.2|1.28|1.2|1.24|3275|USD|30
2012-02-16|1.26|1.27|1.21|1.26|7962|USD|31
2012-02-17|1.28|1.39|1.22|1.29|104452|USD|32
2012-02-21|1.26|1.34|1.21|1.25|36544|USD|33
2012-02-22|1.25|1.29|1.24|1.24|5155|USD|34
2012-02-23|1.27|1.27|1.17|1.23|8493|USD|35
2012-02-24|1.23|1.26|1.2|1.22|12018|USD|36
2012-02-27|1.22|1.26|1.17|1.24|27216|USD|37
2012-02-28|1.25|1.26|1.25|1.26|1143|USD|38
2012-02-29|1.26|1.26|1.19|1.2|1580|USD|39
2012-03-01|1.24|1.26|1.24|1.26|10461|USD|40
2012-03-02|1.23|1.3|1.16|1.23|48397|USD|41
2012-03-05|1.2|1.25|1.17|1.25|13837|USD|42
2012-03-06|1.2|1.2|1.16|1.16|25220|USD|43
2012-03-07|1.19|1.22|1.19|1.22|1300|USD|44
2012-03-08|1.2|1.23|1.2|1.23|2025|USD|45
2012-03-09|1.19|1.19|1.15|1.18|36308|USD|46
2012-03-12|1.18|1.19|1.17|1.17|4622|USD|47
2012-03-13|1.18|1.2|1.17|1.2|17255|USD|48
2012-03-14|1.23|1.26|1.23|1.26|12900|USD|49
2012-03-15|1.2|1.24|1.2|1.2|14129|USD|50
2012-03-16|1.21|1.3|1.21|1.3|39919|USD|51
2012-03-19|1.3|1.4|1.3|1.39|56476|USD|52
2012-03-20|1.39|1.39|1.32|1.32|26154|USD|53
2012-03-21|1.38|1.44|1.38|1.44|65291|USD|54
2012-03-22|1.44|1.6|1.42|1.53|41009|USD|55
2012-03-23|1.55|1.66|1.52|1.66|142381|USD|56
2012-03-26|1.69|1.74|1.58|1.64|70188|USD|57
2012-03-27|1.55|1.65|1.55|1.59|23198|USD|58
2012-03-28|1.61|1.96|1.61|1.85|71670|USD|59
2012-03-29|1.82|1.95|1.82|1.9|87662|USD|60
2012-03-30|1.93|1.98|1.82|1.84|84675|USD|61
2012-04-02|1.85|1.93|1.75|1.88|68059|USD|62
2012-04-03|1.86|1.9|1.8|1.81|10608|USD|63
2012-04-04|1.85|1.91|1.85|1.9|4275|USD|64
2012-04-05|1.91|1.91|1.85|1.85|6072|USD|65
2012-04-09|1.8|1.85|1.6|1.6|22640|USD|66
2012-04-10|1.6|1.78|1.6|1.69|35739|USD|67
2012-04-11|1.74|1.76|1.64|1.72|20336|USD|68
2012-04-12|1.75|1.77|1.74|1.76|7500|USD|69
2012-04-13|1.69|1.72|1.63|1.69|24187|USD|70
2012-04-16|1.74|1.74|1.62|1.65|21800|USD|71
2012-04-17|1.67|1.7|1.64|1.69|9496|USD|72
2012-04-18|1.69|1.7|1.69|1.69|3840|USD|73
