Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.48|5.5|5.48|5.5|7223|USD|0
2012-01-06|5.39|5.39|5.39|5.39|8026|USD|1
2012-01-09|5.48|5.5|5.39|5.39|1133|USD|2
2012-01-10|5.47|5.47|5.47|5.47|94|USD|3
2012-01-11|5.39|5.49|5.39|5.39|4343|USD|4
2012-01-17|5.43|5.43|5.43|5.43|94|USD|5
2012-01-19|5.48|6.27|5.48|5.85|8290|USD|6
2012-01-20|5.64|6.08|5.64|5.85|2266|USD|7
2012-01-23|5.65|5.85|5.65|5.85|189|USD|8
2012-01-30|5.79|5.79|5.42|5.64|1180|USD|9
2012-02-02|5.64|5.97|5.48|5.48|2644|USD|10
2012-02-06|5.52|5.7|5.52|5.55|472|USD|11
2012-02-07|5.6|5.91|5.6|5.91|2738|USD|12
2012-02-08|6.18|6.18|5.9|5.9|4154|USD|13
2012-02-09|5.9|5.9|5.84|5.84|378|USD|14
2012-02-10|5.8|5.92|5.8|5.8|4929|USD|15
2012-02-13|6.04|6.04|5.88|5.88|1039|USD|16
2012-02-14|5.92|6.03|5.9|6.03|4060|USD|17
2012-02-15|6.05|6.05|5.99|6.02|2644|USD|18
2012-02-16|6.0|6.0|5.8|5.8|2682|USD|19
2012-02-17|5.8|5.82|5.8|5.82|661|USD|20
2012-02-22|5.82|5.88|5.81|5.86|661|USD|21
2012-02-28|5.8|5.8|5.4|5.42|7770|USD|22
2012-02-29|5.19|5.19|5.19|5.19|0|USD|23
2012-03-02|5.54|5.74|5.54|5.6|850|USD|24
2012-03-05|5.44|5.44|5.44|5.44|379|USD|25
2012-03-08|5.5|5.59|5.47|5.47|1416|USD|26
2012-03-09|5.42|5.42|5.4|5.4|461|USD|27
2012-03-14|5.41|5.49|5.4|5.4|1321|USD|28
2012-03-16|5.75|5.76|5.46|5.75|3646|USD|29
2012-03-19|5.27|5.27|5.27|5.27|0|USD|30
2012-03-20|5.64|5.66|5.5|5.5|4085|USD|31
2012-03-21|5.69|5.71|5.52|5.52|378|USD|32
2012-03-26|5.71|5.71|5.63|5.63|2077|USD|33
2012-03-27|5.85|5.85|5.75|5.83|944|USD|34
2012-03-29|5.62|5.62|5.6|5.62|378|USD|35
2012-04-03|5.22|5.22|5.22|5.22|0|USD|36
2012-04-04|5.66|5.81|5.56|5.81|925|USD|37
2012-04-13|5.66|5.66|5.56|5.56|6609|USD|38
2012-04-27|5.74|5.74|5.74|5.74|160|USD|39
2012-04-30|5.51|5.51|5.51|5.51|0|USD|40
2012-05-07|5.79|5.79|5.61|5.62|1794|USD|41
2012-05-08|5.63|5.63|5.62|5.62|567|USD|42
2012-05-09|5.62|5.62|5.62|5.62|189|USD|43
2012-05-11|5.62|5.62|5.62|5.62|944|USD|44
2012-05-14|5.61|5.61|5.61|5.61|489|USD|45
2012-05-17|5.6|5.6|5.6|5.6|94|USD|46
2012-05-18|5.81|5.85|5.81|5.85|811|USD|47
2012-05-22|5.85|5.85|5.85|5.85|330|USD|48
2012-05-23|5.59|5.59|5.59|5.59|104|USD|49
2012-05-24|5.56|5.56|5.56|5.56|527|USD|50
2012-05-25|5.57|5.57|5.57|5.57|189|USD|51
2012-05-29|5.58|5.59|5.51|5.51|2349|USD|52
2012-05-31|5.49|5.49|5.49|5.49|0|USD|53
2012-06-01|5.47|5.47|5.47|5.47|367|USD|54
2012-06-04|5.5|5.5|5.5|5.5|1416|USD|55
2012-06-08|5.53|5.53|5.53|5.53|94|USD|56
2012-06-15|5.47|5.47|5.47|5.47|0|USD|57
2012-06-18|5.54|5.54|5.46|5.46|378|USD|58
2012-06-21|5.5|5.5|5.5|5.5|189|USD|59
2012-06-22|5.5|5.5|5.5|5.5|618|USD|60
2012-06-25|5.5|5.71|5.5|5.71|189|USD|61
2012-06-27|5.71|5.74|5.71|5.73|755|USD|62
2012-07-18|5.73|5.76|5.73|5.76|3494|USD|63
2012-07-24|5.77|5.77|5.76|5.76|2360|USD|64
2012-07-26|5.77|5.77|5.77|5.77|640|USD|65
2012-07-30|5.85|5.85|5.85|5.85|434|USD|66
2012-07-31|5.85|5.85|5.85|5.85|991|USD|67
2012-08-02|5.86|5.86|5.86|5.86|1297|USD|68
2012-08-03|5.97|5.97|5.97|5.97|2130|USD|69
2012-08-07|5.97|5.97|5.97|5.97|189|USD|70
2012-08-08|5.78|5.78|5.78|5.78|94|USD|71
2012-08-09|5.87|5.87|5.87|5.87|94|USD|72
2012-08-15|5.78|5.87|5.77|5.87|378|USD|73
2012-08-20|5.87|5.94|5.87|5.94|850|USD|74
2012-08-23|5.88|5.88|5.88|5.88|238|USD|75
2012-08-24|6.02|6.18|5.93|5.93|1735|USD|76
2012-08-31|5.83|5.83|5.77|5.77|567|USD|77
2012-09-07|5.92|6.01|5.92|6.01|378|USD|78
2012-09-10|6.01|6.15|5.78|5.81|9464|USD|79
2012-09-11|5.98|5.98|5.97|5.97|741|USD|80
2012-09-12|6.07|6.07|6.07|6.07|1416|USD|81
2012-09-18|6.09|6.09|6.09|6.09|94|USD|82
2012-09-21|6.1|6.3|6.07|6.3|508|USD|83
2012-09-25|6.21|6.21|6.21|6.21|4144|USD|84
2012-09-27|6.24|6.61|6.24|6.36|9064|USD|85
2012-09-28|6.39|6.39|6.17|6.18|3229|USD|86
2012-10-01|6.25|6.25|6.25|6.25|189|USD|87
2012-10-03|6.09|6.24|6.09|6.15|472|USD|88
2012-10-04|6.12|6.19|6.07|6.19|1022|USD|89
2012-10-05|6.23|6.23|6.13|6.13|283|USD|90
2012-10-09|6.18|6.31|6.18|6.31|1983|USD|91
2012-10-10|6.16|6.7|6.16|6.31|3021|USD|92
2012-10-11|6.36|6.36|6.36|6.36|283|USD|93
2012-10-12|6.75|6.75|6.4|6.48|7931|USD|94
2012-10-15|6.45|6.74|6.39|6.66|3735|USD|95
2012-10-16|6.58|6.58|6.45|6.54|1983|USD|96
2012-10-17|6.51|6.51|6.51|6.51|94|USD|97
2012-10-22|6.8|6.8|6.8|6.8|1888|USD|98
2012-10-23|6.7|6.7|6.7|6.7|944|USD|99
2012-10-24|6.71|6.71|6.71|6.71|94|USD|100
2012-10-26|6.7|6.7|6.6|6.65|1605|USD|101
2012-11-01|6.85|6.85|6.61|6.64|2172|USD|102
2012-11-02|6.99|7.2|6.65|7.07|3567|USD|103
2012-11-05|6.86|6.92|6.75|6.8|1456|USD|104
2012-11-07|6.6|6.61|6.6|6.61|231|USD|105
2012-11-08|6.6|6.75|6.6|6.75|326|USD|106
2012-11-13|6.54|6.54|6.54|6.54|378|USD|107
2012-11-14|6.55|6.55|6.54|6.54|2710|USD|108
2012-11-15|6.29|6.29|6.05|6.2|733|USD|109
2012-11-16|6.06|6.48|6.06|6.28|3562|USD|110
2012-11-19|6.42|6.98|6.42|6.8|4653|USD|111
2012-11-20|6.6|6.6|6.54|6.54|2927|USD|112
2012-11-21|6.48|6.53|6.36|6.53|1335|USD|113
2012-11-26|6.49|6.7|6.49|6.7|1605|USD|114
2012-11-29|6.76|6.76|6.76|6.76|192|USD|115
2012-11-30|6.71|6.71|6.27|6.44|7563|USD|116
2012-12-03|6.53|6.53|6.53|6.53|94|USD|117
2012-12-04|6.66|6.72|6.65|6.65|945|USD|118
2012-12-05|6.68|6.68|6.68|6.68|283|USD|119
2012-12-06|6.67|6.67|6.67|6.67|94|USD|120
2012-12-11|6.62|6.94|6.62|6.92|3210|USD|121
2012-12-12|6.81|7.03|6.52|6.66|13464|USD|122
2012-12-13|6.6|6.6|6.6|6.6|94|USD|123
2012-12-14|6.6|6.91|6.6|6.91|6285|USD|124
2012-12-20|6.9|6.91|6.88|6.91|481|USD|125
2012-12-21|6.75|6.75|6.75|6.75|94|USD|126
2012-12-26|6.84|7.33|6.84|7.32|1629|USD|127
2012-12-28|7.36|7.36|7.36|7.36|378|USD|128
2012-12-31|7.37|7.8|7.37|7.4|2644|USD|129
2013-01-02|7.48|7.48|7.33|7.43|1322|USD|130
2013-01-03|7.36|7.36|7.36|7.36|97|USD|131
2013-01-04|7.59|7.6|7.57|7.59|4006|USD|132
2013-01-07|7.59|7.59|7.23|7.23|8962|USD|133
2013-01-08|7.09|7.09|7.07|7.07|384|USD|134
2013-01-09|7.46|7.46|7.05|7.1|18695|USD|135
2013-01-10|7.34|7.34|7.12|7.12|661|USD|136
2013-01-11|7.2|7.2|7.18|7.18|472|USD|137
2013-01-14|7.32|7.54|7.13|7.54|1327|USD|138
2013-01-15|7.56|7.7|7.54|7.54|12597|USD|139
2013-01-16|7.59|7.59|7.59|7.59|8147|USD|140
2013-01-17|7.49|7.54|7.49|7.54|157134|USD|141
2013-01-18|7.59|7.59|7.59|7.59|1386|USD|142
2013-01-22|7.75|7.75|7.75|7.75|404|USD|143
2013-01-23|7.75|8.05|7.75|8.05|2679|USD|144
2013-02-04|7.77|7.77|7.75|7.75|395|USD|145
2013-02-05|7.7|8.05|7.7|8.05|755|USD|146
2013-02-07|8.02|8.05|8.02|8.05|4721|USD|147
2013-02-08|8.15|8.16|8.13|8.16|850|USD|148
2013-02-13|8.14|8.14|8.14|8.14|94|USD|149
2013-02-14|7.78|7.79|7.75|7.79|2044|USD|150
2013-02-21|7.8|7.8|7.8|7.8|94|USD|151
2013-02-25|7.78|7.78|7.75|7.75|661|USD|152
2013-02-26|7.77|7.77|7.77|7.77|283|USD|153
2013-02-27|8.15|8.62|8.13|8.57|10345|USD|154
2013-02-28|8.49|8.49|8.49|8.49|166|USD|155
2013-03-04|7.96|7.96|7.96|7.96|132|USD|156
2013-03-05|8.05|8.05|8.05|8.05|472|USD|157
2013-03-06|8.03|8.21|8.03|8.17|1617|USD|158
2013-03-13|7.61|8.48|7.61|8.47|3384|USD|159
2013-03-14|8.46|8.48|8.46|8.48|883|USD|160
2013-03-15|8.27|8.68|8.27|8.68|270|USD|161
2013-03-18|8.68|8.68|8.68|8.68|144|USD|162
2013-03-19|8.69|8.69|8.69|8.69|283|USD|163
2013-03-20|8.9|8.93|8.9|8.93|1511|USD|164
2013-03-21|8.96|8.96|8.96|8.96|283|USD|165
2013-03-22|9.1|9.42|9.1|9.42|3376|USD|166
2013-03-25|9.42|9.42|9.42|9.42|755|USD|167
2013-03-26|9.6|9.6|9.6|9.6|189|USD|168
2013-04-02|9.55|9.55|8.78|8.78|286|USD|169
2013-04-03|8.65|8.67|8.59|8.67|1477|USD|170
2013-04-04|8.7|8.7|8.7|8.7|94|USD|171
2013-04-05|8.6|8.64|8.59|8.59|491|USD|172
2013-04-09|8.6|9.36|8.6|9.36|378|USD|173
2013-04-11|8.83|8.86|8.83|8.86|283|USD|174
2013-05-01|8.91|9.28|8.59|9.07|1605|USD|175
2013-05-09|8.6|8.81|8.6|8.81|396|USD|176
2013-05-14|8.64|8.64|8.59|8.59|661|USD|177
2013-05-15|8.79|8.85|8.77|8.85|1227|USD|178
2013-05-17|9.34|9.38|8.39|8.86|1511|USD|179
2013-05-20|8.84|8.88|8.61|8.87|3457|USD|180
2013-05-24|8.87|8.87|8.82|8.87|1091|USD|181
2013-05-28|9.12|9.12|9.11|9.11|291|USD|182
2013-05-30|9.17|9.17|9.17|9.17|161|USD|183
2013-06-05|9.35|9.35|9.35|9.35|104|USD|184
2013-06-06|9.08|9.29|9.06|9.26|1501|USD|185
2013-06-07|9.29|9.29|9.29|9.29|104|USD|186
2013-06-10|8.62|8.62|8.62|8.62|94|USD|187
2013-06-11|9.03|9.03|8.53|8.73|1039|USD|188
2013-06-12|8.91|8.91|8.64|8.73|1413|USD|189
2013-06-14|9.32|10.26|9.32|10.05|12489|USD|190
2013-06-17|10.21|10.21|9.96|10.05|6307|USD|191
2013-06-18|10.15|10.26|9.95|10.12|10359|USD|192
2013-06-19|10.16|10.31|10.16|10.31|283|USD|193
2013-06-20|10.3|10.37|10.05|10.05|3694|USD|194
2013-06-21|10.05|10.44|10.05|10.44|17372|USD|195
2013-06-24|10.42|10.42|9.95|10.06|3877|USD|196
2013-06-26|10.06|10.44|10.06|10.2|1322|USD|197
2013-06-27|10.38|10.41|10.38|10.41|3829|USD|198
