Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|4.52|4.59|4.42|4.55|8174|USD|0
2012-01-06|4.5|4.67|4.5|4.6|1694|USD|1
2012-01-09|4.61|4.61|4.5|4.5|526|USD|2
2012-01-10|4.62|4.62|4.5|4.61|1918|USD|3
2012-01-11|4.55|4.55|4.55|4.55|363|USD|4
2012-01-17|4.81|4.81|4.55|4.76|1331|USD|5
2012-01-18|4.55|4.8|4.55|4.8|450|USD|6
2012-01-19|4.8|4.8|4.8|4.8|121|USD|7
2012-01-20|4.81|5.17|4.8|5.13|11514|USD|8
2012-01-23|5.14|5.14|5.08|5.08|968|USD|9
2012-01-24|4.98|5.17|4.97|5.1|2679|USD|10
2012-01-25|5.1|5.1|5.1|5.1|242|USD|11
2012-01-26|5.12|5.17|5.04|5.04|1819|USD|12
2012-01-27|5.07|5.07|5.02|5.02|605|USD|13
2012-01-31|5.07|5.23|5.02|5.23|5668|USD|14
2012-02-01|5.12|5.17|5.09|5.17|1089|USD|15
2012-02-02|5.2|5.24|5.02|5.23|7798|USD|16
2012-02-03|5.26|5.31|4.91|5.12|15426|USD|17
2012-02-06|5.12|5.19|4.88|5.13|12101|USD|18
2012-02-07|5.16|5.16|5.0|5.08|2480|USD|19
2012-02-08|5.08|5.17|4.8|5.12|4740|USD|20
2012-02-09|5.0|5.17|5.0|5.0|18772|USD|21
2012-02-10|4.98|5.05|4.98|4.98|1794|USD|22
2012-02-13|5.0|5.0|4.81|4.96|526|USD|23
2012-02-14|4.98|4.98|4.98|4.98|242|USD|24
2012-02-15|4.77|4.87|4.77|4.87|578|USD|25
2012-02-16|4.91|4.91|4.75|4.78|6063|USD|26
2012-02-17|4.92|5.34|4.91|5.24|20023|USD|27
2012-02-21|5.27|5.41|5.18|5.4|8863|USD|28
2012-02-22|5.87|5.87|5.26|5.39|3686|USD|29
2012-02-23|5.38|5.38|4.92|4.92|30540|USD|30
2012-02-24|4.92|4.95|4.75|4.76|11725|USD|31
2012-02-27|4.74|4.88|4.74|4.81|4356|USD|32
2012-02-28|4.84|5.31|4.79|4.91|16958|USD|33
2012-02-29|4.84|4.96|4.84|4.9|5392|USD|34
2012-03-01|4.93|4.97|4.9|4.95|4598|USD|35
2012-03-02|4.95|5.32|4.95|5.0|3100|USD|36
2012-03-05|5.02|5.26|5.0|5.2|7260|USD|37
2012-03-06|5.12|5.4|5.0|5.12|17788|USD|38
2012-03-07|5.22|5.4|5.22|5.37|4943|USD|39
2012-03-08|5.35|5.4|5.21|5.31|3750|USD|40
2012-03-09|5.4|5.4|5.16|5.33|55089|USD|41
2012-03-12|5.31|5.4|5.31|5.36|1621|USD|42
2012-03-13|5.4|5.4|5.17|5.36|27641|USD|43
2012-03-14|5.36|5.36|5.25|5.31|1815|USD|44
2012-03-15|5.36|5.4|5.36|5.4|1102|USD|45
2012-03-16|5.4|5.4|5.36|5.4|4511|USD|46
2012-03-19|5.26|5.79|5.25|5.79|3025|USD|47
2012-03-20|5.41|5.77|5.41|5.74|8348|USD|48
2012-03-21|5.74|5.83|5.71|5.71|2268|USD|49
2012-03-22|5.7|5.7|5.7|5.7|363|USD|50
2012-03-23|5.74|5.74|5.74|5.74|2190|USD|51
2012-03-26|5.79|5.92|5.58|5.6|6671|USD|52
2012-03-27|5.65|5.91|5.65|5.82|1300|USD|53
2012-03-28|5.88|5.91|5.88|5.9|3077|USD|54
2012-03-29|5.79|5.9|5.62|5.86|5000|USD|55
2012-03-30|5.73|5.88|5.7|5.83|2875|USD|56
2012-04-02|5.79|5.79|5.79|5.79|2381|USD|57
2012-04-03|5.79|5.94|5.79|5.88|20093|USD|58
2012-04-04|5.89|5.91|5.63|5.69|2693|USD|59
2012-04-05|5.64|5.64|5.64|5.64|242|USD|60
2012-04-09|5.68|5.95|5.68|5.95|2920|USD|61
2012-04-10|5.74|5.79|5.64|5.68|6436|USD|62
2012-04-11|5.7|5.7|5.58|5.58|1204|USD|63
2012-04-12|5.58|5.58|5.25|5.27|15246|USD|64
2012-04-13|5.25|5.6|5.21|5.25|14885|USD|65
2012-04-16|5.38|5.38|5.24|5.31|2299|USD|66
2012-04-17|5.37|5.75|5.37|5.66|6820|USD|67
2012-04-18|5.66|5.66|5.3|5.55|4206|USD|68
2012-04-19|5.45|5.5|5.36|5.36|3618|USD|69
2012-04-20|5.38|5.68|5.32|5.68|3144|USD|70
2012-04-23|5.83|5.83|5.46|5.54|6551|USD|71
2012-04-24|5.82|5.82|5.66|5.82|2437|USD|72
2012-04-25|5.87|5.87|5.79|5.87|4719|USD|73
2012-04-26|5.86|5.94|5.83|5.89|4875|USD|74
2012-04-27|5.9|5.9|5.9|5.9|121|USD|75
2012-04-30|5.86|5.86|5.66|5.66|4356|USD|76
2012-05-01|5.71|5.94|5.71|5.74|1633|USD|77
2012-05-02|5.87|5.87|5.87|5.87|1222|USD|78
2012-05-03|5.77|6.12|5.77|5.87|1896|USD|79
2012-05-04|6.31|6.36|6.3|6.3|2642|USD|80
2012-05-07|6.35|6.35|6.14|6.14|5819|USD|81
2012-05-08|6.15|6.35|5.7|5.88|14837|USD|82
2012-05-09|5.86|5.92|5.86|5.86|610|USD|83
2012-05-10|5.81|5.81|5.81|5.81|1111|USD|84
2012-05-11|5.85|5.91|5.65|5.65|3413|USD|85
2012-05-14|5.57|5.61|5.57|5.57|2990|USD|86
2012-05-15|5.61|5.61|5.45|5.59|7924|USD|87
2012-05-16|5.45|5.45|5.37|5.37|1603|USD|88
2012-05-17|5.37|5.38|5.37|5.37|1622|USD|89
2012-05-18|5.37|5.41|5.37|5.41|1079|USD|90
2012-05-21|5.35|5.45|5.24|5.41|11368|USD|91
2012-05-22|5.4|5.41|5.35|5.35|2201|USD|92
2012-05-23|5.29|5.29|5.01|5.23|7451|USD|93
2012-05-24|5.21|5.21|5.14|5.14|5500|USD|94
2012-05-25|5.14|5.14|4.85|4.85|8215|USD|95
2012-05-29|4.91|4.91|4.91|4.91|1100|USD|96
2012-05-30|4.89|4.89|4.89|4.89|330|USD|97
2012-05-31|4.92|4.92|4.9|4.9|1760|USD|98
2012-06-01|5.25|5.25|5.22|5.22|1100|USD|99
2012-06-04|5.25|5.25|5.14|5.14|786|USD|100
2012-06-05|4.86|4.86|4.77|4.77|5903|USD|101
2012-06-06|4.77|4.77|4.41|4.77|9284|USD|102
2012-06-07|4.75|4.75|4.75|4.75|990|USD|103
2012-06-08|4.72|4.77|4.55|4.77|3850|USD|104
2012-06-11|4.79|4.79|4.79|4.79|330|USD|105
2012-06-12|4.78|4.78|4.55|4.55|2167|USD|106
2012-06-13|4.55|4.55|4.49|4.51|2666|USD|107
2012-06-15|4.54|4.55|4.54|4.54|990|USD|108
2012-06-18|4.55|4.65|4.49|4.49|2200|USD|109
2012-06-19|4.44|4.44|4.44|4.44|330|USD|110
2012-06-20|4.45|4.47|4.45|4.47|220|USD|111
2012-06-21|4.43|4.53|4.43|4.53|1684|USD|112
2012-06-22|4.52|4.95|4.52|4.77|20035|USD|113
2012-06-25|4.77|4.92|4.77|4.92|5219|USD|114
2012-06-27|4.45|4.59|4.39|4.56|3919|USD|115
2012-06-28|4.64|4.64|4.64|4.64|440|USD|116
2012-06-29|4.68|4.74|4.68|4.74|26849|USD|117
2012-07-02|4.77|4.79|4.77|4.79|513|USD|118
2012-07-03|4.8|4.81|4.8|4.81|220|USD|119
2012-07-05|4.89|4.9|4.89|4.9|2200|USD|120
2012-07-06|4.74|4.95|4.55|4.77|7611|USD|121
2012-07-09|4.71|4.85|4.56|4.56|933|USD|122
2012-07-10|4.58|4.64|4.56|4.64|1210|USD|123
2012-07-11|4.68|4.78|4.68|4.78|1210|USD|124
2012-07-12|4.91|4.91|4.9|4.91|1811|USD|125
2012-07-13|4.73|4.77|4.72|4.72|1418|USD|126
2012-07-16|4.9|4.9|4.77|4.89|5610|USD|127
2012-07-17|4.84|4.84|4.83|4.84|1870|USD|128
2012-07-18|4.75|4.75|4.74|4.74|1521|USD|129
2012-07-19|4.76|4.77|4.55|4.77|11495|USD|130
2012-07-20|4.83|4.91|4.61|4.91|5652|USD|131
2012-07-23|4.86|4.86|4.69|4.77|8539|USD|132
2012-07-24|4.61|4.79|4.61|4.79|671|USD|133
2012-07-25|4.62|4.62|4.62|4.62|1430|USD|134
2012-07-26|4.88|4.88|4.88|4.88|110|USD|135
2012-07-27|4.77|4.82|4.77|4.78|1978|USD|136
2012-07-30|4.68|4.81|4.68|4.81|3825|USD|137
2012-07-31|4.73|4.86|4.73|4.86|1540|USD|138
2012-08-02|4.84|4.85|4.73|4.82|8643|USD|139
2012-08-03|4.8|4.82|4.8|4.81|1320|USD|140
2012-08-06|4.61|4.84|4.61|4.77|4075|USD|141
2012-08-07|4.61|4.85|4.61|4.77|5223|USD|142
2012-08-08|4.75|4.77|4.63|4.77|660|USD|143
2012-08-09|4.73|4.85|4.73|4.85|2372|USD|144
2012-08-10|4.82|4.82|4.65|4.65|1276|USD|145
2012-08-13|4.72|5.0|4.69|4.93|13819|USD|146
2012-08-14|4.85|4.85|4.6|4.76|4771|USD|147
2012-08-15|4.74|4.74|4.55|4.55|1575|USD|148
2012-08-16|4.69|4.76|4.69|4.76|3452|USD|149
2012-08-17|4.77|4.85|4.77|4.85|5240|USD|150
2012-08-20|4.77|4.77|4.64|4.77|8837|USD|151
2012-08-21|4.77|4.77|4.77|4.77|731|USD|152
2012-08-22|4.64|4.65|4.6|4.6|2202|USD|153
2012-08-23|4.68|4.77|4.68|4.77|1432|USD|154
2012-08-24|4.78|4.78|4.77|4.77|1650|USD|155
2012-08-27|4.78|4.78|4.78|4.78|1100|USD|156
2012-08-28|4.85|4.85|4.85|4.85|220|USD|157
2012-08-29|4.86|4.86|4.6|4.75|6886|USD|158
2012-08-30|4.77|4.77|4.77|4.77|330|USD|159
2012-08-31|4.77|4.78|4.77|4.77|5511|USD|160
2012-09-05|4.66|4.66|4.65|4.65|874|USD|161
2012-09-06|4.65|4.65|4.65|4.65|372|USD|162
2012-09-07|4.75|4.89|4.75|4.89|440|USD|163
2012-09-11|4.87|4.87|4.87|4.87|114|USD|164
2012-09-12|4.75|4.85|4.74|4.85|1325|USD|165
2012-09-13|4.79|4.86|4.78|4.86|1210|USD|166
2012-09-14|4.84|4.84|4.83|4.83|253|USD|167
2012-09-17|4.86|4.86|4.86|4.86|110|USD|168
2012-09-18|4.88|4.88|4.88|4.88|110|USD|169
2012-09-19|4.83|4.83|4.83|4.83|1100|USD|170
2012-09-20|4.85|4.85|4.83|4.83|3300|USD|171
2012-09-21|4.95|4.95|4.95|4.95|220|USD|172
2012-09-24|4.84|4.86|4.83|4.83|5199|USD|173
2012-09-25|4.83|4.95|4.83|4.95|2310|USD|174
2012-09-26|4.95|5.0|4.95|5.0|4981|USD|175
2012-09-27|4.95|5.01|4.95|5.0|17929|USD|176
2012-09-28|5.0|5.0|5.0|5.0|266|USD|177
2012-10-01|5.23|5.23|5.16|5.23|2671|USD|178
2012-10-02|5.52|5.52|5.52|5.52|110|USD|179
2012-10-03|5.53|6.05|5.36|5.36|6258|USD|180
2012-10-04|5.55|5.69|5.45|5.46|4306|USD|181
2012-10-05|5.68|5.77|5.59|5.68|22026|USD|182
2012-10-08|5.65|5.65|5.63|5.63|220|USD|183
