Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.3|3.3|3.22|3.29|1500|USD|0
2012-01-04|3.27|3.27|3.25|3.25|1100|USD|1
2012-01-05|3.25|3.34|3.16|3.21|4800|USD|2
2012-01-06|3.11|3.3|3.1|3.22|4418|USD|3
2012-01-10|3.2|3.25|3.19|3.19|6588|USD|4
2012-01-11|3.23|3.23|3.2|3.21|3540|USD|5
2012-01-12|3.21|3.25|3.2|3.24|8000|USD|6
2012-01-13|3.15|3.18|3.12|3.18|4099|USD|7
2012-01-17|3.22|3.24|3.15|3.15|5845|USD|8
2012-01-18|3.19|3.25|3.17|3.21|9367|USD|9
2012-01-19|3.15|3.24|3.11|3.2|9358|USD|10
2012-01-20|3.15|3.2|3.15|3.2|1900|USD|11
2012-01-23|3.18|3.2|3.1|3.18|23088|USD|12
2012-01-24|3.1|3.37|3.03|3.37|16604|USD|13
2012-01-25|3.35|3.5|3.34|3.5|2669|USD|14
2012-01-26|3.43|3.75|3.43|3.74|10566|USD|15
2012-01-27|3.73|3.73|3.68|3.73|17090|USD|16
2012-01-30|3.73|3.82|3.63|3.78|5549|USD|17
2012-01-31|3.77|3.77|3.69|3.7|4166|USD|18
2012-02-01|3.8|3.8|3.51|3.8|18681|USD|19
2012-02-02|3.82|3.83|3.72|3.83|11350|USD|20
2012-02-03|3.84|3.94|3.67|3.94|19043|USD|21
2012-02-06|3.99|4.05|3.8|3.8|5610|USD|22
2012-02-07|3.86|3.86|3.59|3.8|23800|USD|23
2012-02-08|4.04|4.04|3.86|3.87|13400|USD|24
2012-02-09|3.85|3.92|3.76|3.91|12500|USD|25
2012-02-10|3.79|3.91|3.75|3.91|4600|USD|26
2012-02-13|3.8|3.83|3.8|3.83|200|USD|27
2012-02-14|3.71|3.85|3.71|3.75|3500|USD|28
2012-02-15|3.8|3.92|3.69|3.92|11890|USD|29
2012-02-16|3.85|3.93|3.85|3.9|6114|USD|30
2012-02-17|3.93|4.23|3.9|4.23|12700|USD|31
2012-02-21|4.01|4.09|3.9|4.01|10649|USD|32
2012-02-22|3.91|4.05|3.9|4.05|21200|USD|33
2012-02-23|3.98|4.13|3.93|4.13|2020|USD|34
2012-02-24|4.1|4.35|4.01|4.02|36968|USD|35
2012-02-27|4.2|4.33|4.16|4.3|25720|USD|36
2012-02-28|3.81|4.3|3.81|4.3|22623|USD|37
2012-02-29|4.29|4.39|3.99|4.36|20037|USD|38
2012-03-01|4.3|4.46|4.1|4.46|23219|USD|39
2012-03-02|4.37|4.48|4.25|4.34|19167|USD|40
2012-03-05|4.38|4.43|4.3|4.38|13393|USD|41
2012-03-06|4.34|4.46|4.33|4.44|15026|USD|42
2012-03-07|4.37|4.42|4.21|4.21|9045|USD|43
2012-03-08|4.26|4.41|4.25|4.36|3225|USD|44
2012-03-09|4.35|4.51|4.35|4.36|15525|USD|45
2012-03-12|4.4|4.49|4.22|4.49|22097|USD|46
2012-03-13|4.49|4.49|4.3|4.37|14206|USD|47
2012-03-14|4.35|4.59|4.34|4.54|15046|USD|48
2012-03-15|4.67|4.67|4.53|4.65|24387|USD|49
2012-03-16|4.64|4.74|4.55|4.57|20739|USD|50
2012-03-19|4.58|4.8|4.58|4.8|20282|USD|51
2012-03-20|4.8|5.0|4.8|5.0|16826|USD|52
2012-03-21|5.0|5.09|4.95|5.03|20776|USD|53
2012-03-22|5.07|5.09|4.95|4.99|18965|USD|54
2012-03-23|5.01|5.01|4.83|4.99|10900|USD|55
2012-03-26|5.01|5.19|5.0|5.19|22273|USD|56
2012-03-27|5.16|5.29|5.08|5.17|14165|USD|57
2012-03-28|5.21|5.39|5.21|5.39|11428|USD|58
2012-03-29|5.45|5.49|5.37|5.49|18445|USD|59
2012-03-30|5.49|5.5|5.4|5.49|21069|USD|60
2012-04-02|5.5|5.5|5.45|5.5|11102|USD|61
2012-04-03|5.5|5.5|5.39|5.4|21918|USD|62
2012-04-04|5.43|5.43|5.06|5.2|34701|USD|63
2012-04-05|5.27|5.28|5.07|5.23|13321|USD|64
2012-04-09|5.2|5.24|5.03|5.12|22762|USD|65
2012-04-10|5.16|5.2|5.06|5.2|18427|USD|66
2012-04-11|5.2|5.2|5.14|5.2|22959|USD|67
2012-04-12|5.24|5.42|5.24|5.4|6120|USD|68
2012-04-13|5.41|5.41|5.26|5.41|18053|USD|69
2012-04-16|5.4|5.4|5.3|5.38|17730|USD|70
2012-04-17|5.36|5.38|5.26|5.36|39318|USD|71
2012-04-18|5.36|5.36|5.3|5.34|6700|USD|72
2012-04-19|5.3|5.36|5.27|5.36|5353|USD|73
2012-04-20|5.35|5.36|5.32|5.34|13795|USD|74
2012-04-23|5.34|5.36|5.29|5.32|70219|USD|75
2012-04-24|5.32|5.4|5.28|5.38|40137|USD|76
2012-04-25|5.38|5.56|5.3|5.56|21515|USD|77
2012-04-26|5.56|5.88|5.56|5.81|17790|USD|78
2012-04-27|5.77|6.0|5.73|5.97|15388|USD|79
2012-04-30|5.95|6.23|5.83|5.99|18254|USD|80
2012-05-01|5.98|6.0|5.82|5.82|11194|USD|81
2012-05-02|5.81|5.89|5.49|5.83|5219|USD|82
2012-05-03|5.83|5.88|5.45|5.77|6825|USD|83
2012-05-04|5.71|5.85|5.67|5.85|6961|USD|84
2012-05-07|5.68|5.8|5.45|5.59|20047|USD|85
2012-05-08|5.5|5.79|5.5|5.78|9810|USD|86
2012-05-09|5.66|6.2|5.66|6.0|50487|USD|87
2012-05-10|5.95|6.19|5.85|6.0|40832|USD|88
2012-05-11|5.94|6.18|5.94|6.15|4685|USD|89
2012-05-14|6.15|6.15|5.9|5.95|7513|USD|90
2012-05-15|5.93|6.12|5.9|5.95|18458|USD|91
2012-05-16|6.07|6.09|5.8|5.95|30720|USD|92
2012-05-17|6.0|6.02|5.9|6.0|25045|USD|93
2012-05-18|6.0|6.17|5.9|6.17|58661|USD|94
2012-05-21|6.1|6.46|6.1|6.28|71970|USD|95
2012-05-22|6.35|6.41|6.11|6.25|33855|USD|96
2012-05-23|6.3|6.45|6.15|6.15|68984|USD|97
2012-05-24|6.16|6.38|6.01|6.15|42361|USD|98
2012-05-25|6.16|6.39|6.05|6.15|43889|USD|99
2012-05-29|6.2|6.3|6.02|6.16|33727|USD|100
2012-05-30|6.13|6.27|6.03|6.25|19320|USD|101
2012-05-31|6.22|6.3|6.14|6.3|20372|USD|102
2012-06-01|6.14|6.35|6.12|6.24|22433|USD|103
