Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|23.48|24.0|23.13|23.81|45151|USD|0
2012-01-04|23.65|23.75|23.02|23.42|31874|USD|1
2012-01-05|23.29|23.63|23.09|23.35|21362|USD|2
2012-01-06|23.38|23.57|22.88|23.46|25727|USD|3
2012-01-09|23.38|23.83|23.27|23.71|38562|USD|4
2012-01-10|23.92|24.73|23.8|24.65|71707|USD|5
2012-01-11|24.61|24.73|24.2|24.67|41861|USD|6
2012-01-12|24.63|24.66|24.0|24.19|41919|USD|7
2012-01-13|23.9|24.14|23.7|23.87|22164|USD|8
2012-01-17|24.02|24.27|23.8|23.93|20837|USD|9
2012-01-18|23.8|24.22|23.73|24.0|42883|USD|10
2012-01-19|24.11|24.23|23.7|24.07|30025|USD|11
2012-01-20|24.07|24.64|23.94|24.59|26871|USD|12
2012-01-23|24.69|24.69|24.21|24.57|25410|USD|13
2012-01-24|24.39|24.59|24.01|24.33|41022|USD|14
2012-01-25|24.39|25.0|24.18|24.99|47135|USD|15
2012-01-26|24.84|24.9|24.54|24.85|37423|USD|16
2012-01-27|24.68|25.0|24.67|24.99|25197|USD|17
2012-01-30|25.06|27.5|25.05|26.5|130856|USD|18
2012-01-31|26.67|26.67|24.75|25.41|195441|USD|19
2012-02-01|25.14|26.0|24.57|25.75|71655|USD|20
2012-02-02|25.75|25.95|25.5|25.83|47964|USD|21
2012-02-03|26.01|26.34|25.17|26.01|41064|USD|22
2012-02-06|26.0|26.49|25.75|25.99|30046|USD|23
2012-02-07|26.0|26.31|25.78|25.88|59835|USD|24
2012-02-08|25.85|26.27|25.73|26.0|43461|USD|25
2012-02-09|26.0|26.14|25.4|25.41|26027|USD|26
2012-02-10|25.23|25.4|24.99|25.08|25558|USD|27
2012-02-13|25.43|26.3|25.24|26.15|55427|USD|28
2012-02-14|26.13|26.9|26.0|26.25|58328|USD|29
2012-02-15|26.28|26.28|25.84|26.14|30425|USD|30
2012-02-16|26.06|27.9|26.03|27.5|98870|USD|31
2012-02-17|27.51|27.51|26.93|27.04|47567|USD|32
2012-02-21|27.05|27.39|26.5|27.05|36264|USD|33
2012-02-22|27.05|27.22|26.79|26.79|39872|USD|34
2012-02-23|26.85|27.16|26.53|26.93|35978|USD|35
2012-02-24|27.0|27.0|26.22|26.33|23968|USD|36
2012-02-27|26.33|27.08|26.21|26.61|38673|USD|37
2012-02-28|26.6|26.69|26.0|26.09|67391|USD|38
2012-02-29|26.11|26.51|26.0|26.06|48819|USD|39
2012-03-01|26.07|26.6|25.76|25.76|39018|USD|40
2012-03-02|25.91|25.91|24.32|24.37|48524|USD|41
2012-03-05|24.23|25.66|23.85|25.53|128114|USD|42
2012-03-06|25.2|25.24|24.37|24.69|21822|USD|43
2012-03-07|24.72|24.89|24.55|24.69|23478|USD|44
2012-03-08|24.71|25.04|24.26|24.59|24133|USD|45
2012-03-09|24.74|25.2|24.68|24.99|23423|USD|46
2012-03-12|25.0|25.22|24.91|25.11|22801|USD|47
2012-03-13|25.15|26.0|25.15|25.9|37393|USD|48
2012-03-14|25.65|25.83|25.17|25.2|20653|USD|49
2012-03-15|25.2|25.3|24.73|24.82|38301|USD|50
2012-03-16|24.87|24.94|24.38|24.72|61039|USD|51
2012-03-19|24.64|25.22|24.35|24.39|39900|USD|52
2012-03-20|24.28|24.55|23.93|24.2|36605|USD|53
2012-03-21|24.2|24.44|23.9|24.29|26982|USD|54
2012-03-22|24.01|24.43|24.0|24.07|32134|USD|55
2012-03-23|24.0|24.63|24.0|24.52|42484|USD|56
2012-03-26|24.56|25.29|24.52|25.1|53410|USD|57
2012-03-27|25.04|25.18|24.34|24.38|43944|USD|58
2012-03-28|24.44|24.52|23.98|24.22|24327|USD|59
2012-03-29|24.1|24.56|23.52|24.32|33322|USD|60
2012-03-30|24.5|24.5|23.7|23.92|37212|USD|61
2012-04-02|23.73|24.34|23.71|24.31|25999|USD|62
2012-04-03|24.09|24.2|23.77|23.98|23901|USD|63
2012-04-04|23.91|24.03|23.86|23.87|31784|USD|64
2012-04-05|23.97|24.12|23.57|23.93|42390|USD|65
2012-04-09|23.5|23.83|23.14|23.14|26477|USD|66
2012-04-10|23.21|23.56|22.64|23.14|47938|USD|67
2012-04-11|23.36|23.91|23.36|23.74|28766|USD|68
2012-04-12|23.7|24.1|23.7|23.99|52275|USD|69
2012-04-13|23.79|23.97|22.87|23.12|42189|USD|70
2012-04-16|23.15|23.44|23.05|23.35|15456|USD|71
2012-04-17|23.59|23.93|23.59|23.71|15068|USD|72
2012-04-18|23.49|23.49|22.69|22.86|22679|USD|73
2012-04-19|23.08|23.72|23.05|23.59|51942|USD|74
2012-04-20|24.27|24.27|23.66|24.0|44352|USD|75
2012-04-23|23.77|23.77|23.15|23.32|22800|USD|76
2012-04-24|23.42|23.45|23.05|23.31|30567|USD|77
2012-04-25|23.48|23.79|23.39|23.61|28009|USD|78
2012-04-26|23.49|23.66|23.35|23.43|18178|USD|79
2012-04-27|23.48|23.82|23.23|23.61|37116|USD|80
2012-04-30|23.56|23.74|23.46|23.53|21103|USD|81
2012-05-01|23.48|23.74|23.0|23.15|41673|USD|82
2012-05-02|23.04|23.7|22.94|23.64|68108|USD|83
2012-05-03|23.53|23.65|23.13|23.23|17385|USD|84
2012-05-04|23.09|23.18|22.56|22.65|28556|USD|85
2012-05-07|22.63|23.4|22.26|23.33|61488|USD|86
2012-05-08|23.2|23.93|23.13|23.44|45150|USD|87
2012-05-09|23.17|23.41|23.0|23.12|29245|USD|88
2012-05-10|23.27|23.33|22.87|23.0|30937|USD|89
2012-05-11|22.77|23.34|22.48|22.6|48776|USD|90
2012-05-14|22.47|22.52|21.92|21.92|17470|USD|91
2012-05-15|22.0|22.05|21.3|21.78|18460|USD|92
2012-05-16|21.93|22.02|21.47|21.6|25687|USD|93
2012-05-17|21.58|21.65|20.52|21.0|47418|USD|94
2012-05-18|20.94|21.45|20.82|21.04|23092|USD|95
2012-05-21|21.1|21.15|20.46|20.75|39257|USD|96
2012-05-22|20.99|21.09|20.5|20.62|23074|USD|97
2012-05-23|21.03|21.48|20.71|21.38|33226|USD|98
2012-05-24|21.5|22.1|21.5|22.01|50933|USD|99
2012-05-25|21.94|22.0|21.53|21.54|12009|USD|100
2012-05-29|21.56|21.56|20.62|21.18|55215|USD|101
2012-05-30|20.91|21.26|20.69|20.86|59223|USD|102
2012-05-31|21.0|21.34|20.51|21.1|47004|USD|103
2012-06-01|20.69|21.06|20.61|20.72|25715|USD|104
2012-06-04|20.72|20.93|20.5|20.66|46098|USD|105
2012-06-05|20.52|20.96|20.37|20.66|23067|USD|106
2012-06-06|20.74|21.08|20.57|21.01|30062|USD|107
2012-06-07|21.23|21.24|20.63|20.69|24680|USD|108
2012-06-08|20.71|21.47|20.63|21.14|19439|USD|109
2012-06-11|21.37|21.43|20.5|20.5|23215|USD|110
2012-06-12|20.59|20.79|20.34|20.49|33418|USD|111
2012-06-13|20.34|20.74|20.14|20.23|21436|USD|112
2012-06-14|20.19|21.25|20.19|21.21|32056|USD|113
2012-06-15|21.12|21.56|21.0|21.45|50555|USD|114
