Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|15.52|15.83|15.35|15.74|102604|USD|0
2012-01-04|15.63|15.71|15.14|15.48|73516|USD|1
2012-01-05|15.36|15.75|15.26|15.72|31332|USD|2
2012-01-06|15.49|15.5|15.23|15.3|50991|USD|3
2012-01-09|15.17|15.53|15.03|15.41|49711|USD|4
2012-01-10|15.7|15.71|15.03|15.15|73870|USD|5
2012-01-11|15.08|15.27|14.91|15.1|35109|USD|6
2012-01-12|15.08|15.19|14.9|15.09|26010|USD|7
2012-01-13|14.79|15.0|14.79|14.89|34087|USD|8
2012-01-17|15.0|15.15|14.83|14.96|68192|USD|9
2012-01-18|14.95|15.47|14.71|15.33|67325|USD|10
2012-01-19|15.33|15.37|15.11|15.23|44055|USD|11
2012-01-20|15.18|15.45|14.93|15.43|52100|USD|12
2012-01-23|15.45|15.47|15.05|15.19|38828|USD|13
2012-01-24|15.08|15.4|15.03|15.36|40184|USD|14
2012-01-25|15.35|15.63|15.31|15.5|45506|USD|15
2012-01-26|15.58|15.58|15.11|15.53|37131|USD|16
2012-01-27|15.43|15.74|15.39|15.7|30834|USD|17
2012-01-30|15.59|15.93|15.54|15.84|43140|USD|18
2012-01-31|16.0|16.0|15.68|15.78|127119|USD|19
2012-02-01|15.8|16.05|15.69|15.9|155219|USD|20
2012-02-02|15.9|15.94|15.82|15.9|118868|USD|21
2012-02-03|16.06|16.52|16.0|16.46|81622|USD|22
2012-02-06|16.41|16.46|15.81|15.93|48254|USD|23
2012-02-07|15.88|16.11|15.72|15.73|39364|USD|24
2012-02-08|15.75|16.06|15.64|15.71|31324|USD|25
2012-02-09|15.68|15.95|15.48|15.6|47380|USD|26
2012-02-10|15.47|15.54|15.3|15.3|26398|USD|27
2012-02-13|15.48|15.76|15.43|15.76|28142|USD|28
2012-02-14|15.71|15.74|15.37|15.7|28459|USD|29
2012-02-15|15.8|15.95|15.35|15.46|52493|USD|30
2012-02-16|15.49|16.14|15.49|16.09|37988|USD|31
2012-02-17|16.15|16.24|15.91|16.23|40712|USD|32
2012-02-21|16.25|16.48|15.9|16.22|38323|USD|33
2012-02-22|16.15|16.15|15.64|15.64|36609|USD|34
2012-02-23|15.69|16.19|15.56|16.17|35083|USD|35
2012-02-24|16.16|16.25|15.81|15.83|28867|USD|36
2012-02-27|15.67|15.68|15.42|15.6|83180|USD|37
2012-02-28|15.62|15.76|15.5|15.54|22022|USD|38
2012-02-29|15.61|15.75|15.17|15.17|66193|USD|39
2012-03-01|15.21|15.69|15.04|15.06|57157|USD|40
2012-03-02|15.09|15.15|14.42|14.46|81119|USD|41
2012-03-05|14.47|14.93|14.43|14.89|37796|USD|42
2012-03-06|14.65|14.88|14.5|14.5|38464|USD|43
2012-03-07|14.64|14.8|14.52|14.79|43378|USD|44
2012-03-08|14.86|15.09|14.54|15.07|35786|USD|45
2012-03-09|15.06|15.91|14.99|15.69|105027|USD|46
2012-03-12|15.47|15.67|15.31|15.53|33696|USD|47
2012-03-13|15.74|15.97|15.2|15.94|90697|USD|48
2012-03-14|15.83|16.0|15.37|15.89|45092|USD|49
2012-03-15|15.94|16.2|15.76|16.17|57466|USD|50
2012-03-16|16.22|16.5|15.95|16.45|107986|USD|51
2012-03-19|16.38|16.99|15.89|16.71|59129|USD|52
2012-03-20|16.55|16.74|16.26|16.34|60226|USD|53
2012-03-21|16.46|16.5|16.17|16.18|57174|USD|54
2012-03-22|15.97|15.99|15.61|15.85|27639|USD|55
2012-03-23|15.8|16.33|15.79|16.26|45949|USD|56
2012-03-26|16.49|16.62|16.25|16.54|60622|USD|57
2012-03-27|16.58|16.77|16.32|16.36|29069|USD|58
2012-03-28|16.41|16.69|16.3|16.64|31949|USD|59
2012-03-29|16.45|16.57|16.06|16.39|23335|USD|60
2012-03-30|16.56|16.56|16.28|16.28|68691|USD|61
2012-04-02|16.34|17.16|16.18|17.02|80768|USD|62
2012-04-03|17.02|17.12|16.3|16.62|64230|USD|63
2012-04-04|16.35|16.42|16.04|16.13|46978|USD|64
2012-04-05|16.06|16.12|15.86|15.95|36760|USD|65
2012-04-09|15.65|15.7|15.29|15.47|52043|USD|66
2012-04-10|15.48|15.62|15.0|15.31|71605|USD|67
2012-04-11|15.44|15.86|15.42|15.85|47643|USD|68
2012-04-12|15.75|15.91|15.7|15.73|35427|USD|69
2012-04-13|15.61|15.61|15.21|15.21|41141|USD|70
2012-04-16|15.28|15.61|15.22|15.5|15132|USD|71
2012-04-17|15.72|16.21|15.64|15.9|34467|USD|72
2012-04-18|15.75|15.75|15.29|15.36|40340|USD|73
2012-04-19|15.36|15.56|15.07|15.12|53490|USD|74
2012-04-20|16.12|16.12|15.35|15.47|70338|USD|75
2012-04-23|15.13|15.25|15.05|15.07|46925|USD|76
2012-04-24|15.16|15.5|15.16|15.49|29961|USD|77
2012-04-25|15.78|15.78|15.4|15.63|53993|USD|78
2012-04-26|15.6|15.92|15.57|15.86|32600|USD|79
2012-04-27|15.87|16.22|15.75|16.18|66068|USD|80
2012-04-30|16.11|16.13|15.98|16.0|52337|USD|81
2012-05-01|15.99|16.29|15.64|15.68|64723|USD|82
2012-05-02|15.59|15.84|15.45|15.59|45990|USD|83
2012-05-03|15.51|15.75|15.39|15.6|58577|USD|84
2012-05-04|15.47|15.52|15.18|15.34|69134|USD|85
2012-05-07|15.21|15.76|15.21|15.49|34360|USD|86
2012-05-08|15.32|15.79|15.32|15.61|38473|USD|87
2012-05-09|15.34|15.7|15.33|15.46|48574|USD|88
2012-05-10|15.65|15.74|15.47|15.59|49980|USD|89
2012-05-11|15.37|15.63|15.36|15.48|48975|USD|90
2012-05-14|15.24|15.49|15.24|15.37|56755|USD|91
2012-05-15|15.34|15.57|15.34|15.46|95081|USD|92
2012-05-16|15.52|15.73|15.44|15.48|31685|USD|93
2012-05-17|15.46|15.62|15.26|15.45|45838|USD|94
2012-05-18|15.4|15.5|15.21|15.27|49200|USD|95
2012-05-21|15.32|15.47|15.18|15.37|51279|USD|96
2012-05-22|15.35|15.46|14.81|14.94|74086|USD|97
2012-05-23|14.77|15.17|14.7|15.12|51881|USD|98
2012-05-24|15.17|15.39|14.89|15.39|47284|USD|99
2012-05-25|15.37|15.4|15.13|15.15|30894|USD|100
2012-05-29|15.4|15.4|15.14|15.26|43684|USD|101
2012-05-30|15.15|15.31|14.98|15.03|48533|USD|102
2012-05-31|15.1|15.4|14.97|15.29|83323|USD|103
2012-06-01|14.91|15.27|14.69|14.7|56252|USD|104
2012-06-04|14.84|15.14|14.82|14.97|38433|USD|105
2012-06-05|14.93|15.22|14.93|15.05|48595|USD|106
2012-06-06|15.14|15.29|15.09|15.1|102769|USD|107
2012-06-07|15.3|15.3|15.06|15.1|85326|USD|108
2012-06-08|15.05|15.23|15.03|15.18|120678|USD|109
2012-06-11|15.29|15.29|14.94|14.94|45874|USD|110
2012-06-12|14.9|15.07|14.75|15.0|40925|USD|111
2012-06-13|14.96|15.09|14.66|14.69|73780|USD|112
2012-06-14|14.66|15.06|14.66|14.99|80523|USD|113
2012-06-15|14.97|15.35|14.95|15.28|121586|USD|114
2012-06-18|15.12|15.57|15.12|15.44|62499|USD|115
2012-06-19|15.47|15.99|15.47|15.93|57273|USD|116
2012-06-20|15.94|16.02|15.62|15.8|28396|USD|117
2012-06-21|15.78|15.98|15.26|15.28|36896|USD|118
2012-06-22|15.46|15.74|15.42|15.7|82447|USD|119
2012-06-25|15.42|15.54|15.25|15.39|20203|USD|120
2012-06-26|15.45|15.51|15.28|15.4|16931|USD|121
2012-06-27|15.47|15.59|15.32|15.59|82422|USD|122
2012-06-28|15.38|15.45|15.2|15.43|34424|USD|123
2012-06-29|15.74|15.9|15.54|15.71|70781|USD|124
2012-07-02|15.87|16.14|15.68|16.13|225154|USD|125
2012-07-03|16.14|16.27|16.02|16.23|90469|USD|126
2012-07-05|16.15|16.23|16.0|16.09|58085|USD|127
2012-07-06|15.98|16.18|15.88|15.96|74821|USD|128
2012-07-09|15.88|16.08|15.77|15.91|46103|USD|129
2012-07-10|15.66|15.96|15.66|15.81|83538|USD|130
2012-07-11|15.77|16.03|15.77|16.01|43288|USD|131
2012-07-12|15.84|16.14|15.81|16.07|56869|USD|132
2012-07-13|16.09|16.4|16.09|16.32|66549|USD|133
2012-07-16|16.25|16.36|16.06|16.13|61630|USD|134
2012-07-17|16.29|16.33|16.03|16.15|159162|USD|135
2012-07-18|16.61|16.9|16.14|16.41|241422|USD|136
2012-07-19|16.51|16.72|16.25|16.57|452848|USD|137
2012-07-20|16.47|16.89|16.4|16.82|172090|USD|138
2012-07-23|16.49|16.95|16.49|16.84|118428|USD|139
2012-07-24|16.94|16.94|16.65|16.8|76230|USD|140
2012-07-25|16.95|16.95|16.78|16.82|36481|USD|141
2012-07-26|17.01|17.18|16.93|17.15|94857|USD|142
2012-07-27|17.19|17.7|17.09|17.57|174472|USD|143
2012-07-30|17.61|17.82|17.54|17.6|83320|USD|144
2012-07-31|17.58|17.75|17.55|17.7|85321|USD|145
2012-08-01|17.75|17.86|17.44|17.44|115034|USD|146
2012-08-02|17.33|17.63|17.31|17.48|90355|USD|147
