Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.79|17.98|17.73|17.87|58633|USD|0
2012-01-04|17.66|17.78|17.51|17.62|42027|USD|1
2012-01-05|17.46|17.91|17.21|17.78|103648|USD|2
2012-01-06|17.8|17.8|17.47|17.6|64988|USD|3
2012-01-09|17.67|18.0|17.38|17.81|149595|USD|4
2012-01-10|18.0|18.3|17.73|18.19|53608|USD|5
2012-01-11|18.09|18.33|17.7|18.29|35634|USD|6
2012-01-12|18.33|18.46|18.0|18.31|37341|USD|7
2012-01-13|17.93|18.31|17.93|18.13|30082|USD|8
2012-01-17|18.29|18.34|17.84|17.88|41671|USD|9
2012-01-18|17.84|18.29|17.73|18.26|63173|USD|10
2012-01-19|18.33|18.33|17.95|18.16|43911|USD|11
2012-01-20|18.09|18.6|18.09|18.59|33493|USD|12
2012-01-23|18.52|18.72|18.1|18.52|47524|USD|13
2012-01-24|18.37|18.69|18.28|18.43|57792|USD|14
2012-01-25|18.4|18.45|18.17|18.35|63379|USD|15
2012-01-26|18.45|18.45|17.01|17.43|109693|USD|16
2012-01-27|17.35|17.65|17.28|17.55|85295|USD|17
2012-01-30|17.31|17.63|17.3|17.57|48771|USD|18
2012-01-31|17.63|18.29|17.5|18.26|85429|USD|19
2012-02-01|18.36|19.08|18.16|18.97|91543|USD|20
2012-02-02|18.49|19.48|18.42|18.68|74079|USD|21
2012-02-03|19.08|19.87|18.69|19.62|70168|USD|22
2012-02-06|19.43|19.48|18.82|18.92|28118|USD|23
2012-02-07|18.86|19.33|18.74|18.96|19315|USD|24
2012-02-08|19.02|19.39|18.86|19.17|20092|USD|25
2012-02-09|19.2|19.2|18.6|18.62|21726|USD|26
2012-02-10|18.37|18.62|18.1|18.15|34680|USD|27
2012-02-13|18.4|18.49|18.19|18.46|36919|USD|28
2012-02-14|18.38|18.38|17.88|18.26|32730|USD|29
2012-02-15|18.43|18.57|17.83|17.96|55236|USD|30
2012-02-16|18.01|18.9|18.01|18.83|36502|USD|31
2012-02-17|18.95|19.04|18.69|18.86|32752|USD|32
2012-02-21|18.93|18.93|18.21|18.39|20732|USD|33
2012-02-22|18.29|18.32|17.93|17.93|36697|USD|34
2012-02-23|18.0|18.69|17.69|18.65|34741|USD|35
2012-02-24|18.61|18.61|18.27|18.36|31714|USD|36
2012-02-27|18.3|18.48|17.98|18.35|21230|USD|37
2012-02-28|18.32|18.48|18.02|18.3|30218|USD|38
2012-02-29|18.31|18.43|18.02|18.06|62899|USD|39
2012-03-01|18.17|18.4|17.99|18.09|58909|USD|40
2012-03-02|18.11|18.11|17.31|17.75|113896|USD|41
2012-03-05|17.62|18.16|17.53|18.13|83328|USD|42
2012-03-06|18.06|18.07|17.5|17.6|38187|USD|43
2012-03-07|17.72|17.84|17.56|17.7|64327|USD|44
2012-03-08|17.82|17.98|17.49|17.92|75919|USD|45
2012-03-09|17.97|18.57|17.89|18.22|37048|USD|46
2012-03-12|18.18|18.24|17.82|17.97|22278|USD|47
2012-03-13|18.2|18.53|17.94|18.51|66598|USD|48
2012-03-14|18.41|18.65|18.31|18.37|36188|USD|49
2012-03-15|18.38|18.69|18.35|18.65|26065|USD|50
2012-03-16|18.72|18.72|18.48|18.64|58329|USD|51
2012-03-19|18.61|19.15|18.46|18.78|37517|USD|52
2012-03-20|18.56|18.8|18.49|18.53|15760|USD|53
2012-03-21|18.64|18.67|18.35|18.43|25984|USD|54
2012-03-22|18.26|18.34|18.07|18.3|25294|USD|55
2012-03-23|18.1|18.47|17.88|18.44|49701|USD|56
2012-03-26|18.75|19.14|18.49|19.11|39403|USD|57
2012-03-27|19.06|19.24|18.65|18.7|35372|USD|58
2012-03-28|18.78|19.05|18.59|19.02|49372|USD|59
2012-03-29|18.8|18.85|18.38|18.65|24460|USD|60
2012-03-30|18.86|18.86|18.17|18.17|48153|USD|61
2012-04-02|18.05|18.63|18.0|18.53|30194|USD|62
2012-04-03|18.45|18.62|18.06|18.25|33589|USD|63
2012-04-04|17.96|18.15|17.95|17.97|41088|USD|64
