Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|17.93|18.21|17.73|17.86|79877|USD|0
2012-01-04|17.72|17.83|17.56|17.56|64173|USD|1
2012-01-05|17.51|17.6|17.31|17.5|171338|USD|2
2012-01-06|17.43|17.81|17.37|17.53|136575|USD|3
2012-01-09|17.64|17.72|17.52|17.61|82748|USD|4
2012-01-10|17.68|17.76|17.59|17.6|55471|USD|5
2012-01-11|17.64|17.68|17.44|17.56|42037|USD|6
2012-01-12|17.55|17.56|17.32|17.52|32834|USD|7
2012-01-13|17.29|17.44|17.19|17.27|65397|USD|8
2012-01-17|17.36|17.49|17.22|17.27|47875|USD|9
2012-01-18|17.28|17.35|17.24|17.3|65555|USD|10
2012-01-19|17.33|17.36|17.25|17.3|23809|USD|11
2012-01-20|17.28|17.52|17.26|17.4|80334|USD|12
2012-01-23|17.35|17.41|17.22|17.32|24195|USD|13
2012-01-24|17.16|17.36|17.1|17.26|57485|USD|14
2012-01-25|17.28|17.32|17.15|17.19|30790|USD|15
2012-01-26|17.23|17.28|16.95|16.97|52049|USD|16
2012-01-27|16.98|17.19|16.98|17.1|118892|USD|17
2012-01-30|17.1|17.43|17.02|17.23|127576|USD|18
2012-01-31|17.35|17.56|17.27|17.41|213488|USD|19
2012-02-01|17.44|17.76|16.7|17.73|291855|USD|20
2012-02-02|17.72|17.81|17.58|17.7|57295|USD|21
2012-02-03|17.97|18.31|17.86|18.13|94683|USD|22
2012-02-06|18.01|18.01|17.72|17.79|42918|USD|23
2012-02-07|17.79|17.98|17.61|17.62|62724|USD|24
2012-02-08|17.73|17.89|17.52|17.67|36367|USD|25
2012-02-09|17.67|17.73|17.5|17.53|46442|USD|26
2012-02-10|17.35|17.91|17.31|17.33|31338|USD|27
2012-02-13|17.55|17.92|17.32|17.89|58331|USD|28
2012-02-14|17.87|17.89|17.45|17.71|34552|USD|29
2012-02-15|17.73|17.93|17.56|17.62|54331|USD|30
2012-02-16|17.65|18.16|17.56|17.96|73015|USD|31
2012-02-17|17.93|18.07|17.81|17.91|65787|USD|32
2012-02-21|17.93|18.03|17.85|17.92|52616|USD|33
2012-02-22|17.93|17.94|17.65|17.72|46823|USD|34
2012-02-23|17.76|18.0|17.65|17.94|47406|USD|35
2012-02-24|17.93|17.93|17.54|17.62|25652|USD|36
2012-02-27|17.47|17.84|17.47|17.77|30453|USD|37
2012-02-28|17.67|17.89|17.56|17.66|58783|USD|38
2012-02-29|17.72|17.81|17.31|17.36|87753|USD|39
2012-03-01|17.41|17.67|17.32|17.32|64319|USD|40
2012-03-02|17.38|17.4|16.87|16.92|74427|USD|41
2012-03-05|16.88|17.23|16.88|17.23|42399|USD|42
2012-03-06|17.07|17.25|17.06|17.12|51574|USD|43
2012-03-07|17.23|17.45|17.08|17.42|40909|USD|44
2012-03-08|17.52|17.54|17.28|17.42|40202|USD|45
2012-03-09|17.42|17.92|17.42|17.67|44012|USD|46
2012-03-12|17.76|17.93|17.57|17.68|22207|USD|47
2012-03-13|17.86|17.94|17.58|17.93|60228|USD|48
2012-03-14|17.86|18.03|17.69|17.75|92783|USD|49
2012-03-15|17.85|17.93|17.42|17.89|80531|USD|50
2012-03-16|17.93|18.06|17.72|18.02|168366|USD|51
2012-03-19|17.93|18.37|17.88|18.16|111480|USD|52
2012-03-20|18.03|18.15|17.89|17.96|65577|USD|53
