Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|5.23|5.36|4.91|5.08|13247|USD|0
2012-01-04|5.2|5.25|5.12|5.17|1731|USD|1
2012-01-05|5.15|5.3|5.1|5.3|11192|USD|2
2012-01-06|5.29|5.3|5.2|5.2|900|USD|3
2012-01-09|5.24|5.3|5.19|5.23|3700|USD|4
2012-01-10|5.26|5.26|5.22|5.22|2900|USD|5
2012-01-11|5.25|5.37|5.22|5.22|1699|USD|6
2012-01-12|5.3|5.35|5.23|5.3|3398|USD|7
2012-01-13|5.3|5.38|5.22|5.36|5680|USD|8
2012-01-17|5.31|5.38|5.31|5.38|200|USD|9
2012-01-18|5.33|5.39|5.25|5.35|11010|USD|10
2012-01-19|5.35|5.35|5.35|5.35|200|USD|11
2012-01-20|5.35|5.6|5.35|5.5|5950|USD|12
2012-01-23|5.53|5.6|5.38|5.39|3400|USD|13
2012-01-24|5.3|5.49|5.3|5.49|3400|USD|14
2012-01-25|5.49|5.55|5.3|5.45|9600|USD|15
2012-01-26|5.35|5.54|5.33|5.54|1225|USD|16
2012-01-27|5.36|5.52|5.36|5.52|600|USD|17
2012-01-30|5.39|5.49|5.38|5.49|1896|USD|18
2012-01-31|5.43|5.54|5.3|5.46|7500|USD|19
2012-02-01|5.47|5.54|5.4|5.5|4375|USD|20
2012-02-02|5.48|5.59|5.3|5.54|6676|USD|21
2012-02-03|5.55|5.9|5.53|5.9|3100|USD|22
2012-02-06|5.9|5.9|5.66|5.74|779|USD|23
2012-02-07|5.55|5.74|5.55|5.65|2300|USD|24
2012-02-08|5.54|5.73|5.54|5.59|7138|USD|25
2012-02-09|5.64|5.75|5.51|5.58|11100|USD|26
2012-02-10|5.57|5.59|5.57|5.59|500|USD|27
2012-02-13|5.72|6.29|5.43|5.8|5650|USD|28
2012-02-14|5.84|6.0|5.78|5.8|8100|USD|29
2012-02-15|5.93|5.93|5.75|5.75|10900|USD|30
2012-02-16|5.78|6.1|5.78|5.94|6409|USD|31
2012-02-17|5.86|5.97|5.75|5.91|4350|USD|32
2012-02-21|5.97|6.0|5.8|5.97|5949|USD|33
2012-02-22|5.91|5.98|5.81|5.89|3821|USD|34
2012-02-23|5.92|6.0|5.81|6.0|1783|USD|35
2012-02-24|5.85|6.0|5.85|6.0|1000|USD|36
2012-02-27|5.88|6.08|5.82|6.08|4422|USD|37
2012-02-28|6.01|6.12|5.91|6.12|3000|USD|38
2012-02-29|6.11|6.25|5.9|6.17|10816|USD|39
2012-03-01|6.2|6.42|6.05|6.28|4771|USD|40
2012-03-02|6.31|6.74|6.29|6.3|7636|USD|41
2012-03-05|6.31|6.64|6.29|6.62|7159|USD|42
2012-03-06|6.55|6.68|6.21|6.57|1822|USD|43
2012-03-07|6.53|6.64|6.53|6.58|1332|USD|44
2012-03-08|6.56|6.7|6.5|6.59|4381|USD|45
2012-03-09|6.55|6.7|6.55|6.68|2201|USD|46
2012-03-12|6.63|6.63|6.3|6.41|17637|USD|47
2012-03-13|6.43|6.73|6.33|6.73|16145|USD|48
2012-03-14|6.6|6.78|6.49|6.57|2050|USD|49
2012-03-15|6.74|6.74|6.67|6.74|3744|USD|50
2012-03-16|6.57|6.6|6.55|6.56|3384|USD|51
2012-03-19|6.55|6.82|6.55|6.79|2920|USD|52
2012-03-20|6.75|6.75|6.51|6.75|1200|USD|53
2012-03-21|6.75|6.98|6.75|6.95|5837|USD|54
2012-03-22|6.94|6.95|6.76|6.95|2550|USD|55
2012-03-23|6.85|6.92|6.81|6.81|7064|USD|56
2012-03-26|6.95|7.02|6.91|6.91|1900|USD|57
2012-03-27|6.94|7.36|6.92|7.35|4283|USD|58
2012-03-28|7.27|7.4|6.97|7.13|16017|USD|59
2012-03-29|7.0|7.4|7.0|7.06|2950|USD|60
2012-03-30|7.12|7.36|6.98|7.09|4786|USD|61
2012-04-02|7.0|7.14|6.95|7.1|2908|USD|62
2012-04-03|7.14|7.32|7.03|7.03|4635|USD|63
2012-04-04|7.0|7.13|7.0|7.13|2605|USD|64
2012-04-05|7.13|7.18|6.98|6.98|2535|USD|65
2012-04-09|6.92|7.17|6.92|6.93|655|USD|66
2012-04-10|7.14|7.14|7.05|7.05|200|USD|67
2012-04-11|6.97|7.16|6.84|7.16|5541|USD|68
2012-04-12|7.11|7.11|6.93|7.01|2412|USD|69
2012-04-13|6.82|7.1|6.82|7.1|10253|USD|70
2012-04-16|7.1|7.18|6.81|7.15|3243|USD|71
2012-04-17|7.18|7.45|6.91|7.2|5226|USD|72
2012-04-18|7.22|7.22|6.96|7.05|2301|USD|73
2012-04-19|7.07|7.24|6.85|7.19|3949|USD|74
2012-04-20|7.17|7.28|6.87|7.0|3488|USD|75
2012-04-23|6.88|6.92|6.49|6.6|18059|USD|76
2012-04-24|6.5|6.81|6.5|6.8|21609|USD|77
2012-04-25|6.17|6.74|6.17|6.71|2947|USD|78
2012-04-26|6.79|6.89|6.49|6.58|3758|USD|79
2012-04-27|6.31|6.55|6.31|6.55|201|USD|80
2012-04-30|6.36|6.71|6.36|6.4|7976|USD|81
2012-05-01|6.39|6.4|6.2|6.4|1400|USD|82
2012-05-02|6.37|6.38|5.85|6.29|7382|USD|83
2012-05-03|6.18|6.2|5.67|5.67|6140|USD|84
2012-05-04|5.66|5.98|5.55|5.68|5966|USD|85
2012-05-07|5.89|5.89|5.89|5.89|146|USD|86
2012-05-08|5.58|5.89|5.55|5.89|4200|USD|87
2012-05-09|5.67|5.73|5.67|5.73|880|USD|88
2012-05-10|5.84|6.59|5.84|6.2|17262|USD|89
2012-05-11|6.13|6.4|6.05|6.25|10040|USD|90
2012-05-14|6.21|6.21|6.1|6.1|1700|USD|91
2012-05-15|6.3|6.3|6.3|6.3|100|USD|92
2012-05-17|6.23|6.31|6.2|6.27|4648|USD|93
2012-05-18|6.5|7.0|6.02|6.21|2800|USD|94
2012-05-21|6.21|6.65|6.0|6.08|2944|USD|95
2012-05-22|6.22|6.35|6.01|6.24|1200|USD|96
2012-05-23|6.16|6.2|5.71|6.05|12042|USD|97
2012-05-24|6.17|6.17|5.92|6.05|1600|USD|98
2012-05-25|6.17|6.17|6.17|6.17|350|USD|99
2012-05-29|6.14|6.14|6.14|6.14|300|USD|100
2012-05-30|5.96|6.14|5.96|6.14|350|USD|101
2012-05-31|6.02|6.17|5.75|6.15|11813|USD|102
2012-06-01|6.01|6.05|5.8|5.9|1100|USD|103
2012-06-04|5.51|5.51|5.51|5.51|9854|USD|104
2012-06-05|5.52|6.46|5.52|6.46|1700|USD|105
2012-06-06|6.45|6.45|6.11|6.32|1600|USD|106
2012-06-07|6.41|6.5|5.9|6.12|1288|USD|107
2012-06-08|6.23|6.25|6.23|6.24|818|USD|108
2012-06-11|5.97|6.0|5.86|6.0|514|USD|109
2012-06-12|5.83|6.27|5.8|6.27|875|USD|110
2012-06-15|6.27|6.28|6.27|6.28|306|USD|111
2012-06-18|6.28|6.28|5.65|5.86|1400|USD|112
2012-06-19|6.29|6.29|5.75|5.75|3513|USD|113
2012-06-20|5.75|6.0|5.75|6.0|1300|USD|114
2012-06-21|5.9|5.99|5.75|5.75|1201|USD|115
2012-06-22|5.75|5.75|5.75|5.75|311|USD|116
2012-06-25|5.7|5.98|5.7|5.7|4444|USD|117
2012-06-26|5.7|5.83|5.7|5.83|3385|USD|118
2012-06-28|5.75|5.75|5.71|5.75|1007|USD|119
2012-06-29|5.76|5.99|5.7|5.98|7357|USD|120
2012-07-02|5.86|5.86|5.11|5.35|15429|USD|121
2012-07-03|5.45|5.55|5.45|5.53|1480|USD|122
2012-07-05|5.48|5.48|5.35|5.35|621|USD|123
2012-07-06|5.35|5.35|5.35|5.35|702|USD|124
2012-07-10|5.36|5.46|5.36|5.46|200|USD|125
2012-07-11|5.35|5.44|5.35|5.44|200|USD|126
2012-07-12|5.35|5.5|5.25|5.35|2658|USD|127
2012-07-13|5.6|5.6|5.35|5.37|1050|USD|128
2012-07-16|5.35|5.35|5.35|5.35|350|USD|129
2012-07-17|5.4|5.4|5.4|5.4|700|USD|130
2012-07-18|5.4|5.63|5.27|5.27|1609|USD|131
2012-07-19|5.29|5.4|5.28|5.4|6990|USD|132
2012-07-20|5.27|5.47|5.25|5.44|1143|USD|133
2012-07-23|5.25|5.46|5.25|5.44|5535|USD|134
2012-07-24|5.56|5.56|5.4|5.48|2900|USD|135
2012-07-25|5.55|5.55|5.32|5.5|1899|USD|136
2012-07-26|5.44|5.48|5.26|5.33|7087|USD|137
2012-07-27|5.32|5.35|5.25|5.31|13600|USD|138
2012-07-30|5.3|5.35|5.3|5.35|1600|USD|139
2012-07-31|5.35|5.35|5.29|5.29|1618|USD|140
2012-08-01|5.31|5.45|5.3|5.3|11240|USD|141
2012-08-02|5.38|5.38|5.25|5.27|3894|USD|142
2012-08-03|5.47|5.47|5.25|5.32|4375|USD|143
2012-08-06|5.32|5.32|5.32|5.32|425|USD|144
2012-08-07|5.33|5.33|5.0|5.05|8799|USD|145
2012-08-08|4.98|5.2|4.98|5.05|9296|USD|146
2012-08-09|5.2|5.4|5.1|5.3|5339|USD|147
2012-08-10|5.18|5.18|5.1|5.12|3400|USD|148
2012-08-13|5.09|5.24|5.0|5.24|3452|USD|149
2012-08-14|5.2|5.2|5.02|5.1|4638|USD|150
2012-08-15|5.1|5.17|5.05|5.1|4200|USD|151
2012-08-16|5.1|5.17|5.1|5.17|2485|USD|152
2012-08-17|5.1|5.3|5.0|5.3|7728|USD|153
2012-08-20|5.22|5.26|5.2|5.25|3365|USD|154
2012-08-21|5.39|5.39|5.39|5.39|100|USD|155
2012-08-22|5.28|5.3|5.2|5.28|11802|USD|156
2012-08-23|5.26|5.29|5.2|5.25|2469|USD|157
2012-08-24|5.2|5.25|5.2|5.25|1100|USD|158
2012-08-27|5.26|5.58|5.26|5.39|400|USD|159
2012-08-28|5.38|5.83|5.38|5.57|7494|USD|160
2012-08-29|5.81|6.33|5.75|5.75|3100|USD|161
2012-08-30|5.67|5.75|5.51|5.75|1125|USD|162
2012-08-31|5.75|5.75|5.75|5.75|200|USD|163
2012-09-04|5.65|5.65|5.65|5.65|2390|USD|164
2012-09-05|5.56|5.65|5.56|5.65|6583|USD|165
2012-09-06|5.61|5.65|5.44|5.51|5664|USD|166
2012-09-07|5.65|5.91|5.5|5.65|19701|USD|167
2012-09-10|6.19|6.19|6.19|6.19|325|USD|168
2012-09-11|5.4|6.09|5.4|5.84|12194|USD|169
2012-09-12|6.0|6.04|5.65|5.65|12685|USD|170
2012-09-14|5.66|5.77|5.66|5.75|13400|USD|171
2012-09-17|5.69|5.75|5.69|5.75|5900|USD|172
2012-09-18|5.77|6.04|5.66|5.67|2050|USD|173
2012-09-19|5.75|5.75|5.31|5.65|2763|USD|174
2012-09-20|5.73|6.0|5.6|5.6|19195|USD|175
2012-09-21|5.77|5.99|5.74|5.99|7096|USD|176
2012-09-24|5.76|5.76|5.63|5.65|1434|USD|177
2012-09-25|5.64|5.75|5.64|5.75|898|USD|178
2012-09-26|5.83|6.03|5.63|6.0|10361|USD|179
2012-09-27|5.98|6.04|5.88|6.04|1064|USD|180
2012-09-28|5.97|6.1|5.7|6.02|3817|USD|181
2012-10-01|6.01|6.02|5.86|6.0|6041|USD|182
2012-10-03|6.09|6.55|6.09|6.48|10933|USD|183
2012-10-04|6.46|6.5|6.45|6.48|3671|USD|184
2012-10-05|6.48|6.55|6.06|6.2|5431|USD|185
2012-10-08|6.24|6.6|6.08|6.5|18218|USD|186
2012-10-09|6.55|6.55|6.55|6.55|603|USD|187
2012-10-10|6.61|6.98|6.61|6.98|1100|USD|188
2012-10-11|6.81|6.81|6.0|6.05|3421|USD|189
2012-10-12|6.4|6.8|6.28|6.5|2800|USD|190
2012-10-15|6.5|6.94|6.5|6.73|6223|USD|191
2012-10-16|6.65|6.67|6.65|6.66|1500|USD|192
2012-10-17|6.65|6.69|6.65|6.65|5389|USD|193
2012-10-18|6.4|6.4|6.4|6.4|100|USD|194
2012-10-22|6.6|6.63|6.6|6.62|932|USD|195
2012-10-23|6.37|6.52|6.17|6.4|2978|USD|196
2012-10-24|6.2|6.42|6.0|6.11|5584|USD|197
2012-10-25|6.05|6.17|6.05|6.11|2200|USD|198
2012-10-26|6.06|6.06|6.05|6.05|800|USD|199
