Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.93|4.11|3.88|4.1|4612|USD|0
2012-01-04|3.99|4.1|3.87|4.1|10840|USD|1
2012-01-05|4.07|4.07|3.85|3.94|1962|USD|2
2012-01-09|3.88|3.89|3.88|3.89|2060|USD|3
2012-01-10|3.88|3.97|3.88|3.97|2100|USD|4
2012-01-11|3.88|3.98|3.88|3.98|1800|USD|5
2012-01-12|4.06|4.11|4.06|4.11|3100|USD|6
2012-01-13|4.11|4.11|3.98|3.98|408|USD|7
2012-01-17|3.98|3.99|3.97|3.98|5620|USD|8
2012-01-18|3.98|3.98|3.88|3.94|2072|USD|9
2012-01-19|3.88|3.98|3.88|3.98|18917|USD|10
2012-01-20|3.97|3.97|3.97|3.97|100|USD|11
2012-01-23|3.99|4.0|3.87|3.96|1880|USD|12
2012-01-24|4.08|4.77|4.07|4.37|19319|USD|13
2012-01-25|4.48|4.56|4.48|4.56|4788|USD|14
2012-01-26|4.48|4.48|4.13|4.16|11256|USD|15
2012-01-27|4.16|4.19|4.0|4.19|2729|USD|16
2012-01-30|4.44|4.49|4.06|4.13|6800|USD|17
2012-01-31|4.13|4.28|3.98|4.28|5506|USD|18
2012-02-01|4.08|4.3|4.08|4.3|850|USD|19
2012-02-02|4.18|4.36|4.13|4.23|2110|USD|20
2012-02-03|4.33|4.48|4.28|4.3|17508|USD|21
2012-02-06|4.38|4.53|4.29|4.33|11950|USD|22
2012-02-07|4.22|4.43|4.22|4.35|6036|USD|23
2012-02-08|4.26|4.38|4.26|4.37|856|USD|24
2012-02-09|4.53|4.55|4.38|4.53|46757|USD|25
2012-02-10|4.49|4.49|4.49|4.49|100|USD|26
2012-02-14|4.5|4.53|4.41|4.53|2400|USD|27
2012-02-15|4.37|4.41|4.14|4.33|6850|USD|28
2012-02-16|4.33|4.47|4.33|4.47|1642|USD|29
2012-02-17|4.48|4.52|4.28|4.48|10264|USD|30
2012-02-21|4.44|4.48|4.44|4.48|700|USD|31
2012-02-22|4.43|4.48|4.42|4.48|2203|USD|32
2012-02-23|4.4|4.5|4.23|4.3|6900|USD|33
2012-02-24|4.29|4.38|4.13|4.13|49306|USD|34
2012-02-27|4.1|4.35|4.03|4.18|31700|USD|35
2012-02-28|4.11|4.29|4.11|4.16|3053|USD|36
2012-02-29|4.31|4.34|4.23|4.28|6052|USD|37
2012-03-01|4.3|4.3|4.18|4.18|500|USD|38
2012-03-02|4.18|4.18|4.0|4.16|14765|USD|39
2012-03-05|4.08|4.36|4.08|4.36|1285|USD|40
2012-03-06|4.28|4.28|4.09|4.12|2498|USD|41
2012-03-07|4.3|4.3|4.23|4.28|6463|USD|42
2012-03-08|4.31|4.4|4.23|4.4|500|USD|43
2012-03-12|4.37|4.37|4.37|4.37|100|USD|44
2012-03-13|4.23|4.32|4.23|4.32|4044|USD|45
2012-03-14|4.32|4.38|4.28|4.33|13216|USD|46
2012-03-15|4.41|4.41|4.28|4.28|9450|USD|47
2012-03-16|4.29|4.33|4.24|4.24|1545|USD|48
2012-03-19|4.3|4.36|4.24|4.28|21755|USD|49
2012-03-20|4.28|4.48|4.28|4.35|10631|USD|50
2012-03-21|4.48|4.67|4.34|4.67|10176|USD|51
2012-03-22|4.62|4.67|4.46|4.49|2610|USD|52
2012-03-23|4.5|4.68|4.33|4.68|16658|USD|53
2012-03-26|4.72|4.73|4.53|4.63|4100|USD|54
2012-03-27|4.59|4.72|4.43|4.49|7034|USD|55
2012-03-28|4.72|4.72|4.54|4.72|1667|USD|56
2012-03-29|4.68|4.7|4.48|4.7|3300|USD|57
2012-03-30|4.61|4.64|4.54|4.64|1360|USD|58
2012-04-02|4.72|4.73|4.68|4.68|668|USD|59
2012-04-03|4.74|4.8|4.68|4.78|5015|USD|60
2012-04-04|4.78|4.97|4.67|4.97|10069|USD|61
2012-04-05|4.86|5.29|4.78|4.78|18663|USD|62
2012-04-09|4.78|5.03|4.78|4.84|5754|USD|63
2012-04-10|4.78|4.78|4.78|4.78|100|USD|64
2012-04-11|4.78|4.93|4.71|4.85|7861|USD|65
2012-04-12|4.81|4.98|4.81|4.98|2600|USD|66
2012-04-13|4.94|4.94|4.68|4.68|707|USD|67
2012-04-16|4.8|4.93|4.75|4.87|1200|USD|68
2012-04-17|4.85|4.93|4.85|4.93|2700|USD|69
2012-04-18|4.89|4.93|4.84|4.93|600|USD|70
2012-04-19|4.9|5.03|4.85|4.97|13472|USD|71
2012-04-20|4.95|4.95|4.93|4.93|8028|USD|72
2012-04-23|4.93|5.02|4.93|4.96|6762|USD|73
2012-04-24|5.01|5.01|4.96|4.96|9985|USD|74
2012-04-25|4.98|5.08|4.97|5.08|16600|USD|75
2012-04-26|5.08|5.13|5.02|5.13|2663|USD|76
2012-04-27|5.13|5.13|4.98|4.98|3733|USD|77
2012-04-30|4.9|5.07|4.88|5.07|8130|USD|78
2012-05-01|5.07|5.07|4.88|4.98|7535|USD|79
2012-05-02|5.01|5.01|5.01|5.01|200|USD|80
2012-05-03|4.98|4.98|4.89|4.93|4500|USD|81
2012-05-04|5.02|5.02|4.9|4.9|200|USD|82
