Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2013-05-10|12.67|12.77|12.51|12.65|138052|USD|0
2013-05-13|12.5|13.5|12.5|12.75|114069|USD|1
2013-05-14|12.6|13.23|12.6|12.75|139927|USD|2
2013-05-15|12.77|13.15|12.75|13.05|198331|USD|3
2013-05-16|13.29|13.29|12.97|13.0|63151|USD|4
2013-05-17|12.8|13.19|12.8|13.06|411049|USD|5
2013-05-20|13.03|13.5|13.0|13.39|97054|USD|6
2013-05-21|13.5|13.5|13.24|13.3|57512|USD|7
2013-05-22|13.5|14.38|13.38|14.0|51868|USD|8
2013-05-23|14.0|14.0|13.26|13.5|47296|USD|9
2013-05-24|14.11|14.11|13.09|13.43|43945|USD|10
2013-05-28|13.99|14.19|13.69|14.05|64281|USD|11
2013-05-29|13.56|14.5|13.56|14.0|129131|USD|12
2013-05-30|14.05|14.19|13.83|13.99|99180|USD|13
2013-05-31|13.99|14.03|13.82|13.82|31431|USD|14
2013-06-03|13.76|13.99|12.9|13.49|261876|USD|15
2013-06-04|13.7|13.8|13.0|13.58|97995|USD|16
2013-06-05|13.54|13.75|13.41|13.49|24977|USD|17
2013-06-06|13.49|13.8|13.12|13.5|46225|USD|18
2013-06-07|13.8|13.8|13.45|13.46|24345|USD|19
2013-06-10|13.46|13.5|13.0|13.25|58300|USD|20
2013-06-11|13.18|13.73|13.18|13.45|160613|USD|21
2013-06-12|13.55|13.58|13.32|13.49|41361|USD|22
2013-06-13|13.5|13.5|13.07|13.49|25528|USD|23
2013-06-14|13.45|13.46|12.76|13.4|60215|USD|24
2013-06-17|13.5|13.5|12.85|13.06|74512|USD|25
2013-06-18|13.06|13.25|12.75|12.87|83116|USD|26
2013-06-19|12.77|13.15|12.62|12.94|84796|USD|27
2013-06-20|12.93|13.1|12.44|12.62|47365|USD|28
2013-06-21|12.69|13.18|12.69|12.98|242154|USD|29
2013-06-24|12.86|13.39|12.36|13.09|205851|USD|30
2013-06-25|13.16|13.3|13.0|13.17|75971|USD|31
2013-06-26|13.21|13.49|13.01|13.03|91107|USD|32
2013-06-27|13.09|13.5|13.03|13.47|77485|USD|33
2013-06-28|13.5|14.15|13.42|13.75|1199400|USD|34
2013-07-01|13.76|14.0|13.47|13.7|49360|USD|35
2013-07-02|13.77|13.79|13.5|13.73|134491|USD|36
2013-07-03|13.67|13.78|13.62|13.7|7654|USD|37
2013-07-05|13.8|13.8|13.43|13.72|10414|USD|38
2013-07-08|13.61|13.63|13.4|13.49|109033|USD|39
2013-07-09|13.6|13.6|13.31|13.52|183552|USD|40
2013-07-10|13.57|13.6|13.45|13.49|35733|USD|41
2013-07-11|13.57|13.57|13.2|13.31|28337|USD|42
2013-07-12|13.38|13.38|13.16|13.2|259374|USD|43
2013-07-15|13.08|13.23|12.15|13.13|91780|USD|44
2013-07-16|13.07|13.18|13.0|13.09|24323|USD|45
2013-07-17|13.08|13.25|11.74|13.02|18047|USD|46
2013-07-18|13.08|13.29|13.0|13.13|39723|USD|47
2013-07-19|13.08|13.25|12.98|13.14|76016|USD|48
2013-07-22|13.11|13.23|13.08|13.1|69873|USD|49
2013-07-23|13.1|13.13|12.7|12.83|48502|USD|50
2013-07-24|12.83|13.03|12.83|12.89|29589|USD|51
2013-07-25|12.96|13.3|12.96|13.26|313845|USD|52
2013-07-26|13.16|13.45|13.15|13.32|81254|USD|53
2013-07-29|13.3|13.32|13.14|13.24|73648|USD|54
2013-07-30|13.35|13.35|13.2|13.33|115083|USD|55
2013-07-31|13.35|13.46|13.25|13.38|30964|USD|56
2013-08-01|13.46|14.16|13.46|13.99|119797|USD|57
2013-08-02|13.96|14.05|13.78|13.96|40940|USD|58
2013-08-05|13.99|14.08|13.9|14.01|23957|USD|59
2013-08-06|14.01|14.09|13.56|13.76|49867|USD|60
2013-08-07|13.66|13.8|13.45|13.59|40791|USD|61
2013-08-08|13.61|13.66|13.52|13.65|3226|USD|62
2013-08-09|13.68|13.74|13.55|13.6|31139|USD|63
2013-08-12|13.56|13.86|13.3|13.35|16271|USD|64
2013-08-13|13.37|13.45|13.14|13.22|38781|USD|65
2013-08-14|13.2|13.39|13.2|13.26|29424|USD|66
2013-08-15|13.25|13.25|12.9|12.97|16542|USD|67
2013-08-16|12.95|13.3|12.95|13.11|12376|USD|68
2013-08-19|13.1|13.24|13.01|13.09|12689|USD|69
2013-08-20|13.13|13.25|12.95|13.02|25169|USD|70
2013-08-21|13.0|13.01|12.75|12.92|84971|USD|71
2013-08-22|12.92|13.26|12.92|13.14|3087|USD|72
2013-08-23|13.13|13.15|13.0|13.11|3719|USD|73
2013-08-26|13.16|13.16|12.95|12.96|12343|USD|74
2013-08-27|12.86|12.96|12.65|12.87|41782|USD|75
2013-08-28|13.86|13.9|12.64|12.83|16384|USD|76
2013-08-29|12.7|12.98|12.7|12.95|26438|USD|77
2013-08-30|12.95|13.09|12.95|13.05|14364|USD|78
2013-09-03|13.0|13.5|12.56|13.01|119418|USD|79
2013-09-04|13.0|13.13|12.95|13.0|69294|USD|80
2013-09-05|13.01|13.21|12.88|13.05|40839|USD|81
2013-09-06|13.14|13.41|12.73|12.9|31166|USD|82
2013-09-09|12.99|12.99|12.6|12.75|20612|USD|83
2013-09-10|12.76|12.76|12.52|12.61|141766|USD|84
2013-09-11|12.6|12.79|12.6|12.75|88973|USD|85
2013-09-12|12.75|12.96|12.63|12.75|144528|USD|86
2013-09-13|12.74|12.91|12.55|12.66|75373|USD|87
2013-09-16|12.75|12.8|12.13|12.29|22757|USD|88
2013-09-17|12.15|12.44|12.09|12.27|213889|USD|89
2013-09-18|12.23|12.24|12.09|12.18|160339|USD|90
2013-09-19|12.15|12.15|11.5|11.57|77303|USD|91
2013-09-20|11.57|11.75|11.39|11.58|603630|USD|92
2013-09-23|11.59|12.35|11.51|12.19|234196|USD|93
2013-09-24|12.28|13.0|12.28|12.75|34734|USD|94
2013-09-25|12.65|12.8|12.36|12.5|16156|USD|95
2013-09-26|12.55|12.86|12.27|12.8|18489|USD|96
2013-09-27|12.73|12.78|12.65|12.76|20856|USD|97
2013-09-30|12.7|12.95|12.61|12.89|16057|USD|98
2013-10-01|12.85|13.05|12.7|12.98|28121|USD|99
2013-10-02|12.94|12.96|12.73|12.9|5497|USD|100
2013-10-03|12.75|13.1|12.75|13.0|42857|USD|101
2013-10-04|12.96|13.14|12.82|13.03|69369|USD|102
2013-10-07|13.01|13.48|12.61|12.99|29219|USD|103
2013-10-08|12.92|13.27|12.83|13.09|27545|USD|104
2013-10-09|12.91|13.09|12.76|13.05|31801|USD|105
2013-10-10|13.1|13.25|12.97|13.07|93809|USD|106
2013-10-11|13.0|13.4|12.81|13.39|54284|USD|107
2013-10-14|13.33|13.33|12.99|13.23|11713|USD|108
2013-10-15|13.08|13.13|12.89|13.1|8369|USD|109
2013-10-16|13.12|13.38|13.04|13.15|8346|USD|110
2013-10-17|13.39|13.39|12.85|12.95|26739|USD|111
2013-10-18|13.11|13.42|12.86|12.96|21128|USD|112
2013-10-21|13.01|13.49|12.94|12.98|17093|USD|113
2013-10-22|13.09|13.09|12.82|12.84|5453|USD|114
2013-10-23|12.87|12.97|12.66|12.97|50429|USD|115
2013-10-24|12.96|12.96|12.09|12.19|56529|USD|116
2013-10-25|12.09|12.09|11.74|11.88|51237|USD|117
2013-10-28|11.88|12.35|11.8|11.97|31132|USD|118
2013-10-29|11.97|12.16|11.82|12.08|45076|USD|119
2013-10-30|12.51|12.75|11.99|12.05|12076|USD|120
2013-10-31|12.13|12.74|12.13|12.51|19893|USD|121
2013-11-01|12.5|12.78|12.25|12.54|78061|USD|122
2013-11-04|12.67|12.67|11.75|12.54|10944|USD|123
2013-11-05|12.5|12.5|12.17|12.49|11024|USD|124
2013-11-06|12.5|12.5|11.87|12.07|44544|USD|125
2013-11-07|12.07|12.16|11.35|12.01|92605|USD|126
2013-11-08|11.97|12.27|11.97|12.18|33954|USD|127
2013-11-11|12.0|12.49|11.91|12.32|135869|USD|128
2013-11-12|12.34|12.5|12.24|12.4|4375|USD|129
2013-11-13|12.45|12.5|12.0|12.36|70465|USD|130
2013-11-14|12.32|12.41|12.21|12.29|7019|USD|131
2013-11-15|12.25|12.38|12.14|12.35|10913|USD|132
2013-11-18|12.45|12.45|12.0|12.06|24320|USD|133
2013-11-19|12.11|12.31|12.0|12.18|46341|USD|134
2013-11-20|12.25|12.28|12.0|12.08|6520|USD|135
2013-11-21|12.09|12.16|11.79|11.96|90044|USD|136
2013-11-22|12.0|12.29|11.86|12.16|116125|USD|137
2013-11-25|12.12|12.15|11.97|12.0|38452|USD|138
2013-11-26|12.04|12.25|12.03|12.25|16837|USD|139
2013-11-27|12.25|12.25|12.0|12.15|17694|USD|140
2013-11-29|12.15|12.19|12.11|12.15|5655|USD|141
2013-12-02|12.05|12.17|12.05|12.05|6484|USD|142
2013-12-03|12.15|12.15|11.95|11.96|24756|USD|143
2013-12-04|11.95|12.04|11.95|12.01|9918|USD|144
2013-12-05|12.05|12.05|11.95|11.98|9506|USD|145
2013-12-06|12.0|12.06|11.99|12.0|17140|USD|146
2013-12-09|12.07|12.1|11.95|12.03|39892|USD|147
2013-12-10|11.98|12.07|11.91|11.95|22577|USD|148
2013-12-11|11.91|11.97|11.67|11.7|53858|USD|149
2013-12-12|11.7|11.93|11.6|11.79|13628|USD|150
2013-12-13|11.77|11.9|11.68|11.78|96723|USD|151
2013-12-16|11.71|11.89|11.68|11.7|26433|USD|152
2013-12-17|11.73|11.79|11.56|11.72|16759|USD|153
2013-12-18|11.72|11.75|11.58|11.69|15502|USD|154
2013-12-19|11.69|11.73|11.5|11.53|18684|USD|155
2013-12-20|11.53|11.79|11.52|11.65|100482|USD|156
2013-12-23|11.71|11.95|11.53|11.84|29796|USD|157
2013-12-24|11.89|12.12|11.75|11.9|13143|USD|158
2013-12-26|11.89|12.15|11.81|11.9|10545|USD|159
2013-12-27|11.9|11.9|11.78|11.84|8475|USD|160
2013-12-30|11.87|12.0|11.87|11.93|8527|USD|161
2013-12-31|11.98|12.0|11.78|11.86|17826|USD|162
2014-01-02|11.76|11.79|11.6|11.66|25735|USD|163
2014-01-03|11.7|11.87|11.67|11.78|5408|USD|164
2014-01-06|11.83|11.84|11.72|11.72|5155|USD|165
2014-01-07|11.71|12.0|11.68|11.69|15943|USD|166
2014-01-08|11.9|12.72|11.9|12.71|1062180|USD|167
2014-01-09|13.08|14.0|12.98|13.43|455433|USD|168
2014-01-10|13.4|13.5|13.14|13.26|232957|USD|169
2014-01-13|13.42|13.83|13.14|13.37|335569|USD|170
2014-01-14|13.48|13.6|13.06|13.43|147237|USD|171
2014-01-15|13.56|13.74|13.39|13.5|109781|USD|172
2014-01-16|13.75|13.75|13.39|13.42|20134|USD|173
2014-01-17|13.45|13.54|13.42|13.45|137626|USD|174
2014-01-21|13.55|13.75|13.36|13.66|39222|USD|175
2014-01-22|13.66|13.7|13.44|13.56|17331|USD|176
2014-01-23|13.71|13.72|13.35|13.48|49193|USD|177
2014-01-24|13.39|13.65|13.3|13.6|160292|USD|178
2014-01-27|13.9|13.9|13.36|13.48|102566|USD|179
2014-01-28|13.43|13.64|13.31|13.6|64340|USD|180
2014-01-29|13.47|13.75|13.34|13.65|58146|USD|181
2014-01-30|13.82|14.19|13.82|14.0|415997|USD|182
2014-01-31|13.89|13.89|13.63|13.74|89022|USD|183
2014-02-03|13.81|14.0|13.41|13.53|174896|USD|184
2014-02-04|13.47|14.26|13.25|13.99|96757|USD|185
2014-02-05|14.0|14.03|13.76|13.94|95821|USD|186
2014-02-06|13.94|13.94|13.36|13.9|89147|USD|187
2014-02-07|13.97|14.22|13.81|13.84|99105|USD|188
2014-02-10|13.72|13.77|13.57|13.68|44057|USD|189
2014-02-11|13.8|13.8|13.68|13.74|69655|USD|190
2014-02-12|13.75|13.75|13.44|13.51|39538|USD|191
2014-02-13|13.45|13.65|13.26|13.54|16542|USD|192
2014-02-14|13.56|13.71|13.51|13.51|9873|USD|193
2014-02-18|13.45|13.65|13.29|13.5|50893|USD|194
2014-02-19|13.48|13.62|13.35|13.6|164985|USD|195
2014-02-20|13.6|13.66|13.3|13.38|37370|USD|196
2014-02-21|13.33|13.58|13.08|13.45|68639|USD|197
2014-02-24|13.68|13.8|13.18|13.64|147561|USD|198
2014-02-25|13.58|13.77|13.49|13.55|85760|USD|199
2014-02-26|13.54|13.79|13.54|13.65|11762|USD|200
2014-02-27|13.65|13.77|13.54|13.65|18332|USD|201
2014-02-28|13.7|13.97|13.55|13.91|104436|USD|202
2014-03-03|13.88|14.08|13.81|13.98|42838|USD|203
2014-03-04|14.0|14.17|13.95|14.13|135630|USD|204
2014-03-05|14.12|14.2|14.05|14.13|242834|USD|205
2014-03-06|13.9|14.12|13.89|14.1|5588|USD|206
2014-03-07|14.1|14.1|13.92|14.06|27786|USD|207
2014-03-10|13.97|14.06|13.97|14.03|32509|USD|208
2014-03-11|13.99|14.08|13.97|14.05|15659|USD|209
2014-03-12|14.0|14.15|13.84|14.03|25227|USD|210
2014-03-13|14.08|14.1|14.0|14.01|24220|USD|211
2014-03-14|14.0|14.1|14.0|14.04|23027|USD|212
2014-03-17|14.12|14.15|14.01|14.1|88594|USD|213
2014-03-18|14.1|14.1|14.01|14.07|17719|USD|214
2014-03-19|13.91|14.08|13.91|14.08|19644|USD|215
2014-03-20|14.1|14.15|13.91|14.14|101181|USD|216
2014-03-21|14.15|14.15|14.08|14.12|77664|USD|217
2014-03-24|14.12|14.14|13.98|14.0|26502|USD|218
2014-03-25|14.05|14.11|13.87|14.11|61821|USD|219
2014-03-26|14.1|14.37|14.0|14.25|434213|USD|220
2014-03-27|14.2|14.35|14.05|14.18|37785|USD|221
2014-03-28|14.2|14.43|14.05|14.18|94224|USD|222
2014-03-31|14.27|14.4|14.1|14.21|56272|USD|223
2014-04-01|14.24|14.49|14.16|14.23|14282|USD|224
2014-04-02|14.25|14.25|14.22|14.22|8006|USD|225
2014-04-03|14.23|14.58|14.2|14.54|76189|USD|226
2014-04-04|14.64|14.91|14.1|14.12|45938|USD|227
2014-04-07|14.1|14.31|13.98|14.08|131003|USD|228
2014-04-08|14.14|14.25|14.06|14.06|136006|USD|229
2014-04-09|14.11|14.22|13.98|14.09|55248|USD|230
2014-04-10|14.06|14.1|13.63|14.01|83384|USD|231
2014-04-11|13.89|14.08|13.78|13.88|64022|USD|232
2014-04-14|13.96|14.1|13.72|14.05|198434|USD|233
2014-04-15|14.06|14.1|13.87|13.98|200590|USD|234
2014-04-16|14.01|14.1|13.75|13.89|32057|USD|235
2014-04-17|13.86|14.15|13.75|13.86|28436|USD|236
2014-04-21|13.93|14.0|13.62|13.76|18914|USD|237
2014-04-22|13.71|14.21|13.62|13.7|18209|USD|238
2014-04-23|13.62|13.88|13.48|13.54|60799|USD|239
2014-04-24|13.89|14.0|13.31|13.38|18163|USD|240
2014-04-25|13.28|13.3|12.75|12.92|107597|USD|241
2014-04-28|12.95|13.08|12.66|12.89|65040|USD|242
2014-04-29|12.93|12.94|12.79|12.94|62719|USD|243
2014-04-30|12.8|13.26|12.68|13.08|89294|USD|244
2014-05-01|13.05|13.3|12.83|12.97|84563|USD|245
2014-05-02|12.94|13.03|12.85|12.93|34813|USD|246
2014-05-05|12.89|12.99|12.8|12.94|29728|USD|247
2014-05-06|12.87|13.0|12.87|12.95|40306|USD|248
2014-05-07|13.0|13.01|12.89|13.0|33725|USD|249
2014-05-08|13.05|13.22|12.95|13.02|32517|USD|250
2014-05-09|13.0|13.27|12.99|13.23|15753|USD|251
2014-05-12|13.33|13.79|13.25|13.73|69789|USD|252
2014-05-13|13.64|13.87|13.39|13.71|33118|USD|253
2014-05-14|13.46|13.56|13.04|13.13|15691|USD|254
2014-05-15|13.15|13.15|12.76|12.96|42703|USD|255
2014-05-16|12.91|13.43|12.8|12.99|40380|USD|256
2014-05-19|12.98|13.29|12.91|13.23|34260|USD|257
