Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.83|1.86|1.81|1.86|1751|USD|0
2012-01-04|1.87|1.87|1.84|1.84|2042|USD|1
2012-01-05|1.8|1.86|1.8|1.8|3445|USD|2
2012-01-06|1.84|1.84|1.84|1.84|598|USD|3
2012-01-09|1.81|2.08|1.78|1.81|12758|USD|4
2012-01-10|2.03|2.03|1.89|1.89|478|USD|5
2012-01-11|1.82|2.09|1.82|1.83|1403|USD|6
2012-01-12|2.04|2.25|1.86|2.1|12664|USD|7
2012-01-13|2.06|2.09|1.88|1.96|2988|USD|8
2012-01-17|2.19|2.25|1.95|2.15|4619|USD|9
2012-01-18|2.05|2.24|2.05|2.24|1659|USD|10
2012-01-19|2.14|2.21|1.92|2.21|3048|USD|11
2012-01-20|2.12|2.12|1.95|1.95|431|USD|12
2012-01-23|2.05|2.1|1.95|2.09|1699|USD|13
2012-01-24|2.0|2.1|2.0|2.04|1900|USD|14
2012-01-25|2.1|2.1|2.07|2.07|1363|USD|15
2012-01-26|2.13|2.13|2.06|2.06|2677|USD|16
2012-01-27|2.25|2.25|2.12|2.12|474|USD|17
2012-01-30|2.1|2.25|2.1|2.12|1658|USD|18
2012-02-02|1.96|2.21|1.96|2.09|1142|USD|19
2012-02-03|1.97|2.07|1.96|1.96|10473|USD|20
2012-02-06|2.1|2.1|1.96|1.97|4326|USD|21
2012-02-07|1.96|2.11|1.83|1.96|6659|USD|22
2012-02-08|2.02|2.1|1.92|1.98|1997|USD|23
2012-02-14|2.06|2.07|1.91|1.95|4027|USD|24
2012-02-15|2.06|2.06|1.89|1.97|1184|USD|25
2012-02-17|1.9|2.03|1.9|1.92|1274|USD|26
2012-02-21|2.01|2.03|1.86|2.02|4435|USD|27
2012-02-23|2.02|2.03|2.02|2.02|592|USD|28
2012-02-24|1.89|1.95|1.88|1.91|1421|USD|29
2012-02-27|1.94|1.94|1.94|1.94|118|USD|30
2012-02-28|1.88|1.94|1.76|1.92|9298|USD|31
2012-02-29|1.88|1.88|1.82|1.82|266|USD|32
2012-03-01|1.94|1.94|1.78|1.78|493|USD|33
2012-03-02|1.69|1.98|1.46|1.93|36195|USD|34
2012-03-05|1.88|1.93|1.88|1.93|361|USD|35
2012-03-06|1.77|1.88|1.77|1.88|1582|USD|36
2012-03-07|1.9|1.95|1.88|1.91|6375|USD|37
2012-03-08|1.97|1.97|1.94|1.94|2144|USD|38
2012-03-09|1.97|1.97|1.9|1.97|3434|USD|39
2012-03-12|1.9|2.03|1.9|2.03|9306|USD|40
2012-03-13|2.04|2.04|1.99|2.04|2100|USD|41
2012-03-14|2.09|2.11|2.09|2.11|4981|USD|42
2012-03-15|2.14|2.18|2.04|2.11|3832|USD|43
2012-03-16|2.18|2.19|2.08|2.08|13556|USD|44
2012-03-19|2.07|2.14|1.91|1.97|9922|USD|45
