Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|6.82|6.98|6.82|6.86|15913|USD|0
2012-01-04|6.96|6.96|6.86|6.96|8858|USD|1
2012-01-05|6.86|6.88|6.86|6.88|600|USD|2
2012-01-06|6.77|6.9|6.77|6.86|3115|USD|3
2012-01-09|6.88|7.01|6.87|7.01|800|USD|4
2012-01-10|7.0|7.0|6.87|6.87|3381|USD|5
2012-01-11|7.0|7.02|6.96|6.96|5340|USD|6
2012-01-12|6.96|6.96|6.96|6.96|10000|USD|7
2012-01-13|6.98|6.98|6.98|6.98|100|USD|8
2012-01-17|6.96|6.96|6.91|6.91|6075|USD|9
2012-01-18|6.96|6.96|6.96|6.96|10000|USD|10
2012-01-19|6.96|6.96|6.87|6.87|4500|USD|11
2012-01-20|6.88|7.05|6.86|7.05|3407|USD|12
2012-01-23|6.98|7.17|6.96|7.09|1200|USD|13
2012-01-24|7.0|7.0|7.0|7.0|420|USD|14
2012-01-25|6.96|6.96|6.96|6.96|659|USD|15
2012-01-26|7.02|7.04|7.02|7.04|1000|USD|16
2012-01-27|7.18|7.44|7.12|7.12|5056|USD|17
2012-01-30|7.08|7.08|7.08|7.08|300|USD|18
2012-01-31|7.25|7.52|7.03|7.27|8054|USD|19
2012-02-01|7.37|7.48|7.37|7.46|1200|USD|20
2012-02-02|7.45|7.6|7.45|7.46|1903|USD|21
2012-02-03|7.68|7.93|7.68|7.93|9770|USD|22
2012-02-06|7.99|8.43|7.95|8.06|3240|USD|23
2012-02-07|8.25|8.25|8.2|8.2|975|USD|24
2012-02-08|8.3|8.3|7.96|8.08|1100|USD|25
2012-02-09|8.02|8.2|7.52|8.2|1109|USD|26
2012-02-10|8.2|8.2|7.95|7.95|301|USD|27
2012-02-13|7.95|8.1|7.94|8.1|3167|USD|28
2012-02-14|7.98|7.98|7.95|7.95|1320|USD|29
2012-02-15|8.01|8.01|8.01|8.01|100|USD|30
2012-02-16|8.01|8.01|8.01|8.01|400|USD|31
2012-02-17|7.95|7.95|7.95|7.95|469|USD|32
2012-02-21|7.96|8.05|7.62|8.05|1704|USD|33
2012-02-23|7.78|7.95|7.75|7.95|900|USD|34
2012-02-24|7.99|8.0|7.95|7.95|3230|USD|35
2012-02-27|7.95|7.95|7.94|7.95|700|USD|36
2012-02-28|7.9|8.0|7.9|8.0|2400|USD|37
2012-02-29|8.0|8.35|7.96|7.96|5703|USD|38
2012-03-01|8.05|8.05|7.95|8.0|3154|USD|39
2012-03-02|7.64|7.97|7.64|7.97|2237|USD|40
2012-03-05|7.63|7.63|7.62|7.62|1475|USD|41
2012-03-06|7.52|7.52|7.0|7.15|7018|USD|42
2012-03-07|7.25|7.33|7.14|7.33|5400|USD|43
2012-03-08|7.17|7.17|7.15|7.17|954|USD|44
2012-03-09|7.06|7.07|7.05|7.06|900|USD|45
2012-03-12|7.04|7.07|7.03|7.06|500|USD|46
2012-03-13|7.02|7.05|7.02|7.05|1192|USD|47
