Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|7.14|7.3|7.14|7.23|301153|USD|0
2012-01-04|7.15|7.26|7.11|7.19|112602|USD|1
2012-01-05|7.16|7.36|6.99|7.24|135428|USD|2
2012-01-06|7.18|7.18|6.4|6.49|412738|USD|3
2012-01-09|6.51|6.57|6.37|6.43|174528|USD|4
2012-01-10|6.58|6.72|6.4|6.6|483330|USD|5
2012-01-11|6.57|6.83|6.53|6.73|337706|USD|6
2012-01-12|6.78|7.11|6.67|7.09|123337|USD|7
2012-01-13|6.97|7.11|6.79|7.07|157784|USD|8
2012-01-17|7.11|7.2|6.88|6.92|131960|USD|9
2012-01-18|6.94|7.11|6.94|7.08|120334|USD|10
2012-01-19|7.08|7.08|6.9|6.96|70618|USD|11
2012-01-20|6.94|7.06|6.89|7.0|89683|USD|12
2012-01-23|6.98|7.05|6.95|6.99|67680|USD|13
2012-01-24|6.94|7.1|6.9|7.07|89349|USD|14
2012-01-25|7.07|7.37|6.99|7.36|113753|USD|15
2012-01-26|7.38|7.39|6.91|7.11|183269|USD|16
2012-01-27|7.05|7.49|7.04|7.47|139162|USD|17
2012-01-30|7.4|7.52|7.29|7.47|115242|USD|18
2012-01-31|7.5|7.74|7.34|7.59|214408|USD|19
2012-02-01|7.64|8.03|7.52|7.96|256842|USD|20
2012-02-02|7.98|8.34|7.8|8.26|121512|USD|21
2012-02-03|8.42|9.2|8.42|9.11|184690|USD|22
2012-02-06|9.04|9.16|8.75|9.14|131049|USD|23
2012-02-07|9.12|9.29|9.03|9.11|155357|USD|24
2012-02-08|9.15|9.25|8.78|9.15|231316|USD|25
2012-02-09|9.19|9.19|9.0|9.08|51111|USD|26
2012-02-10|8.96|9.1|8.85|8.88|118971|USD|27
2012-02-13|8.99|9.13|8.91|9.04|117121|USD|28
2012-02-14|9.01|9.03|8.78|8.89|146825|USD|29
2012-02-15|8.95|8.95|8.64|8.65|113491|USD|30
2012-02-16|8.67|9.27|8.67|9.27|84839|USD|31
2012-02-17|9.29|9.3|9.11|9.21|57513|USD|32
2012-02-21|9.22|9.28|8.98|9.04|60402|USD|33
2012-02-22|8.99|9.06|8.78|8.79|70882|USD|34
2012-02-23|8.83|9.21|8.8|9.21|96128|USD|35
2012-02-24|9.19|9.24|8.84|8.91|71499|USD|36
2012-02-27|8.81|9.0|8.7|8.85|85777|USD|37
2012-02-28|8.88|8.95|8.75|8.93|81296|USD|38
2012-02-29|8.95|9.1|8.86|8.97|174203|USD|39
2012-03-01|8.99|9.17|8.73|8.74|118051|USD|40
2012-03-02|8.75|8.84|8.58|8.63|219095|USD|41
2012-03-05|8.59|8.9|8.5|8.78|72299|USD|42
2012-03-06|8.66|8.8|8.53|8.64|138811|USD|43
2012-03-07|8.7|8.8|8.61|8.65|137544|USD|44
2012-03-08|8.73|8.94|8.56|8.91|84283|USD|45
2012-03-09|8.89|9.4|8.89|9.08|140177|USD|46
2012-03-12|9.06|9.45|8.9|9.24|270959|USD|47
2012-03-13|9.36|9.36|9.04|9.18|218254|USD|48
2012-03-14|9.12|9.25|8.9|9.05|93469|USD|49
2012-03-15|9.07|9.35|8.96|9.35|106270|USD|50
2012-03-16|9.39|9.41|9.11|9.17|256572|USD|51
2012-03-19|9.15|9.64|9.02|9.55|146243|USD|52
2012-03-20|9.43|9.98|9.43|9.81|181970|USD|53
2012-03-21|9.86|9.94|9.79|9.86|113122|USD|54
2012-03-22|9.73|9.83|9.5|9.65|95142|USD|55
2012-03-23|9.64|9.84|9.53|9.82|81379|USD|56
2012-03-26|9.96|10.3|9.9|10.26|123953|USD|57
2012-03-27|10.27|10.3|9.97|9.97|71005|USD|58
2012-03-28|9.99|10.12|9.91|10.07|76764|USD|59
2012-03-29|9.97|10.03|9.65|9.95|73061|USD|60
2012-03-30|10.07|10.07|9.75|9.75|58675|USD|61
2012-04-02|9.68|9.77|9.51|9.75|185072|USD|62
2012-04-03|9.72|9.72|9.5|9.61|125972|USD|63
2012-04-04|9.46|9.48|9.27|9.4|86125|USD|64
2012-04-05|9.33|9.46|9.24|9.26|53681|USD|65
2012-04-09|9.04|9.13|8.9|9.02|105668|USD|66
2012-04-10|9.0|9.0|8.57|8.62|133930|USD|67
2012-04-11|8.67|8.81|8.64|8.74|129726|USD|68
2012-04-12|8.8|8.91|8.76|8.86|100607|USD|69
2012-04-13|8.81|8.81|8.38|8.39|94863|USD|70
2012-04-16|8.44|8.66|8.28|8.66|129208|USD|71
2012-04-17|8.72|9.15|8.72|9.02|138467|USD|72
2012-04-18|8.94|8.99|8.71|8.91|139300|USD|73
2012-04-19|8.96|9.07|8.77|8.95|184087|USD|74
2012-04-20|9.06|9.41|9.0|9.26|224387|USD|75
2012-04-23|9.08|9.26|8.97|9.03|209362|USD|76
2012-04-24|9.02|9.17|9.0|9.17|98292|USD|77
2012-04-25|9.27|9.41|9.17|9.25|154113|USD|78
2012-04-26|9.26|9.35|9.0|9.07|132748|USD|79
2012-04-27|9.13|9.52|8.89|9.52|101864|USD|80
2012-04-30|9.54|9.62|9.4|9.41|106757|USD|81
2012-05-01|9.41|9.72|9.27|9.28|453655|USD|82
2012-05-02|9.19|9.24|9.03|9.19|96747|USD|83
2012-05-03|9.2|9.2|8.98|9.11|132447|USD|84
2012-05-04|9.06|9.06|8.86|8.96|107389|USD|85
2012-05-07|8.94|9.26|8.94|9.11|108838|USD|86
2012-05-08|9.0|9.15|8.89|9.03|136208|USD|87
2012-05-09|8.96|9.04|8.7|8.91|137989|USD|88
2012-05-10|8.99|9.13|8.93|9.07|58793|USD|89
2012-05-11|9.02|9.11|8.83|8.9|83701|USD|90
2012-05-14|8.76|8.81|8.63|8.63|61161|USD|91
2012-05-15|8.61|8.77|8.54|8.7|94939|USD|92
2012-05-16|8.73|8.89|8.61|8.63|51126|USD|93
2012-05-17|8.61|8.61|8.26|8.45|148105|USD|94
2012-05-18|8.44|8.54|8.32|8.4|174928|USD|95
2012-05-21|8.46|8.62|8.41|8.5|86319|USD|96
2012-05-22|8.5|8.68|8.27|8.37|110999|USD|97
2012-05-23|8.31|8.49|8.12|8.46|64722|USD|98
2012-05-24|8.47|8.58|8.26|8.58|100054|USD|99
2012-05-25|8.58|8.64|8.45|8.47|60681|USD|100
2012-05-29|8.59|8.59|8.29|8.32|76717|USD|101
2012-05-30|8.23|8.27|7.98|7.98|87820|USD|102
2012-05-31|8.01|8.32|7.87|8.23|162593|USD|103
2012-06-01|7.99|8.13|7.76|7.78|111786|USD|104
2012-06-04|7.8|7.95|7.78|7.94|90521|USD|105
2012-06-05|7.9|8.03|7.87|7.92|76145|USD|106
2012-06-06|7.99|8.2|7.92|8.2|86495|USD|107
2012-06-07|8.33|8.39|8.21|8.29|71024|USD|108
2012-06-08|8.25|8.56|8.11|8.55|91086|USD|109
2012-06-11|8.69|8.93|8.55|8.65|222603|USD|110
2012-06-12|8.69|8.77|8.5|8.69|189994|USD|111
2012-06-13|8.68|8.84|8.41|8.45|232921|USD|112
2012-06-14|8.47|8.77|8.47|8.67|161550|USD|113
