Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|20.96|21.12|20.0|21.12|492|USD|0
2012-01-04|20.0|20.0|19.2|19.2|31|USD|1
2012-01-05|20.0|20.0|19.2|19.2|38|USD|2
2012-01-06|22.24|22.4|19.36|19.36|85|USD|3
2012-01-09|19.2|20.16|19.2|20.16|75|USD|4
2012-01-10|20.32|20.64|20.32|20.64|41|USD|5
2012-01-11|19.2|20.48|19.2|20.48|481|USD|6
2012-01-12|19.2|19.2|19.2|19.2|119|USD|7
2012-01-13|18.72|18.72|18.72|18.72|63|USD|8
2012-01-18|19.2|19.2|19.2|19.2|13|USD|9
2012-01-19|20.0|22.78|19.2|19.2|152|USD|10
2012-01-20|22.4|22.4|21.6|21.6|231|USD|11
2012-01-23|28.16|38.24|27.68|32.64|3426|USD|12
2012-01-24|32.48|41.6|32.0|37.28|4971|USD|13
2012-01-25|41.6|41.6|26.4|29.6|3228|USD|14
2012-01-26|29.76|30.4|29.76|29.76|240|USD|15
2012-01-27|27.36|29.6|26.72|29.52|757|USD|16
2012-01-30|28.8|31.2|26.72|28.8|328|USD|17
2012-01-31|29.16|29.16|27.2|27.2|175|USD|18
2012-02-01|27.46|28.16|25.28|25.89|216|USD|19
2012-02-02|24.48|28.96|24.48|28.64|206|USD|20
2012-02-03|28.8|28.8|25.92|28.0|352|USD|21
2012-02-06|29.28|29.28|25.92|26.56|156|USD|22
2012-02-07|26.4|26.88|26.4|26.56|166|USD|23
2012-02-08|26.72|26.72|25.86|26.72|1027|USD|24
2012-02-09|27.04|27.36|26.4|27.2|88|USD|25
2012-02-10|25.44|25.6|25.44|25.6|360|USD|26
2012-02-13|25.44|25.61|24.64|25.61|88|USD|27
2012-02-14|26.88|28.0|26.88|27.84|1268|USD|28
2012-02-15|27.68|27.68|25.6|25.6|159|USD|29
2012-02-16|26.24|26.24|26.24|26.24|13|USD|30
2012-02-17|25.6|25.92|25.6|25.92|44|USD|31
2012-02-22|26.24|28.16|25.92|26.4|419|USD|32
2012-02-23|26.4|26.4|25.6|25.6|66|USD|33
2012-02-24|25.76|25.76|25.76|25.76|21|USD|34
2012-02-27|25.76|25.76|25.76|25.76|56|USD|35
2012-02-29|25.76|25.76|25.6|25.6|257|USD|36
2012-03-01|25.6|25.6|25.6|25.6|22|USD|37
2012-03-02|25.6|25.6|22.56|22.88|442|USD|38
2012-03-05|23.68|25.59|20.48|25.28|837|USD|39
2012-03-06|25.44|25.44|24.64|24.64|19|USD|40
2012-03-08|24.8|24.8|24.8|24.8|15|USD|41
2012-03-09|24.32|24.32|24.32|24.32|19|USD|42
2012-03-12|22.4|22.4|22.4|22.4|23|USD|43
2012-03-13|22.4|22.4|22.4|22.4|25|USD|44
2012-03-14|24.8|24.8|24.42|24.42|90|USD|45
2012-03-15|24.8|25.6|22.4|22.4|809|USD|46
2012-03-16|26.4|26.4|26.4|26.4|6|USD|47
2012-03-19|22.88|23.84|22.88|23.84|156|USD|48
2012-03-20|26.56|28.96|23.2|23.68|690|USD|49
2012-03-21|22.88|22.88|22.88|22.88|41|USD|50
