Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|44.87|45.96|44.87|45.06|250692|USD|0
2012-01-04|44.81|45.19|44.04|45.0|132024|USD|1
2012-01-05|44.52|45.69|44.11|45.52|184379|USD|2
2012-01-06|45.4|45.64|44.65|45.34|108904|USD|3
2012-01-09|45.58|46.08|45.07|45.93|98904|USD|4
2012-01-10|46.62|46.62|45.5|45.75|170786|USD|5
2012-01-11|45.37|46.1|44.82|45.98|102764|USD|6
2012-01-12|46.22|46.86|45.69|46.79|145435|USD|7
2012-01-13|46.1|46.87|46.03|46.76|125269|USD|8
2012-01-17|47.02|47.71|46.64|46.77|106772|USD|9
2012-01-18|46.86|47.49|46.65|47.45|101047|USD|10
2012-01-19|47.83|47.89|45.75|45.9|160642|USD|11
2012-01-20|45.31|45.78|45.13|45.32|187003|USD|12
2012-01-23|45.37|46.01|44.92|45.08|145766|USD|13
2012-01-24|44.66|45.53|44.04|45.43|172388|USD|14
2012-01-25|45.48|46.53|45.33|45.99|197040|USD|15
2012-01-26|46.2|46.5|44.66|45.42|245411|USD|16
2012-01-27|45.13|46.37|44.83|46.22|187820|USD|17
2012-01-30|45.89|46.62|45.72|46.22|228824|USD|18
2012-01-31|46.61|46.95|46.32|46.49|618957|USD|19
2012-02-01|46.86|47.74|46.64|47.51|284493|USD|20
2012-02-02|47.1|47.92|46.57|47.14|176459|USD|21
2012-02-03|47.99|48.94|47.62|48.2|225040|USD|22
2012-02-06|47.8|47.96|47.17|47.32|105406|USD|23
2012-02-07|47.23|47.83|46.87|47.42|105689|USD|24
2012-02-08|47.45|48.05|47.02|47.48|97904|USD|25
2012-02-09|47.52|47.59|47.0|47.51|113032|USD|26
2012-02-10|46.95|47.2|46.46|46.63|139678|USD|27
2012-02-13|47.19|47.59|46.99|47.58|134889|USD|28
2012-02-14|47.29|47.57|46.69|47.44|144785|USD|29
2012-02-15|47.6|48.15|47.15|47.31|168507|USD|30
2012-02-16|47.2|48.5|47.2|48.37|112400|USD|31
2012-02-17|48.61|48.84|48.08|48.51|119440|USD|32
2012-02-21|48.58|48.58|47.79|48.23|121705|USD|33
2012-02-22|47.97|48.2|47.2|47.25|118509|USD|34
2012-02-23|47.36|48.51|47.15|48.32|83370|USD|35
2012-02-24|48.27|48.78|47.6|47.86|101644|USD|36
2012-02-27|47.41|48.17|46.98|48.03|136584|USD|37
2012-02-28|47.95|48.15|47.22|47.79|104725|USD|38
2012-02-29|48.02|48.35|47.3|47.36|167609|USD|39
2012-03-01|47.71|48.05|47.3|47.36|140946|USD|40
2012-03-02|47.37|47.53|46.27|46.55|127801|USD|41
2012-03-05|46.31|46.92|46.26|46.77|152086|USD|42
2012-03-06|46.31|46.42|45.55|45.83|135771|USD|43
2012-03-07|46.03|46.31|45.66|46.01|118063|USD|44
2012-03-08|46.41|46.78|45.8|46.73|84256|USD|45
2012-03-09|46.71|47.71|46.46|47.32|154586|USD|46
2012-03-12|47.3|47.31|46.8|47.12|185861|USD|47
2012-03-13|47.56|48.78|47.33|48.71|176374|USD|48
2012-03-14|48.36|48.87|47.62|48.1|156050|USD|49
2012-03-15|48.11|49.3|47.87|48.85|97776|USD|50
2012-03-16|48.94|49.39|48.42|48.85|477913|USD|51
2012-03-19|48.75|49.3|48.28|48.88|120532|USD|52
2012-03-20|48.45|48.97|48.17|48.54|75155|USD|53
2012-03-21|48.72|48.76|47.98|48.23|85783|USD|54
2012-03-22|47.7|47.94|46.78|47.57|95035|USD|55
2012-03-23|47.55|47.91|47.23|47.85|75094|USD|56
2012-03-26|48.5|48.98|48.08|48.67|135679|USD|57
