Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|28.79|29.53|28.61|29.4|311751|USD|0
2012-01-04|29.11|29.59|28.88|29.5|204575|USD|1
2012-01-05|29.34|30.96|29.21|30.43|338047|USD|2
2012-01-06|30.4|30.65|29.9|30.3|204181|USD|3
2012-01-09|30.49|30.78|29.95|30.73|187158|USD|4
2012-01-10|31.14|31.61|30.85|31.43|275395|USD|5
2012-01-11|31.28|31.51|30.64|31.45|204999|USD|6
2012-01-12|31.45|31.73|30.9|31.72|275702|USD|7
2012-01-13|31.01|31.48|30.67|31.42|235838|USD|8
2012-01-17|31.68|32.26|31.26|31.37|284583|USD|9
2012-01-18|31.23|31.55|31.04|31.53|342464|USD|10
2012-01-19|31.95|32.43|30.81|31.07|221270|USD|11
2012-01-20|30.81|31.73|30.81|31.03|367991|USD|12
2012-01-23|31.06|31.68|30.95|31.21|341728|USD|13
2012-01-24|30.96|31.58|30.85|31.4|374043|USD|14
2012-01-25|31.28|31.97|31.04|31.72|251593|USD|15
2012-01-26|31.8|31.8|30.15|30.98|393132|USD|16
2012-01-27|30.92|31.25|30.66|30.9|181159|USD|17
2012-01-30|30.55|31.08|30.41|30.67|322403|USD|18
2012-01-31|30.95|31.08|30.56|30.65|168557|USD|19
2012-02-01|30.82|31.54|30.65|31.18|428664|USD|20
2012-02-02|31.15|31.59|30.76|31.0|412637|USD|21
2012-02-03|31.52|32.25|31.49|31.95|443420|USD|22
2012-02-06|31.86|32.05|31.55|31.9|156399|USD|23
2012-02-07|31.75|32.0|31.48|31.83|411511|USD|24
2012-02-08|31.87|32.47|31.52|31.96|146210|USD|25
2012-02-09|32.03|32.03|31.65|31.89|161797|USD|26
2012-02-10|31.46|31.6|31.08|31.17|109755|USD|27
2012-02-13|31.55|31.96|31.47|31.9|137939|USD|28
2012-02-14|31.79|32.08|31.4|32.04|223415|USD|29
2012-02-15|32.13|33.64|32.09|33.5|603963|USD|30
2012-02-16|33.45|34.16|33.03|33.94|522247|USD|31
2012-02-17|34.07|34.36|33.64|34.05|331156|USD|32
2012-02-21|34.16|34.33|33.61|34.04|352421|USD|33
2012-02-22|34.01|34.01|32.96|33.23|260549|USD|34
2012-02-23|33.34|34.17|32.99|33.84|217491|USD|35
2012-02-24|33.85|33.91|33.36|33.54|140301|USD|36
2012-02-27|33.18|34.27|33.0|33.84|266401|USD|37
2012-02-28|33.92|34.23|33.6|33.99|198929|USD|38
2012-02-29|34.11|34.34|33.7|33.71|283392|USD|39
2012-03-01|33.9|34.51|33.83|34.11|397019|USD|40
2012-03-02|34.12|34.12|33.38|33.69|374343|USD|41
2012-03-05|33.47|34.08|33.21|33.65|139440|USD|42
2012-03-06|33.18|33.35|32.6|32.98|245709|USD|43
2012-03-07|33.24|33.59|32.89|33.37|105773|USD|44
2012-03-08|33.58|34.03|33.26|33.93|157795|USD|45
2012-03-09|33.87|34.59|33.73|34.12|202089|USD|46
2012-03-12|34.01|34.22|33.59|33.98|133482|USD|47
2012-03-13|34.35|35.67|34.17|35.64|362153|USD|48
2012-03-14|35.49|35.49|34.51|34.91|855500|USD|49
2012-03-15|34.98|35.49|34.56|35.15|368333|USD|50
2012-03-16|35.31|35.78|34.83|35.38|479654|USD|51
2012-03-19|35.32|36.57|34.93|36.12|258728|USD|52
2012-03-20|35.82|36.25|35.63|36.01|193446|USD|53
2012-03-21|36.1|36.3|35.98|36.1|309361|USD|54
2012-03-22|35.78|35.82|35.31|35.75|192108|USD|55
2012-03-23|35.73|35.94|35.19|35.85|231445|USD|56
2012-03-26|36.31|36.57|35.88|36.12|228213|USD|57
2012-03-27|36.1|36.13|35.59|35.78|171793|USD|58
2012-03-28|35.76|36.31|35.55|35.94|147380|USD|59
2012-03-29|35.61|35.78|35.01|35.68|156859|USD|60
2012-03-30|36.08|36.08|35.4|35.79|209131|USD|61
2012-04-02|35.8|36.16|35.5|36.0|274419|USD|62
2012-04-03|35.83|36.03|35.37|35.9|170978|USD|63
2012-04-04|35.6|35.64|34.95|35.17|135941|USD|64
2012-04-05|35.06|35.29|34.87|34.98|170430|USD|65
2012-04-09|34.21|34.53|34.13|34.22|180176|USD|66
2012-04-10|34.15|34.4|33.51|33.75|361893|USD|67
2012-04-11|34.18|34.52|34.0|34.37|180587|USD|68
2012-04-12|34.36|34.73|34.17|34.59|150031|USD|69
2012-04-13|34.43|34.57|33.3|33.33|488771|USD|70
2012-04-16|33.55|33.9|33.13|33.61|222554|USD|71
2012-04-17|34.0|34.76|33.89|34.42|209448|USD|72
2012-04-18|34.33|34.33|33.58|33.87|182063|USD|73
