Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|16.66|17.35|16.6|16.77|3442524|USD|0
2012-01-04|16.68|17.23|16.55|17.14|3478773|USD|1
2012-01-05|17.02|17.88|16.86|17.62|4965599|USD|2
2012-01-06|17.68|17.78|17.23|17.64|2994788|USD|3
2012-01-09|17.7|17.97|17.66|17.88|2078849|USD|4
2012-01-10|18.19|18.41|18.01|18.17|3420467|USD|5
2012-01-11|18.15|18.51|17.92|18.5|3112506|USD|6
2012-01-12|18.5|18.68|18.13|18.65|3832181|USD|7
2012-01-13|18.36|18.56|18.05|18.5|2305160|USD|8
2012-01-17|18.65|18.85|18.3|18.4|2545508|USD|9
2012-01-18|18.35|18.99|18.14|18.79|3065751|USD|10
2012-01-19|18.99|19.0|18.56|18.7|3132865|USD|11
2012-01-20|18.64|18.9|18.48|18.85|3026093|USD|12
2012-01-23|18.85|19.02|18.46|18.55|3341667|USD|13
2012-01-24|17.1|17.55|16.7|17.15|10054225|USD|14
2012-01-25|17.07|17.66|17.0|17.52|5206433|USD|15
2012-01-26|17.62|17.69|16.4|16.58|8956909|USD|16
2012-01-27|16.47|16.98|16.4|16.89|3132469|USD|17
2012-01-30|16.72|16.85|16.51|16.71|3272894|USD|18
2012-01-31|16.85|16.94|16.6|16.83|3515243|USD|19
2012-02-01|16.99|17.21|16.93|17.02|4672668|USD|20
2012-02-02|17.08|17.38|16.8|17.31|3641662|USD|21
2012-02-03|17.6|18.14|17.5|18.03|6615916|USD|22
2012-02-06|17.95|18.2|17.88|18.07|2834647|USD|23
2012-02-07|18.06|18.47|17.93|18.35|3612216|USD|24
2012-02-08|18.32|18.66|18.26|18.57|2794511|USD|25
2012-02-09|18.65|18.78|18.36|18.51|3237814|USD|26
2012-02-10|18.22|18.45|18.07|18.37|2350878|USD|27
2012-02-13|18.6|18.72|18.39|18.55|2250796|USD|28
2012-02-14|18.42|18.49|18.19|18.42|3026756|USD|29
2012-02-15|18.47|18.8|18.45|18.51|3400935|USD|30
2012-02-16|18.52|19.32|18.46|19.16|4198293|USD|31
2012-02-17|19.29|20.11|19.23|19.86|7882129|USD|32
2012-02-21|19.98|19.98|19.35|19.5|3891225|USD|33
2012-02-22|19.49|19.53|18.67|18.79|3669056|USD|34
2012-02-23|18.83|19.05|18.68|18.91|2279160|USD|35
2012-02-24|18.94|19.07|18.8|19.0|2429916|USD|36
2012-02-27|18.77|19.12|18.7|19.07|2950672|USD|37
2012-02-28|19.11|19.46|18.84|19.22|2718023|USD|38
2012-02-29|19.25|19.52|18.86|19.0|2668413|USD|39
2012-03-01|19.08|19.35|18.88|18.99|2653667|USD|40
2012-03-02|18.95|19.0|18.74|18.86|1784732|USD|41
2012-03-05|18.75|18.88|18.37|18.55|2163802|USD|42
2012-03-06|18.35|18.35|17.75|17.95|2749935|USD|43
2012-03-07|18.34|18.65|18.23|18.33|3438648|USD|44
2012-03-08|18.52|18.73|18.34|18.69|2155975|USD|45
2012-03-09|18.74|19.2|18.58|18.99|2661071|USD|46
2012-03-12|18.98|19.06|18.59|18.71|2112457|USD|47
2012-03-13|18.91|19.79|18.86|19.53|6151384|USD|48
2012-03-14|21.02|21.82|20.5|21.58|13116950|USD|49
2012-03-15|21.67|22.49|21.51|22.13|5510053|USD|50
2012-03-16|22.37|22.61|22.09|22.28|4364071|USD|51
2012-03-19|22.26|22.81|22.19|22.64|3128393|USD|52
2012-03-20|22.05|22.4|21.76|22.2|4703214|USD|53
2012-03-21|22.19|22.46|21.87|22.07|3072747|USD|54
2012-03-22|21.88|21.93|21.39|21.48|3656635|USD|55
2012-03-23|21.44|21.79|21.08|21.73|3582247|USD|56
2012-03-26|22.03|22.15|21.77|21.97|3153753|USD|57
2012-03-27|21.97|22.09|21.64|21.66|3069605|USD|58
2012-03-28|21.68|22.01|21.46|21.8|3447775|USD|59
2012-03-29|21.59|21.75|21.17|21.65|2425846|USD|60
2012-03-30|21.73|21.89|21.21|21.46|2160387|USD|61
2012-04-02|21.39|21.55|20.99|21.43|2865954|USD|62
2012-04-03|21.35|21.52|21.07|21.51|3752655|USD|63
2012-04-04|21.21|21.42|20.87|21.08|3957067|USD|64
2012-04-05|21.04|21.27|20.91|21.08|2590770|USD|65
2012-04-09|20.62|20.77|20.43|20.6|2467254|USD|66
2012-04-10|20.58|20.71|19.88|20.28|4768010|USD|67
2012-04-11|20.51|20.99|20.38|20.84|3213842|USD|68
2012-04-12|20.97|21.24|20.8|21.14|1838137|USD|69
2012-04-13|20.96|21.07|20.42|20.53|4488759|USD|70
2012-04-16|20.7|21.04|20.49|20.8|2614566|USD|71
2012-04-17|21.0|21.45|20.93|21.17|3062975|USD|72
2012-04-18|20.99|21.45|20.98|21.17|2806342|USD|73
2012-04-19|21.22|21.37|20.8|20.93|3742507|USD|74
2012-04-20|21.12|21.21|20.5|20.54|3290417|USD|75
2012-04-23|20.27|20.91|20.15|20.8|3588678|USD|76
2012-04-24|19.56|20.24|19.51|20.06|8099811|USD|77
2012-04-25|20.26|20.27|19.91|20.19|4765871|USD|78
2012-04-26|20.13|20.55|20.0|20.42|3505372|USD|79
2012-04-27|20.59|20.72|20.28|20.65|2119484|USD|80
2012-04-30|20.66|20.73|20.27|20.39|2439597|USD|81
2012-05-01|20.31|21.01|20.24|20.66|3116462|USD|82
2012-05-02|20.49|20.63|20.25|20.4|2111671|USD|83
2012-05-03|20.43|20.58|19.9|20.04|2650828|USD|84
2012-05-04|19.97|19.97|19.5|19.77|3111564|USD|85
2012-05-07|19.68|20.19|19.65|20.09|2172878|USD|86
2012-05-08|19.97|20.14|19.79|20.09|2367035|USD|87
2012-05-09|19.83|19.89|19.41|19.8|2487078|USD|88
2012-05-10|20.0|20.22|19.84|19.89|1596856|USD|89
2012-05-11|19.78|20.17|19.44|20.12|2438724|USD|90
2012-05-14|19.76|20.01|19.44|19.49|2912048|USD|91
2012-05-15|19.48|19.62|18.97|19.08|3290183|USD|92
2012-05-16|19.17|19.39|18.81|18.81|2219232|USD|93
2012-05-17|18.88|18.88|18.43|18.43|2925871|USD|94
2012-05-18|18.47|18.74|18.19|18.27|2055688|USD|95
2012-05-21|18.29|18.83|18.07|18.59|1830390|USD|96
2012-05-22|18.56|19.03|18.54|18.76|2454475|USD|97
2012-05-23|18.51|19.16|18.42|19.12|3166209|USD|98
2012-05-24|19.13|19.16|18.57|18.8|3587424|USD|99
2012-05-25|18.82|19.09|18.73|18.87|1818738|USD|100
2012-05-29|19.0|19.21|18.84|19.19|2047097|USD|101
2012-05-30|18.89|18.95|18.53|18.74|2287215|USD|102
2012-05-31|18.72|19.3|18.48|19.03|3228590|USD|103
2012-06-01|18.61|18.65|17.98|18.22|4400223|USD|104
2012-06-04|17.91|18.27|17.49|17.61|4269008|USD|105
