Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.1|1.15|1.07|1.11|301816|USD|0
2012-01-04|1.12|1.12|1.08|1.09|58436|USD|1
2012-01-05|1.09|1.1|1.07|1.1|105398|USD|2
2012-01-06|1.11|1.18|1.11|1.15|119521|USD|3
2012-01-09|1.15|1.25|1.15|1.19|284579|USD|4
2012-01-10|1.21|1.32|1.2|1.28|462526|USD|5
2012-01-11|1.29|1.34|1.26|1.31|209804|USD|6
2012-01-12|1.32|1.35|1.3|1.32|240726|USD|7
2012-01-13|1.33|1.33|1.26|1.26|232707|USD|8
2012-01-17|1.28|1.32|1.24|1.27|267252|USD|9
2012-01-18|1.27|1.56|1.27|1.54|1353021|USD|10
2012-01-19|1.56|1.62|1.4|1.4|973285|USD|11
2012-01-20|1.42|1.56|1.41|1.48|442955|USD|12
2012-01-23|1.46|1.55|1.41|1.43|197038|USD|13
2012-01-24|1.43|1.45|1.4|1.44|133733|USD|14
2012-01-25|1.43|1.6|1.43|1.56|544799|USD|15
2012-01-26|1.6|1.63|1.51|1.53|559483|USD|16
2012-01-27|1.57|1.63|1.53|1.6|258767|USD|17
2012-01-30|1.62|1.63|1.51|1.53|406881|USD|18
2012-01-31|1.55|1.62|1.5|1.51|228075|USD|19
2012-02-01|1.54|1.63|1.46|1.6|520675|USD|20
2012-02-02|1.6|1.75|1.59|1.74|807560|USD|21
2012-02-03|1.76|1.8|1.72|1.77|474468|USD|22
2012-02-06|1.79|1.84|1.76|1.83|546398|USD|23
2012-02-07|1.85|1.87|1.72|1.78|338490|USD|24
2012-02-08|1.8|1.81|1.67|1.77|553625|USD|25
2012-02-09|1.79|1.82|1.72|1.81|478695|USD|26
2012-02-10|1.78|1.81|1.77|1.8|429219|USD|27
2012-02-13|1.8|1.88|1.78|1.87|373988|USD|28
2012-02-14|1.87|1.88|1.82|1.85|326223|USD|29
2012-02-15|1.85|1.87|1.8|1.85|237995|USD|30
2012-02-16|1.87|1.87|1.79|1.83|212293|USD|31
2012-02-17|1.86|1.86|1.78|1.79|122490|USD|32
2012-02-21|1.78|1.79|1.72|1.72|216259|USD|33
2012-02-22|1.72|1.75|1.6|1.65|1198064|USD|34
2012-02-23|1.69|1.75|1.66|1.73|206907|USD|35
2012-02-24|1.75|1.85|1.7|1.76|151880|USD|36
2012-02-27|1.78|1.79|1.74|1.76|98688|USD|37
2012-02-28|1.78|1.79|1.7|1.7|145026|USD|38
2012-02-29|1.74|1.74|1.67|1.67|157046|USD|39
2012-03-01|1.68|1.69|1.65|1.65|90902|USD|40
2012-03-02|1.65|1.67|1.58|1.59|189383|USD|41
2012-03-05|1.6|1.6|1.52|1.56|236212|USD|42
2012-03-06|1.52|1.57|1.44|1.48|395541|USD|43
2012-03-07|1.48|1.58|1.48|1.57|191985|USD|44
2012-03-08|1.58|1.61|1.52|1.6|257307|USD|45
2012-03-09|1.59|1.65|1.59|1.6|169733|USD|46
2012-03-12|1.6|1.72|1.6|1.71|708503|USD|47
2012-03-13|1.75|2.06|1.71|2.04|3357847|USD|48
2012-03-14|2.01|2.03|1.87|1.99|1317873|USD|49
2012-03-15|2.0|2.0|1.88|1.92|479553|USD|50
2012-03-16|1.92|1.95|1.83|1.87|538722|USD|51
2012-03-19|1.86|1.92|1.85|1.87|403336|USD|52
2012-03-20|1.86|2.22|1.86|2.07|2840118|USD|53
2012-03-21|2.1|2.27|2.1|2.25|1521142|USD|54
2012-03-22|2.26|2.3|2.21|2.27|1168664|USD|55
2012-03-23|2.27|2.27|2.16|2.18|625416|USD|56
2012-03-26|2.23|2.25|2.08|2.14|794214|USD|57
2012-03-27|2.18|2.23|2.15|2.2|483409|USD|58
2012-03-28|2.21|2.23|2.13|2.18|355078|USD|59
2012-03-29|2.15|2.19|2.1|2.13|362058|USD|60
2012-03-30|2.16|2.23|2.12|2.15|979104|USD|61
2012-04-02|2.08|2.19|2.08|2.11|529607|USD|62
2012-04-03|2.09|2.09|1.91|2.03|837834|USD|63
2012-04-04|1.93|2.0|1.88|1.89|1008740|USD|64
2012-04-05|1.89|1.9|1.76|1.82|835872|USD|65
2012-04-09|1.75|1.76|1.64|1.72|499160|USD|66
2012-04-10|1.72|1.77|1.55|1.58|602421|USD|67
2012-04-11|1.59|1.66|1.5|1.64|576125|USD|68
2012-04-12|1.62|1.67|1.57|1.64|193679|USD|69
2012-04-13|1.6|1.65|1.54|1.54|331408|USD|70
2012-04-16|1.58|1.62|1.52|1.55|160202|USD|71
2012-04-17|1.55|1.62|1.5|1.5|259384|USD|72
2012-04-18|1.5|1.54|1.49|1.5|189565|USD|73
2012-04-19|1.5|1.54|1.47|1.48|245153|USD|74
2012-04-20|1.48|1.51|1.48|1.48|196923|USD|75
2012-04-23|1.45|1.48|1.44|1.46|189410|USD|76
2012-04-24|1.45|1.59|1.4|1.46|508980|USD|77
2012-04-25|1.5|1.57|1.47|1.49|380358|USD|78
2012-04-26|1.29|1.48|1.29|1.45|670059|USD|79
2012-04-27|1.44|1.54|1.43|1.51|159437|USD|80
2012-04-30|1.55|1.59|1.5|1.5|298056|USD|81
2012-05-01|1.51|1.58|1.5|1.56|190559|USD|82
2012-05-02|1.53|1.59|1.52|1.57|157521|USD|83
2012-05-03|1.59|1.59|1.55|1.55|125814|USD|84
2012-05-04|1.54|1.54|1.49|1.5|874095|USD|85
2012-05-07|1.5|1.51|1.47|1.5|246687|USD|86
2012-05-08|1.49|1.54|1.45|1.54|209077|USD|87
2012-05-09|1.5|1.54|1.45|1.5|172255|USD|88
2012-05-10|1.48|1.54|1.47|1.5|91538|USD|89
2012-05-11|1.49|1.55|1.49|1.52|134960|USD|90
2012-05-14|1.52|1.63|1.5|1.59|356000|USD|91
2012-05-15|1.6|1.67|1.56|1.58|392544|USD|92
2012-05-16|1.58|1.64|1.52|1.56|282108|USD|93
2012-05-17|1.55|1.55|1.48|1.5|385206|USD|94
2012-05-18|1.51|1.51|1.36|1.42|554358|USD|95
2012-05-21|1.42|1.47|1.39|1.39|295205|USD|96
2012-05-22|1.39|1.46|1.36|1.39|382928|USD|97
2012-05-23|1.39|1.47|1.36|1.45|315838|USD|98
2012-05-24|1.48|1.5|1.37|1.37|216915|USD|99
2012-05-25|1.4|1.46|1.38|1.46|179158|USD|100
2012-05-29|1.46|1.46|1.39|1.41|238810|USD|101
2012-05-30|1.4|1.42|1.39|1.41|117862|USD|102
2012-05-31|1.42|1.42|1.37|1.38|146178|USD|103
2012-06-01|1.35|1.37|1.29|1.31|395102|USD|104
2012-06-04|1.33|1.34|1.3|1.33|106340|USD|105
2012-06-05|1.33|1.39|1.3|1.3|269371|USD|106
2012-06-06|1.3|1.35|1.3|1.34|145408|USD|107
2012-06-07|1.34|1.34|1.32|1.33|131361|USD|108
2012-06-08|1.33|1.38|1.32|1.36|75600|USD|109
2012-06-11|1.36|1.39|1.34|1.38|192995|USD|110
2012-06-12|1.34|1.38|1.34|1.35|111273|USD|111
2012-06-13|1.35|1.42|1.34|1.38|165140|USD|112
2012-06-14|1.36|1.41|1.36|1.39|146520|USD|113
2012-06-15|1.42|1.56|1.42|1.49|636877|USD|114
2012-06-18|1.48|1.54|1.48|1.53|224239|USD|115
2012-06-19|1.53|1.6|1.5|1.53|350028|USD|116
2012-06-20|1.58|1.6|1.53|1.6|281766|USD|117
2012-06-21|1.59|1.59|1.45|1.46|621218|USD|118
2012-06-22|1.53|1.57|1.48|1.5|394726|USD|119
2012-06-25|1.5|1.53|1.48|1.51|193475|USD|120
2012-06-26|1.53|1.58|1.51|1.55|326821|USD|121
2012-06-27|1.54|1.65|1.53|1.62|422074|USD|122
