Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.82|9.97|9.71|9.92|76047|USD|0
2012-01-04|9.92|10.05|9.71|9.74|46828|USD|1
2012-01-05|9.38|9.95|9.38|9.77|51551|USD|2
2012-01-06|10.49|11.81|10.0|11.36|464316|USD|3
2012-01-09|11.3|11.3|10.82|11.3|59609|USD|4
2012-01-10|11.25|11.55|10.8|11.46|61128|USD|5
2012-01-11|11.49|11.5|11.21|11.32|30625|USD|6
2012-01-12|11.5|11.75|11.31|11.4|93477|USD|7
2012-01-13|11.35|11.48|11.21|11.32|19797|USD|8
2012-01-17|11.36|11.44|11.0|11.39|59519|USD|9
2012-01-18|11.45|11.7|11.1|11.54|43346|USD|10
2012-01-19|12.02|12.13|11.48|11.48|72810|USD|11
2012-01-20|11.4|11.66|11.35|11.59|20408|USD|12
2012-01-23|11.56|11.6|11.25|11.28|64735|USD|13
2012-01-24|11.32|11.34|11.14|11.21|23863|USD|14
2012-01-25|11.16|11.16|10.75|10.82|86240|USD|15
2012-01-26|10.77|11.18|10.65|11.03|81219|USD|16
2012-01-27|11.08|11.46|10.81|11.44|210655|USD|17
2012-01-30|11.37|11.84|11.37|11.8|34063|USD|18
2012-01-31|11.87|12.63|11.87|12.25|179597|USD|19
2012-02-01|12.25|12.54|12.01|12.3|75272|USD|20
2012-02-02|12.39|12.72|12.07|12.62|45360|USD|21
2012-02-03|12.71|12.9|12.42|12.55|82167|USD|22
2012-02-06|12.55|13.0|12.45|12.77|96367|USD|23
2012-02-07|12.9|13.15|12.65|12.81|54096|USD|24
2012-02-08|12.89|13.49|12.75|13.2|40517|USD|25
2012-02-09|13.2|13.5|13.09|13.3|54533|USD|26
2012-02-10|13.32|13.44|13.0|13.19|77330|USD|27
2012-02-13|13.28|13.35|12.95|12.95|147032|USD|28
2012-02-14|13.13|13.25|13.0|13.15|77112|USD|29
2012-02-15|13.09|13.46|13.09|13.16|47913|USD|30
2012-02-16|13.19|13.71|13.19|13.65|285476|USD|31
2012-02-17|13.71|14.09|13.5|13.87|87723|USD|32
2012-02-21|14.04|15.02|14.04|14.22|119465|USD|33
2012-02-22|14.36|14.75|13.82|13.89|27936|USD|34
2012-02-23|13.89|14.25|13.77|13.85|85219|USD|35
