Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|3.463|3.463|3.256|3.38|7352|USD|0
2012-01-04|3.21|3.45|3.206|3.4|6119|USD|1
2012-01-05|3.39|3.5|3.28|3.5|7619|USD|2
2012-01-06|3.47|3.47|3.366|3.366|1945|USD|3
2012-01-12|3.12|3.5|3.11|3.15|11066|USD|4
2012-01-13|3.18|3.33|3.18|3.33|750|USD|5
2012-01-17|3.14|3.3|3.14|3.2|4576|USD|6
2012-01-18|3.26|3.32|3.11|3.32|4556|USD|7
2012-01-19|3.22|3.34|3.1|3.34|3576|USD|8
2012-01-20|3.26|3.44|3.13|3.41|2980|USD|9
2012-01-23|3.42|3.43|3.22|3.25|3470|USD|10
2012-01-24|3.29|3.35|3.245|3.3|900|USD|11
2012-01-25|3.26|3.26|3.25|3.25|2850|USD|12
2012-01-26|3.24|3.43|3.24|3.4|1016|USD|13
2012-01-27|3.42|3.43|3.26|3.32|654|USD|14
2012-01-31|3.53|3.54|3.47|3.49|910|USD|15
2012-02-03|3.41|3.49|3.345|3.49|6544|USD|16
2012-02-06|3.486|3.49|3.314|3.47|2380|USD|17
2012-02-07|3.28|3.42|3.27|3.42|4194|USD|18
2012-02-08|3.44|3.44|3.15|3.44|5653|USD|19
2012-02-10|3.37|3.41|3.31|3.378|1007|USD|20
2012-02-13|3.13|3.28|3.13|3.2|2350|USD|21
2012-02-14|3.175|3.439|3.16|3.16|1900|USD|22
2012-02-15|3.21|3.26|3.18|3.2|4924|USD|23
2012-02-16|3.172|3.172|3.17|3.17|598|USD|24
2012-02-17|3.17|3.49|3.17|3.49|9999|USD|25
2012-02-21|3.47|3.5|3.28|3.45|3600|USD|26
2012-02-22|3.38|3.38|3.38|3.38|245|USD|27
2012-02-23|3.25|3.277|3.25|3.277|400|USD|28
2012-02-24|3.35|3.49|3.28|3.48|2343|USD|29
2012-02-27|3.4|3.4|3.4|3.4|200|USD|30
2012-02-28|3.4|3.4|3.25|3.25|5664|USD|31
2012-02-29|3.35|3.35|3.29|3.35|544|USD|32
2012-03-01|3.32|3.42|3.28|3.42|3900|USD|33
2012-03-02|3.42|3.46|3.42|3.46|7100|USD|34
2012-03-05|3.36|3.382|3.34|3.36|3873|USD|35
2012-03-06|3.36|3.36|3.36|3.36|571|USD|36
2012-03-07|3.36|3.36|3.36|3.36|200|USD|37
2012-03-08|3.432|3.432|3.432|3.432|588|USD|38
2012-03-09|3.32|3.39|3.29|3.39|15650|USD|39
2012-03-12|3.15|3.4|3.15|3.4|3142|USD|40
2012-03-14|3.23|3.25|3.2|3.25|498|USD|41
2012-03-15|3.36|3.37|3.36|3.37|300|USD|42
2012-03-16|3.45|3.45|3.2|3.43|697|USD|43
2012-03-19|3.24|3.24|3.24|3.24|0|USD|44
2012-03-20|3.28|3.47|3.28|3.45|548|USD|45
2012-03-22|3.36|3.47|3.26|3.28|2203|USD|46
2012-03-23|3.28|3.28|3.28|3.28|100|USD|47
2012-03-26|3.29|3.42|3.27|3.42|1307|USD|48
2012-03-27|3.31|3.37|3.27|3.32|1100|USD|49
2012-03-28|3.2|3.2|3.2|3.2|100|USD|50
2012-03-30|3.2|3.43|3.17|3.43|22965|USD|51
2012-04-03|3.247|3.47|3.21|3.45|2476|USD|52
2012-04-05|3.34|3.34|3.23|3.23|1269|USD|53
2012-04-09|3.24|3.24|3.24|3.24|227|USD|54
2012-04-11|3.203|3.21|3.19|3.21|382|USD|55
