Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|9.9|9.9|9.25|9.31|118109|USD|0
2012-01-04|9.22|9.56|9.22|9.56|39499|USD|1
2012-01-05|9.56|9.63|9.43|9.62|29349|USD|2
2012-01-06|9.63|9.66|9.4|9.5|49902|USD|3
2012-01-09|9.5|9.76|9.46|9.66|41887|USD|4
2012-01-10|9.74|9.82|9.47|9.49|52114|USD|5
2012-01-11|9.44|9.56|9.25|9.4|41530|USD|6
2012-01-12|9.4|9.4|9.16|9.19|33813|USD|7
2012-01-13|9.07|9.31|9.0|9.31|20816|USD|8
2012-01-17|9.35|9.4|9.2|9.34|12891|USD|9
2012-01-18|9.38|9.56|9.36|9.48|28317|USD|10
2012-01-19|9.47|9.49|9.0|9.08|51639|USD|11
2012-01-20|9.05|9.46|9.04|9.43|54390|USD|12
2012-01-23|9.35|9.35|9.01|9.32|13164|USD|13
2012-01-24|9.26|9.33|9.17|9.28|14664|USD|14
2012-01-25|9.25|9.26|9.08|9.1|21830|USD|15
2012-01-26|9.19|9.19|9.05|9.12|15385|USD|16
2012-01-27|9.1|9.36|9.03|9.36|44794|USD|17
2012-01-30|9.27|9.32|9.03|9.1|35941|USD|18
2012-01-31|9.16|9.37|9.01|9.2|12544|USD|19
2012-02-01|9.21|9.7|9.21|9.62|51188|USD|20
2012-02-02|9.6|9.95|9.55|9.95|56668|USD|21
2012-02-03|9.95|10.08|9.91|10.05|38167|USD|22
2012-02-06|10.5|11.05|10.39|11.0|263159|USD|23
2012-02-07|11.05|11.1|10.86|10.91|104875|USD|24
2012-02-08|10.9|11.0|10.7|10.89|52412|USD|25
2012-02-09|10.93|10.94|10.6|10.75|41341|USD|26
2012-02-10|10.75|10.86|10.56|10.63|47617|USD|27
2012-02-13|10.7|10.94|10.7|10.92|49094|USD|28
2012-02-14|10.87|11.26|10.75|11.21|181867|USD|29
2012-02-15|11.3|11.62|10.92|11.21|119569|USD|30
2012-02-16|11.15|11.23|10.79|11.01|50518|USD|31
2012-02-17|11.04|11.16|10.78|10.8|30474|USD|32
2012-02-21|10.82|10.96|10.77|10.81|67287|USD|33
2012-02-22|10.86|10.86|10.7|10.73|40816|USD|34
2012-02-23|10.75|10.95|10.72|10.81|50455|USD|35
2012-02-24|10.75|10.97|10.7|10.82|39510|USD|36
2012-02-27|10.82|10.99|10.82|10.89|35831|USD|37
2012-02-28|10.95|11.65|10.95|11.56|89811|USD|38
2012-02-29|11.5|11.7|11.25|11.36|78646|USD|39
2012-03-01|12.0|12.41|11.33|11.5|213697|USD|40
2012-03-02|11.6|11.63|10.7|11.1|154416|USD|41
2012-03-05|11.1|11.12|10.73|10.88|68515|USD|42
2012-03-06|10.78|10.82|10.33|10.66|116708|USD|43
2012-03-07|10.7|10.81|10.55|10.68|81729|USD|44
2012-03-08|10.79|11.4|10.79|11.39|47713|USD|45
2012-03-09|11.3|11.95|11.3|11.9|76816|USD|46
2012-03-12|11.9|11.91|11.61|11.72|76348|USD|47
2012-03-13|11.72|11.86|11.33|11.86|67260|USD|48
2012-03-14|11.92|12.0|11.79|11.9|30427|USD|49
2012-03-15|11.97|12.4|11.82|12.3|204600|USD|50
2012-03-16|12.36|12.75|12.02|12.23|122401|USD|51
2012-03-19|12.28|12.32|11.93|12.12|114403|USD|52
2012-03-20|12.04|12.38|11.97|12.35|50591|USD|53
2012-03-21|12.42|12.95|12.38|12.85|136848|USD|54
2012-03-22|12.92|12.92|12.39|12.54|37926|USD|55
2012-03-23|12.59|12.6|12.33|12.41|64871|USD|56
2012-03-26|12.59|12.69|12.25|12.46|94951|USD|57
2012-03-27|12.44|12.73|12.44|12.6|42381|USD|58
2012-03-28|12.66|12.72|12.31|12.37|38554|USD|59
2012-03-29|12.32|12.38|11.91|12.33|62223|USD|60
2012-03-30|12.4|12.83|12.3|12.54|141643|USD|61
2012-04-02|12.67|13.5|12.67|13.27|161425|USD|62
2012-04-03|13.21|13.42|13.02|13.05|72522|USD|63
2012-04-04|12.97|13.1|12.86|12.92|43705|USD|64
2012-04-05|12.94|13.29|12.94|13.2|55484|USD|65
2012-04-09|13.5|14.02|13.45|14.0|466624|USD|66
2012-04-10|14.31|14.39|13.9|14.34|201336|USD|67
2012-04-11|14.5|15.17|13.5|13.8|394193|USD|68
2012-04-12|13.79|14.8|13.65|14.72|248905|USD|69
2012-04-13|14.78|15.85|14.72|15.8|263817|USD|70
2012-04-16|16.12|16.35|15.53|16.25|367810|USD|71
2012-04-17|16.32|16.54|15.9|16.15|201994|USD|72
2012-04-18|16.2|16.36|16.01|16.22|171587|USD|73
2012-04-19|16.25|16.3|15.94|16.19|129204|USD|74
2012-04-20|16.15|16.68|16.05|16.16|129106|USD|75
2012-04-23|16.17|16.17|15.15|15.85|205565|USD|76
2012-04-24|15.75|15.97|15.37|15.45|208917|USD|77
2012-04-25|15.45|16.05|15.45|15.98|126416|USD|78
2012-04-26|16.11|16.51|15.68|16.26|134819|USD|79
2012-04-27|16.29|17.13|16.12|16.88|316140|USD|80
2012-04-30|16.98|17.25|16.84|17.06|204505|USD|81
2012-05-01|16.97|17.49|16.67|17.39|151757|USD|82
2012-05-02|17.52|17.7|17.3|17.54|173661|USD|83
2012-05-03|17.65|17.66|16.54|16.62|172380|USD|84
2012-05-04|15.23|15.23|13.32|13.79|583528|USD|85
2012-05-07|13.79|14.23|13.1|14.1|333311|USD|86
2012-05-08|14.0|14.06|12.9|13.87|300494|USD|87
2012-05-09|13.75|14.66|13.65|14.32|205471|USD|88
2012-05-10|14.38|15.42|14.38|15.01|186888|USD|89
2012-05-11|14.81|15.18|14.64|15.04|94796|USD|90
2012-05-14|12.83|13.89|12.5|13.29|317598|USD|91
2012-05-15|13.32|14.32|13.25|14.04|198859|USD|92
2012-05-16|14.01|14.12|13.54|13.62|93660|USD|93
2012-05-17|13.55|13.62|13.3|13.4|128622|USD|94
2012-05-18|13.49|13.75|13.34|13.5|89211|USD|95
2012-05-21|13.55|13.97|13.33|13.65|100190|USD|96
2012-05-22|13.65|13.74|13.36|13.42|109801|USD|97
2012-05-23|13.38|13.55|13.17|13.41|60707|USD|98
2012-05-24|13.02|13.68|12.94|13.61|83957|USD|99
2012-05-25|13.66|13.72|13.34|13.63|36063|USD|100
2012-05-29|13.68|14.17|13.62|13.79|117961|USD|101
2012-05-30|13.63|13.73|13.46|13.63|76407|USD|102
2012-05-31|13.56|13.86|13.48|13.6|77229|USD|103
2012-06-01|13.38|13.4|12.51|13.01|117864|USD|104
2012-06-04|13.01|13.1|12.66|12.8|76081|USD|105
2012-06-05|12.79|13.18|12.51|12.92|79524|USD|106
2012-06-06|13.01|13.72|12.79|13.67|69415|USD|107
2012-06-07|13.76|13.76|13.4|13.58|62934|USD|108
2012-06-08|13.5|14.5|13.34|14.41|135736|USD|109
2012-06-11|14.43|14.43|13.8|14.05|110597|USD|110
2012-06-12|14.06|14.35|13.91|14.05|103475|USD|111
2012-06-13|14.03|14.13|13.25|13.47|76015|USD|112
2012-06-14|13.47|13.98|13.21|13.45|108220|USD|113
2012-06-15|13.42|13.99|13.01|13.82|100758|USD|114
