Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|1.92|1.96|1.9|1.92|1404876|USD|0
2012-01-04|1.93|2.04|1.8|1.81|5908194|USD|1
2012-01-05|1.83|1.9|1.51|1.71|5263064|USD|2
2012-01-06|1.71|1.71|1.55|1.62|2741581|USD|3
2012-01-09|1.63|1.67|1.55|1.6|2591913|USD|4
2012-01-10|1.7|1.86|1.7|1.75|6810575|USD|5
2012-01-11|1.7|1.73|1.62|1.66|7974080|USD|6
2012-01-12|1.7|1.72|1.65|1.66|3233821|USD|7
2012-01-13|1.65|1.67|1.62|1.65|1582772|USD|8
2012-01-17|1.68|1.7|1.55|1.63|2440986|USD|9
2012-01-18|1.62|1.67|1.62|1.65|3387245|USD|10
2012-01-19|1.65|1.68|1.63|1.63|1716196|USD|11
2012-01-20|1.64|1.66|1.62|1.62|1709367|USD|12
2012-01-23|1.62|1.65|1.61|1.63|1435229|USD|13
2012-01-24|1.63|1.64|1.57|1.59|1733079|USD|14
2012-01-25|1.59|1.61|1.57|1.6|1643196|USD|15
2012-01-26|1.61|1.61|1.54|1.56|1716098|USD|16
2012-01-27|1.58|1.61|1.56|1.59|3541368|USD|17
2012-01-30|1.7|1.81|1.66|1.77|13064025|USD|18
2012-01-31|1.82|1.84|1.76|1.78|5833320|USD|19
2012-02-01|1.83|1.98|1.8|1.95|6017970|USD|20
2012-02-02|1.9|1.91|1.82|1.88|5109888|USD|21
2012-02-03|1.93|1.94|1.85|1.87|3260551|USD|22
2012-02-06|1.87|2.05|1.86|2.04|6254932|USD|23
2012-02-07|2.11|2.12|2.01|2.05|3943941|USD|24
2012-02-08|2.08|2.1|2.01|2.06|3356020|USD|25
2012-02-09|2.05|2.06|2.01|2.02|1922689|USD|26
2012-02-10|2.0|2.0|1.91|1.94|2316035|USD|27
2012-02-13|1.97|2.04|1.96|2.02|2547775|USD|28
2012-02-14|2.0|2.02|1.93|1.93|2158580|USD|29
2012-02-15|1.96|1.97|1.88|1.89|2257500|USD|30
2012-02-16|1.9|1.92|1.8|1.81|4800978|USD|31
2012-02-17|1.88|1.9|1.8|1.83|3484205|USD|32
2012-02-21|1.88|1.88|1.72|1.8|6602638|USD|33
2012-02-22|1.86|1.95|1.74|1.81|12996210|USD|34
2012-02-23|2.1|2.11|1.76|1.78|32447364|USD|35
2012-02-24|1.8|1.87|1.75|1.84|9285339|USD|36
2012-02-27|1.86|1.92|1.85|1.9|7378952|USD|37
2012-02-28|1.95|1.95|1.83|1.84|5012344|USD|38
2012-02-29|1.86|1.89|1.78|1.78|5212132|USD|39
2012-03-01|1.81|1.84|1.79|1.8|3887563|USD|40
2012-03-02|1.85|1.86|1.78|1.79|4520339|USD|41
2012-03-05|1.81|1.85|1.8|1.82|3567737|USD|42
2012-03-06|1.79|1.8|1.72|1.74|4350196|USD|43
2012-03-07|1.75|1.76|1.7|1.73|3008849|USD|44
2012-03-08|1.75|1.78|1.71|1.72|3600670|USD|45
2012-03-09|1.73|1.75|1.71|1.74|2860383|USD|46
2012-03-12|1.75|1.8|1.75|1.78|3106658|USD|47
2012-03-13|1.82|1.83|1.79|1.82|3162405|USD|48
2012-03-14|1.82|1.83|1.77|1.79|2282240|USD|49
2012-03-15|1.79|1.83|1.76|1.79|3353740|USD|50
2012-03-16|1.77|1.78|1.73|1.76|4435243|USD|51
2012-03-19|1.78|1.82|1.77|1.81|2822554|USD|52
2012-03-20|1.81|1.97|1.8|1.92|8142144|USD|53
2012-03-21|1.95|2.05|1.93|2.01|9591219|USD|54
2012-03-22|1.99|2.1|1.98|2.04|5603158|USD|55
2012-03-23|2.05|2.44|2.05|2.41|17551556|USD|56
2012-03-26|2.6|3.19|2.6|3.01|58664412|USD|57
2012-03-27|3.1|3.47|3.03|3.26|56007560|USD|58
2012-03-28|2.98|3.09|2.77|2.92|22499360|USD|59
2012-03-29|2.8|3.25|2.75|3.04|24032520|USD|60
2012-03-30|3.21|3.22|2.98|3.08|15778315|USD|61
2012-04-02|3.14|3.24|3.06|3.1|10874757|USD|62
2012-04-03|3.1|3.14|3.02|3.05|6591984|USD|63
2012-04-04|3.01|3.05|2.96|3.02|4657437|USD|64
2012-04-05|3.01|3.13|3.01|3.07|6691880|USD|65
2012-04-09|3.05|3.23|3.0|3.12|9360527|USD|66
2012-04-10|3.19|3.27|2.81|2.87|17366032|USD|67
2012-04-11|2.98|3.1|2.94|3.0|7523428|USD|68
2012-04-12|3.0|3.05|2.56|2.81|10069742|USD|69
2012-04-13|2.8|2.95|2.8|2.88|3942505|USD|70
2012-04-16|2.91|2.94|2.7|2.73|5751884|USD|71
2012-04-17|2.71|2.74|2.42|2.56|14600654|USD|72
2012-04-18|2.5|2.5|2.06|2.16|28579822|USD|73
2012-04-19|2.16|2.37|2.16|2.27|10748947|USD|74
2012-04-20|2.33|2.37|2.12|2.17|7963458|USD|75
2012-04-23|2.1|2.17|2.0|2.14|7465688|USD|76
2012-04-24|2.15|2.24|2.1|2.17|5663687|USD|77
2012-04-25|2.19|2.25|2.06|2.1|7526983|USD|78
2012-04-26|2.09|2.17|2.09|2.15|5178684|USD|79
2012-04-27|2.22|2.89|2.16|2.62|33307420|USD|80
2012-04-30|2.7|2.78|2.41|2.44|21080276|USD|81
2012-05-01|2.51|2.53|2.3|2.34|11249065|USD|82
2012-05-02|2.34|2.7|2.32|2.6|13559823|USD|83
2012-05-03|2.7|2.86|2.67|2.77|14149755|USD|84
2012-05-04|2.84|2.86|2.52|2.59|11747869|USD|85
2012-05-07|2.7|2.79|2.63|2.72|13937181|USD|86
2012-05-08|3.1|3.49|2.94|3.42|50705664|USD|87
2012-05-09|3.79|3.89|3.45|3.66|42462260|USD|88
2012-05-11|7.01|7.01|5.75|6.36|76655504|USD|89
2012-05-14|6.49|6.88|6.36|6.61|25426276|USD|90
2012-05-15|6.54|6.6|5.96|6.06|20559644|USD|91
2012-05-16|5.7|5.89|5.53|5.67|26600440|USD|92
2012-05-17|5.75|5.98|5.56|5.7|14683990|USD|93
2012-05-18|5.65|5.7|5.44|5.52|12241972|USD|94
2012-05-21|5.6|5.97|5.5|5.92|12569554|USD|95
2012-05-22|6.21|6.34|6.0|6.06|17967444|USD|96
2012-05-23|6.03|6.09|5.78|6.07|13497821|USD|97
2012-05-24|6.0|6.05|5.86|6.04|7845104|USD|98
2012-05-25|5.99|6.05|5.88|6.0|6627182|USD|99
2012-05-29|6.15|6.2|6.01|6.2|8502693|USD|100
2012-05-30|6.15|6.58|6.05|6.5|17406928|USD|101
2012-05-31|6.65|6.74|6.4|6.69|18278362|USD|102
2012-06-01|6.47|6.66|6.35|6.4|14122689|USD|103
2012-06-04|6.46|6.53|6.28|6.43|8557282|USD|104
2012-06-05|6.41|6.47|6.15|6.26|12646902|USD|105
2012-06-06|6.38|6.5|6.32|6.45|7028900|USD|106
2012-06-07|6.48|6.51|6.36|6.42|6369196|USD|107
2012-06-08|6.52|6.64|6.42|6.62|10413579|USD|108
2012-06-11|6.75|7.23|6.7|7.08|24919780|USD|109
2012-06-12|7.27|7.92|7.2|7.88|37849184|USD|110
2012-06-13|8.2|8.65|7.71|8.07|57375812|USD|111
2012-06-14|7.96|8.19|7.52|8.08|23888540|USD|112
2012-06-15|8.27|8.47|8.1|8.4|26307436|USD|113
2012-06-18|8.75|9.55|8.72|9.38|46173828|USD|114
2012-06-19|9.8|10.34|9.67|9.7|46193260|USD|115
2012-06-20|10.03|10.5|9.86|10.5|30271944|USD|116
2012-06-21|10.75|11.71|10.65|11.68|60226264|USD|117
2012-06-22|11.96|11.99|7.8|9.88|89217480|USD|118
2012-06-25|9.35|10.33|9.03|9.2|36198124|USD|119
2012-06-26|9.63|9.76|8.65|8.85|37783752|USD|120
2012-06-27|9.0|13.5|8.52|11.39|90262184|USD|121
2012-06-28|11.18|11.4|9.81|10.23|53451152|USD|122
2012-06-29|10.45|10.57|9.86|9.97|22055246|USD|123
2012-07-02|10.1|10.1|9.26|9.95|30413628|USD|124
2012-07-03|10.05|10.17|9.66|10.02|15758419|USD|125
2012-07-05|9.99|11.47|9.9|11.35|42210428|USD|126
2012-07-06|11.45|11.92|10.95|11.12|35189096|USD|127
2012-07-09|11.41|11.69|11.21|11.46|23096790|USD|128
2012-07-10|11.68|12.07|11.46|11.81|35568368|USD|129
2012-07-11|11.22|11.5|11.1|11.13|22420670|USD|130
2012-07-12|10.9|10.92|10.08|10.61|23416610|USD|131
2012-07-13|10.72|11.38|10.66|11.18|21320148|USD|132
2012-07-16|11.35|11.64|10.95|11.11|16862294|USD|133
2012-07-17|11.01|11.52|10.62|11.05|23492712|USD|134
2012-07-18|10.03|10.71|9.81|9.98|26278196|USD|135
2012-07-19|9.98|10.08|9.27|9.65|20962834|USD|136
2012-07-20|9.8|9.85|9.37|9.52|12853488|USD|137
2012-07-23|9.38|10.4|9.25|9.94|22042500|USD|138
2012-07-24|10.15|10.35|9.58|9.71|12318340|USD|139
2012-07-25|9.82|9.85|9.4|9.49|10020322|USD|140
2012-07-26|9.59|9.69|9.36|9.55|6174058|USD|141
2012-07-27|9.56|9.6|9.37|9.42|5568653|USD|142
2012-07-30|9.42|9.59|9.29|9.33|5620617|USD|143
2012-07-31|9.27|9.37|8.33|8.36|16609401|USD|144
2012-08-01|8.66|8.76|7.41|7.46|19595076|USD|145
2012-08-02|7.4|7.85|6.95|7.75|20145190|USD|146
2012-08-03|7.82|7.97|7.35|7.39|12919761|USD|147
2012-08-06|7.43|7.55|7.16|7.21|8542517|USD|148
2012-08-07|7.26|7.47|7.19|7.36|9153451|USD|149
2012-08-08|7.37|7.43|7.26|7.3|5561541|USD|150
2012-08-09|7.27|7.49|7.27|7.36|7987657|USD|151
2012-08-10|7.2|7.38|7.08|7.27|8485862|USD|152
2012-08-13|7.28|7.36|7.18|7.24|5441528|USD|153
2012-08-14|7.3|8.33|7.23|8.26|27076448|USD|154
2012-08-15|8.6|8.86|8.05|8.25|25579974|USD|155
2012-08-16|8.22|8.25|7.7|7.82|10010405|USD|156
2012-08-17|7.74|8.18|7.69|8.08|10014292|USD|157
2012-08-20|8.13|8.15|7.8|8.03|8341979|USD|158
2012-08-21|8.15|8.15|7.94|8.07|7089616|USD|159
2012-08-22|8.07|8.74|8.02|8.67|17478588|USD|160
2012-08-23|8.61|8.72|8.29|8.49|10036251|USD|161
2012-08-24|8.43|8.69|8.32|8.64|8965786|USD|162
2012-08-27|8.77|9.35|8.71|9.32|22205064|USD|163
2012-08-28|9.34|9.44|9.11|9.26|11893305|USD|164
2012-08-29|9.26|9.36|9.2|9.25|8879719|USD|165
2012-08-30|9.23|9.34|9.1|9.11|6482988|USD|166
2012-08-31|9.11|9.22|8.83|9.04|12958228|USD|167
2012-09-04|9.15|9.36|8.84|9.3|13484845|USD|168
2012-09-05|9.3|9.38|9.11|9.16|9838921|USD|169
2012-09-06|8.92|9.05|8.5|8.7|19115940|USD|170
2012-09-07|8.7|8.74|8.55|8.6|6991413|USD|171
2012-09-10|8.65|8.69|8.19|8.22|8239016|USD|172
2012-09-11|8.16|8.18|7.96|7.99|8006233|USD|173
2012-09-12|7.85|8.71|7.81|8.36|13389217|USD|174
2012-09-13|8.32|8.5|8.15|8.31|7902666|USD|175
2012-09-14|8.33|8.59|8.3|8.35|5743554|USD|176
2012-09-17|8.42|8.68|8.31|8.62|5361572|USD|177
2012-09-18|8.6|9.35|8.5|9.26|19337972|USD|178
2012-09-19|9.39|9.42|9.05|9.3|8898598|USD|179
2012-09-20|9.24|9.24|8.75|8.77|9359661|USD|180
2012-09-21|9.16|9.26|8.81|9.04|14978564|USD|181
2012-09-24|9.0|9.06|8.31|8.43|11762074|USD|182
2012-09-25|8.47|8.75|8.35|8.4|7615996|USD|183
2012-09-26|8.59|8.69|8.08|8.15|9642706|USD|184
2012-09-27|8.31|8.64|8.13|8.56|9188669|USD|185
2012-09-28|8.5|8.51|8.25|8.32|6304856|USD|186
2012-10-01|8.35|8.49|8.22|8.31|4880192|USD|187
2012-10-02|8.33|8.45|8.25|8.38|4896580|USD|188
2012-10-03|8.41|8.86|8.37|8.85|10196745|USD|189
2012-10-04|8.91|9.07|8.7|8.77|8603343|USD|190
2012-10-05|8.83|8.92|8.6|8.63|5573778|USD|191
2012-10-08|8.64|8.88|8.41|8.76|5875951|USD|192
2012-10-09|8.74|9.07|8.72|8.99|11291079|USD|193
2012-10-10|8.98|9.33|8.86|9.3|13268214|USD|194
2012-10-11|9.35|9.45|9.09|9.31|10441349|USD|195
2012-10-12|9.23|9.5|9.09|9.13|8553739|USD|196
2012-10-15|9.18|9.29|9.07|9.25|5298688|USD|197
2012-10-16|9.33|9.45|9.26|9.36|6793632|USD|198
2012-10-17|9.44|10.05|9.39|9.99|17868804|USD|199
2012-10-18|9.91|9.95|9.54|9.54|9168923|USD|200
2012-10-19|9.53|9.82|9.14|9.19|13141562|USD|201
2012-10-22|9.23|9.33|8.93|8.96|8028160|USD|202
2012-10-23|8.87|8.87|8.52|8.53|8740947|USD|203
2012-10-24|8.74|8.95|8.55|8.75|6864727|USD|204
2012-10-25|8.84|8.88|8.5|8.56|6451020|USD|205
2012-10-26|8.6|8.67|8.45|8.46|5377347|USD|206
2012-10-31|8.46|8.55|7.83|7.91|13683195|USD|207
2012-11-01|8.0|8.03|7.73|7.83|8724319|USD|208
2012-11-02|8.04|8.05|7.76|7.79|6409603|USD|209
2012-11-05|7.8|7.99|7.54|7.95|7613535|USD|210
2012-11-06|7.85|7.85|7.39|7.6|14876900|USD|211
2012-11-07|7.4|7.63|7.09|7.24|11111084|USD|212
2012-11-08|7.26|7.66|7.24|7.57|9143574|USD|213
2012-11-09|7.61|8.46|7.58|8.36|14769116|USD|214
2012-11-12|8.46|8.72|8.28|8.72|9620065|USD|215
2012-11-13|8.64|8.94|8.55|8.78|8573723|USD|216
2012-11-14|8.84|8.92|8.12|8.35|9633870|USD|217
2012-11-15|8.33|8.35|8.02|8.04|6409670|USD|218
2012-11-16|8.2|8.53|7.75|8.5|7135063|USD|219
2012-11-19|8.65|9.0|8.55|8.98|10182512|USD|220
2012-11-20|9.01|9.25|8.86|8.93|9275427|USD|221
