Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|2.44|2.6|2.44|2.58|29722|USD|0
2012-01-04|2.58|2.6|2.46|2.49|185143|USD|1
2012-01-05|2.49|2.57|2.43|2.5|31000|USD|2
2012-01-06|2.5|2.62|2.46|2.5|42962|USD|3
2012-01-09|2.52|2.63|2.46|2.61|83540|USD|4
2012-01-10|2.65|2.85|2.51|2.79|76133|USD|5
2012-01-11|2.78|2.87|2.65|2.67|71177|USD|6
2012-01-12|2.68|2.8|2.68|2.73|152020|USD|7
2012-01-13|2.67|2.73|2.6|2.7|98292|USD|8
2012-01-17|2.72|2.79|2.59|2.61|97812|USD|9
2012-01-18|2.62|2.69|2.53|2.65|61886|USD|10
2012-01-19|2.66|2.72|2.65|2.69|53709|USD|11
2012-01-20|2.68|2.84|2.67|2.83|45302|USD|12
2012-01-23|2.83|2.96|2.76|2.88|67433|USD|13
2012-01-24|2.85|2.92|2.79|2.9|39864|USD|14
2012-01-25|2.91|3.15|2.89|3.12|62763|USD|15
2012-01-26|3.12|3.12|3.03|3.11|48029|USD|16
2012-01-27|3.1|3.19|2.82|3.14|66505|USD|17
2012-01-30|3.14|3.22|3.09|3.19|52182|USD|18
2012-01-31|3.22|3.22|3.13|3.15|48227|USD|19
2012-02-01|3.18|3.18|3.01|3.06|110576|USD|20
2012-02-02|3.06|3.06|2.96|3.02|45259|USD|21
2012-02-03|3.09|3.14|3.02|3.1|60614|USD|22
2012-02-06|3.04|3.11|2.91|2.97|63906|USD|23
2012-02-07|2.97|2.97|2.85|2.91|32345|USD|24
2012-02-08|2.88|2.93|2.81|2.92|18307|USD|25
2012-02-09|2.86|2.87|2.8|2.87|29188|USD|26
2012-02-10|2.84|2.97|2.83|2.91|43806|USD|27
2012-02-13|2.96|2.97|2.89|2.96|21736|USD|28
2012-02-14|2.95|2.95|2.9|2.92|16424|USD|29
2012-02-15|2.96|3.0|2.9|2.92|35234|USD|30
2012-02-16|2.92|3.04|2.88|3.01|39693|USD|31
2012-02-17|3.01|3.01|2.92|2.94|45061|USD|32
2012-02-21|2.96|2.96|2.8|2.8|63800|USD|33
2012-02-22|2.79|2.95|2.75|2.76|65015|USD|34
2012-02-23|2.97|3.07|2.82|3.03|241200|USD|35
2012-02-24|3.03|3.15|3.02|3.1|90836|USD|36
2012-02-27|3.11|3.32|3.1|3.26|125113|USD|37
2012-02-28|3.26|3.38|3.21|3.37|76605|USD|38
2012-02-29|3.37|3.44|3.18|3.19|92653|USD|39
2012-03-01|3.2|3.27|3.13|3.18|91564|USD|40
2012-03-02|3.22|3.29|3.08|3.1|203372|USD|41
2012-03-05|3.1|3.23|3.04|3.12|63347|USD|42
2012-03-06|3.1|3.15|3.05|3.1|140005|USD|43
2012-03-07|3.1|3.24|3.1|3.18|107269|USD|44
2012-03-08|3.07|3.15|3.07|3.11|86383|USD|45
2012-03-09|3.11|3.16|3.1|3.11|77917|USD|46
2012-03-12|3.13|3.13|3.08|3.08|80942|USD|47
2012-03-13|3.09|3.18|3.08|3.16|167810|USD|48
2012-03-14|3.16|3.19|3.1|3.1|55955|USD|49
2012-03-15|3.11|3.12|3.07|3.11|49240|USD|50
2012-03-16|3.11|3.11|3.02|3.04|137295|USD|51
2012-03-19|3.04|3.15|3.03|3.11|91062|USD|52
2012-03-20|3.07|3.12|3.05|3.06|33513|USD|53
2012-03-21|3.05|3.11|3.05|3.06|82159|USD|54
2012-03-22|3.03|3.09|3.03|3.09|34645|USD|55
2012-03-23|3.05|3.09|3.05|3.07|33340|USD|56
2012-03-26|3.11|3.18|3.07|3.17|68581|USD|57
2012-03-27|3.17|3.17|3.12|3.14|40119|USD|58
2012-03-28|3.14|3.14|3.09|3.12|40083|USD|59
2012-03-29|3.1|3.16|3.1|3.12|27787|USD|60
2012-03-30|3.15|3.15|3.08|3.08|35663|USD|61
2012-04-02|3.07|3.13|3.02|3.11|58540|USD|62
2012-04-03|3.1|3.13|3.0|3.02|45411|USD|63
2012-04-04|3.0|3.09|2.99|3.06|67304|USD|64
2012-04-05|3.04|3.07|3.03|3.06|29036|USD|65
2012-04-09|2.99|3.05|2.98|3.02|59177|USD|66
2012-04-10|3.02|3.04|2.97|3.02|82437|USD|67
2012-04-11|3.04|3.09|3.04|3.09|59879|USD|68
2012-04-12|3.08|3.14|3.08|3.1|49366|USD|69
2012-04-13|3.07|3.09|3.03|3.04|60575|USD|70
2012-04-16|3.06|3.1|3.03|3.05|55679|USD|71
2012-04-17|3.09|3.15|3.03|3.08|51750|USD|72
2012-04-18|3.05|3.13|3.05|3.07|46987|USD|73
2012-04-19|3.06|3.1|3.02|3.02|60567|USD|74
2012-04-20|3.08|3.08|2.95|2.99|70613|USD|75
2012-04-23|2.95|3.0|2.95|2.98|69226|USD|76
2012-04-24|2.96|3.01|2.92|3.01|45441|USD|77
2012-04-25|3.06|3.07|2.91|2.95|39785|USD|78
2012-04-26|2.94|2.96|2.9|2.91|30114|USD|79
2012-04-27|2.91|2.91|2.85|2.87|50197|USD|80
2012-04-30|2.88|2.9|2.82|2.82|63335|USD|81
2012-05-01|2.82|2.91|2.71|2.73|81396|USD|82
2012-05-02|2.7|2.87|2.68|2.8|77414|USD|83
2012-05-03|2.77|2.83|2.68|2.74|66603|USD|84
2012-05-04|2.72|2.73|2.66|2.69|59300|USD|85
2012-05-07|2.73|2.95|2.65|2.92|74149|USD|86
2012-05-08|2.89|2.91|2.82|2.86|57782|USD|87
2012-05-09|2.82|2.85|2.59|2.6|170519|USD|88
2012-05-10|2.61|2.62|2.48|2.6|36866|USD|89
2012-05-11|2.59|2.63|2.44|2.46|512357|USD|90
2012-05-14|2.44|2.48|2.37|2.4|166231|USD|91
2012-05-15|2.39|2.46|2.32|2.35|54155|USD|92
2012-05-16|2.35|2.41|2.32|2.32|27693|USD|93
2012-05-17|2.31|2.31|2.2|2.22|50099|USD|94
2012-05-18|2.2|2.2|1.99|2.18|203547|USD|95
2012-05-21|2.18|2.31|2.18|2.3|42701|USD|96
2012-05-22|2.29|2.3|2.24|2.27|34054|USD|97
2012-05-23|2.25|2.32|2.25|2.3|42998|USD|98
2012-05-24|2.3|2.33|2.26|2.31|35466|USD|99
