Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2014-01-31|11.62|14.15|11.26|12.91|2016170|USD|0
2014-02-03|12.9|13.7|12.5|12.63|230365|USD|1
2014-02-04|12.5|12.57|11.34|11.74|186155|USD|2
2014-02-05|11.53|11.6|10.4|10.6|217239|USD|3
2014-02-06|10.7|11.73|10.67|11.67|55857|USD|4
2014-02-07|11.15|12.04|11.15|11.84|36211|USD|5
2014-02-10|12.0|14.09|12.0|13.68|261706|USD|6
2014-02-11|14.0|15.0|12.7|13.15|389249|USD|7
2014-02-12|13.18|13.95|12.36|13.39|95888|USD|8
2014-02-13|13.01|13.9|12.98|13.49|34976|USD|9
2014-02-14|13.4|13.88|13.05|13.24|72647|USD|10
2014-02-18|13.21|14.18|13.11|13.86|170363|USD|11
2014-02-19|14.0|14.17|13.15|13.26|76649|USD|12
2014-02-20|13.26|14.29|12.08|13.91|232567|USD|13
2014-02-21|14.47|15.6|14.0|15.0|421684|USD|14
2014-02-24|15.29|15.69|14.2|14.48|205251|USD|15
2014-02-25|15.32|15.75|14.7|14.9|474613|USD|16
2014-02-26|15.23|15.87|14.73|15.45|315225|USD|17
2014-02-27|16.28|18.31|15.92|17.36|693595|USD|18
2014-02-28|18.09|21.22|18.0|18.88|1066699|USD|19
2014-03-03|18.49|22.94|18.1|21.28|657249|USD|20
2014-03-04|22.71|23.24|21.46|21.86|519273|USD|21
2014-03-05|22.44|23.25|22.01|22.49|327343|USD|22
2014-03-06|22.6|22.99|20.22|21.19|392911|USD|23
2014-03-07|21.79|21.87|19.39|20.0|230676|USD|24
2014-03-10|19.83|20.32|18.92|20.17|195195|USD|25
2014-03-11|20.73|21.65|19.93|20.07|349746|USD|26
2014-03-12|20.19|20.45|19.26|20.0|176107|USD|27
2014-03-13|20.03|20.23|18.19|18.43|297372|USD|28
2014-03-14|18.22|19.09|17.0|17.26|302120|USD|29
2014-03-17|17.79|19.48|16.62|18.5|360409|USD|30
2014-03-18|18.97|20.25|18.55|19.95|198684|USD|31
2014-03-19|20.35|20.4|18.66|19.05|215776|USD|32
2014-03-20|18.89|19.23|17.56|18.13|131230|USD|33
2014-03-21|18.47|19.2|16.91|17.15|317124|USD|34
2014-03-24|17.28|17.28|15.4|16.52|198177|USD|35
2014-03-25|16.5|17.88|16.5|16.89|156650|USD|36
2014-03-26|16.95|18.22|16.72|16.97|244909|USD|37
2014-03-27|16.85|17.74|15.5|17.31|352613|USD|38
2014-03-28|17.31|17.31|16.1|16.52|317002|USD|39
2014-03-31|16.4|18.93|16.08|18.61|971666|USD|40
2014-04-01|18.8|20.0|18.23|19.25|234610|USD|41
2014-04-02|19.42|20.7|19.22|19.97|338257|USD|42
2014-04-03|20.0|20.0|18.11|18.77|219706|USD|43
2014-04-04|18.92|19.25|17.53|18.5|204936|USD|44
2014-04-07|18.33|18.74|17.34|17.6|116308|USD|45
2014-04-08|17.71|18.39|17.23|18.29|124213|USD|46
2014-04-09|18.44|18.62|17.99|18.3|255094|USD|47
2014-04-10|18.3|18.37|17.03|17.08|148034|USD|48
2014-04-11|16.97|17.17|15.19|15.48|176157|USD|49
