Date|OPEN|HIGH|LOW|CLOSE|VOLUME|CURRENCY|INDEX
2012-01-03|14.37|14.87|13.41|13.98|34184|USD|0
2012-01-04|14.13|14.82|13.95|14.03|55551|USD|1
2012-01-05|14.3|14.99|14.19|14.5|55350|USD|2
2012-01-06|15.0|15.0|14.32|14.52|97414|USD|3
2012-01-09|14.61|14.61|14.36|14.5|75154|USD|4
2012-01-10|14.51|14.98|14.32|14.81|65464|USD|5
2012-01-11|14.76|14.76|14.2|14.48|22481|USD|6
2012-01-12|14.47|14.58|14.3|14.5|81852|USD|7
2012-01-13|14.31|14.83|13.86|14.54|68717|USD|8
2012-01-17|14.67|14.75|14.61|14.61|23582|USD|9
2012-01-18|14.81|17.72|14.81|17.1|76794|USD|10
2012-01-19|17.0|20.0|16.66|19.71|134277|USD|11
2012-01-20|19.7|20.0|18.03|19.9|81859|USD|12
2012-01-23|19.8|19.8|19.22|19.53|84123|USD|13
2012-01-24|19.2|19.33|18.65|19.0|44954|USD|14
2012-01-25|18.91|19.0|18.56|19.0|16417|USD|15
2012-01-26|19.0|19.16|18.41|18.69|17402|USD|16
2012-01-27|18.59|19.78|18.59|19.6|39823|USD|17
2012-01-30|19.24|19.24|18.44|18.89|36640|USD|18
2012-01-31|19.0|19.09|18.07|18.98|39923|USD|19
2012-02-01|19.14|20.59|19.04|20.36|85132|USD|20
2012-02-02|20.27|21.27|20.27|21.0|158295|USD|21
2012-02-03|21.39|24.07|21.39|23.81|103988|USD|22
2012-02-06|23.78|24.49|22.94|24.26|32208|USD|23
2012-02-07|24.5|27.29|24.24|24.59|133001|USD|24
2012-02-08|24.72|26.23|23.91|24.29|162144|USD|25
2012-02-09|24.28|25.5|23.88|23.89|106603|USD|26
2012-02-10|23.72|24.59|21.87|21.9|120262|USD|27
2012-02-13|22.23|23.18|21.73|22.68|40718|USD|28
2012-02-14|22.6|22.6|21.5|21.93|64069|USD|29
2012-02-15|22.12|24.11|22.0|23.65|76661|USD|30
2012-02-16|23.79|23.86|22.89|23.4|99423|USD|31
2012-02-17|23.51|24.27|23.35|23.48|72291|USD|32
2012-02-21|22.89|24.06|22.89|23.71|54787|USD|33
2012-02-22|23.57|24.3|23.23|23.75|54083|USD|34
2012-02-23|23.75|23.8|22.74|23.49|67331|USD|35
2012-02-24|23.37|24.77|23.37|24.49|32060|USD|36
2012-02-27|24.17|24.98|24.1|24.75|32762|USD|37
2012-02-28|24.84|24.88|24.04|24.35|99387|USD|38
2012-02-29|24.47|25.35|24.13|24.99|114914|USD|39
2012-03-01|25.0|25.2|24.14|24.74|54277|USD|40
2012-03-02|24.62|24.82|23.37|23.55|33567|USD|41
2012-03-05|23.49|24.93|23.1|23.2|16917|USD|42
2012-03-06|22.99|23.98|22.5|22.52|22717|USD|43
2012-03-07|22.49|23.92|22.49|23.0|22665|USD|44
2012-03-08|22.8|22.8|19.5|22.4|50683|USD|45
2012-03-09|22.3|23.38|21.86|22.04|32934|USD|46
2012-03-12|22.11|22.57|21.17|21.7|28441|USD|47
2012-03-13|21.99|22.15|21.33|22.1|44297|USD|48
2012-03-14|22.08|22.76|21.76|22.01|24862|USD|49
2012-03-15|22.17|22.71|21.8|22.68|31993|USD|50
2012-03-16|22.72|23.08|22.3|23.0|84874|USD|51
2012-03-19|22.9|24.98|22.23|24.53|70050|USD|52
2012-03-20|24.38|24.88|23.45|24.39|37734|USD|53
2012-03-21|22.95|27.55|22.95|25.99|64396|USD|54
2012-03-22|25.86|25.86|24.95|25.0|60944|USD|55
2012-03-23|24.98|26.5|24.29|26.5|49113|USD|56
2012-03-26|26.86|26.86|25.0|26.16|65204|USD|57
2012-03-27|26.0|26.44|25.25|25.47|24370|USD|58
2012-03-28|25.45|26.0|24.91|25.66|25135|USD|59
2012-03-29|25.54|25.69|25.05|25.1|26925|USD|60
